time,Oklahoma City,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. I. Mahinmi,,,,Jump ball: S. Adams vs. I. Mahinmi
11:42.0,Turnover by K. Durant (bad pass),,0-0,,
11:24.0,,,0-3,3,P. George makes 3-pt shot from 22 ft (assist by M. Ellis)
11:08.0,K. Durant misses 2-pt shot from 19 ft,,0-3,,
11:06.0,,,0-3,,Defensive rebound by M. Ellis
10:59.0,,,0-3,,I. Mahinmi misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by S. Ibaka,,0-3,,
10:49.0,R. Westbrook misses 2-pt shot from 3 ft,,0-3,,
10:48.0,,,0-3,,Defensive rebound by G. Hill
10:40.0,,,0-6,3,G. Hill makes 3-pt shot from 23 ft (assist by M. Ellis)
10:24.0,Turnover by K. Durant (lost ball; steal by M. Turner),,0-6,,
10:14.0,,,0-6,,G. Hill misses 3-pt shot from 24 ft
10:13.0,,,0-6,,Offensive rebound by M. Turner
10:10.0,,,0-8,2,I. Mahinmi makes 2-pt shot from 4 ft (assist by M. Turner)
9:50.0,R. Westbrook makes 2-pt shot from 12 ft,2,2-8,,
9:24.0,,,2-10,2,I. Mahinmi makes 2-pt shot from 5 ft (assist by G. Hill)
9:12.0,R. Westbrook misses 2-pt shot from 2 ft,,2-10,,
9:10.0,,,2-10,,Defensive rebound by P. George
9:06.0,,,2-13,3,G. Hill makes 3-pt shot from 25 ft (assist by P. George)
9:04.0,Oklahoma City full timeout,,2-13,,
8:56.0,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook),2,4-13,,
8:42.0,,,4-13,,Turnover by I. Mahinmi (lost ball; steal by R. Westbrook)
8:34.0,A. Roberson misses 3-pt shot from 24 ft,,4-13,,
8:33.0,,,4-13,,Defensive rebound by P. George
8:22.0,,,4-13,,M. Turner misses 2-pt shot from 14 ft
8:21.0,Defensive rebound by A. Roberson,,4-13,,
8:10.0,S. Adams makes 2-pt shot from 1 ft (assist by K. Durant),2,6-13,,
7:46.0,,,6-13,,I. Mahinmi misses 2-pt shot from 10 ft
7:45.0,Defensive rebound by Team,,6-13,,
7:36.0,,,6-13,,Shooting block foul by P. George (drawn by K. Durant)
7:36.0,K. Durant misses free throw 1 of 2,,6-13,,
7:36.0,Offensive rebound by Team,,6-13,,
7:36.0,K. Durant makes free throw 2 of 2,1,7-13,,
7:25.0,,,7-13,,Turnover by P. George (bad pass)
7:14.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,9-13,,
6:53.0,,,9-13,,P. George misses 2-pt shot from 18 ft
6:51.0,,,9-13,,Offensive rebound by Team
6:44.0,,,9-13,,Turnover by G. Hill (lost ball; steal by S. Adams)
6:39.0,K. Durant misses 2-pt shot at rim,,9-13,,
6:38.0,,,9-13,,Defensive rebound by P. George
6:31.0,,,9-16,3,M. Ellis makes 3-pt shot from 25 ft (assist by P. George)
6:05.0,K. Durant misses 2-pt shot from 2 ft (block by M. Turner),,9-16,,
6:04.0,Offensive rebound by K. Durant,,9-16,,
6:02.0,K. Durant misses 3-pt shot from 26 ft,,9-16,,
6:01.0,,,9-16,,Defensive rebound by I. Mahinmi
5:47.0,,,9-16,,I. Mahinmi misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by S. Adams,,9-16,,
5:39.0,K. Durant makes 3-pt shot from 26 ft (assist by R. Westbrook),3,12-16,,
5:32.0,,,12-16,,Indiana full timeout
5:32.0,R. Foye enters the game for K. Durant,,12-16,,
5:32.0,D. Waiters enters the game for A. Roberson,,12-16,,
5:24.0,,,12-18,2,P. George makes 2-pt shot from 8 ft
4:59.0,R. Westbrook misses 3-pt shot from 22 ft,,12-18,,
4:58.0,,,12-18,,Defensive rebound by G. Hill
4:41.0,,,12-18,,P. George misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by R. Westbrook,,12-18,,
4:28.0,Turnover by D. Waiters (lost ball; steal by M. Ellis),,12-18,,
4:17.0,,,12-20,2,P. George makes 2-pt shot at rim (assist by G. Hill)
4:02.0,D. Waiters makes 2-pt shot from 18 ft (assist by R. Westbrook),2,14-20,,
3:43.0,,,14-22,2,G. Hill makes 2-pt shot from 1 ft (assist by P. George)
3:30.0,,,14-22,,Violation by G. Hill (kicked ball)
3:18.0,R. Westbrook makes 3-pt shot from 25 ft (assist by S. Adams),3,17-22,,
3:02.0,,,17-22,,G. Hill misses 3-pt shot from 23 ft
3:01.0,,,17-22,,Offensive rebound by M. Turner
3:01.0,,,17-24,2,M. Turner makes 2-pt shot at rim
2:43.0,R. Foye makes 2-pt shot from 17 ft,2,19-24,,
