time,San Antonio,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. C. Zeller (K. Walker gains possession),,,,Jump ball: T. Duncan vs. C. Zeller (K. Walker gains possession)
11:46.0,,,0-2,2,N. Batum makes 2-pt shot from 1 ft
11:46.0,,,0-2,,Shooting foul by K. Leonard (drawn by N. Batum)
11:46.0,,,0-2,,N. Batum misses free throw 1 of 1
11:45.0,Defensive rebound by L. Aldridge,,0-2,,
11:26.0,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker),2,2-2,,
11:16.0,Personal foul by L. Aldridge,,2-2,,
11:08.0,,,2-2,,M. Williams misses 2-pt shot from 14 ft
11:05.0,,,2-2,,Offensive rebound by C. Zeller
11:02.0,,,2-2,,C. Lee misses 2-pt shot from 22 ft
11:01.0,Defensive rebound by L. Aldridge,,2-2,,
10:53.0,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker),3,5-2,,
10:37.0,,,5-2,,N. Batum misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by L. Aldridge,,5-2,,
10:22.0,T. Parker makes 2-pt shot from 18 ft,2,7-2,,
10:09.0,,,7-4,2,N. Batum makes 2-pt shot from 19 ft
9:47.0,L. Aldridge misses 2-pt shot from 13 ft,,7-4,,
9:46.0,,,7-4,,Defensive rebound by C. Zeller
9:42.0,,,7-4,,Turnover by N. Batum (lost ball; steal by K. Leonard)
9:34.0,T. Parker makes 2-pt shot from 17 ft,2,9-4,,
9:21.0,,,9-4,,Turnover by C. Lee (lost ball; steal by D. Green)
9:12.0,D. Green misses 3-pt shot from 23 ft,,9-4,,
9:11.0,,,9-4,,Defensive rebound by C. Zeller
8:52.0,,,9-4,,C. Zeller misses 2-pt shot from 14 ft
8:49.0,Defensive rebound by T. Duncan,,9-4,,
8:35.0,T. Duncan misses 2-pt shot from 19 ft,,9-4,,
8:33.0,Offensive rebound by T. Parker,,9-4,,
8:30.0,T. Parker makes 2-pt shot from 7 ft,2,11-4,,
8:30.0,,,11-4,,Charlotte full timeout
8:12.0,,,11-6,2,C. Zeller makes 2-pt shot at rim (assist by M. Williams)
7:58.0,T. Duncan makes 2-pt shot from 8 ft (assist by L. Aldridge),2,13-6,,
7:47.0,,,13-6,,Turnover by N. Batum (lost ball; steal by T. Duncan)
7:35.0,L. Aldridge misses 2-pt shot from 18 ft,,13-6,,
7:34.0,,,13-6,,Defensive rebound by C. Zeller
7:26.0,,,13-6,,Turnover by N. Batum (lost ball; steal by T. Duncan)
7:22.0,Shooting foul by K. Walker (drawn by T. Parker),,13-6,,
7:22.0,T. Parker makes free throw 1 of 2,1,14-6,,
7:22.0,T. Parker makes free throw 2 of 2,1,15-6,,
7:11.0,,,15-6,,K. Walker misses 3-pt shot from 25 ft (block by T. Parker)
7:09.0,Defensive rebound by T. Parker,,15-6,,
6:59.0,T. Duncan misses 2-pt shot from 2 ft,,15-6,,
6:56.0,,,15-6,,Defensive rebound by C. Zeller
6:46.0,,,15-6,,K. Walker misses 2-pt shot from 14 ft
6:45.0,Defensive rebound by L. Aldridge,,15-6,,
6:32.0,T. Parker makes 2-pt shot from 19 ft,2,17-6,,
6:12.0,,,17-6,,M. Williams misses 2-pt shot at rim
6:11.0,Defensive rebound by T. Parker,,17-6,,
6:02.0,T. Parker misses 2-pt shot from 2 ft,,17-6,,
6:02.0,Offensive rebound by Team,,17-6,,
6:02.0,,,17-6,,A. Jefferson enters the game for C. Zeller
5:54.0,K. Leonard misses 2-pt shot from 20 ft,,17-6,,
5:53.0,,,17-6,,Defensive rebound by C. Lee
5:38.0,,,17-6,,K. Walker misses 3-pt shot from 26 ft
5:35.0,Defensive rebound by T. Duncan,,17-6,,
5:21.0,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker),2,19-6,,
5:21.0,Shooting foul by A. Jefferson (drawn by T. Duncan),,19-6,,
5:21.0,M. Ginobili enters the game for D. Green,,19-6,,
5:21.0,T. Duncan makes free throw 1 of 1,1,20-6,,
5:09.0,,,20-6,,M. Williams misses 3-pt shot from 26 ft
5:07.0,,,20-6,,Offensive rebound by A. Jefferson
5:02.0,,,20-6,,A. Jefferson misses 2-pt shot from 10 ft
5:00.0,Defensive rebound by K. Leonard,,20-6,,
4:40.0,K. Leonard misses 3-pt shot from 25 ft,,20-6,,
4:38.0,Offensive rebound by T. Duncan,,20-6,,
4:22.0,L. Aldridge makes 2-pt shot from 6 ft (assist by T. Duncan),2,22-6,,
4:10.0,,,22-6,,Shooting foul by M. Ginobili (drawn by A. Jefferson)
4:10.0,,,22-6,,A. Jefferson misses free throw 1 of 2
4:10.0,,,22-6,,Offensive rebound by Team
4:10.0,San Antonio full timeout,,22-6,,
4:10.0,B. Diaw enters the game for T. Duncan,,22-6,,
4:10.0,,,22-6,,F. Kaminsky enters the game for M. Williams
4:10.0,,,22-6,,J. Lin enters the game for C. Lee
4:10.0,,,22-7,1,A. Jefferson makes free throw 2 of 2
3:57.0,T. Parker makes 2-pt shot from 1 ft (assist by B. Diaw),2,24-7,,
3:47.0,,,24-7,,N. Batum misses 2-pt shot from 21 ft
3:45.0,Defensive rebound by K. Leonard,,24-7,,
3:31.0,L. Aldridge misses 2-pt shot from 17 ft,,24-7,,
3:29.0,,,24-7,,Defensive rebound by N. Batum
3:10.0,,,24-7,,A. Jefferson misses 2-pt shot from 8 ft
3:09.0,Defensive rebound by L. Aldridge,,24-7,,
2:51.0,L. Aldridge misses 2-pt shot from 11 ft,,24-7,,
2:49.0,,,24-7,,Defensive rebound by K. Walker
2:43.0,,,24-7,,Turnover by K. Walker (lost ball; steal by M. Ginobili)
2:37.0,K. Leonard misses 2-pt shot at rim,,24-7,,
2:37.0,Offensive rebound by Team,,24-7,,
2:37.0,K. Anderson enters the game for K. Leonard,,24-7,,
2:37.0,D. West enters the game for L. Aldridge,,24-7,,
2:37.0,,,24-7,,J. Lamb enters the game for N. Batum
2:34.0,D. West makes 2-pt shot from 13 ft (assist by B. Diaw),2,26-7,,
2:11.0,,,26-7,,F. Kaminsky misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by D. West,,26-7,,
1:52.0,D. West makes 2-pt shot from 1 ft (assist by B. Diaw),2,28-7,,
1:37.0,,,28-7,,K. Walker misses 2-pt shot from 16 ft (block by T. Parker)
1:35.0,Defensive rebound by D. West,,28-7,,
1:23.0,T. Parker misses 2-pt shot from 20 ft,,28-7,,
1:22.0,,,28-7,,Defensive rebound by J. Lamb
1:12.0,,,28-7,,A. Jefferson misses 2-pt shot from 1 ft
1:11.0,,,28-7,,Offensive rebound by A. Jefferson
1:09.0,,,28-7,,A. Jefferson misses 2-pt shot at rim (block by D. West)
1:09.0,P. Mills enters the game for T. Parker,,28-7,,
1:09.0,Jump ball: A. Jefferson vs. D. West (F. Kaminsky gains possession),,,,Jump ball: A. Jefferson vs. D. West (F. Kaminsky gains possession)
1:08.0,,,28-7,,Offensive rebound by Team
1:03.0,,,28-7,,F. Kaminsky misses 2-pt shot at rim
1:02.0,Defensive rebound by K. Anderson,,28-7,,
0:51.0,B. Diaw misses 2-pt shot from 8 ft,,28-7,,
0:50.0,,,28-7,,Defensive rebound by A. Jefferson
0:36.0,,,28-7,,A. Jefferson misses 2-pt shot from 17 ft
0:35.0,Defensive rebound by M. Ginobili,,28-7,,
0:17.0,B. Diaw misses 2-pt shot from 15 ft,,28-7,,
0:16.0,,,28-7,,Defensive rebound by A. Jefferson
0:05.0,Personal foul by P. Mills,,28-7,,
0:01.0,,,28-7,,K. Walker misses 3-pt shot from 25 ft
0:00.0,,,28-7,,Offensive rebound by J. Lamb
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,D. West makes 2-pt shot at rim (assist by M. Ginobili),2,30-7,,
11:49.0,,,30-7,,Charlotte full timeout
11:29.0,,,30-7,,F. Kaminsky misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by P. Mills,,30-7,,
11:23.0,K. Anderson misses 2-pt shot from 1 ft (block by J. Lamb),,30-7,,
11:21.0,,,30-7,,Defensive rebound by J. Lin
11:09.0,,,30-10,3,J. Lin makes 3-pt shot from 26 ft (assist by A. Jefferson)
11:09.0,,,30-10,,Shooting foul by D. West (drawn by J. Lin)
11:09.0,,,30-11,1,J. Lin makes free throw 1 of 1
10:58.0,D. West misses 2-pt shot from 17 ft,,30-11,,
10:56.0,,,30-11,,Defensive rebound by F. Kaminsky
10:46.0,,,30-11,,J. Lin misses 2-pt shot from 10 ft
10:45.0,Defensive rebound by B. Diaw,,30-11,,
10:31.0,P. Mills makes 2-pt shot from 22 ft,2,32-11,,
10:18.0,,,32-11,,Turnover by J. Lin (bad pass)
10:01.0,Turnover by M. Ginobili (lost ball; steal by J. Lamb),,32-11,,
9:55.0,,,32-13,2,C. Lee makes 2-pt shot at rim (assist by J. Lamb)
9:46.0,Turnover by P. Mills (lost ball; steal by J. Lin),,32-13,,
9:40.0,,,32-13,,C. Lee misses 2-pt shot from 10 ft (block by M. Ginobili)
9:40.0,,,32-13,,Offensive rebound by Team
9:35.0,,,32-13,,J. Lamb misses 2-pt shot from 20 ft
9:34.0,Defensive rebound by M. Ginobili,,32-13,,
9:18.0,M. Ginobili misses 2-pt shot from 19 ft,,32-13,,
9:17.0,,,32-13,,Defensive rebound by J. Lamb
9:01.0,,,32-13,,F. Kaminsky misses 3-pt shot from 27 ft
9:00.0,Defensive rebound by P. Mills,,32-13,,
8:52.0,Turnover by D. West (lost ball; steal by F. Kaminsky),,32-13,,
8:48.0,,,32-13,,Shooting foul by K. Anderson (drawn by J. Lamb)
8:48.0,Official timeout,,32-13,,
8:48.0,D. Green enters the game for M. Ginobili,,32-13,,
8:48.0,,,32-13,,J. Lamb misses free throw 1 of 2
