time,Dallas,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,,,0-0,,M. Smart misses 3-pt shot from 23 ft
12:00.0,Jump ball: A. Johnson vs. Z. Pachulia (J. Crowder gains possession),,,,Jump ball: A. Johnson vs. Z. Pachulia (J. Crowder gains possession)
11:45.0,Defensive rebound by Z. Pachulia,,0-0,,
11:21.0,D. Williams misses 3-pt shot from 25 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by J. Crowder
11:12.0,,,0-0,,I. Thomas misses 2-pt shot from 15 ft
11:11.0,Defensive rebound by Z. Pachulia,,0-0,,
10:53.0,D. Nowitzki misses 2-pt shot from 12 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by J. Crowder
10:37.0,,,0-3,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Sullinger)
10:23.0,C. Parsons misses 2-pt shot from 1 ft,,0-3,,
10:22.0,,,0-3,,Defensive rebound by Team
10:01.0,,,0-5,2,I. Thomas makes 2-pt shot at rim
9:52.0,D. Williams misses 2-pt shot from 3 ft,,0-5,,
9:51.0,,,0-5,,Defensive rebound by J. Sullinger
9:43.0,,,0-7,2,M. Smart makes 2-pt shot from 13 ft
9:40.0,Dallas full timeout,,0-7,,
9:22.0,W. Matthews misses 3-pt shot from 24 ft,,0-7,,
9:21.0,,,0-7,,Defensive rebound by M. Smart
9:03.0,,,0-7,,J. Sullinger misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by D. Nowitzki,,0-7,,
8:52.0,,,0-7,,Personal foul by J. Crowder (drawn by D. Nowitzki)
8:43.0,W. Matthews misses 2-pt shot from 19 ft,,0-7,,
8:42.0,Offensive rebound by Z. Pachulia,,0-7,,
8:40.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by Z. Pachulia),2,2-7,,
8:25.0,,,2-9,2,I. Thomas makes 2-pt shot from 5 ft
8:00.0,Shooting foul by M. Smart (drawn by W. Matthews),,2-9,,
8:00.0,W. Matthews makes free throw 1 of 3,1,3-9,,
8:00.0,W. Matthews makes free throw 2 of 3,1,4-9,,
8:00.0,W. Matthews makes free throw 3 of 3,1,5-9,,
7:50.0,,,5-11,2,A. Johnson makes 2-pt shot from 8 ft (assist by I. Thomas)
7:28.0,D. Williams misses 2-pt shot from 15 ft,,5-11,,
7:27.0,,,5-11,,Defensive rebound by J. Crowder
7:24.0,,,5-11,,Shooting foul by D. Nowitzki (drawn by A. Johnson)
7:24.0,,,5-11,,A. Johnson misses free throw 1 of 2
7:24.0,,,5-11,,Offensive rebound by Team
7:24.0,D. Powell enters the game for W. Matthews,,5-11,,
7:24.0,D. Harris enters the game for D. Nowitzki,,5-11,,
7:24.0,,,5-11,,A. Johnson misses free throw 2 of 2
7:23.0,Defensive rebound by D. Powell,,5-11,,
