time,New Orleans,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Davis (J. Holiday gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Davis (J. Holiday gains possession)
11:47.0,J. Holiday misses 2-pt shot from 17 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by D. Cousins
11:30.0,,,0-0,,D. Cousins misses 2-pt shot from 16 ft
11:29.0,Defensive rebound by A. Davis,,0-0,,
11:14.0,A. Davis misses 2-pt shot at rim,,0-0,,
11:13.0,Offensive rebound by A. Davis,,0-0,,
11:11.0,A. Davis makes 2-pt shot from 3 ft,2,2-0,,
10:56.0,Personal foul by T. Douglas,,2-0,,
10:43.0,,,2-3,3,D. Collison makes 3-pt shot from 22 ft (assist by R. Gay)
10:24.0,T. Douglas makes 3-pt shot from 23 ft (assist by J. Holiday),3,5-3,,
10:13.0,,,5-5,2,J. Anderson makes 2-pt shot from 5 ft
10:01.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,7-5,,
9:44.0,,,7-7,2,R. Gay makes 2-pt shot from 17 ft (assist by D. Cousins)
9:22.0,D. Cunningham makes 2-pt shot from 20 ft (assist by J. Holiday),2,9-7,,
9:07.0,,,9-7,,D. Cousins misses 2-pt shot from 21 ft
9:06.0,Defensive rebound by D. Cunningham,,9-7,,
8:52.0,O. Asik misses 2-pt shot from 9 ft,,9-7,,
8:51.0,,,9-7,,Defensive rebound by D. Collison
8:44.0,,,9-9,2,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison)
8:30.0,,,9-9,,Personal foul by D. Collison
8:17.0,D. Cunningham misses 2-pt shot from 21 ft,,9-9,,
8:14.0,Offensive rebound by T. Douglas,,9-9,,
8:04.0,A. Davis makes 2-pt shot at rim (assist by D. Cunningham),2,11-9,,
7:56.0,,,11-9,,D. Cousins misses 2-pt shot from 17 ft
7:55.0,Defensive rebound by A. Davis,,11-9,,
7:46.0,J. Holiday makes 2-pt shot from 13 ft,2,13-9,,
7:26.0,,,13-9,,R. Gay misses 2-pt shot from 16 ft
7:25.0,Defensive rebound by A. Davis,,13-9,,
7:11.0,A. Davis makes 2-pt shot from 14 ft,2,15-9,,
6:55.0,,,15-9,,D. Collison misses 2-pt shot from 15 ft
6:54.0,Defensive rebound by A. Davis,,15-9,,
6:46.0,A. Davis misses 2-pt shot from 17 ft,,15-9,,
6:43.0,,,15-9,,Defensive rebound by W. Cauley-Stein
6:30.0,,,15-9,,D. Cousins misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by O. Asik,,15-9,,
6:14.0,J. Holiday misses 3-pt shot from 26 ft,,15-9,,
6:12.0,Offensive rebound by O. Asik,,15-9,,
