time,Golden State,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Horford (P. Millsap gains possession),,,,Jump ball: A. Bogut vs. A. Horford (P. Millsap gains possession)
11:49.0,Personal foul by S. Curry,,0-0,,
11:41.0,,,0-0,,A. Horford misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by S. Curry,,0-0,,
11:23.0,D. Green misses 3-pt shot from 24 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by K. Bazemore
11:04.0,,,0-2,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore)
10:56.0,,,0-2,,Personal foul by J. Teague
10:50.0,K. Thompson misses 2-pt shot from 4 ft (block by P. Millsap),,0-2,,
10:48.0,,,0-2,,Defensive rebound by A. Horford
10:29.0,,,0-2,,K. Bazemore misses 2-pt shot from 1 ft
10:26.0,Defensive rebound by H. Barnes,,0-2,,
10:22.0,S. Curry makes 3-pt shot from 24 ft,3,3-2,,
10:11.0,,,3-2,,Turnover by J. Teague (lost ball; steal by S. Curry)
10:06.0,S. Curry misses 3-pt shot from 25 ft,,3-2,,
10:05.0,,,3-2,,Defensive rebound by K. Korver
9:54.0,,,3-2,,P. Millsap misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by A. Bogut,,3-2,,
9:42.0,D. Green misses 2-pt shot from 1 ft (block by A. Horford),,3-2,,
9:40.0,,,3-2,,Defensive rebound by A. Horford
9:21.0,,,3-2,,K. Bazemore misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by A. Bogut,,3-2,,
9:14.0,H. Barnes misses 3-pt shot from 23 ft,,3-2,,
9:13.0,,,3-2,,Defensive rebound by A. Horford
9:06.0,,,3-2,,Turnover by K. Korver (lost ball; steal by D. Green)
9:01.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,6-2,,
8:38.0,,,6-2,,J. Teague misses 3-pt shot from 24 ft
8:36.0,,,6-2,,Offensive rebound by P. Millsap
8:31.0,,,6-2,,P. Millsap misses 2-pt shot from 1 ft
8:26.0,,,6-2,,Offensive rebound by A. Horford
8:26.0,,,6-4,2,A. Horford makes 2-pt shot at rim
8:14.0,H. Barnes makes 3-pt shot from 23 ft (assist by D. Green),3,9-4,,
7:52.0,,,9-6,2,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague)
7:45.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,11-6,,
7:31.0,,,11-6,,P. Millsap misses 2-pt shot from 1 ft
7:30.0,Defensive rebound by A. Bogut,,11-6,,
7:16.0,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry),3,14-6,,
7:15.0,,,14-6,,Atlanta full timeout
7:00.0,,,14-9,3,J. Teague makes 3-pt shot from 24 ft
6:40.0,S. Curry makes 3-pt shot from 24 ft,3,17-9,,
6:31.0,Violation by D. Green (kicked ball),,17-9,,
6:24.0,,,17-9,,K. Korver misses 3-pt shot from 22 ft
6:22.0,Defensive rebound by D. Green,,17-9,,
6:15.0,Turnover by S. Curry (bad pass),,17-9,,
6:05.0,,,17-9,,K. Bazemore misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by H. Barnes,,17-9,,
5:55.0,K. Thompson makes 2-pt shot from 12 ft (assist by D. Green),2,19-9,,
5:31.0,,,19-9,,A. Horford misses 2-pt shot at rim (block by A. Bogut)
5:28.0,Defensive rebound by S. Curry,,19-9,,
5:25.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,21-9,,
5:07.0,Personal foul by H. Barnes,,21-9,,
5:07.0,A. Iguodala enters the game for H. Barnes,,21-9,,
5:07.0,,,21-9,,M. Muscala enters the game for A. Horford
5:07.0,,,21-9,,T. Sefolosha enters the game for K. Bazemore
4:51.0,,,21-11,2,K. Korver makes 2-pt shot from 10 ft (assist by P. Millsap)
4:39.0,K. Thompson misses 3-pt shot from 24 ft,,21-11,,
4:38.0,,,21-11,,Defensive rebound by M. Muscala
4:24.0,,,21-13,2,J. Teague makes 2-pt shot from 12 ft
4:14.0,,,21-13,,Personal foul by M. Muscala
4:14.0,,,21-13,,D. Schroder enters the game for J. Teague
4:14.0,,,21-13,,T. Hardaway enters the game for K. Korver
4:14.0,L. Barbosa enters the game for K. Thompson,,21-13,,
4:01.0,S. Curry makes 2-pt shot from 4 ft (assist by A. Bogut),2,23-13,,
3:52.0,,,23-13,,Turnover by P. Millsap (lost ball; steal by L. Barbosa)
3:41.0,Turnover by A. Bogut (lost ball),,23-13,,
3:25.0,,,23-13,,Turnover by D. Schroder (lost ball; steal by L. Barbosa)
3:11.0,L. Barbosa misses 3-pt shot from 25 ft,,23-13,,
3:08.0,Offensive rebound by A. Bogut,,23-13,,
3:04.0,A. Iguodala makes 2-pt shot from 14 ft (assist by L. Barbosa),2,25-13,,
2:46.0,,,25-13,,T. Hardaway misses 3-pt shot from 22 ft
2:43.0,Defensive rebound by S. Curry,,25-13,,
2:35.0,A. Iguodala misses 2-pt shot from 18 ft,,25-13,,
2:32.0,,,25-13,,Defensive rebound by P. Millsap
2:32.0,Personal foul by L. Barbosa,,25-13,,
2:32.0,Golden State full timeout,,25-13,,
2:32.0,B. Rush enters the game for A. Bogut,,25-13,,
2:32.0,,,25-13,,M. Scott enters the game for M. Muscala
2:17.0,,,25-13,,P. Millsap misses 2-pt shot from 3 ft
2:16.0,Defensive rebound by D. Green,,25-13,,
2:10.0,A. Iguodala misses 3-pt shot from 23 ft,,25-13,,
2:08.0,Offensive rebound by L. Barbosa,,25-13,,
1:53.0,A. Iguodala misses 3-pt shot from 23 ft,,25-13,,
1:46.0,,,25-13,,Defensive rebound by M. Scott
1:35.0,,,25-13,,P. Millsap misses 2-pt shot from 7 ft
1:34.0,Defensive rebound by D. Green,,25-13,,
1:27.0,L. Barbosa misses 3-pt shot from 23 ft,,25-13,,
1:26.0,,,25-13,,Defensive rebound by M. Scott
1:18.0,,,25-15,2,D. Schroder makes 2-pt shot from 1 ft
1:07.0,,,25-15,,Personal foul by D. Schroder
1:07.0,,,25-15,,A. Horford enters the game for P. Millsap
1:00.0,Turnover by D. Green (lost ball; steal by A. Horford),,25-15,,
0:39.0,,,25-15,,Turnover by T. Sefolosha (lost ball; steal by S. Curry)
0:34.0,S. Curry makes 2-pt shot from 1 ft,2,27-15,,
0:23.0,,,27-15,,A. Horford misses 2-pt shot from 15 ft
0:21.0,Defensive rebound by D. Green,,27-15,,
0:01.0,L. Barbosa makes 3-pt shot from 22 ft (assist by A. Iguodala),3,30-15,,
0:00.0,,,30-15,,D. Schroder misses 3-pt shot from 49 ft
0:00.0,,,30-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,M. Speights misses 2-pt shot from 18 ft (block by A. Horford),,30-15,,
11:35.0,,,30-15,,Defensive rebound by M. Scott
11:23.0,,,30-17,2,D. Schroder makes 2-pt shot at rim (assist by A. Horford)
11:10.0,H. Barnes makes 3-pt shot from 22 ft (assist by A. Iguodala),3,33-17,,
10:59.0,,,33-20,3,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Schroder)
10:39.0,M. Speights misses 2-pt shot from 1 ft,,33-20,,
10:36.0,,,33-20,,Defensive rebound by M. Scott
10:34.0,,,33-20,,Turnover by A. Horford (lost ball; steal by A. Iguodala)
10:29.0,H. Barnes makes 2-pt shot at rim (assist by L. Barbosa),2,35-20,,
10:15.0,Violation by A. Iguodala (kicked ball),,35-20,,
10:15.0,K. Thompson enters the game for L. Barbosa,,35-20,,
10:11.0,,,35-22,2,D. Schroder makes 2-pt shot from 15 ft
10:01.0,,,35-22,,Personal foul by D. Schroder
9:56.0,M. Speights makes 2-pt shot at rim (assist by K. Thompson),2,37-22,,
9:40.0,,,37-24,2,T. Hardaway makes 2-pt shot from 20 ft (assist by D. Schroder)
9:29.0,K. Thompson misses 3-pt shot from 25 ft,,37-24,,
9:27.0,,,37-24,,Defensive rebound by Team
9:27.0,,,37-24,,J. Teague enters the game for D. Schroder
9:09.0,,,37-26,2,A. Horford makes 2-pt shot at rim (assist by T. Hardaway)
8:47.0,M. Speights misses 2-pt shot from 20 ft,,37-26,,
8:45.0,,,37-26,,Defensive rebound by M. Scott
8:35.0,,,37-26,,A. Horford misses 3-pt shot from 24 ft
8:35.0,,,37-26,,Offensive rebound by Team
8:35.0,Official timeout,,37-26,,
8:27.0,,,37-26,,T. Hardaway misses 2-pt shot from 6 ft
8:26.0,,,37-26,,Offensive rebound by A. Horford
8:20.0,,,37-28,2,A. Horford makes 2-pt shot from 5 ft (assist by J. Teague)
8:01.0,A. Iguodala misses 2-pt shot from 10 ft,,37-28,,
7:59.0,,,37-28,,Defensive rebound by A. Horford
7:53.0,,,37-28,,M. Scott misses 2-pt shot at rim
7:52.0,,,37-28,,Offensive rebound by M. Scott
7:52.0,,,37-28,,M. Scott misses 2-pt shot at rim
7:51.0,Defensive rebound by M. Speights,,37-28,,
7:40.0,Turnover by M. Speights (lost ball; steal by J. Teague),,37-28,,
7:36.0,,,37-28,,Offensive charge foul by T. Hardaway
7:36.0,,,37-28,,Turnover by T. Hardaway (offensive foul)
7:36.0,,,37-28,,K. Bazemore enters the game for T. Hardaway
7:36.0,A. Bogut enters the game for M. Speights,,37-28,,
7:25.0,K. Thompson misses 2-pt shot from 2 ft,,37-28,,
7:24.0,Offensive rebound by A. Bogut,,37-28,,
7:24.0,A. Bogut misses 2-pt shot at rim,,37-28,,
7:22.0,,,37-28,,Defensive rebound by A. Horford
7:13.0,,,37-30,2,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague)
6:44.0,H. Barnes makes 2-pt shot from 16 ft,2,39-30,,
6:31.0,,,39-30,,A. Horford misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by A. Iguodala,,39-30,,
6:20.0,K. Thompson misses 2-pt shot from 4 ft,,39-30,,
6:20.0,,,39-30,,Defensive rebound by Team
6:20.0,,,39-30,,P. Millsap enters the game for M. Scott
6:20.0,D. Green enters the game for H. Barnes,,39-30,,
6:20.0,S. Curry enters the game for A. Iguodala,,39-30,,
6:12.0,,,39-30,,Shooting foul by K. Thompson (drawn by J. Teague)
6:12.0,,,39-31,1,J. Teague makes free throw 1 of 2
6:12.0,,,39-31,,T. Sefolosha enters the game for K. Korver
6:12.0,,,39-32,1,J. Teague makes free throw 2 of 2
5:55.0,K. Thompson misses 3-pt shot from 24 ft,,39-32,,
5:54.0,Offensive rebound by S. Curry,,39-32,,
5:51.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,42-32,,
5:33.0,,,42-32,,A. Horford misses 2-pt shot from 5 ft
5:32.0,,,42-32,,Offensive rebound by P. Millsap
5:29.0,,,42-32,,T. Sefolosha misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by D. Green,,42-32,,
5:08.0,Turnover by S. Livingston (lost ball),,42-32,,
5:08.0,,,42-32,,Atlanta full timeout
4:53.0,,,42-32,,Turnover by P. Millsap (lost ball; steal by S. Curry)
4:48.0,Turnover by D. Green (bad pass),,42-32,,
4:48.0,,,42-32,,Technical foul by Team
4:48.0,S. Curry makes technical free throw,1,43-32,,
4:30.0,,,43-32,,J. Teague misses 2-pt shot at rim (block by S. Livingston)
4:28.0,Defensive rebound by A. Bogut,,43-32,,
4:25.0,S. Livingston makes 2-pt shot at rim (assist by S. Curry),2,45-32,,
4:11.0,,,45-32,,P. Millsap misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by A. Bogut,,45-32,,
3:51.0,A. Bogut misses 2-pt shot from 3 ft,,45-32,,
3:50.0,,,45-32,,Defensive rebound by P. Millsap
3:42.0,,,45-32,,A. Horford misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by Team,,45-32,,
3:41.0,,,45-32,,M. Scott enters the game for K. Bazemore
3:41.0,,,45-32,,K. Korver enters the game for A. Horford
3:41.0,A. Iguodala enters the game for A. Bogut,,45-32,,
3:41.0,H. Barnes enters the game for S. Livingston,,45-32,,
3:29.0,A. Iguodala misses 3-pt shot from 23 ft,,45-32,,
3:27.0,,,45-32,,Defensive rebound by T. Sefolosha
3:15.0,,,45-32,,Turnover by T. Sefolosha (lost ball; steal by H. Barnes)
3:12.0,Turnover by H. Barnes (lost ball; steal by K. Korver),,45-32,,
3:08.0,,,45-35,3,J. Teague makes 3-pt shot from 22 ft (assist by K. Korver)
2:59.0,A. Iguodala misses 3-pt shot from 23 ft,,45-35,,
2:58.0,,,45-35,,Defensive rebound by P. Millsap
2:45.0,,,45-35,,J. Teague misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by A. Iguodala,,45-35,,
2:39.0,D. Green misses 2-pt shot at rim (block by J. Teague),,45-35,,
2:37.0,,,45-35,,Defensive rebound by M. Scott
2:25.0,,,45-37,2,P. Millsap makes 2-pt shot from 6 ft
2:16.0,S. Curry makes 3-pt shot from 24 ft,3,48-37,,
2:10.0,,,48-37,,Offensive charge foul by J. Teague
2:10.0,,,48-37,,Turnover by J. Teague (offensive foul)
2:10.0,Golden State full timeout,,48-37,,
2:00.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Thompson),3,51-37,,
1:40.0,,,51-37,,T. Sefolosha misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by H. Barnes,,51-37,,
1:27.0,A. Iguodala makes 2-pt shot from 1 ft (assist by D. Green),2,53-37,,
1:27.0,Shooting foul by P. Millsap (drawn by A. Iguodala),,53-37,,
1:27.0,,,53-37,,T. Hardaway enters the game for T. Sefolosha
1:27.0,,,53-37,,A. Horford enters the game for M. Scott
1:27.0,A. Iguodala makes free throw 1 of 1,1,54-37,,
1:13.0,Personal foul by H. Barnes,,54-37,,
1:13.0,,,54-38,1,A. Horford makes free throw 1 of 2
1:13.0,,,54-39,1,A. Horford makes free throw 2 of 2
1:00.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,56-39,,
0:40.0,,,56-39,,Turnover by P. Millsap (lost ball; steal by A. Iguodala)
0:28.0,S. Curry misses 2-pt shot from 2 ft,,56-39,,
0:27.0,,,56-39,,Defensive rebound by A. Horford
0:22.0,,,56-39,,Shooting foul by A. Iguodala (drawn by J. Teague)
0:22.0,,,56-39,,J. Teague misses free throw 1 of 2
0:22.0,,,56-39,,Offensive rebound by Team
0:22.0,,,56-39,,T. Sefolosha enters the game for K. Korver
0:22.0,,,56-39,,K. Bazemore enters the game for T. Hardaway
0:22.0,,,56-39,,J. Teague misses free throw 2 of 2
0:21.0,Defensive rebound by D. Green,,56-39,,
0:01.0,S. Curry makes 2-pt shot from 21 ft,2,58-39,,
