time,Sacramento,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. W. Cauley-Stein (N. Cole gains possession),,,,Jump ball: O. Asik vs. W. Cauley-Stein (N. Cole gains possession)
11:39.0,,,0-0,,Turnover by N. Cole (bad pass; steal by D. Cousins)
11:38.0,,,0-0,,Personal foul by O. Asik (drawn by D. Cousins)
11:23.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by R. Anderson
11:14.0,,,0-0,,N. Cole misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by R. Rondo,,0-0,,
11:09.0,Turnover by R. Rondo (bad pass; steal by N. Cole),,0-0,,
11:03.0,,,0-2,2,A. Gee makes 2-pt shot from 2 ft (assist by N. Cole)
10:47.0,B. McLemore makes 2-pt shot from 20 ft (assist by D. Cousins),2,2-2,,
10:34.0,,,2-2,,B. Dejean-Jones misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by O. Casspi,,2-2,,
10:25.0,D. Cousins misses 2-pt shot from 1 ft,,2-2,,
10:24.0,,,2-2,,Defensive rebound by N. Cole
10:19.0,,,2-2,,N. Cole misses 2-pt shot from 19 ft
10:18.0,Defensive rebound by W. Cauley-Stein,,2-2,,
10:09.0,O. Casspi makes 3-pt shot from 23 ft (assist by R. Rondo),3,5-2,,
9:56.0,,,5-4,2,R. Anderson makes 2-pt shot from 22 ft
9:39.0,B. McLemore misses 3-pt shot from 25 ft,,5-4,,
9:38.0,,,5-4,,Defensive rebound by N. Cole
9:25.0,,,5-6,2,R. Anderson makes 2-pt shot from 4 ft (assist by N. Cole)
9:11.0,D. Cousins misses 2-pt shot from 20 ft,,5-6,,
9:10.0,,,5-6,,Defensive rebound by N. Cole
8:53.0,,,5-9,3,R. Anderson makes 3-pt shot from 24 ft (assist by B. Dejean-Jones)
8:40.0,Offensive foul by D. Cousins,,5-9,,
8:40.0,Turnover by D. Cousins (offensive foul),,5-9,,
8:30.0,,,5-9,,R. Anderson misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by R. Rondo,,5-9,,
8:20.0,D. Cousins misses 2-pt shot from 1 ft (block by O. Asik),,5-9,,
8:19.0,,,5-9,,Defensive rebound by R. Anderson
8:14.0,,,5-11,2,B. Dejean-Jones makes 2-pt shot at rim (assist by R. Anderson)
8:07.0,Sacramento full timeout,,5-11,,
7:57.0,R. Rondo makes 2-pt shot from 1 ft,2,7-11,,
7:48.0,Personal foul by W. Cauley-Stein (drawn by N. Cole),,7-11,,
7:39.0,,,7-13,2,O. Asik makes 2-pt shot at rim (assist by N. Cole)
7:22.0,O. Casspi makes 2-pt shot from 1 ft (assist by B. McLemore),2,9-13,,
7:12.0,,,9-16,3,B. Dejean-Jones makes 3-pt shot from 25 ft (assist by R. Anderson)
6:58.0,R. Rondo makes 3-pt shot from 24 ft (assist by D. Cousins),3,12-16,,
6:50.0,,,12-19,3,R. Anderson makes 3-pt shot from 25 ft (assist by N. Cole)
6:39.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,14-19,,
6:21.0,,,14-19,,Turnover by N. Cole (bad pass)
6:21.0,M. Belinelli enters the game for B. McLemore,,14-19,,
6:21.0,J. Anderson enters the game for W. Cauley-Stein,,14-19,,
6:12.0,,,14-19,,Violation by R. Anderson (kicked ball)
5:58.0,O. Casspi makes 3-pt shot from 25 ft (assist by R. Rondo),3,17-19,,
5:48.0,,,17-19,,N. Cole misses 2-pt shot from 1 ft
5:48.0,,,17-19,,Offensive rebound by Team
5:43.0,,,17-19,,R. Anderson misses 2-pt shot from 17 ft
5:42.0,Defensive rebound by R. Rondo,,17-19,,
5:37.0,O. Casspi misses 2-pt shot from 1 ft,,17-19,,
5:36.0,,,17-19,,Defensive rebound by O. Asik
5:26.0,,,17-19,,R. Anderson misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by Team,,17-19,,
5:08.0,D. Cousins misses 2-pt shot from 18 ft,,17-19,,
5:07.0,,,17-19,,Defensive rebound by N. Cole
5:00.0,,,17-19,,Turnover by N. Cole (bad pass; steal by J. Anderson)
4:57.0,Turnover by J. Anderson (lost ball),,17-19,,
4:57.0,,,17-19,,J. Holiday enters the game for B. Dejean-Jones
4:41.0,,,17-21,2,R. Anderson makes 2-pt shot from 8 ft (assist by J. Holiday)
4:32.0,M. Belinelli misses 3-pt shot from 23 ft,,17-21,,
4:32.0,,,17-21,,Defensive rebound by O. Asik
4:17.0,,,17-21,,R. Anderson misses 2-pt shot from 11 ft
4:17.0,Defensive rebound by D. Cousins,,17-21,,
4:14.0,Turnover by D. Cousins (lost ball),,17-21,,
3:59.0,Personal foul by R. Rondo (drawn by N. Cole),,17-21,,
3:44.0,,,17-23,2,R. Anderson makes 2-pt shot from 14 ft (assist by N. Cole)
3:34.0,R. Rondo misses 2-pt shot from 2 ft (block by O. Asik),,17-23,,
3:32.0,,,17-23,,Defensive rebound by O. Asik
3:22.0,,,17-23,,J. Holiday misses 2-pt shot from 6 ft
3:22.0,,,17-23,,Offensive rebound by J. Holiday
3:17.0,,,17-25,2,O. Asik makes 2-pt shot at rim (assist by J. Holiday)
3:05.0,Turnover by R. Rondo (bad pass; steal by A. Gee),,17-25,,
2:49.0,,,17-27,2,R. Anderson makes 2-pt shot from 2 ft (assist by N. Cole)
2:36.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,19-27,,
2:29.0,,,19-29,2,J. Holiday makes 2-pt shot from 15 ft
2:13.0,O. Casspi misses 3-pt shot from 29 ft,,19-29,,
2:13.0,,,19-29,,Defensive rebound by O. Asik
2:07.0,,,19-29,,N. Cole misses 2-pt shot from 2 ft
2:06.0,,,19-29,,Offensive rebound by R. Anderson
2:06.0,,,19-31,2,R. Anderson makes 2-pt shot from 1 ft
2:04.0,Sacramento full timeout,,19-31,,
2:04.0,,,19-31,,New Orleans full timeout
2:04.0,,,19-31,,K. Perkins enters the game for O. Asik
2:04.0,,,19-31,,T. Douglas enters the game for N. Cole
1:46.0,J. Anderson misses 3-pt shot from 24 ft,,19-31,,
1:46.0,,,19-31,,Defensive rebound by T. Douglas
1:28.0,,,19-33,2,J. Holiday makes 2-pt shot from 17 ft
1:13.0,D. Cousins misses 2-pt shot from 17 ft,,19-33,,
1:13.0,,,19-33,,Defensive rebound by A. Gee
0:52.0,,,19-35,2,T. Douglas makes 2-pt shot from 11 ft (assist by J. Holiday)
0:39.0,R. Rondo misses 3-pt shot from 25 ft,,19-35,,
0:39.0,,,19-35,,Defensive rebound by T. Douglas
0:15.0,,,19-35,,J. Holiday misses 2-pt shot from 14 ft
0:14.0,,,19-35,,Offensive rebound by Team
0:14.0,Q. Acy enters the game for R. Rondo,,19-35,,
0:14.0,D. Collison enters the game for O. Casspi,,19-35,,
0:02.0,,,19-35,,Shooting foul by Q. Acy (drawn by J. Holiday)
0:02.0,,,19-36,1,J. Holiday makes free throw 1 of 2
0:02.0,,,19-37,1,J. Holiday makes free throw 2 of 2
0:00.0,M. Belinelli misses 3-pt shot from 45 ft,,19-37,,
0:00.0,Offensive rebound by Team,,19-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,D. Collison makes 2-pt shot from 16 ft,2,21-37,,
11:35.0,,,21-37,,J. Holiday misses 2-pt shot from 1 ft (block by K. Koufos)
11:35.0,,,21-37,,Offensive rebound by Team
11:34.0,,,21-37,,Turnover by B. Dejean-Jones (bad pass)
11:24.0,,,21-37,,Personal foul by T. Douglas (drawn by M. Belinelli)
11:13.0,K. Koufos misses 2-pt shot from 1 ft,,21-37,,
11:12.0,,,21-37,,Defensive rebound by D. Cunningham
11:04.0,Personal foul by K. Koufos (drawn by T. Douglas),,21-37,,
10:55.0,,,21-37,,A. Ajinca misses 2-pt shot from 6 ft
10:54.0,Defensive rebound by Q. Acy,,21-37,,
10:38.0,M. Belinelli makes 2-pt shot from 17 ft (assist by K. Koufos),2,23-37,,
10:25.0,,,23-39,2,J. Holiday makes 2-pt shot from 1 ft
10:15.0,D. Collison misses 2-pt shot from 15 ft,,23-39,,
10:14.0,,,23-39,,Defensive rebound by A. Ajinca
10:05.0,,,23-42,3,J. Holiday makes 3-pt shot from 24 ft
9:53.0,M. Belinelli misses 2-pt shot from 17 ft,,23-42,,
9:52.0,Offensive rebound by Q. Acy,,23-42,,
9:52.0,,,23-42,,Personal foul by B. Dejean-Jones (drawn by Q. Acy)
9:33.0,M. Belinelli misses 2-pt shot from 21 ft,,23-42,,
9:33.0,,,23-42,,Defensive rebound by A. Ajinca
9:20.0,,,23-42,,J. Holiday misses 2-pt shot from 15 ft
9:20.0,Defensive rebound by K. Koufos,,23-42,,
9:11.0,D. Collison makes 2-pt shot from 1 ft,2,25-42,,
8:57.0,,,25-42,,Turnover by A. Ajinca (lost ball)
8:57.0,Official timeout,,25-42,,
8:57.0,B. McLemore enters the game for J. Anderson,,25-42,,
8:38.0,K. Koufos misses 2-pt shot from 7 ft,,25-42,,
8:37.0,Offensive rebound by Team,,25-42,,
8:24.0,Q. Acy makes 3-pt shot from 23 ft (assist by B. McLemore),3,28-42,,
8:09.0,,,28-44,2,J. Holiday makes 2-pt shot from 1 ft
7:55.0,B. McLemore misses 2-pt shot from 3 ft (block by A. Ajinca),,28-44,,
7:55.0,,,28-44,,Defensive rebound by Team
7:55.0,,,28-44,,R. Anderson enters the game for A. Ajinca
7:41.0,,,28-44,,J. Holiday misses 3-pt shot from 27 ft
7:40.0,Defensive rebound by Q. Acy,,28-44,,
7:31.0,B. McLemore misses 2-pt shot from 4 ft,,28-44,,
7:30.0,,,28-44,,Defensive rebound by R. Anderson
7:24.0,,,28-44,,T. Douglas misses 2-pt shot from 1 ft (block by K. Koufos)
7:20.0,Defensive rebound by B. McLemore,,28-44,,
7:08.0,M. Belinelli misses 2-pt shot from 9 ft,,28-44,,
7:08.0,Offensive rebound by Team,,28-44,,
7:08.0,,,28-44,,Loose ball foul by D. Cunningham (drawn by K. Koufos)
7:01.0,Shooting foul by B. Dejean-Jones (drawn by M. Belinelli),,28-44,,
7:01.0,M. Belinelli makes free throw 1 of 2,1,29-44,,
7:01.0,D. Cousins enters the game for K. Koufos,,29-44,,
7:01.0,,,29-44,,O. Asik enters the game for D. Cunningham
7:01.0,,,29-44,,N. Cole enters the game for T. Douglas
7:01.0,M. Belinelli makes free throw 2 of 2,1,30-44,,
6:54.0,,,30-44,,N. Cole misses 2-pt shot from 1 ft
6:53.0,Defensive rebound by D. Cousins,,30-44,,
6:39.0,D. Cousins misses 2-pt shot from 4 ft,,30-44,,
6:38.0,,,30-44,,Defensive rebound by N. Cole
6:24.0,,,30-44,,Shooting foul by D. Cousins (drawn by R. Anderson)
6:24.0,,,30-45,1,R. Anderson makes free throw 1 of 2
6:24.0,,,30-46,1,R. Anderson makes free throw 2 of 2
6:02.0,Shooting foul by O. Asik (drawn by D. Cousins),,30-46,,
6:02.0,D. Cousins misses free throw 1 of 2,,30-46,,
6:02.0,Offensive rebound by Team,,30-46,,
6:02.0,D. Cousins makes free throw 2 of 2,1,31-46,,
5:41.0,,,31-46,,B. Dejean-Jones misses 2-pt shot from 1 ft (block by D. Cousins)
5:40.0,Defensive rebound by Q. Acy,,31-46,,
5:27.0,M. Belinelli makes 2-pt shot from 22 ft (assist by D. Cousins),2,33-46,,
5:19.0,,,33-49,3,R. Anderson makes 3-pt shot from 24 ft (assist by B. Dejean-Jones)
5:08.0,D. Collison misses 2-pt shot from 2 ft,,33-49,,
5:07.0,,,33-49,,Defensive rebound by O. Asik
5:01.0,,,33-49,,B. Dejean-Jones misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by Q. Acy,,33-49,,
4:44.0,D. Collison misses 2-pt shot from 1 ft (block by O. Asik),,33-49,,
4:44.0,,,33-49,,Defensive rebound by O. Asik
4:44.0,,,33-49,,Turnover by O. Asik (bad pass)
4:44.0,,,33-49,,New Orleans full timeout
4:44.0,R. Rondo enters the game for M. Belinelli,,33-49,,
4:30.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,35-49,,
4:15.0,Violation by Q. Acy (def goaltending),,35-49,,
4:15.0,,,35-51,2,B. Dejean-Jones makes 2-pt shot from 1 ft (assist by J. Holiday)
4:06.0,,,35-51,,Personal foul by N. Cole (drawn by B. McLemore)
4:06.0,B. McLemore misses free throw 1 of 2,,35-51,,
4:06.0,Offensive rebound by Team,,35-51,,
4:06.0,,,35-51,,K. Perkins enters the game for O. Asik
4:06.0,B. McLemore makes free throw 2 of 2,1,36-51,,
3:55.0,,,36-54,3,B. Dejean-Jones makes 3-pt shot from 24 ft (assist by J. Holiday)
3:34.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo),3,39-54,,
3:18.0,,,39-54,,Turnover by K. Perkins (step out of bounds)
3:10.0,Turnover by D. Cousins (bad pass),,39-54,,
2:56.0,,,39-54,,R. Anderson misses 3-pt shot from 25 ft
2:55.0,,,39-54,,Offensive rebound by R. Anderson
2:49.0,,,39-54,,R. Anderson misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by B. McLemore,,39-54,,
2:40.0,D. Cousins makes 2-pt shot from 19 ft,2,41-54,,
2:28.0,,,41-56,2,J. Holiday makes 2-pt shot from 1 ft (assist by N. Cole)
2:10.0,B. McLemore makes 3-pt shot from 25 ft (assist by R. Rondo),3,44-56,,
1:58.0,,,44-56,,Turnover by K. Perkins (traveling)
1:58.0,Sacramento full timeout,,44-56,,
1:58.0,W. Cauley-Stein enters the game for Q. Acy,,44-56,,
1:58.0,,,44-56,,A. Gee enters the game for B. Dejean-Jones
1:58.0,,,44-56,,T. Douglas enters the game for J. Holiday
1:47.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,46-56,,
1:31.0,,,46-56,,Turnover by T. Douglas (bad pass; steal by R. Rondo)
1:25.0,D. Collison makes 2-pt shot from 2 ft (assist by R. Rondo),2,48-56,,
1:06.0,,,48-56,,Shooting foul by W. Cauley-Stein (drawn by R. Anderson)
1:06.0,,,48-57,1,R. Anderson makes free throw 1 of 2
1:06.0,,,48-58,1,R. Anderson makes free throw 2 of 2
0:54.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,50-58,,
0:45.0,,,50-61,3,R. Anderson makes 3-pt shot from 25 ft (assist by N. Cole)
0:41.0,,,50-61,,Personal foul by K. Perkins (drawn by W. Cauley-Stein)
0:41.0,W. Cauley-Stein makes free throw 1 of 2,1,51-61,,
0:41.0,W. Cauley-Stein makes free throw 2 of 2,1,52-61,,
0:25.0,,,52-63,2,R. Anderson makes 2-pt shot from 20 ft (assist by N. Cole)
0:06.0,,,52-63,,Personal foul by N. Cole (drawn by R. Rondo)
0:06.0,R. Rondo misses free throw 1 of 2,,52-63,,
0:06.0,Offensive rebound by Team,,52-63,,
0:06.0,Q. Acy enters the game for D. Cousins,,52-63,,
0:06.0,,,52-63,,J. Holiday enters the game for K. Perkins
0:06.0,J. Anderson enters the game for B. McLemore,,52-63,,
0:06.0,R. Rondo makes free throw 2 of 2,1,53-63,,
0:01.0,,,53-63,,T. Douglas misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
0:00.0,Defensive rebound by Q. Acy,,53-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,D. Cousins misses 2-pt shot from 2 ft,,53-63,,
11:43.0,Offensive rebound by Q. Acy,,53-63,,
11:39.0,B. McLemore misses 3-pt shot from 23 ft,,53-63,,
11:39.0,,,53-63,,Defensive rebound by Team
11:30.0,,,53-66,3,B. Dejean-Jones makes 3-pt shot from 25 ft (assist by N. Cole)
