time,Houston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Noel (H. Thompson gains possession),,,,Jump ball: D. Howard vs. N. Noel (H. Thompson gains possession)
11:44.0,,,0-0,,N. Noel misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by J. Harden,,0-0,,
11:37.0,Turnover by J. Harden (lost ball; steal by R. Covington),,0-0,,
11:22.0,,,0-2,2,N. Noel makes 2-pt shot from 12 ft
11:02.0,J. Harden misses 2-pt shot from 7 ft,,0-2,,
11:01.0,Offensive rebound by D. Howard,,0-2,,
10:59.0,D. Howard makes 2-pt shot at rim,2,2-2,,
10:48.0,,,2-2,,I. Smith misses 3-pt shot from 25 ft
10:46.0,,,2-2,,Offensive rebound by N. Noel
10:40.0,,,2-4,2,N. Noel makes 2-pt shot at rim
10:25.0,D. Motiejunas misses 2-pt shot from 9 ft,,2-4,,
10:24.0,Offensive rebound by D. Howard,,2-4,,
10:20.0,T. Ariza misses 3-pt shot from 26 ft,,2-4,,
10:19.0,,,2-4,,Defensive rebound by R. Covington
10:09.0,Personal foul by D. Motiejunas,,2-4,,
10:00.0,,,2-6,2,H. Thompson makes 2-pt shot from 19 ft (assist by J. Grant)
9:47.0,Shooting foul by I. Smith (drawn by J. Harden),,2-6,,
9:47.0,J. Harden makes free throw 1 of 2,1,3-6,,
9:47.0,J. Harden makes free throw 2 of 2,1,4-6,,
9:36.0,,,4-6,,Shooting foul by D. Motiejunas (drawn by N. Noel)
9:36.0,,,4-6,,N. Noel misses free throw 1 of 2
9:36.0,,,4-6,,Offensive rebound by Team
9:36.0,M. Harrell enters the game for D. Motiejunas,,4-6,,
9:36.0,,,4-7,1,N. Noel makes free throw 2 of 2
9:21.0,P. Beverley misses 2-pt shot from 2 ft (block by N. Noel),,4-7,,
9:20.0,Offensive rebound by Team,,4-7,,
9:13.0,P. Beverley makes 2-pt shot from 17 ft,2,6-7,,
9:07.0,,,6-7,,Turnover by I. Smith (lost ball; steal by P. Beverley)
8:59.0,P. Beverley makes 3-pt shot from 25 ft (assist by T. Ariza),3,9-7,,
8:36.0,,,9-7,,H. Thompson misses 2-pt shot from 15 ft
8:35.0,Defensive rebound by D. Howard,,9-7,,
8:21.0,D. Howard misses 2-pt shot at rim,,9-7,,
8:19.0,,,9-7,,Defensive rebound by I. Smith
8:11.0,,,9-7,,R. Covington misses 3-pt shot from 24 ft
8:10.0,Defensive rebound by T. Ariza,,9-7,,
7:57.0,Turnover by P. Beverley (lost ball; steal by I. Smith),,9-7,,
7:51.0,,,9-9,2,J. Grant makes 2-pt shot at rim (assist by R. Covington)
7:50.0,Houston full timeout,,9-9,,
7:46.0,Offensive charge foul by J. Harden,,9-9,,
7:46.0,Turnover by J. Harden (offensive foul),,9-9,,
7:30.0,,,9-9,,Turnover by J. Grant (lost ball; steal by M. Harrell)
7:21.0,T. Ariza misses 2-pt shot from 9 ft (block by N. Noel),,9-9,,
7:19.0,,,9-9,,Defensive rebound by H. Thompson
7:08.0,,,9-9,,Turnover by I. Smith (lost ball; steal by P. Beverley)
6:55.0,Shooting foul by J. Grant (drawn by D. Howard),,9-9,,
6:55.0,D. Howard misses free throw 1 of 2,,9-9,,
6:55.0,Offensive rebound by Team,,9-9,,
6:55.0,D. Howard misses free throw 2 of 2,,9-9,,
6:53.0,,,9-9,,Defensive rebound by R. Covington
6:47.0,,,9-11,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Covington)
6:37.0,T. Ariza misses 3-pt shot from 25 ft,,9-11,,
6:35.0,,,9-11,,Defensive rebound by R. Covington
6:17.0,,,9-11,,Turnover by R. Covington (lost ball; steal by D. Howard)
6:06.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,12-11,,
6:00.0,,,12-13,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
5:42.0,,,12-13,,I. Canaan enters the game for H. Thompson
5:32.0,Turnover by P. Beverley (lost ball; steal by J. Grant),,12-13,,
5:31.0,Personal foul by P. Beverley,,12-13,,
5:31.0,J. Terry enters the game for P. Beverley,,12-13,,
5:31.0,C. Capela enters the game for D. Howard,,12-13,,
5:31.0,,,12-13,,R. Holmes enters the game for N. Noel
5:10.0,,,12-13,,I. Canaan misses 3-pt shot from 22 ft
5:09.0,Defensive rebound by M. Harrell,,12-13,,
4:56.0,M. Harrell makes 2-pt shot from 6 ft (assist by J. Harden),2,14-13,,
4:42.0,,,14-13,,Turnover by I. Canaan (bad pass)
4:26.0,J. Harden misses 3-pt shot from 26 ft,,14-13,,
4:24.0,,,14-13,,Defensive rebound by I. Canaan
4:16.0,,,14-16,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Canaan)
4:04.0,J. Harden makes 2-pt shot from 2 ft,2,16-16,,
4:04.0,,,16-16,,Shooting block foul by R. Holmes (drawn by J. Harden)
4:04.0,,,16-16,,C. Landry enters the game for J. Grant
4:04.0,C. Brewer enters the game for T. Ariza,,16-16,,
4:04.0,J. Harden makes free throw 1 of 1,1,17-16,,
3:57.0,,,17-16,,I. Canaan misses 2-pt shot from 3 ft
3:55.0,Defensive rebound by C. Brewer,,17-16,,
3:51.0,Turnover by J. Harden (lost ball; steal by R. Covington),,17-16,,
3:38.0,,,17-19,3,I. Canaan makes 3-pt shot from 23 ft (assist by R. Covington)
3:21.0,J. Harden misses 2-pt shot from 18 ft,,17-19,,
3:19.0,Offensive rebound by Team,,17-19,,
3:19.0,,,17-19,,T. McConnell enters the game for I. Smith
3:15.0,Turnover by J. Terry (bad pass),,17-19,,
3:15.0,,,17-19,,Philadelphia full timeout
3:03.0,Personal foul by J. Harden,,17-19,,
3:03.0,,,17-19,,N. Stauskas enters the game for R. Covington
2:54.0,Violation by Team (jump ball),,17-19,,
2:50.0,,,17-19,,Offensive foul by C. Landry
2:50.0,,,17-19,,Turnover by C. Landry (offensive foul)
2:29.0,J. Harden misses 3-pt shot from 25 ft,,17-19,,
2:27.0,Offensive rebound by C. Capela,,17-19,,
2:24.0,J. Harden misses 2-pt shot from 3 ft (block by R. Holmes),,17-19,,
2:23.0,,,17-19,,Defensive rebound by Team
2:15.0,,,17-19,,C. Landry misses 2-pt shot from 16 ft
2:15.0,,,17-19,,Offensive rebound by R. Holmes
2:15.0,,,17-19,,Shooting foul by M. Harrell (drawn by R. Holmes)
2:15.0,,,17-19,,R. Holmes misses free throw 1 of 2
2:15.0,,,17-19,,Offensive rebound by Team
2:15.0,D. Howard enters the game for J. Harden,,17-19,,
2:15.0,P. Beverley enters the game for C. Capela,,17-19,,
2:15.0,M. Beasley enters the game for M. Harrell,,17-19,,
2:15.0,,,17-19,,R. Holmes misses free throw 2 of 2
2:14.0,Defensive rebound by D. Howard,,17-19,,
2:09.0,,,17-19,,Shooting block foul by N. Stauskas (drawn by C. Brewer)
2:09.0,C. Brewer misses free throw 1 of 2,,17-19,,
2:09.0,Offensive rebound by Team,,17-19,,
2:09.0,C. Brewer misses free throw 2 of 2,,17-19,,
2:06.0,,,17-19,,Defensive rebound by C. Landry
1:50.0,,,17-19,,I. Canaan misses 3-pt shot from 26 ft
1:49.0,,,17-19,,Offensive rebound by R. Holmes
1:44.0,,,17-19,,N. Stauskas misses 3-pt shot from 25 ft
1:43.0,,,17-19,,Offensive rebound by C. Landry
1:43.0,,,17-19,,Shooting foul by M. Beasley (drawn by C. Landry)
1:43.0,,,17-20,1,C. Landry makes free throw 1 of 2
1:43.0,,,17-21,1,C. Landry makes free throw 2 of 2
1:31.0,Shooting foul by R. Holmes (drawn by D. Howard),,17-21,,
1:31.0,D. Howard makes free throw 1 of 2,1,18-21,,
1:31.0,D. Howard misses free throw 2 of 2,,18-21,,
1:30.0,,,18-21,,Defensive rebound by T. McConnell
1:08.0,,,18-21,,I. Canaan misses 2-pt shot from 4 ft
1:06.0,,,18-21,,Offensive rebound by R. Holmes
1:01.0,,,18-24,3,I. Canaan makes 3-pt shot from 24 ft (assist by T. McConnell)
0:49.0,J. Terry makes 3-pt shot from 26 ft (assist by P. Beverley),3,21-24,,
0:38.0,Personal foul by D. Howard,,21-24,,
0:38.0,,,21-25,1,C. Landry makes free throw 1 of 2
0:38.0,J. Harden enters the game for M. Beasley,,21-25,,
0:38.0,,,21-25,,R. Covington enters the game for R. Holmes
0:38.0,,,21-25,,C. Landry misses free throw 2 of 2
0:37.0,Defensive rebound by D. Howard,,21-25,,
0:35.0,Turnover by D. Howard (lost ball; steal by R. Covington),,21-25,,
0:29.0,,,21-25,,R. Covington misses 3-pt shot from 25 ft
0:28.0,,,21-25,,Offensive rebound by C. Landry
0:27.0,,,21-25,,C. Landry misses 2-pt shot from 1 ft
0:26.0,,,21-25,,Offensive rebound by C. Landry
0:06.0,,,21-27,2,T. McConnell makes 2-pt shot from 7 ft
0:00.0,P. Beverley misses 2-pt shot from 12 ft,,21-27,,
0:00.0,Offensive rebound by Team,,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Terry misses 2-pt shot from 2 ft,,21-27,,
11:43.0,Offensive rebound by D. Howard,,21-27,,
11:42.0,Shooting foul by I. Canaan (drawn by D. Howard),,21-27,,
11:42.0,D. Howard makes free throw 1 of 2,1,22-27,,
11:42.0,D. Howard misses free throw 2 of 2,,22-27,,
11:42.0,,,22-27,,Defensive rebound by Team
11:28.0,,,22-30,3,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell)
11:12.0,D. Howard makes 2-pt shot at rim (assist by J. Terry),2,24-30,,
