time,LA Clippers,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. B. Lopez (C. Paul gains possession),,,,Jump ball: D. Jordan vs. B. Lopez (C. Paul gains possession)
11:39.0,D. Jordan misses 2-pt shot from 3 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by B. Lopez
11:30.0,,,0-2,2,T. Young makes 2-pt shot from 1 ft
11:10.0,J. Redick misses 2-pt shot from 18 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by J. Jack
11:03.0,,,0-2,,T. Young misses 2-pt shot from 2 ft
11:02.0,,,0-2,,Offensive rebound by B. Lopez
11:02.0,,,0-2,,T. Young misses 2-pt shot from 2 ft
11:01.0,Defensive rebound by D. Jordan,,0-2,,
10:51.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,2-2,,
10:29.0,,,2-2,,B. Bogdanovic misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by L. Mbah a Moute,,2-2,,
10:16.0,C. Paul misses 2-pt shot from 20 ft,,2-2,,
10:14.0,,,2-2,,Defensive rebound by B. Lopez
10:05.0,,,2-4,2,J. Jack makes 2-pt shot from 11 ft
9:50.0,B. Griffin makes 2-pt shot from 2 ft (assist by J. Redick),2,4-4,,
9:27.0,,,4-6,2,T. Young makes 2-pt shot from 18 ft (assist by J. Johnson)
9:10.0,Turnover by J. Redick (bad pass),,4-6,,
8:48.0,,,4-8,2,B. Bogdanovic makes 2-pt shot from 14 ft
8:33.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,6-8,,
8:23.0,,,6-8,,Turnover by J. Jack (bad pass; steal by C. Paul)
8:18.0,C. Paul makes 2-pt shot at rim,2,8-8,,
8:01.0,,,8-8,,Turnover by J. Jack (bad pass; steal by C. Paul)
7:57.0,B. Griffin makes 2-pt shot at rim (assist by J. Redick),2,10-8,,
7:41.0,,,10-8,,B. Lopez misses 2-pt shot from 2 ft
7:40.0,Defensive rebound by C. Paul,,10-8,,
7:31.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin),2,12-8,,
7:30.0,,,12-8,,Brooklyn full timeout
7:19.0,,,12-8,,J. Jack misses 2-pt shot from 19 ft
7:17.0,Defensive rebound by B. Griffin,,12-8,,
7:11.0,Turnover by C. Paul (bad pass; steal by J. Jack),,12-8,,
7:00.0,,,12-10,2,T. Young makes 2-pt shot from 5 ft
6:43.0,C. Paul makes 2-pt shot from 18 ft (assist by D. Jordan),2,14-10,,
6:31.0,,,14-12,2,T. Young makes 2-pt shot from 18 ft (assist by J. Jack)
6:14.0,Turnover by B. Griffin (bad pass),,14-12,,
5:53.0,,,14-15,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Jack)
5:38.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,16-15,,
5:21.0,,,16-15,,J. Johnson misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by D. Jordan,,16-15,,
5:10.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,18-15,,
4:48.0,,,18-15,,B. Lopez misses 2-pt shot from 16 ft
4:47.0,Defensive rebound by B. Griffin,,18-15,,
4:36.0,C. Paul makes 2-pt shot from 17 ft,2,20-15,,
4:15.0,,,20-15,,Turnover by B. Lopez (lost ball; steal by C. Paul)
4:09.0,J. Redick misses 3-pt shot from 24 ft,,20-15,,
4:08.0,Offensive rebound by D. Jordan,,20-15,,
4:07.0,D. Jordan makes 2-pt shot at rim,2,22-15,,
4:07.0,,,22-15,,Brooklyn full timeout
4:07.0,W. Johnson enters the game for L. Mbah a Moute,,22-15,,
4:07.0,,,22-15,,S. Larkin enters the game for B. Bogdanovic
4:07.0,,,22-15,,W. Reed enters the game for B. Lopez
3:55.0,,,22-15,,Shooting foul by W. Johnson (drawn by J. Johnson)
3:55.0,,,22-15,,J. Johnson misses free throw 1 of 2
3:55.0,,,22-15,,Offensive rebound by Team
3:55.0,,,22-15,,A. Bargnani enters the game for T. Young
3:55.0,,,22-16,1,J. Johnson makes free throw 2 of 2
3:42.0,W. Johnson misses 3-pt shot from 23 ft,,22-16,,
3:41.0,,,22-16,,Defensive rebound by A. Bargnani
3:26.0,,,22-16,,Turnover by A. Bargnani (traveling)
3:19.0,C. Paul misses 2-pt shot from 17 ft,,22-16,,
3:17.0,,,22-16,,Defensive rebound by A. Bargnani
3:06.0,,,22-16,,A. Bargnani misses 2-pt shot from 19 ft
3:05.0,Defensive rebound by B. Griffin,,22-16,,
2:54.0,,,22-16,,Personal foul by S. Larkin (drawn by B. Griffin)
2:54.0,LA Clippers full timeout,,22-16,,
2:54.0,J. Smith enters the game for D. Jordan,,22-16,,
2:54.0,,,22-16,,B. Bogdanovic enters the game for J. Johnson
2:45.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,25-16,,
2:25.0,Personal foul by J. Smith (drawn by A. Bargnani),,25-16,,
2:25.0,A. Rivers enters the game for C. Paul,,25-16,,
2:25.0,,,25-16,,W. Ellington enters the game for J. Jack
2:16.0,Personal block foul by J. Smith,,25-16,,
2:09.0,,,25-16,,Turnover by W. Reed (lost ball; steal by J. Smith)
2:04.0,Turnover by J. Smith (bad pass),,25-16,,
1:54.0,,,25-16,,A. Bargnani misses 2-pt shot from 17 ft
1:52.0,Defensive rebound by J. Redick,,25-16,,
1:37.0,J. Redick misses 2-pt shot from 22 ft,,25-16,,
1:36.0,,,25-16,,Defensive rebound by A. Bargnani
1:28.0,,,25-18,2,B. Bogdanovic makes 2-pt shot from 1 ft
1:07.0,A. Rivers misses 3-pt shot from 25 ft,,25-18,,
1:06.0,Offensive rebound by J. Smith,,25-18,,
0:58.0,J. Smith misses 2-pt shot from 9 ft,,25-18,,
0:57.0,,,25-18,,Defensive rebound by A. Bargnani
0:47.0,,,25-20,2,W. Reed makes 2-pt shot from 3 ft (assist by S. Larkin)
0:40.0,,,25-20,,Personal foul by A. Bargnani (drawn by B. Griffin)
0:40.0,J. Crawford enters the game for J. Redick,,25-20,,
0:36.0,W. Johnson makes 3-pt shot from 24 ft (assist by B. Griffin),3,28-20,,
0:25.0,,,28-20,,B. Bogdanovic misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by J. Crawford,,28-20,,
0:01.0,B. Griffin misses 3-pt shot from 24 ft,,28-20,,
0:00.0,Offensive rebound by Team,,28-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,28-22,2,S. Larkin makes 2-pt shot from 1 ft
11:18.0,J. Smith misses 2-pt shot at rim,,28-22,,
11:17.0,,,28-22,,Defensive rebound by W. Ellington
11:09.0,,,28-22,,W. Ellington misses 2-pt shot from 21 ft
11:08.0,,,28-22,,Offensive rebound by B. Bogdanovic
10:59.0,,,28-22,,Turnover by S. Larkin (lost ball; steal by J. Smith)
10:46.0,Turnover by J. Crawford (bad pass; steal by S. Larkin),,28-22,,
10:39.0,,,28-22,,B. Bogdanovic misses 2-pt shot from 1 ft
10:38.0,Defensive rebound by J. Smith,,28-22,,
10:24.0,,,28-22,,Personal foul by S. Larkin (drawn by W. Johnson)
10:24.0,D. Jordan enters the game for J. Smith,,28-22,,
10:24.0,,,28-22,,B. Lopez enters the game for A. Bargnani
10:20.0,J. Crawford misses 3-pt shot from 24 ft,,28-22,,
10:19.0,,,28-22,,Defensive rebound by S. Larkin
10:04.0,,,28-22,,Turnover by B. Lopez (lost ball; steal by A. Rivers)
10:03.0,,,28-22,,Personal foul by B. Bogdanovic (drawn by W. Johnson)
10:03.0,,,28-22,,J. Jack enters the game for S. Larkin
10:03.0,,,28-22,,M. Brown enters the game for W. Ellington
9:50.0,J. Crawford makes 2-pt shot from 4 ft,2,30-22,,
9:42.0,,,30-24,2,M. Brown makes 2-pt shot from 20 ft (assist by J. Jack)
9:24.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,32-24,,
9:11.0,,,32-24,,Shooting foul by P. Pierce (drawn by M. Brown)
9:11.0,,,32-25,1,M. Brown makes free throw 1 of 2
9:11.0,L. Stephenson enters the game for W. Johnson,,32-25,,
9:11.0,,,32-26,1,M. Brown makes free throw 2 of 2
8:53.0,P. Pierce makes 2-pt shot from 10 ft,2,34-26,,
8:37.0,,,34-26,,T. Young misses 2-pt shot from 8 ft
8:36.0,Defensive rebound by D. Jordan,,34-26,,
8:30.0,A. Rivers makes 2-pt shot from 1 ft,2,36-26,,
8:14.0,,,36-26,,B. Lopez misses 2-pt shot from 18 ft
8:13.0,Defensive rebound by A. Rivers,,36-26,,
8:08.0,,,36-26,,Personal foul by T. Young (drawn by A. Rivers)
8:08.0,Official timeout,,36-26,,
8:08.0,,,36-26,,J. Johnson enters the game for B. Bogdanovic
7:59.0,P. Pierce makes 3-pt shot from 24 ft (assist by A. Rivers),3,39-26,,
7:45.0,,,39-26,,J. Jack misses 2-pt shot from 14 ft
7:43.0,Defensive rebound by D. Jordan,,39-26,,
7:36.0,P. Pierce misses 3-pt shot from 24 ft,,39-26,,
7:35.0,,,39-26,,Defensive rebound by B. Lopez
7:17.0,,,39-26,,M. Brown misses 2-pt shot from 21 ft
7:16.0,,,39-26,,Offensive rebound by B. Lopez
7:04.0,,,39-26,,M. Brown misses 3-pt shot from 23 ft
7:03.0,Defensive rebound by A. Rivers,,39-26,,
6:53.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Crawford),3,42-26,,
6:44.0,,,42-26,,Brooklyn full timeout
6:44.0,,,42-26,,D. Sloan enters the game for J. Jack
6:44.0,,,42-26,,B. Bogdanovic enters the game for T. Young
6:29.0,,,42-28,2,M. Brown makes 2-pt shot from 3 ft (assist by J. Johnson)
6:16.0,,,42-28,,Personal foul by D. Sloan (drawn by D. Jordan)
6:16.0,C. Paul enters the game for A. Rivers,,42-28,,
6:16.0,B. Griffin enters the game for P. Pierce,,42-28,,
6:05.0,B. Griffin misses 2-pt shot from 19 ft,,42-28,,
6:04.0,,,42-28,,Defensive rebound by B. Bogdanovic
5:50.0,,,42-28,,J. Johnson misses 2-pt shot from 21 ft
5:49.0,Defensive rebound by D. Jordan,,42-28,,
5:33.0,J. Crawford misses 3-pt shot from 25 ft,,42-28,,
5:32.0,,,42-28,,Defensive rebound by Team
5:32.0,Loose ball foul by D. Jordan (drawn by B. Lopez),,42-28,,
5:20.0,,,42-28,,Turnover by B. Lopez (lost ball; steal by D. Jordan)
5:19.0,,,42-28,,Personal foul by B. Lopez (drawn by D. Jordan)
5:19.0,D. Jordan makes free throw 1 of 2,1,43-28,,
5:19.0,D. Jordan misses free throw 2 of 2,,43-28,,
5:18.0,,,43-28,,Defensive rebound by B. Bogdanovic
5:00.0,Violation by D. Jordan (def goaltending),,43-28,,
5:00.0,,,43-30,2,J. Johnson makes 2-pt shot from 7 ft
4:40.0,Turnover by B. Griffin (bad pass; steal by B. Bogdanovic),,43-30,,
4:24.0,,,43-32,2,B. Lopez makes 2-pt shot from 5 ft
3:59.0,C. Paul misses 2-pt shot at rim (block by B. Lopez),,43-32,,
3:58.0,Offensive rebound by B. Griffin,,43-32,,
3:55.0,B. Griffin misses 2-pt shot from 6 ft,,43-32,,
3:54.0,,,43-32,,Defensive rebound by B. Lopez
3:47.0,,,43-32,,Shooting foul by L. Stephenson (drawn by B. Bogdanovic)
3:47.0,,,43-33,1,B. Bogdanovic makes free throw 1 of 2
3:47.0,J. Redick enters the game for L. Stephenson,,43-33,,
3:47.0,,,43-33,,B. Bogdanovic misses free throw 2 of 2
3:46.0,,,43-33,,Offensive rebound by J. Johnson
3:37.0,,,43-33,,B. Bogdanovic misses 3-pt shot from 25 ft
3:35.0,,,43-33,,Offensive rebound by B. Lopez
3:34.0,,,43-33,,B. Lopez misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by J. Redick,,43-33,,
3:31.0,LA Clippers full timeout,,43-33,,
3:21.0,B. Griffin makes 2-pt shot from 3 ft (assist by J. Redick),2,45-33,,
3:05.0,,,45-33,,J. Johnson misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by D. Jordan,,45-33,,
2:57.0,C. Paul misses 2-pt shot from 14 ft,,45-33,,
2:56.0,,,45-33,,Defensive rebound by J. Johnson
2:49.0,,,45-33,,Shooting foul by J. Crawford (drawn by B. Lopez)
2:49.0,,,45-34,1,B. Lopez makes free throw 1 of 2
2:49.0,,,45-34,,J. Jack enters the game for D. Sloan
2:49.0,,,45-34,,T. Young enters the game for M. Brown
2:49.0,,,45-35,1,B. Lopez makes free throw 2 of 2
2:36.0,J. Crawford makes 3-pt shot from 23 ft (assist by C. Paul),3,48-35,,
2:11.0,,,48-35,,J. Jack misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by D. Jordan,,48-35,,
2:06.0,Turnover by C. Paul (bad pass),,48-35,,
2:06.0,W. Johnson enters the game for J. Crawford,,48-35,,
1:55.0,Personal foul by J. Redick (drawn by B. Bogdanovic),,48-35,,
1:55.0,,,48-36,1,B. Bogdanovic makes free throw 1 of 2
1:55.0,,,48-37,1,B. Bogdanovic makes free throw 2 of 2
1:46.0,,,48-37,,Flagrant foul type 1 by T. Young (drawn by J. Redick)
1:46.0,Technical foul by D. Jordan,,48-37,,
1:46.0,,,48-38,1,J. Jack makes technical free throw
1:46.0,J. Redick misses flagrant free throw 1 of 2,,48-38,,
1:46.0,Offensive rebound by Team,,48-38,,
1:46.0,J. Redick makes flagrant free throw 2 of 2,1,49-38,,
1:34.0,J. Redick makes 3-pt shot from 23 ft,3,52-38,,
1:18.0,,,52-38,,B. Bogdanovic misses 2-pt shot from 2 ft
1:17.0,Defensive rebound by B. Griffin,,52-38,,
1:04.0,Turnover by C. Paul (bad pass; steal by B. Lopez),,52-38,,
1:00.0,Personal foul by J. Redick (drawn by B. Bogdanovic),,52-38,,
1:00.0,,,52-39,1,B. Bogdanovic makes free throw 1 of 2
1:00.0,,,52-40,1,B. Bogdanovic makes free throw 2 of 2
0:46.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,55-40,,
0:41.0,,,55-40,,T. Young misses 2-pt shot from 6 ft
0:40.0,,,55-40,,Offensive rebound by B. Lopez
0:39.0,,,55-40,,B. Lopez misses 2-pt shot at rim
