time,LA Clippers,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Mozgov (J. Redick gains possession),,,,Jump ball: D. Jordan vs. T. Mozgov (J. Redick gains possession)
11:43.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,2-0,,
11:26.0,Def 3 sec tech foul by P. Pierce,,2-0,,
11:26.0,,,2-1,1,K. Irving makes technical free throw
11:18.0,,,2-3,2,K. Irving makes 2-pt shot from 1 ft
11:18.0,,,2-3,,Violation by Team (delay of game)
11:04.0,J. Redick makes 2-pt shot from 15 ft (assist by C. Paul),2,4-3,,
10:50.0,,,4-6,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
10:40.0,D. Jordan misses 2-pt shot from 6 ft (block by T. Mozgov),,4-6,,
10:39.0,Offensive rebound by D. Jordan,,4-6,,
10:33.0,J. Redick makes 2-pt shot from 21 ft,2,6-6,,
10:12.0,,,6-6,,K. Love misses 3-pt shot from 23 ft
10:11.0,Defensive rebound by J. Redick,,6-6,,
9:53.0,,,6-6,,Personal foul by K. Irving (drawn by C. Paul)
9:44.0,J. Redick misses 2-pt shot from 21 ft,,6-6,,
9:43.0,,,6-6,,Defensive rebound by K. Love
9:31.0,,,6-9,3,J. Smith makes 3-pt shot from 25 ft
9:18.0,,,6-9,,Personal foul by J. Smith (drawn by J. Redick)
9:13.0,Turnover by D. Jordan (lost ball; steal by T. Mozgov),,6-9,,
9:08.0,,,6-11,2,L. James makes 2-pt shot at rim (assist by T. Mozgov)
8:52.0,Shooting foul by T. Mozgov (drawn by L. Mbah a Moute),,6-11,,
8:52.0,L. Mbah a Moute makes free throw 1 of 2,1,7-11,,
8:52.0,L. Mbah a Moute makes free throw 2 of 2,1,8-11,,
8:39.0,,,8-11,,Offensive charge foul by K. Love
8:39.0,,,8-11,,Turnover by K. Love (offensive foul)
8:33.0,Turnover by C. Paul (bad pass; steal by T. Mozgov),,8-11,,
