time,Atlanta,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Horford (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Horford (S. Ibaka gains possession)
11:44.0,,,0-0,,Turnover by K. Durant (bad pass; steal by T. Sefolosha)
11:37.0,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague),3,3-0,,
11:12.0,,,3-0,,A. Roberson misses 3-pt shot from 22 ft
11:12.0,Defensive rebound by A. Horford,,3-0,,
10:57.0,Shooting foul by K. Durant (drawn by T. Sefolosha),,3-0,,
10:57.0,T. Sefolosha makes free throw 1 of 2,1,4-0,,
10:57.0,T. Sefolosha misses free throw 2 of 2,,4-0,,
10:56.0,,,4-0,,Defensive rebound by K. Durant
10:42.0,,,4-0,,Turnover by A. Roberson (bad pass; steal by T. Sefolosha)
10:39.0,Turnover by T. Sefolosha (bad pass; steal by R. Westbrook),,4-0,,
10:19.0,,,4-2,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:04.0,T. Sefolosha makes 2-pt shot at rim,2,6-2,,
9:47.0,,,6-4,2,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook)
9:33.0,T. Sefolosha makes 2-pt shot from 12 ft (assist by K. Korver),2,8-4,,
9:19.0,,,8-6,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
9:00.0,A. Horford misses 2-pt shot from 12 ft,,8-6,,
8:59.0,,,8-6,,Defensive rebound by K. Durant
8:49.0,,,8-8,2,S. Ibaka makes 2-pt shot from 15 ft (assist by K. Durant)
8:27.0,A. Horford misses 3-pt shot from 23 ft,,8-8,,
8:26.0,,,8-8,,Defensive rebound by S. Ibaka
8:14.0,,,8-10,2,S. Ibaka makes 2-pt shot from 11 ft (assist by K. Durant)
7:58.0,Turnover by K. Korver (bad pass; steal by R. Westbrook),,8-10,,
7:50.0,,,8-10,,S. Ibaka misses 3-pt shot from 22 ft
7:49.0,,,8-10,,Offensive rebound by A. Roberson
7:42.0,,,8-12,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant)
7:41.0,Atlanta full timeout,,8-12,,
7:24.0,Turnover by T. Sefolosha (bad pass),,8-12,,
7:08.0,,,8-14,2,K. Durant makes 2-pt shot from 10 ft
6:42.0,P. Millsap misses 3-pt shot from 23 ft,,8-14,,
6:42.0,,,8-14,,Defensive rebound by S. Adams
6:21.0,,,8-17,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
5:56.0,J. Teague makes 2-pt shot from 16 ft,2,10-17,,
5:43.0,,,10-17,,Turnover by K. Durant (bad pass)
5:43.0,M. Muscala enters the game for A. Horford,,10-17,,
5:43.0,K. Bazemore enters the game for K. Korver,,10-17,,
5:43.0,,,10-17,,D. Waiters enters the game for S. Adams
5:29.0,J. Teague makes 2-pt shot from 19 ft,2,12-17,,
5:12.0,,,12-17,,S. Ibaka misses 2-pt shot from 5 ft
5:12.0,Defensive rebound by J. Teague,,12-17,,
5:04.0,Shooting foul by R. Westbrook (drawn by P. Millsap),,12-17,,
5:04.0,P. Millsap misses free throw 1 of 2,,12-17,,
5:04.0,Offensive rebound by Team,,12-17,,
5:04.0,P. Millsap misses free throw 2 of 2,,12-17,,
5:03.0,,,12-17,,Defensive rebound by A. Roberson
4:48.0,,,12-20,3,D. Waiters makes 3-pt shot from 23 ft (assist by K. Durant)
4:22.0,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague),3,15-20,,
4:09.0,,,15-20,,Shooting foul by J. Teague (drawn by R. Westbrook)
4:09.0,,,15-20,,R. Westbrook misses free throw 1 of 2
4:09.0,,,15-20,,Offensive rebound by Team
4:09.0,D. Schroder enters the game for J. Teague,,15-20,,
4:09.0,,,15-20,,A. Morrow enters the game for A. Roberson
4:09.0,,,15-21,1,R. Westbrook makes free throw 2 of 2
3:57.0,,,15-21,,Personal foul by D. Waiters (drawn by K. Bazemore)
3:42.0,M. Muscala makes 2-pt shot from 5 ft (assist by P. Millsap),2,17-21,,
3:31.0,,,17-21,,Shooting foul by M. Muscala (drawn by S. Ibaka)
3:31.0,,,17-22,1,S. Ibaka makes free throw 1 of 2
3:31.0,,,17-23,1,S. Ibaka makes free throw 2 of 2
3:16.0,D. Schroder misses 3-pt shot from 24 ft,,17-23,,
3:16.0,Offensive rebound by M. Muscala,,17-23,,
3:13.0,Turnover by M. Muscala (lost ball; steal by R. Westbrook),,17-23,,
3:07.0,,,17-26,3,R. Westbrook makes 3-pt shot from 24 ft
2:51.0,M. Muscala makes 2-pt shot from 4 ft (assist by P. Millsap),2,19-26,,
2:39.0,Personal foul by K. Bazemore (drawn by K. Durant),,19-26,,
2:39.0,,,19-26,,Oklahoma City full timeout
2:39.0,,,19-26,,N. Collison enters the game for K. Durant
2:39.0,,,19-26,,E. Kanter enters the game for S. Ibaka
2:39.0,K. Korver enters the game for T. Sefolosha,,19-26,,
2:39.0,A. Horford enters the game for P. Millsap,,19-26,,
2:32.0,,,19-28,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
2:19.0,D. Schroder misses 2-pt shot from 17 ft,,19-28,,
2:19.0,,,19-28,,Defensive rebound by N. Collison
2:10.0,,,19-28,,E. Kanter misses 2-pt shot from 1 ft (block by D. Schroder)
2:09.0,,,19-28,,Offensive rebound by E. Kanter
2:08.0,,,19-30,2,E. Kanter makes 2-pt shot from 2 ft
1:52.0,K. Bazemore makes 3-pt shot from 23 ft (assist by M. Muscala),3,22-30,,
1:29.0,,,22-30,,R. Westbrook misses 2-pt shot from 11 ft
1:28.0,,,22-30,,Offensive rebound by N. Collison
1:17.0,,,22-30,,Turnover by D. Waiters (lost ball; steal by D. Schroder)
1:14.0,Turnover by D. Schroder (bad pass),,22-30,,
1:04.0,,,22-30,,E. Kanter misses 2-pt shot at rim (block by M. Muscala)
1:03.0,Defensive rebound by A. Horford,,22-30,,
1:00.0,K. Korver makes 3-pt shot from 22 ft (assist by K. Bazemore),3,25-30,,
0:50.0,,,25-33,3,R. Westbrook makes 3-pt shot from 24 ft
0:35.0,K. Bazemore makes 2-pt shot from 1 ft,2,27-33,,
0:29.0,,,27-35,2,R. Westbrook makes 2-pt shot from 18 ft
0:12.0,Shooting foul by D. Waiters (drawn by D. Schroder),,27-35,,
0:12.0,D. Schroder makes free throw 1 of 2,1,28-35,,
0:12.0,D. Schroder misses free throw 2 of 2,,28-35,,
0:12.0,,,28-35,,Defensive rebound by N. Collison
0:00.0,,,28-35,,D. Waiters misses 2-pt shot from 17 ft
0:00.0,,,28-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,K. Korver misses 3-pt shot from 24 ft,,28-35,,
11:49.0,,,28-35,,Defensive rebound by E. Kanter
11:31.0,,,28-35,,A. Morrow misses 2-pt shot from 16 ft
11:30.0,Defensive rebound by D. Schroder,,28-35,,
11:18.0,D. Schroder misses 2-pt shot at rim,,28-35,,
11:18.0,,,28-35,,Defensive rebound by Team
11:18.0,Loose ball foul by D. Schroder (drawn by E. Kanter),,28-35,,
11:08.0,Personal foul by P. Millsap (drawn by E. Kanter),,28-35,,
11:06.0,,,28-35,,Turnover by E. Kanter (bad pass; steal by P. Millsap)
10:50.0,K. Bazemore makes 2-pt shot from 1 ft,2,30-35,,
10:35.0,,,30-35,,D. Waiters misses 2-pt shot from 2 ft (block by P. Millsap)
10:35.0,,,30-35,,Offensive rebound by Team
10:35.0,,,30-35,,A. Roberson enters the game for A. Morrow
10:32.0,,,30-35,,D. Waiters misses 3-pt shot from 24 ft
10:31.0,,,30-35,,Offensive rebound by E. Kanter
10:22.0,,,30-35,,Shooting foul by K. Korver (drawn by D. Augustin)
10:22.0,,,30-36,1,D. Augustin makes free throw 1 of 2
10:22.0,,,30-37,1,D. Augustin makes free throw 2 of 2
10:09.0,D. Schroder misses 2-pt shot from 1 ft,,30-37,,
10:08.0,,,30-37,,Defensive rebound by E. Kanter
10:01.0,,,30-39,2,D. Waiters makes 2-pt shot from 1 ft
9:49.0,P. Millsap makes 2-pt shot from 3 ft (assist by A. Horford),2,32-39,,
9:32.0,,,32-39,,D. Waiters misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by P. Millsap,,32-39,,
9:25.0,Shooting foul by N. Collison (drawn by P. Millsap),,32-39,,
9:25.0,P. Millsap misses free throw 1 of 2,,32-39,,
9:25.0,Offensive rebound by Team,,32-39,,
9:25.0,,,32-39,,K. Durant enters the game for D. Waiters
9:25.0,,,32-39,,S. Ibaka enters the game for N. Collison
9:25.0,,,32-39,,S. Adams enters the game for E. Kanter
9:25.0,T. Sefolosha enters the game for K. Bazemore,,32-39,,
9:25.0,P. Millsap misses free throw 2 of 2,,32-39,,
9:24.0,,,32-39,,Defensive rebound by A. Roberson
9:09.0,,,32-39,,Turnover by A. Roberson (bad pass)
8:49.0,D. Schroder makes 2-pt shot at rim,2,34-39,,
8:36.0,,,34-39,,Shooting foul by D. Schroder (drawn by D. Augustin)
8:36.0,Official timeout,,34-39,,
8:36.0,M. Muscala enters the game for A. Horford,,34-39,,
8:36.0,J. Teague enters the game for D. Schroder,,34-39,,
8:36.0,,,34-40,1,D. Augustin makes free throw 1 of 2
8:36.0,,,34-40,,D. Augustin misses free throw 2 of 2
8:34.0,Defensive rebound by J. Teague,,34-40,,
8:08.0,Turnover by Team (shot clock),,34-40,,
7:44.0,,,34-43,3,K. Durant makes 3-pt shot from 25 ft (assist by A. Roberson)
7:30.0,,,34-43,,Def 3 sec tech foul by S. Ibaka
7:30.0,J. Teague makes technical free throw,1,35-43,,
7:30.0,D. Schroder enters the game for K. Korver,,35-43,,
7:22.0,J. Teague makes 2-pt shot from 1 ft,2,37-43,,
6:58.0,,,37-45,2,S. Ibaka makes 2-pt shot from 12 ft (assist by K. Durant)
6:47.0,M. Muscala makes 2-pt shot from 14 ft (assist by J. Teague),2,39-45,,
6:47.0,,,39-45,,Oklahoma City full timeout
6:47.0,,,39-45,,R. Westbrook enters the game for A. Roberson
6:47.0,,,39-45,,D. Waiters enters the game for D. Augustin
6:24.0,,,39-45,,D. Waiters misses 2-pt shot from 7 ft
6:23.0,,,39-45,,Offensive rebound by S. Adams
6:23.0,,,39-45,,S. Adams misses 2-pt shot from 2 ft
6:21.0,Defensive rebound by P. Millsap,,39-45,,
5:54.0,D. Schroder misses 3-pt shot from 24 ft,,39-45,,
5:54.0,,,39-45,,Defensive rebound by S. Ibaka
5:49.0,,,39-47,2,K. Durant makes 2-pt shot from 2 ft (assist by R. Westbrook)
5:26.0,M. Muscala misses 2-pt shot from 15 ft,,39-47,,
5:25.0,,,39-47,,Defensive rebound by R. Westbrook
5:17.0,,,39-47,,Turnover by S. Ibaka (bad pass; steal by T. Sefolosha)
5:00.0,T. Sefolosha misses 3-pt shot from 22 ft,,39-47,,
4:59.0,,,39-47,,Defensive rebound by S. Adams
4:47.0,,,39-47,,S. Ibaka misses 2-pt shot from 18 ft
4:46.0,,,39-47,,Offensive rebound by S. Adams
4:46.0,,,39-49,2,S. Adams makes 2-pt shot from 1 ft
4:32.0,Turnover by D. Schroder (bad pass; steal by K. Durant),,39-49,,
4:27.0,,,39-51,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
4:27.0,Atlanta full timeout,,39-51,,
4:27.0,A. Horford enters the game for P. Millsap,,39-51,,
4:27.0,K. Bazemore enters the game for M. Muscala,,39-51,,
4:27.0,K. Korver enters the game for D. Schroder,,39-51,,
4:10.0,J. Teague misses 2-pt shot from 2 ft,,39-51,,
4:09.0,,,39-51,,Defensive rebound by Team
3:52.0,,,39-51,,K. Durant misses 2-pt shot from 14 ft
3:51.0,Defensive rebound by A. Horford,,39-51,,
3:39.0,K. Korver misses 3-pt shot from 23 ft,,39-51,,
3:39.0,,,39-51,,Defensive rebound by S. Ibaka
3:23.0,,,39-53,2,R. Westbrook makes 2-pt shot from 9 ft (assist by K. Durant)
3:06.0,A. Horford misses 2-pt shot from 20 ft,,39-53,,
3:06.0,,,39-53,,Defensive rebound by K. Durant
2:54.0,,,39-53,,D. Waiters misses 2-pt shot from 16 ft
2:54.0,,,39-53,,Offensive rebound by Team
2:54.0,Personal foul by K. Korver (drawn by S. Ibaka),,39-53,,
