time,Washington,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gortat (K. Durant gains possession),,,,Jump ball: S. Adams vs. M. Gortat (K. Durant gains possession)
11:41.0,,,0-2,2,S. Ibaka makes 2-pt shot from 8 ft (assist by R. Westbrook)
11:20.0,M. Gortat makes 2-pt shot at rim (assist by J. Dudley),2,2-2,,
11:00.0,,,2-4,2,R. Westbrook makes 2-pt shot from 9 ft
10:46.0,Turnover by M. Gortat (lost ball),,2-4,,
10:34.0,,,2-6,2,R. Westbrook makes 2-pt shot from 3 ft
10:22.0,G. Temple makes 2-pt shot from 21 ft (assist by J. Dudley),2,4-6,,
10:06.0,,,4-6,,K. Durant misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by Team,,4-6,,
9:43.0,M. Gortat makes 2-pt shot from 4 ft,2,6-6,,
9:31.0,,,6-8,2,K. Durant makes 2-pt shot from 4 ft (assist by R. Westbrook)
9:15.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,8-8,,
9:01.0,,,8-8,,Turnover by K. Durant (bad pass; steal by O. Porter)
8:57.0,Turnover by J. Wall (lost ball),,8-8,,
8:47.0,,,8-11,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Ibaka)
8:40.0,Turnover by J. Wall (bad pass; steal by S. Adams),,8-11,,
8:25.0,,,8-11,,D. Waiters misses 2-pt shot from 16 ft
8:25.0,Defensive rebound by J. Dudley,,8-11,,
8:18.0,J. Wall makes 2-pt shot at rim,2,10-11,,
7:54.0,,,10-13,2,K. Durant makes 2-pt shot from 8 ft
7:39.0,O. Porter makes 2-pt shot at rim (assist by J. Dudley),2,12-13,,
7:27.0,,,12-15,2,R. Westbrook makes 2-pt shot from 4 ft
7:19.0,J. Dudley misses 3-pt shot from 22 ft,,12-15,,
7:18.0,,,12-15,,Defensive rebound by K. Durant
7:09.0,,,12-17,2,K. Durant makes 2-pt shot from 10 ft
6:55.0,Turnover by J. Dudley (bad pass; steal by D. Waiters),,12-17,,
6:46.0,,,12-17,,D. Waiters misses 2-pt shot from 1 ft
6:45.0,,,12-17,,Offensive rebound by D. Waiters
6:42.0,,,12-20,3,S. Ibaka makes 3-pt shot from 22 ft (assist by D. Waiters)
6:37.0,Washington full timeout,,12-20,,
6:23.0,M. Gortat misses 2-pt shot from 14 ft,,12-20,,
6:22.0,,,12-20,,Defensive rebound by Team
6:14.0,,,12-20,,S. Ibaka misses 2-pt shot from 15 ft
6:13.0,Defensive rebound by G. Temple,,12-20,,
6:02.0,J. Wall misses 2-pt shot from 18 ft,,12-20,,
6:01.0,,,12-20,,Defensive rebound by R. Westbrook
5:49.0,,,12-22,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
5:36.0,O. Porter misses 3-pt shot from 25 ft,,12-22,,
5:36.0,,,12-22,,Defensive rebound by D. Waiters
5:28.0,,,12-24,2,D. Waiters makes 2-pt shot at rim
5:17.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,14-24,,
5:03.0,,,14-24,,Turnover by K. Durant (traveling)
5:03.0,B. Beal enters the game for O. Porter,,14-24,,
4:43.0,M. Gortat misses 2-pt shot from 9 ft,,14-24,,
4:42.0,,,14-24,,Defensive rebound by R. Westbrook
4:22.0,,,14-24,,S. Adams misses 2-pt shot from 5 ft
4:21.0,,,14-24,,Offensive rebound by S. Ibaka
4:21.0,,,14-26,2,S. Ibaka makes 2-pt shot from 1 ft
4:15.0,G. Temple misses 2-pt shot from 2 ft,,14-26,,
4:14.0,,,14-26,,Defensive rebound by S. Ibaka
3:49.0,,,14-26,,D. Waiters misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by B. Beal,,14-26,,
3:39.0,B. Beal misses 2-pt shot from 10 ft,,14-26,,
3:38.0,,,14-26,,Defensive rebound by R. Westbrook
3:29.0,,,14-28,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
3:29.0,,,14-28,,Shooting foul by B. Beal (drawn by S. Ibaka)
3:29.0,,,14-28,,K. Singler enters the game for D. Waiters
3:29.0,N. Hilario enters the game for M. Gortat,,14-28,,
3:29.0,,,14-28,,S. Ibaka misses free throw 1 of 1
3:28.0,Defensive rebound by N. Hilario,,14-28,,
3:08.0,J. Dudley makes 3-pt shot from 25 ft (assist by B. Beal),3,17-28,,
2:59.0,,,17-28,,Turnover by R. Westbrook (bad pass)
2:59.0,,,17-28,,Oklahoma City full timeout
2:59.0,,,17-28,,D. Waiters enters the game for S. Ibaka
2:40.0,N. Hilario makes 2-pt shot from 2 ft,2,19-28,,
2:16.0,Violation by J. Dudley (kicked ball),,19-28,,
2:16.0,,,19-28,,E. Kanter enters the game for S. Adams
2:09.0,,,19-30,2,R. Westbrook makes 2-pt shot from 2 ft
1:53.0,,,19-30,,Personal foul by K. Durant (drawn by J. Dudley)
1:42.0,N. Hilario misses 2-pt shot from 6 ft,,19-30,,
1:41.0,,,19-30,,Defensive rebound by R. Westbrook
1:35.0,,,19-30,,E. Kanter misses 2-pt shot at rim
1:35.0,,,19-30,,Offensive rebound by Team
1:35.0,,,19-30,,Turnover by E. Kanter (traveling)
1:35.0,,,19-30,,C. Payne enters the game for R. Westbrook
1:35.0,D. Gooden enters the game for J. Dudley,,19-30,,
1:24.0,J. Wall makes 2-pt shot at rim,2,21-30,,
1:08.0,,,21-32,2,E. Kanter makes 2-pt shot from 14 ft (assist by C. Payne)
0:58.0,J. Wall makes 2-pt shot at rim,2,23-32,,
0:41.0,,,23-32,,C. Payne misses 2-pt shot from 1 ft
0:41.0,,,23-32,,Offensive rebound by K. Singler
0:41.0,,,23-34,2,K. Singler makes 2-pt shot from 1 ft
0:32.0,Turnover by J. Wall (lost ball; steal by C. Payne),,23-34,,
0:15.0,,,23-36,2,E. Kanter makes 2-pt shot from 14 ft (assist by D. Waiters)
0:02.0,J. Wall makes 2-pt shot from 5 ft,2,25-36,,
0:02.0,Shooting foul by C. Payne (drawn by J. Wall),,25-36,,
0:02.0,J. Wall makes free throw 1 of 1,1,26-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
