time,Chicago,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Noah (D. Rose gains possession),,,,Jump ball: R. Lopez vs. J. Noah (D. Rose gains possession)
11:36.0,J. Butler makes 2-pt shot from 14 ft (assist by D. Rose),2,2-0,,
11:19.0,,,2-0,,J. Calderon misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by T. Snell,,2-0,,
11:01.0,T. Gibson makes 2-pt shot from 17 ft,2,4-0,,
10:45.0,,,4-0,,Turnover by R. Lopez (lost ball; steal by J. Noah)
10:39.0,T. Snell misses 2-pt shot at rim,,4-0,,
10:37.0,Offensive rebound by J. Noah,,4-0,,
10:37.0,J. Noah makes 2-pt shot from 1 ft,2,6-0,,
10:16.0,,,6-2,2,C. Anthony makes 2-pt shot from 10 ft
10:02.0,Shooting foul by R. Lopez (drawn by J. Noah),,6-2,,
10:02.0,J. Noah makes free throw 1 of 2,1,7-2,,
10:02.0,J. Noah misses free throw 2 of 2,,7-2,,
10:02.0,,,7-2,,Defensive rebound by A. Afflalo
9:48.0,,,7-2,,Turnover by A. Afflalo (bad pass; steal by J. Butler)
9:37.0,D. Rose misses 2-pt shot from 10 ft,,7-2,,
9:35.0,Offensive rebound by D. Rose,,7-2,,
9:32.0,J. Noah misses 2-pt shot from 1 ft (block by K. Porzingis),,7-2,,
9:30.0,Offensive rebound by J. Noah,,7-2,,
9:25.0,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah),3,10-2,,
9:05.0,,,10-2,,C. Anthony misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by T. Snell,,10-2,,
8:54.0,J. Noah makes 2-pt shot from 2 ft (assist by J. Butler),2,12-2,,
8:48.0,,,12-2,,New York full timeout
8:35.0,,,12-5,3,A. Afflalo makes 3-pt shot from 25 ft (assist by J. Calderon)
8:21.0,Turnover by D. Rose (lost ball),,12-5,,
8:07.0,,,12-5,,A. Afflalo misses 2-pt shot from 14 ft
8:05.0,Defensive rebound by J. Noah,,12-5,,
7:52.0,T. Gibson misses 2-pt shot from 6 ft,,12-5,,
7:51.0,,,12-5,,Defensive rebound by R. Lopez
7:40.0,,,12-5,,C. Anthony misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by J. Noah,,12-5,,
7:30.0,D. Rose misses 2-pt shot from 2 ft,,12-5,,
7:28.0,,,12-5,,Defensive rebound by A. Afflalo
7:24.0,,,12-7,2,C. Anthony makes 2-pt shot from 1 ft (assist by A. Afflalo)
7:11.0,J. Butler misses 2-pt shot from 12 ft,,12-7,,
7:09.0,,,12-7,,Defensive rebound by K. Porzingis
6:54.0,,,12-9,2,R. Lopez makes 2-pt shot from 1 ft (assist by C. Anthony)
6:52.0,Chicago full timeout,,12-9,,
6:41.0,Shooting foul by K. Porzingis (drawn by J. Butler),,12-9,,
6:41.0,J. Butler makes free throw 1 of 2,1,13-9,,
6:41.0,K. Hinrich enters the game for D. Rose,,13-9,,
6:41.0,J. Butler makes free throw 2 of 2,1,14-9,,
6:21.0,,,14-9,,J. Calderon misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by T. Gibson,,14-9,,
6:06.0,J. Butler misses 2-pt shot from 18 ft,,14-9,,
6:04.0,,,14-9,,Defensive rebound by J. Calderon
5:47.0,,,14-9,,C. Anthony misses 2-pt shot from 13 ft
5:45.0,Defensive rebound by T. Snell,,14-9,,
5:30.0,T. Gibson makes 2-pt shot from 13 ft (assist by J. Noah),2,16-9,,
5:09.0,,,16-9,,A. Afflalo misses 2-pt shot from 4 ft
5:06.0,Defensive rebound by K. Hinrich,,16-9,,
4:52.0,Turnover by J. Noah (lost ball; steal by K. Porzingis),,16-9,,
4:43.0,,,16-9,,K. Porzingis misses 3-pt shot from 24 ft
4:41.0,,,16-9,,Offensive rebound by C. Anthony
4:40.0,,,16-11,2,C. Anthony makes 2-pt shot from 1 ft
4:18.0,,,16-11,,Personal foul by A. Afflalo (drawn by T. Gibson)
4:18.0,,,16-11,,K. O'Quinn enters the game for R. Lopez
4:18.0,N. Mirotic enters the game for T. Gibson,,16-11,,
4:18.0,D. McDermott enters the game for T. Snell,,16-11,,
4:18.0,,,16-11,,L. Thomas enters the game for K. Porzingis
4:11.0,D. McDermott misses 2-pt shot from 18 ft,,16-11,,
4:09.0,,,16-11,,Defensive rebound by K. O'Quinn
3:56.0,,,16-11,,J. Calderon misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by K. Hinrich,,16-11,,
3:46.0,N. Mirotic misses 3-pt shot from 24 ft,,16-11,,
3:44.0,,,16-11,,Defensive rebound by K. O'Quinn
3:33.0,,,16-11,,Shooting foul by K. Hinrich (drawn by J. Calderon)
3:33.0,,,16-12,1,J. Calderon makes free throw 1 of 2
3:33.0,,,16-13,1,J. Calderon makes free throw 2 of 2
3:23.0,K. Hinrich misses 3-pt shot from 25 ft,,16-13,,
3:21.0,,,16-13,,Defensive rebound by Team
3:21.0,,,16-13,,L. Galloway enters the game for J. Calderon
3:02.0,,,16-15,2,L. Thomas makes 2-pt shot from 5 ft
2:51.0,Turnover by K. Hinrich (bad pass),,16-15,,
2:45.0,,,16-15,,Offensive foul by K. O'Quinn
2:45.0,,,16-15,,Turnover by K. O'Quinn (offensive foul)
2:24.0,K. Hinrich misses 2-pt shot from 18 ft,,16-15,,
2:22.0,,,16-15,,Defensive rebound by C. Anthony
2:16.0,,,16-17,2,C. Anthony makes 2-pt shot from 2 ft
2:00.0,J. Noah misses 2-pt shot from 18 ft,,16-17,,
1:58.0,,,16-17,,Defensive rebound by A. Afflalo
1:39.0,,,16-17,,L. Galloway misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by N. Mirotic,,16-17,,
1:30.0,Turnover by J. Butler (lost ball; steal by L. Thomas),,16-17,,
1:21.0,,,16-20,3,L. Thomas makes 3-pt shot from 23 ft (assist by L. Galloway)
1:07.0,D. McDermott misses 3-pt shot from 23 ft,,16-20,,
1:05.0,,,16-20,,Defensive rebound by K. O'Quinn
0:55.0,,,16-22,2,C. Anthony makes 2-pt shot from 1 ft
0:45.0,J. Noah makes 2-pt shot from 1 ft (assist by K. Hinrich),2,18-22,,
0:20.0,,,18-25,3,C. Anthony makes 3-pt shot from 25 ft
0:01.0,J. Butler misses 2-pt shot from 2 ft,,18-25,,
0:00.0,Offensive rebound by Team,,18-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
