time,Denver,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Lauvergne (J. Harden gains possession),,,,Jump ball: C. Capela vs. J. Lauvergne (J. Harden gains possession)
11:38.0,,,0-0,,C. Capela misses 2-pt shot from 3 ft (block by K. Faried)
11:38.0,,,0-0,,Offensive rebound by Team
11:33.0,,,0-0,,T. Ariza misses 2-pt shot from 14 ft
11:32.0,Defensive rebound by K. Faried,,0-0,,
11:17.0,D. Gallinari misses 2-pt shot from 21 ft,,0-0,,
11:16.0,Offensive rebound by Team,,0-0,,
10:59.0,G. Harris makes 2-pt shot at rim (assist by E. Mudiay),2,2-0,,
10:47.0,,,2-0,,Offensive foul by T. Jones
10:47.0,,,2-0,,Turnover by T. Jones (offensive foul)
10:29.0,G. Harris misses 3-pt shot from 22 ft,,2-0,,
10:29.0,,,2-0,,Defensive rebound by T. Lawson
10:21.0,,,2-0,,T. Ariza misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by K. Faried,,2-0,,
10:12.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,4-0,,
9:44.0,,,4-0,,T. Jones misses 2-pt shot from 7 ft
9:43.0,,,4-0,,Offensive rebound by C. Capela
9:42.0,,,4-0,,C. Capela misses 2-pt shot at rim (block by K. Faried)
9:40.0,Defensive rebound by D. Gallinari,,4-0,,
9:32.0,D. Gallinari makes 2-pt shot at rim (assist by J. Lauvergne),2,6-0,,
9:16.0,Shooting block foul by J. Lauvergne (drawn by J. Harden),,6-0,,
9:16.0,,,6-1,1,J. Harden makes free throw 1 of 2
9:16.0,,,6-1,,J. Harden misses free throw 2 of 2
9:16.0,Defensive rebound by J. Lauvergne,,6-1,,
8:59.0,D. Gallinari misses 2-pt shot from 22 ft,,6-1,,
8:58.0,Offensive rebound by J. Lauvergne,,6-1,,
8:57.0,J. Lauvergne makes 2-pt shot from 2 ft,2,8-1,,
8:42.0,,,8-1,,T. Jones misses 2-pt shot from 2 ft (block by D. Gallinari)
8:42.0,,,8-1,,Offensive rebound by Team
8:33.0,,,8-1,,J. Harden misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by D. Gallinari,,8-1,,
8:22.0,Turnover by K. Faried (bad pass; steal by T. Ariza),,8-1,,
8:20.0,,,8-1,,Turnover by T. Ariza (bad pass; steal by G. Harris)
8:16.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,10-1,,
8:15.0,,,10-1,,Houston full timeout
8:05.0,,,10-1,,J. Harden misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by D. Gallinari,,10-1,,
7:49.0,,,10-1,,Shooting block foul by T. Jones (drawn by D. Gallinari)
7:49.0,D. Gallinari makes free throw 1 of 2,1,11-1,,
7:49.0,,,11-1,,M. Harrell enters the game for T. Jones
7:49.0,D. Gallinari makes free throw 2 of 2,1,12-1,,
7:28.0,,,12-4,3,T. Lawson makes 3-pt shot from 24 ft (assist by J. Harden)
7:17.0,Shooting foul by M. Harrell (drawn by K. Faried),,12-4,,
7:17.0,K. Faried makes free throw 1 of 2,1,13-4,,
7:17.0,K. Faried misses free throw 2 of 2,,13-4,,
7:17.0,Offensive rebound by J. Lauvergne,,13-4,,
7:11.0,Turnover by E. Mudiay (bad pass; steal by C. Capela),,13-4,,
7:04.0,,,13-7,3,T. Ariza makes 3-pt shot from 25 ft (assist by T. Lawson)
6:42.0,K. Faried makes 2-pt shot from 10 ft,2,15-7,,
6:33.0,,,15-7,,T. Lawson misses 2-pt shot from 11 ft
6:31.0,,,15-7,,Offensive rebound by C. Capela
6:26.0,,,15-7,,T. Ariza misses 2-pt shot at rim
6:21.0,Defensive rebound by G. Harris,,15-7,,
6:18.0,J. Lauvergne makes 2-pt shot at rim (assist by G. Harris),2,17-7,,
6:03.0,,,17-9,2,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden)
5:51.0,Turnover by E. Mudiay (offensive foul),,17-9,,
5:51.0,Offensive charge foul by E. Mudiay,,17-9,,
5:51.0,,,17-9,,C. Brewer enters the game for C. Capela
5:51.0,,,17-9,,P. Beverley enters the game for T. Lawson
5:38.0,,,17-12,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
5:19.0,Turnover by E. Mudiay (lost ball; steal by P. Beverley),,17-12,,
5:10.0,,,17-12,,J. Harden misses 2-pt shot from 3 ft
5:09.0,Defensive rebound by E. Mudiay,,17-12,,
5:06.0,E. Mudiay misses 2-pt shot at rim (block by C. Brewer),,17-12,,
5:03.0,,,17-12,,Defensive rebound by P. Beverley
4:59.0,,,17-12,,T. Ariza misses 3-pt shot from 25 ft
4:58.0,,,17-12,,Offensive rebound by M. Harrell
4:55.0,Personal foul by D. Gallinari (drawn by C. Brewer),,17-12,,
4:43.0,,,17-12,,C. Brewer misses 2-pt shot from 10 ft
4:42.0,Defensive rebound by J. Lauvergne,,17-12,,
4:27.0,E. Mudiay makes 3-pt shot from 25 ft (assist by D. Gallinari),3,20-12,,
4:12.0,,,20-12,,C. Brewer misses 2-pt shot from 2 ft
4:10.0,Defensive rebound by K. Faried,,20-12,,
4:00.0,J. Lauvergne makes 2-pt shot from 15 ft (assist by G. Harris),2,22-12,,
3:33.0,,,22-12,,J. Harden misses 2-pt shot from 1 ft
3:31.0,Defensive rebound by K. Faried,,22-12,,
3:29.0,Turnover by J. Lauvergne (offensive foul),,22-12,,
3:29.0,Offensive charge foul by J. Lauvergne,,22-12,,
3:29.0,J. Nelson enters the game for E. Mudiay,,22-12,,
3:29.0,W. Barton enters the game for J. Lauvergne,,22-12,,
3:29.0,,,22-12,,T. Lawson enters the game for T. Ariza
3:22.0,,,22-12,,Shooting foul by G. Harris (drawn by T. Lawson)
3:22.0,,,22-12,,T. Lawson misses free throw 1 of 2
3:22.0,,,22-12,,Offensive rebound by Team
3:22.0,,,22-13,1,T. Lawson makes free throw 2 of 2
3:09.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Nelson),3,25-13,,
2:54.0,,,25-13,,P. Beverley misses 3-pt shot from 22 ft
2:54.0,Defensive rebound by Team,,25-13,,
2:54.0,Denver full timeout,,25-13,,
2:54.0,R. Foye enters the game for K. Faried,,25-13,,
2:54.0,D. Arthur enters the game for G. Harris,,25-13,,
2:41.0,W. Barton misses 2-pt shot from 22 ft,,25-13,,
2:41.0,,,25-13,,Defensive rebound by P. Beverley
2:27.0,,,25-13,,Turnover by C. Brewer (bad pass; steal by W. Barton)
2:20.0,J. Nelson misses 3-pt shot from 24 ft,,25-13,,
2:18.0,Offensive rebound by D. Gallinari,,25-13,,
2:18.0,D. Gallinari misses 2-pt shot from 1 ft,,25-13,,
2:16.0,,,25-13,,Defensive rebound by C. Brewer
2:14.0,,,25-13,,C. Brewer misses 2-pt shot from 2 ft
2:08.0,Defensive rebound by W. Barton,,25-13,,
2:08.0,,,25-13,,Personal block foul by P. Beverley (drawn by D. Arthur)
2:05.0,Offensive foul by D. Arthur,,25-13,,
2:05.0,Turnover by D. Arthur (offensive foul),,25-13,,
1:57.0,,,25-15,2,M. Harrell makes 2-pt shot at rim (assist by T. Lawson)
1:36.0,R. Foye misses 3-pt shot from 26 ft,,25-15,,
1:35.0,Offensive rebound by W. Barton,,25-15,,
1:19.0,D. Gallinari misses 2-pt shot from 3 ft,,25-15,,
1:17.0,,,25-15,,Defensive rebound by M. Harrell
1:02.0,,,25-17,2,M. Harrell makes 2-pt shot from 2 ft (assist by T. Lawson)
0:52.0,W. Barton makes 2-pt shot at rim (assist by J. Nelson),2,27-17,,
0:41.0,,,27-19,2,J. Harden makes 2-pt shot from 1 ft
0:32.0,Turnover by J. Nelson (bad pass; steal by P. Beverley),,27-19,,
0:27.0,,,27-21,2,M. Harrell makes 2-pt shot from 1 ft (assist by P. Beverley)
0:06.0,D. Arthur misses 2-pt shot from 2 ft (block by J. Harden),,27-21,,
0:03.0,,,27-21,,Defensive rebound by T. Lawson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Nelson makes 2-pt shot from 15 ft (assist by D. Arthur),2,29-21,,
11:35.0,,,29-24,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Lawson)
11:20.0,Turnover by R. Foye (step out of bounds),,29-24,,
11:05.0,,,29-27,3,T. Lawson makes 3-pt shot from 25 ft (assist by M. Harrell)
10:48.0,W. Barton misses 3-pt shot from 24 ft,,29-27,,
10:47.0,,,29-27,,Defensive rebound by P. Beverley
10:38.0,Personal foul by J. Nelson (drawn by M. Harrell),,29-27,,
10:23.0,,,29-27,,T. Lawson misses 2-pt shot from 9 ft
10:20.0,Defensive rebound by J. Nelson,,29-27,,
10:15.0,Shooting foul by M. Harrell (drawn by E. Mudiay),,29-27,,
10:15.0,E. Mudiay misses free throw 1 of 2,,29-27,,
10:15.0,Offensive rebound by Team,,29-27,,
10:15.0,,,29-27,,J. Terry enters the game for P. Beverley
10:15.0,E. Mudiay makes free throw 2 of 2,1,30-27,,
9:50.0,,,30-27,,J. Terry misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by R. Foye,,30-27,,
9:37.0,E. Mudiay misses 2-pt shot from 16 ft,,30-27,,
9:36.0,Offensive rebound by D. Arthur,,30-27,,
9:36.0,D. Arthur misses 2-pt shot from 1 ft,,30-27,,
9:34.0,,,30-27,,Defensive rebound by M. Harrell
9:13.0,,,30-27,,T. Ariza misses 3-pt shot from 23 ft
9:12.0,Defensive rebound by R. Foye,,30-27,,
9:00.0,D. Arthur makes 2-pt shot from 2 ft (assist by E. Mudiay),2,32-27,,
8:49.0,,,32-27,,Turnover by T. Lawson (bad pass)
8:49.0,Denver full timeout,,32-27,,
8:49.0,,,32-27,,C. Capela enters the game for M. Harrell
8:49.0,N. Jokic enters the game for W. Barton,,32-27,,
8:29.0,D. Arthur makes 3-pt shot from 23 ft (assist by E. Mudiay),3,35-27,,
8:16.0,,,35-27,,T. Jones misses 2-pt shot from 3 ft (block by D. Arthur)
8:14.0,Defensive rebound by J. Nelson,,35-27,,
8:04.0,R. Foye misses 3-pt shot from 26 ft,,35-27,,
8:04.0,Offensive rebound by Team,,35-27,,
8:04.0,,,35-27,,Loose ball foul by C. Capela (drawn by N. Jokic)
7:51.0,E. Mudiay misses 3-pt shot from 25 ft,,35-27,,
7:49.0,,,35-27,,Defensive rebound by C. Capela
7:38.0,,,35-29,2,T. Jones makes 2-pt shot from 5 ft (assist by T. Lawson)
7:18.0,Turnover by J. Nelson (bad pass; steal by T. Ariza),,35-29,,
7:13.0,,,35-31,2,T. Jones makes 2-pt shot at rim (assist by T. Ariza)
7:13.0,Denver full timeout,,35-31,,
7:13.0,G. Harris enters the game for J. Nelson,,35-31,,
7:13.0,K. Faried enters the game for D. Arthur,,35-31,,
