time,Charlotte,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. C. Zeller (K. Lowry gains possession),,,,Jump ball: J. Valanciunas vs. C. Zeller (K. Lowry gains possession)
11:41.0,,,0-0,,L. Scola misses 2-pt shot from 4 ft (block by C. Zeller)
11:39.0,,,0-0,,Offensive rebound by J. Valanciunas
11:35.0,,,0-2,2,J. Valanciunas makes 2-pt shot at rim
11:25.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,2-2,,
11:06.0,,,2-2,,K. Lowry misses 2-pt shot from 16 ft
11:06.0,Defensive rebound by M. Williams,,2-2,,
10:59.0,N. Batum makes 2-pt shot from 16 ft,2,4-2,,
10:33.0,,,4-2,,Shooting foul by C. Zeller (drawn by J. Valanciunas)
10:33.0,,,4-3,1,J. Valanciunas makes free throw 1 of 2
10:33.0,,,4-4,1,J. Valanciunas makes free throw 2 of 2
10:20.0,N. Batum misses 2-pt shot from 17 ft,,4-4,,
10:18.0,,,4-4,,Defensive rebound by L. Scola
9:56.0,,,4-4,,D. DeRozan misses 2-pt shot from 4 ft
9:55.0,,,4-4,,Offensive rebound by L. Scola
9:53.0,,,4-4,,L. Scola misses 2-pt shot from 1 ft
9:52.0,,,4-4,,Offensive rebound by L. Scola
9:50.0,,,4-4,,L. Scola misses 2-pt shot from 1 ft (block by M. Williams)
9:49.0,Defensive rebound by C. Zeller,,4-4,,
9:45.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,6-4,,
9:33.0,,,6-4,,Turnover by D. DeRozan (bad pass; steal by K. Walker)
9:27.0,C. Zeller misses 2-pt shot from 1 ft,,6-4,,
9:26.0,,,6-4,,Defensive rebound by D. Carroll
9:13.0,,,6-7,3,D. DeRozan makes 3-pt shot from 23 ft (assist by K. Lowry)
8:54.0,P. Hairston makes 2-pt shot from 19 ft,2,8-7,,
8:34.0,,,8-9,2,K. Lowry makes 2-pt shot at rim (assist by J. Valanciunas)
8:22.0,M. Williams misses 3-pt shot from 24 ft,,8-9,,
8:21.0,,,8-9,,Defensive rebound by K. Lowry
8:10.0,,,8-9,,K. Lowry misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by M. Williams,,8-9,,
8:06.0,Turnover by M. Williams (bad pass; steal by D. DeRozan),,8-9,,
7:50.0,,,8-12,3,L. Scola makes 3-pt shot from 22 ft (assist by K. Lowry)
7:42.0,Charlotte full timeout,,8-12,,
7:42.0,Violation by Team (delay of game),,8-12,,
7:29.0,N. Batum misses 2-pt shot from 15 ft,,8-12,,
7:28.0,Offensive rebound by C. Zeller,,8-12,,
7:23.0,K. Walker misses 3-pt shot from 23 ft,,8-12,,
7:22.0,,,8-12,,Defensive rebound by L. Scola
7:16.0,,,8-12,,Turnover by K. Lowry (bad pass; steal by K. Walker)
7:09.0,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker),2,10-12,,
6:53.0,,,10-15,3,D. Carroll makes 3-pt shot from 23 ft (assist by J. Valanciunas)
6:32.0,K. Walker misses 2-pt shot from 14 ft,,10-15,,
6:32.0,,,10-15,,Defensive rebound by J. Valanciunas
6:25.0,,,10-15,,L. Scola misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by P. Hairston,,10-15,,
6:14.0,Shooting foul by D. DeRozan (drawn by C. Zeller),,10-15,,
6:14.0,C. Zeller makes free throw 1 of 2,1,11-15,,
6:14.0,C. Zeller makes free throw 2 of 2,1,12-15,,
5:56.0,,,12-15,,Turnover by K. Lowry (bad pass)
5:48.0,,,12-15,,Personal foul by L. Scola (drawn by C. Zeller)
5:42.0,N. Batum makes 3-pt shot from 24 ft,3,15-15,,
5:18.0,,,15-18,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan)
4:58.0,M. Williams makes 3-pt shot from 23 ft (assist by C. Zeller),3,18-18,,
4:43.0,,,18-20,2,D. DeRozan makes 2-pt shot from 2 ft
4:35.0,Charlotte full timeout,,18-20,,
4:35.0,,,18-20,,T. Ross enters the game for D. Carroll
4:35.0,F. Kaminsky enters the game for M. Williams,,18-20,,
4:22.0,Shooting foul by J. Valanciunas (drawn by C. Zeller),,18-20,,
4:22.0,C. Zeller misses free throw 1 of 2,,18-20,,
4:22.0,Offensive rebound by Team,,18-20,,
4:22.0,,,18-20,,P. Patterson enters the game for L. Scola
4:22.0,C. Zeller makes free throw 2 of 2,1,19-20,,
4:03.0,,,19-22,2,D. DeRozan makes 2-pt shot from 16 ft
3:46.0,F. Kaminsky misses 3-pt shot from 24 ft,,19-22,,
3:45.0,Offensive rebound by C. Zeller,,19-22,,
3:39.0,K. Walker misses 3-pt shot from 23 ft,,19-22,,
3:38.0,Offensive rebound by P. Hairston,,19-22,,
3:33.0,P. Hairston misses 2-pt shot from 1 ft,,19-22,,
3:32.0,,,19-22,,Defensive rebound by J. Valanciunas
3:29.0,,,19-22,,Turnover by K. Lowry (bad pass)
3:29.0,J. Lamb enters the game for N. Batum,,19-22,,
3:29.0,,,19-22,,B. Biyombo enters the game for J. Valanciunas
3:11.0,J. Lamb makes 3-pt shot from 22 ft (assist by K. Walker),3,22-22,,
2:52.0,,,22-22,,P. Patterson misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by P. Hairston,,22-22,,
2:43.0,K. Walker misses 2-pt shot from 8 ft,,22-22,,
2:42.0,Offensive rebound by C. Zeller,,22-22,,
2:39.0,C. Zeller misses 2-pt shot from 4 ft,,22-22,,
2:38.0,,,22-22,,Defensive rebound by B. Biyombo
2:33.0,,,22-22,,D. DeRozan misses 2-pt shot from 1 ft
2:33.0,,,22-22,,Offensive rebound by Team
