time,Orlando,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Vucevic,,,,Jump ball: D. Howard vs. N. Vucevic
12:00.0,Violation by Team (jump ball),,0-0,,
11:55.0,,,0-0,,Turnover by T. Lawson (back court)
11:38.0,Turnover by T. Harris (bad pass; steal by M. Thornton),,0-0,,
11:32.0,,,0-2,2,M. Thornton makes 2-pt shot from 2 ft
11:19.0,N. Vucevic misses 2-pt shot from 20 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by T. Lawson
11:08.0,,,0-2,,J. Harden misses 2-pt shot from 2 ft
11:08.0,,,0-2,,Offensive rebound by D. Howard
11:02.0,,,0-2,,T. Ariza misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by T. Harris,,0-2,,
10:56.0,E. Fournier makes 2-pt shot from 2 ft (assist by T. Harris),2,2-2,,
10:41.0,,,2-2,,Turnover by J. Harden (bad pass)
10:21.0,T. Harris makes 2-pt shot from 5 ft (assist by E. Fournier),2,4-2,,
10:05.0,,,4-2,,M. Thornton misses 2-pt shot from 15 ft
10:05.0,,,4-2,,Offensive rebound by M. Thornton
9:58.0,,,4-4,2,D. Howard makes 2-pt shot from 2 ft (assist by T. Lawson)
9:58.0,,,4-4,,Shooting foul by E. Payton (drawn by D. Howard)
9:58.0,,,4-5,1,D. Howard makes free throw 1 of 1
9:47.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,6-5,,
9:41.0,Personal foul by N. Vucevic (drawn by D. Howard),,6-5,,
9:21.0,,,6-8,3,M. Thornton makes 3-pt shot from 25 ft (assist by T. Lawson)
9:05.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton),2,8-8,,
8:55.0,,,8-8,,Turnover by J. Harden (bad pass; steal by E. Payton)
8:50.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,10-8,,
8:36.0,,,10-10,2,D. Howard makes 2-pt shot at rim (assist by T. Lawson)
8:13.0,T. Harris makes 2-pt shot from 8 ft,2,12-10,,
7:51.0,,,12-12,2,T. Ariza makes 2-pt shot from 16 ft (assist by T. Lawson)
7:31.0,E. Payton makes 2-pt shot from 6 ft,2,14-12,,
7:21.0,,,14-12,,M. Thornton misses 2-pt shot from 10 ft
7:20.0,,,14-12,,Offensive rebound by D. Howard
7:14.0,,,14-14,2,D. Howard makes 2-pt shot from 2 ft
6:53.0,E. Fournier misses 2-pt shot from 21 ft,,14-14,,
6:52.0,,,14-14,,Defensive rebound by D. Howard
6:47.0,,,14-14,,Shooting foul by E. Payton (drawn by J. Harden)
6:47.0,,,14-15,1,J. Harden makes free throw 1 of 2
6:47.0,,,14-15,,C. Capela enters the game for D. Howard
6:47.0,C. Watson enters the game for E. Payton,,14-15,,
6:47.0,,,14-16,1,J. Harden makes free throw 2 of 2
6:29.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,17-16,,
6:14.0,,,17-16,,T. Ariza misses 3-pt shot from 23 ft
6:14.0,Defensive rebound by N. Vucevic,,17-16,,
