time,Dallas,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Parsons vs. C. Zeller (K. Walker gains possession),,,,Jump ball: C. Parsons vs. C. Zeller (K. Walker gains possession)
11:42.0,,,0-0,,M. Williams misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by R. Felton,,0-0,,
11:22.0,C. Parsons makes 3-pt shot from 25 ft (assist by R. Felton),3,3-0,,
11:03.0,,,3-0,,M. Williams misses 3-pt shot from 22 ft
11:02.0,Defensive rebound by D. Nowitzki,,3-0,,
10:42.0,D. Williams misses 3-pt shot from 30 ft,,3-0,,
10:41.0,,,3-0,,Defensive rebound by M. Williams
10:26.0,,,3-0,,Turnover by M. Williams (lost ball; steal by R. Felton)
10:18.0,Turnover by W. Matthews (lost ball; steal by C. Lee),,3-0,,
10:17.0,Personal foul by W. Matthews,,3-0,,
10:08.0,,,3-0,,C. Lee misses 2-pt shot from 15 ft
10:07.0,,,3-0,,Offensive rebound by C. Zeller
10:05.0,,,3-0,,Turnover by N. Batum (offensive goaltending)
9:56.0,D. Williams makes 2-pt shot at rim,2,5-0,,
9:40.0,,,5-0,,K. Walker misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by W. Matthews,,5-0,,
9:32.0,W. Matthews misses 2-pt shot from 16 ft,,5-0,,
9:31.0,,,5-0,,Defensive rebound by C. Zeller
9:20.0,,,5-0,,K. Walker misses 2-pt shot from 13 ft
9:18.0,,,5-0,,Offensive rebound by C. Zeller
9:16.0,,,5-0,,C. Zeller misses 2-pt shot from 1 ft (block by D. Williams)
9:16.0,Defensive rebound by Team,,5-0,,
9:00.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by R. Felton),2,7-0,,
8:47.0,,,7-2,2,N. Batum makes 2-pt shot from 16 ft
8:47.0,,,7-2,,Shooting foul by D. Williams (drawn by N. Batum)
8:47.0,,,7-2,,N. Batum misses free throw 1 of 1
8:45.0,Defensive rebound by D. Nowitzki,,7-2,,
8:32.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by C. Parsons),2,9-2,,
8:18.0,,,9-5,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
7:56.0,R. Felton makes 2-pt shot from 9 ft,2,11-5,,
7:40.0,,,11-7,2,M. Williams makes 2-pt shot from 8 ft (assist by N. Batum)
7:31.0,R. Felton misses 2-pt shot from 2 ft,,11-7,,
7:30.0,Offensive rebound by R. Felton,,11-7,,
7:30.0,,,11-7,,Personal foul by C. Zeller
