time,Orlando,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: N. Noel vs. N. Vucevic (A. Gordon gains possession)
11:46.0,N. Vucevic makes 2-pt shot from 9 ft,2,2-0,,
11:25.0,,,2-2,2,R. Covington makes 2-pt shot from 6 ft
11:10.0,Shooting foul by N. Noel (drawn by N. Vucevic),,2-2,,
11:10.0,N. Vucevic makes free throw 1 of 2,1,3-2,,
11:10.0,N. Vucevic makes free throw 2 of 2,1,4-2,,
10:53.0,,,4-2,,I. Smith misses 2-pt shot from 10 ft
10:52.0,Defensive rebound by A. Gordon,,4-2,,
10:47.0,V. Oladipo makes 2-pt shot from 16 ft (assist by A. Gordon),2,6-2,,
10:31.0,,,6-4,2,J. Okafor makes 2-pt shot from 14 ft (assist by I. Smith)
10:19.0,A. Gordon misses 2-pt shot from 1 ft,,6-4,,
10:18.0,Offensive rebound by A. Gordon,,6-4,,
10:18.0,A. Gordon misses 2-pt shot from 1 ft,,6-4,,
10:16.0,,,6-4,,Defensive rebound by R. Covington
10:06.0,,,6-4,,J. Okafor misses 2-pt shot from 4 ft
10:04.0,Defensive rebound by A. Gordon,,6-4,,
9:59.0,A. Gordon makes 2-pt shot from 2 ft,2,8-4,,
9:46.0,,,8-4,,N. Noel misses 2-pt shot at rim
9:45.0,Defensive rebound by N. Vucevic,,8-4,,
9:39.0,A. Gordon misses 3-pt shot from 27 ft,,8-4,,
9:38.0,,,8-4,,Defensive rebound by N. Noel
9:28.0,,,8-4,,I. Smith misses 2-pt shot from 6 ft
9:28.0,,,8-4,,Offensive rebound by Team
9:13.0,,,8-4,,Turnover by N. Noel (lost ball; steal by A. Gordon)
9:10.0,,,8-4,,Personal foul by I. Smith (drawn by V. Oladipo)
9:10.0,V. Oladipo makes free throw 1 of 2,1,9-4,,
9:10.0,V. Oladipo makes free throw 2 of 2,1,10-4,,
8:51.0,,,10-4,,I. Smith misses 2-pt shot from 1 ft (block by N. Vucevic)
8:51.0,,,10-4,,Offensive rebound by Team
8:50.0,,,10-4,,Turnover by N. Stauskas (step out of bounds)
8:37.0,N. Vucevic makes 2-pt shot from 13 ft (assist by E. Payton),2,12-4,,
8:31.0,,,12-4,,Philadelphia full timeout
8:21.0,,,12-4,,Shooting foul by A. Gordon (drawn by N. Noel)
8:21.0,,,12-5,1,N. Noel makes free throw 1 of 2
8:21.0,,,12-6,1,N. Noel makes free throw 2 of 2
8:11.0,,,12-6,,Personal foul by N. Noel (drawn by N. Vucevic)
8:02.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton),2,14-6,,
7:45.0,,,14-9,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith)
7:33.0,,,14-9,,Personal foul by I. Smith (drawn by E. Payton)
7:27.0,E. Fournier misses 2-pt shot from 22 ft,,14-9,,
7:25.0,,,14-9,,Defensive rebound by N. Noel
7:11.0,,,14-9,,T. McConnell enters the game for I. Smith
7:03.0,,,14-9,,N. Noel misses 2-pt shot from 2 ft (block by A. Gordon)
7:01.0,Defensive rebound by N. Vucevic,,14-9,,
6:56.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,16-9,,
6:56.0,Violation by Team (delay of game),,16-9,,
6:39.0,,,16-9,,N. Stauskas misses 3-pt shot from 23 ft
6:37.0,Defensive rebound by A. Gordon,,16-9,,
6:32.0,Turnover by A. Gordon (lost ball; steal by T. McConnell),,16-9,,
6:29.0,,,16-9,,Turnover by R. Covington (lost ball; steal by A. Gordon)
6:28.0,,,16-9,,Violation by N. Noel (kicked ball)
6:28.0,,,16-9,,H. Thompson enters the game for N. Stauskas
6:28.0,,,16-9,,J. Grant enters the game for N. Noel
6:18.0,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,18-9,,
6:01.0,,,18-11,2,J. Okafor makes 2-pt shot at rim (assist by R. Covington)
5:45.0,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic),2,20-11,,
5:36.0,,,20-14,3,H. Thompson makes 3-pt shot from 23 ft (assist by T. McConnell)
5:22.0,N. Vucevic misses 2-pt shot from 7 ft,,20-14,,
5:21.0,,,20-14,,Defensive rebound by J. Grant
5:12.0,,,20-14,,Turnover by T. McConnell (bad pass; steal by A. Gordon)
5:12.0,,,20-14,,Loose ball foul by J. Grant (drawn by A. Gordon)
5:12.0,,,20-14,,I. Canaan enters the game for R. Covington
5:12.0,B. Jennings enters the game for E. Payton,,20-14,,
5:12.0,A. Gordon misses free throw 1 of 2,,20-14,,
5:12.0,Offensive rebound by Team,,20-14,,
5:12.0,A. Gordon makes free throw 2 of 2,1,21-14,,
4:54.0,,,21-16,2,J. Okafor makes 2-pt shot from 5 ft
