time,LA Lakers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. K. Towns (K. Martin gains possession),,,,Jump ball: R. Hibbert vs. K. Towns (K. Martin gains possession)
11:48.0,,,0-0,,A. Wiggins misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by R. Hibbert,,0-0,,
11:29.0,Turnover by K. Bryant (bad pass; steal by K. Garnett),,0-0,,
11:24.0,,,0-2,2,K. Martin makes 2-pt shot at rim (assist by R. Rubio)
11:12.0,L. Nance misses 2-pt shot from 17 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by K. Martin
11:01.0,,,0-4,2,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio)
10:39.0,L. Nance misses 2-pt shot from 4 ft (block by K. Towns),,0-4,,
10:37.0,,,0-4,,Defensive rebound by K. Towns
10:25.0,,,0-6,2,K. Towns makes 2-pt shot from 18 ft (assist by K. Garnett)
10:13.0,,,0-6,,Personal foul by R. Rubio (drawn by J. Clarkson)
10:05.0,K. Bryant makes 2-pt shot from 18 ft,2,2-6,,
9:53.0,,,2-6,,A. Wiggins misses 2-pt shot from 17 ft
9:51.0,Defensive rebound by J. Clarkson,,2-6,,
9:40.0,J. Clarkson makes 2-pt shot from 14 ft (assist by L. Nance),2,4-6,,
9:27.0,,,4-6,,K. Towns misses 2-pt shot from 5 ft
9:25.0,Defensive rebound by J. Clarkson,,4-6,,
9:20.0,J. Clarkson makes 2-pt shot at rim,2,6-6,,
9:00.0,,,6-8,2,K. Martin makes 2-pt shot from 16 ft (assist by K. Garnett)
8:48.0,,,6-8,,Personal foul by K. Martin
8:41.0,J. Clarkson misses 3-pt shot from 24 ft,,6-8,,
8:40.0,,,6-8,,Defensive rebound by K. Towns
8:30.0,,,6-8,,A. Wiggins misses 2-pt shot from 12 ft
8:28.0,Defensive rebound by J. Clarkson,,6-8,,
8:20.0,Turnover by K. Bryant (lost ball; steal by R. Rubio),,6-8,,
8:19.0,Personal foul by K. Bryant (drawn by R. Rubio),,6-8,,
8:07.0,,,6-8,,Shooting foul by J. Clarkson (drawn by R. Rubio)
8:07.0,,,6-9,1,R. Rubio makes free throw 1 of 2
8:07.0,,,6-10,1,R. Rubio makes free throw 2 of 2
8:03.0,Turnover by J. Clarkson (bad pass; steal by K. Martin),,6-10,,
7:58.0,,,6-10,,K. Martin misses 2-pt shot from 13 ft
7:55.0,Defensive rebound by L. Williams,,6-10,,
7:52.0,K. Bryant makes 3-pt shot from 24 ft (assist by L. Williams),3,9-10,,
7:36.0,,,9-10,,K. Towns misses 2-pt shot from 1 ft
7:34.0,,,9-10,,Offensive rebound by K. Garnett
7:31.0,,,9-13,3,K. Martin makes 3-pt shot from 24 ft (assist by K. Garnett)
7:16.0,L. Nance makes 2-pt shot from 18 ft (assist by L. Williams),2,11-13,,
6:51.0,,,11-15,2,K. Towns makes 2-pt shot from 5 ft
6:28.0,K. Bryant makes 2-pt shot from 15 ft,2,13-15,,
6:13.0,,,13-17,2,K. Towns makes 2-pt shot from 11 ft (assist by R. Rubio)
5:59.0,L. Williams makes 2-pt shot from 10 ft,2,15-17,,
5:52.0,,,15-17,,Minnesota full timeout
5:52.0,,,15-17,,N. Bjelica enters the game for K. Garnett
5:41.0,,,15-19,2,A. Wiggins makes 2-pt shot from 10 ft
5:29.0,Shooting foul by K. Towns (drawn by L. Williams),,15-19,,
5:29.0,L. Williams misses free throw 1 of 2,,15-19,,
5:29.0,Offensive rebound by Team,,15-19,,
5:29.0,L. Williams makes free throw 2 of 2,1,16-19,,
5:18.0,,,16-21,2,A. Wiggins makes 2-pt shot from 18 ft (assist by K. Martin)
4:54.0,J. Clarkson makes 2-pt shot from 1 ft,2,18-21,,
4:38.0,,,18-23,2,K. Towns makes 2-pt shot from 12 ft (assist by R. Rubio)
4:24.0,J. Clarkson makes 2-pt shot at rim (assist by R. Hibbert),2,20-23,,
4:12.0,,,20-23,,K. Towns misses 2-pt shot from 11 ft
4:08.0,,,20-23,,Offensive rebound by N. Bjelica
4:04.0,,,20-25,2,A. Wiggins makes 2-pt shot from 18 ft
3:51.0,K. Bryant misses 3-pt shot from 25 ft,,20-25,,
3:50.0,,,20-25,,Defensive rebound by K. Towns
3:43.0,,,20-25,,Shooting foul by R. Hibbert (drawn by K. Towns)
3:43.0,,,20-26,1,K. Towns makes free throw 1 of 2
3:43.0,D. Russell enters the game for L. Williams,,20-26,,
3:43.0,N. Young enters the game for K. Bryant,,20-26,,
3:43.0,,,20-26,,Z. LaVine enters the game for R. Rubio
3:43.0,,,20-26,,K. Towns misses free throw 2 of 2
3:43.0,Defensive rebound by R. Hibbert,,20-26,,
3:27.0,J. Randle enters the game for R. Hibbert,,20-26,,
3:21.0,J. Randle misses 2-pt shot from 4 ft,,20-26,,
3:19.0,Offensive rebound by J. Randle,,20-26,,
3:19.0,J. Randle makes 2-pt shot from 1 ft,2,22-26,,
3:06.0,,,22-26,,K. Towns misses 2-pt shot from 5 ft
3:05.0,,,22-26,,Offensive rebound by N. Bjelica
3:05.0,,,22-28,2,N. Bjelica makes 2-pt shot at rim
2:46.0,J. Randle makes 2-pt shot from 12 ft,2,24-28,,
2:27.0,,,24-28,,Turnover by K. Towns (traveling)
2:27.0,LA Lakers full timeout,,24-28,,
2:27.0,M. Huertas enters the game for J. Clarkson,,24-28,,
2:27.0,,,24-28,,G. Dieng enters the game for K. Towns
2:25.0,Turnover by D. Russell (lost ball),,24-28,,
2:16.0,,,24-28,,Turnover by N. Bjelica (lost ball; steal by L. Nance)
2:11.0,D. Russell makes 2-pt shot from 1 ft,2,26-28,,
1:45.0,,,26-30,2,K. Martin makes 2-pt shot from 18 ft
1:21.0,J. Randle misses 2-pt shot from 1 ft,,26-30,,
1:20.0,Offensive rebound by J. Randle,,26-30,,
1:20.0,J. Randle makes 2-pt shot from 1 ft,2,28-30,,
1:20.0,Shooting foul by N. Bjelica (drawn by J. Randle),,28-30,,
1:20.0,R. Sacre enters the game for L. Nance,,28-30,,
1:20.0,,,28-30,,S. Muhammad enters the game for A. Wiggins
1:20.0,J. Randle makes free throw 1 of 1,1,29-30,,
1:10.0,,,29-30,,K. Martin misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by R. Sacre,,29-30,,
0:56.0,J. Randle makes 2-pt shot from 8 ft (assist by M. Huertas),2,31-30,,
0:43.0,,,31-33,3,S. Muhammad makes 3-pt shot from 24 ft (assist by N. Bjelica)
0:26.0,Shooting foul by G. Dieng (drawn by R. Sacre),,31-33,,
0:26.0,R. Sacre misses free throw 1 of 2,,31-33,,
0:26.0,Offensive rebound by Team,,31-33,,
0:26.0,R. Sacre makes free throw 2 of 2,1,32-33,,
0:06.0,,,32-33,,Shooting foul by M. Huertas (drawn by Z. LaVine)
0:06.0,,,32-33,,Z. LaVine misses free throw 1 of 2
0:06.0,,,32-33,,Offensive rebound by Team
0:06.0,,,32-33,,Z. LaVine misses free throw 2 of 2
0:05.0,,,32-33,,Offensive rebound by Team
0:00.0,,,32-35,2,S. Muhammad makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Sacre makes 2-pt shot from 16 ft (assist by N. Young),2,34-35,,
11:24.0,,,34-35,,N. Bjelica misses 3-pt shot from 24 ft
11:23.0,,,34-35,,Offensive rebound by S. Muhammad
11:21.0,,,34-37,2,S. Muhammad makes 2-pt shot from 1 ft
11:05.0,,,34-37,,Def 3 sec tech foul by G. Dieng
11:05.0,N. Young makes technical free throw,1,35-37,,
10:59.0,D. Russell misses 3-pt shot from 24 ft,,35-37,,
10:58.0,,,35-37,,Defensive rebound by G. Dieng
10:50.0,,,35-37,,G. Dieng misses 2-pt shot from 18 ft
10:47.0,Defensive rebound by D. Russell,,35-37,,
10:38.0,Shooting foul by N. Bjelica (drawn by J. Randle),,35-37,,
10:38.0,J. Randle makes free throw 1 of 2,1,36-37,,
10:38.0,K. Bryant enters the game for N. Young,,36-37,,
10:38.0,J. Randle makes free throw 2 of 2,1,37-37,,
10:22.0,,,37-39,2,S. Muhammad makes 2-pt shot from 8 ft (assist by T. Prince)
10:04.0,J. Randle misses 2-pt shot from 3 ft,,37-39,,
10:03.0,,,37-39,,Defensive rebound by Team
9:53.0,Personal foul by D. Russell (drawn by S. Muhammad),,37-39,,
9:44.0,,,37-39,,Turnover by S. Muhammad (bad pass; steal by M. Huertas)
9:31.0,K. Bryant makes 2-pt shot from 16 ft (assist by M. Huertas),2,39-39,,
9:16.0,,,39-41,2,Z. LaVine makes 2-pt shot from 20 ft
