time,Washington,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Gortat (S. Mack gains possession),,,,Jump ball: R. Gobert vs. M. Gortat (S. Mack gains possession)
11:39.0,,,0-0,,D. Favors misses 2-pt shot from 14 ft
11:38.0,Defensive rebound by J. Wall,,0-0,,
11:27.0,M. Morris makes 2-pt shot from 14 ft (assist by M. Gortat),2,2-0,,
11:14.0,,,2-0,,S. Mack misses 2-pt shot from 3 ft
11:13.0,Defensive rebound by O. Porter,,2-0,,
11:03.0,M. Gortat makes 2-pt shot from 13 ft (assist by J. Wall),2,4-0,,
10:45.0,,,4-0,,R. Hood misses 2-pt shot from 3 ft
10:45.0,Defensive rebound by M. Morris,,4-0,,
10:33.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,7-0,,
10:13.0,,,7-3,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
10:06.0,M. Morris misses 2-pt shot from 1 ft,,7-3,,
10:05.0,,,7-3,,Defensive rebound by R. Gobert
9:45.0,,,7-5,2,D. Favors makes 2-pt shot at rim
9:45.0,,,7-5,,Shooting foul by M. Gortat (drawn by D. Favors)
9:45.0,,,7-6,1,D. Favors makes free throw 1 of 1
9:34.0,Turnover by M. Gortat (lost ball; steal by D. Favors),,7-6,,
9:20.0,,,7-6,,G. Hayward misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by M. Gortat,,7-6,,
9:08.0,Turnover by O. Porter (lost ball; steal by D. Favors),,7-6,,
9:02.0,,,7-8,2,G. Hayward makes 2-pt shot from 1 ft (assist by D. Favors)
8:54.0,Shooting foul by R. Gobert (drawn by M. Gortat),,7-8,,
8:54.0,M. Gortat makes free throw 1 of 2,1,8-8,,
8:54.0,M. Gortat makes free throw 2 of 2,1,9-8,,
8:34.0,,,9-8,,D. Favors misses 2-pt shot from 15 ft
8:33.0,Defensive rebound by J. Wall,,9-8,,
8:26.0,J. Wall makes 2-pt shot from 18 ft,2,11-8,,
8:07.0,,,11-8,,G. Hayward misses 2-pt shot from 5 ft
8:07.0,Defensive rebound by M. Morris,,11-8,,
7:58.0,J. Wall makes 3-pt shot from 24 ft (assist by O. Porter),3,14-8,,
7:47.0,,,14-11,3,R. Hood makes 3-pt shot from 23 ft (assist by S. Mack)
7:36.0,J. Wall misses 2-pt shot from 16 ft,,14-11,,
7:35.0,,,14-11,,Defensive rebound by D. Favors
7:21.0,,,14-11,,Turnover by R. Gobert (step out of bounds)
7:04.0,M. Morris misses 2-pt shot from 17 ft,,14-11,,
7:03.0,,,14-11,,Defensive rebound by R. Gobert
6:54.0,Violation by M. Morris (kicked ball),,14-11,,
6:54.0,,,14-11,,Utah full timeout
6:41.0,,,14-14,3,R. Hood makes 3-pt shot from 23 ft (assist by R. Gobert)
6:24.0,M. Morris misses 2-pt shot from 17 ft,,14-14,,
6:23.0,Offensive rebound by G. Temple,,14-14,,
6:18.0,O. Porter misses 3-pt shot from 24 ft,,14-14,,
6:17.0,,,14-14,,Defensive rebound by R. Gobert
6:02.0,,,14-14,,Shooting foul by M. Gortat (drawn by R. Gobert)
6:02.0,,,14-14,,R. Gobert misses free throw 1 of 2
6:02.0,,,14-14,,Offensive rebound by Team
6:02.0,N. Hilario enters the game for M. Gortat,,14-14,,
