time,Chicago,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Jordan (P. Pierce gains possession),,,,Jump ball: P. Gasol vs. D. Jordan (P. Pierce gains possession)
11:40.0,,,0-0,,P. Pierce misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by P. Gasol,,0-0,,
11:17.0,D. Rose makes 2-pt shot from 3 ft (assist by P. Gasol),2,2-0,,
11:06.0,,,2-0,,J. Redick misses 2-pt shot from 21 ft
11:05.0,Defensive rebound by P. Gasol,,2-0,,
10:53.0,T. Gibson makes 2-pt shot from 2 ft,2,4-0,,
10:32.0,,,4-0,,Turnover by D. Jordan (offensive goaltending)
10:21.0,J. Butler makes 2-pt shot from 13 ft (assist by P. Gasol),2,6-0,,
10:04.0,,,6-0,,P. Pierce misses 2-pt shot from 10 ft
10:02.0,,,6-0,,Offensive rebound by D. Jordan
10:02.0,,,6-0,,D. Jordan misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by T. Gibson,,6-0,,
9:55.0,Turnover by P. Gasol (bad pass; steal by L. Mbah a Moute),,6-0,,
9:46.0,,,6-0,,C. Paul misses 2-pt shot from 14 ft
9:46.0,Defensive rebound by Team,,6-0,,
9:46.0,,,6-0,,Loose ball foul by L. Mbah a Moute (drawn by J. Butler)
9:24.0,P. Gasol misses 2-pt shot from 15 ft,,6-0,,
9:24.0,,,6-0,,Defensive rebound by D. Jordan
9:13.0,,,6-3,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
8:53.0,E. Moore misses 3-pt shot from 25 ft,,6-3,,
8:52.0,,,6-3,,Defensive rebound by D. Jordan
8:46.0,Personal take foul by E. Moore (drawn by D. Jordan),,6-3,,
8:37.0,,,6-3,,J. Redick misses 2-pt shot from 5 ft (block by E. Moore)
8:33.0,Defensive rebound by P. Gasol,,6-3,,
8:23.0,P. Gasol makes 2-pt shot from 2 ft (assist by E. Moore),2,8-3,,
8:10.0,,,8-6,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by P. Pierce)
7:59.0,D. Rose misses 2-pt shot from 16 ft,,8-6,,
7:55.0,,,8-6,,Defensive rebound by L. Mbah a Moute
7:47.0,,,8-6,,Turnover by P. Pierce (bad pass)
7:29.0,J. Butler misses 2-pt shot from 13 ft,,8-6,,
7:28.0,,,8-6,,Defensive rebound by D. Jordan
7:16.0,,,8-6,,P. Pierce misses 3-pt shot from 27 ft
7:15.0,,,8-6,,Offensive rebound by D. Jordan
7:10.0,,,8-8,2,D. Jordan makes 2-pt shot from 3 ft
6:58.0,T. Gibson makes 2-pt shot at rim (assist by E. Moore),2,10-8,,
6:36.0,,,10-8,,C. Paul misses 2-pt shot from 5 ft
6:34.0,Defensive rebound by P. Gasol,,10-8,,
6:28.0,,,10-8,,Personal foul by L. Mbah a Moute (drawn by T. Gibson)
6:27.0,,,10-8,,W. Johnson enters the game for P. Pierce
6:18.0,T. Gibson misses 2-pt shot from 17 ft,,10-8,,
6:17.0,,,10-8,,Defensive rebound by D. Jordan
