time,Miami,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. H. Whiteside (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. H. Whiteside (Z. Randolph gains possession)
11:36.0,,,0-0,,M. Gasol misses 2-pt shot from 17 ft
11:35.0,Defensive rebound by H. Whiteside,,0-0,,
11:11.0,D. Wade misses 2-pt shot from 14 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by Z. Randolph
11:00.0,Def 3 sec tech foul by H. Whiteside,,0-0,,
11:00.0,,,0-1,1,C. Lee makes technical free throw
10:46.0,,,0-1,,Z. Randolph misses 2-pt shot from 20 ft (block by H. Whiteside)
10:46.0,,,0-1,,Offensive rebound by J. Green
10:46.0,,,0-1,,Turnover by Team (shot clock)
10:27.0,G. Dragic makes 2-pt shot from 20 ft,2,2-1,,
10:11.0,,,2-3,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley)
9:46.0,C. Bosh makes 3-pt shot from 23 ft (assist by H. Whiteside),3,5-3,,
9:33.0,,,5-5,2,M. Conley makes 2-pt shot from 20 ft
9:17.0,C. Bosh makes 3-pt shot from 25 ft (assist by G. Dragic),3,8-5,,
8:58.0,,,8-7,2,M. Gasol makes 2-pt shot from 14 ft (assist by J. Green)
8:41.0,D. Wade misses 2-pt shot from 21 ft,,8-7,,
8:41.0,,,8-7,,Defensive rebound by J. Green
8:26.0,,,8-9,2,M. Gasol makes 2-pt shot from 6 ft (assist by J. Green)
8:12.0,,,8-9,,Personal foul by Z. Randolph (drawn by D. Wade)
7:56.0,L. Deng misses 3-pt shot from 23 ft,,8-9,,
7:55.0,,,8-9,,Defensive rebound by Team
7:33.0,,,8-9,,J. Green misses 2-pt shot from 19 ft
7:33.0,Defensive rebound by H. Whiteside,,8-9,,
7:24.0,G. Dragic makes 3-pt shot from 23 ft (assist by D. Wade),3,11-9,,
7:08.0,,,11-9,,Z. Randolph misses 2-pt shot from 20 ft
7:08.0,Defensive rebound by H. Whiteside,,11-9,,
6:49.0,L. Deng misses 3-pt shot from 26 ft,,11-9,,
6:49.0,,,11-9,,Defensive rebound by M. Conley
6:37.0,,,11-11,2,J. Green makes 2-pt shot from 5 ft (assist by M. Conley)
