time,Boston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,,,0-0,,I. Mahinmi misses 2-pt shot from 13 ft
12:00.0,Jump ball: A. Johnson vs. I. Mahinmi (G. Hill gains possession),,,,Jump ball: A. Johnson vs. I. Mahinmi (G. Hill gains possession)
11:36.0,,,0-0,,Offensive rebound by P. George
11:36.0,,,0-0,,P. George misses 2-pt shot from 11 ft
11:35.0,Defensive rebound by J. Sullinger,,0-0,,
11:17.0,Turnover by A. Bradley (lost ball; steal by M. Turner),,0-0,,
11:00.0,,,0-0,,M. Turner misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by I. Thomas,,0-0,,
10:48.0,M. Smart misses 3-pt shot from 23 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by G. Hill
10:30.0,,,0-0,,I. Mahinmi misses 2-pt shot from 3 ft
10:30.0,Defensive rebound by A. Johnson,,0-0,,
10:17.0,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas),2,2-0,,
9:53.0,,,2-0,,Turnover by G. Hill (lost ball; steal by J. Sullinger)
9:47.0,M. Smart misses 2-pt shot from 6 ft,,2-0,,
9:47.0,,,2-0,,Defensive rebound by P. George
9:32.0,,,2-3,3,M. Ellis makes 3-pt shot from 25 ft
9:17.0,J. Sullinger misses 2-pt shot from 18 ft,,2-3,,
9:17.0,,,2-3,,Defensive rebound by M. Ellis
9:04.0,,,2-3,,I. Mahinmi misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by A. Johnson,,2-3,,
8:54.0,A. Bradley misses 2-pt shot from 18 ft,,2-3,,
8:53.0,Offensive rebound by J. Sullinger,,2-3,,
8:53.0,J. Sullinger misses 2-pt shot from 1 ft,,2-3,,
8:52.0,Offensive rebound by J. Sullinger,,2-3,,
8:50.0,Turnover by J. Sullinger (lost ball; steal by P. George),,2-3,,
8:38.0,,,2-3,,Turnover by P. George (lost ball; steal by M. Smart)
8:33.0,I. Thomas makes 2-pt shot from 2 ft (assist by M. Smart),2,4-3,,
8:16.0,,,4-3,,M. Turner misses 2-pt shot from 18 ft
8:16.0,Defensive rebound by I. Thomas,,4-3,,
8:05.0,M. Smart makes 3-pt shot from 24 ft (assist by I. Thomas),3,7-3,,
7:52.0,,,7-3,,Turnover by M. Ellis (traveling)
7:47.0,,,7-3,,Personal foul by P. George
7:39.0,A. Bradley makes 2-pt shot from 18 ft (assist by I. Thomas),2,9-3,,
7:30.0,Shooting block foul by J. Sullinger (drawn by I. Mahinmi),,9-3,,
7:30.0,,,9-4,1,I. Mahinmi makes free throw 1 of 2
7:30.0,,,9-5,1,I. Mahinmi makes free throw 2 of 2
7:19.0,A. Bradley makes 2-pt shot from 16 ft (assist by I. Thomas),2,11-5,,
7:07.0,,,11-7,2,I. Mahinmi makes 2-pt shot from 11 ft (assist by M. Ellis)
6:46.0,M. Smart misses 3-pt shot from 28 ft,,11-7,,
6:45.0,,,11-7,,Defensive rebound by G. Hill
6:35.0,,,11-9,2,P. George makes 2-pt shot from 17 ft
6:26.0,Turnover by I. Thomas (lost ball; steal by P. George),,11-9,,
6:12.0,,,11-9,,Turnover by P. George (lost ball; steal by J. Sullinger)
6:09.0,,,11-9,,Personal foul by P. George
6:09.0,,,11-9,,R. Stuckey enters the game for P. George
5:59.0,A. Johnson misses 2-pt shot from 3 ft (block by M. Turner),,11-9,,
5:58.0,Offensive rebound by A. Johnson,,11-9,,
5:44.0,Turnover by Team (shot clock),,11-9,,
5:44.0,,,11-9,,Indiana full timeout
5:44.0,J. Jerebko enters the game for A. Johnson,,11-9,,
5:44.0,E. Turner enters the game for A. Bradley,,11-9,,
5:32.0,,,11-9,,Turnover by R. Stuckey (traveling)
5:20.0,I. Thomas misses 3-pt shot from 24 ft,,11-9,,
5:20.0,,,11-9,,Defensive rebound by I. Mahinmi
5:10.0,,,11-9,,G. Hill misses 2-pt shot from 5 ft
5:09.0,Defensive rebound by J. Sullinger,,11-9,,
5:04.0,M. Smart makes 2-pt shot from 2 ft (assist by I. Thomas),2,13-9,,
4:48.0,,,13-11,2,M. Turner makes 2-pt shot from 18 ft (assist by I. Mahinmi)
4:32.0,I. Thomas misses 2-pt shot from 3 ft (block by G. Hill),,13-11,,
4:31.0,Offensive rebound by I. Thomas,,13-11,,
4:28.0,J. Jerebko makes 3-pt shot from 25 ft (assist by I. Thomas),3,16-11,,
4:11.0,,,16-13,2,M. Turner makes 2-pt shot from 12 ft (assist by G. Hill)
3:54.0,,,16-13,,Personal foul by G. Hill
3:54.0,,,16-13,,S. Hill enters the game for G. Hill
3:48.0,J. Jerebko makes 2-pt shot from 5 ft (assist by E. Turner),2,18-13,,
3:39.0,,,18-13,,Turnover by M. Turner (offensive foul)
3:39.0,,,18-13,,Offensive foul by M. Turner
3:26.0,I. Thomas misses 3-pt shot from 25 ft,,18-13,,
3:25.0,,,18-13,,Defensive rebound by M. Ellis
3:23.0,,,18-13,,Turnover by M. Ellis (bad pass)
3:10.0,J. Jerebko makes 2-pt shot from 2 ft (assist by E. Turner),2,20-13,,
2:56.0,,,20-13,,M. Turner misses 2-pt shot from 18 ft
2:56.0,Defensive rebound by J. Sullinger,,20-13,,
2:46.0,Turnover by J. Jerebko (lost ball; steal by R. Stuckey),,20-13,,
2:41.0,,,20-15,2,R. Stuckey makes 2-pt shot from 4 ft
2:39.0,Boston full timeout,,20-15,,
2:39.0,T. Rozier enters the game for J. Sullinger,,20-15,,
2:39.0,T. Zeller enters the game for I. Thomas,,20-15,,
2:39.0,,,20-15,,L. Allen enters the game for M. Turner
2:26.0,E. Turner misses 2-pt shot from 19 ft,,20-15,,
2:26.0,,,20-15,,Defensive rebound by S. Hill
2:23.0,,,20-15,,M. Ellis misses 2-pt shot from 3 ft (block by T. Rozier)
2:23.0,,,20-15,,Offensive rebound by Team
2:10.0,,,20-15,,Shooting foul by M. Smart (drawn by I. Mahinmi)
2:10.0,,,20-16,1,I. Mahinmi makes free throw 1 of 2
2:10.0,,,20-16,,I. Mahinmi misses free throw 2 of 2
2:06.0,,,20-16,,Offensive rebound by S. Hill
1:58.0,,,20-16,,R. Stuckey misses 2-pt shot from 20 ft
1:56.0,,,20-16,,Offensive rebound by I. Mahinmi
1:56.0,,,20-18,2,I. Mahinmi makes 2-pt shot from 1 ft
1:37.0,T. Zeller misses 2-pt shot from 12 ft,,20-18,,
1:36.0,,,20-18,,Defensive rebound by M. Ellis
1:22.0,,,20-18,,M. Ellis misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by T. Zeller,,20-18,,
1:05.0,J. Jerebko misses 2-pt shot from 9 ft (block by L. Allen),,20-18,,
1:04.0,,,20-18,,Defensive rebound by I. Mahinmi
0:57.0,,,20-18,,I. Mahinmi misses 2-pt shot from 9 ft
0:56.0,Defensive rebound by E. Turner,,20-18,,
0:48.0,M. Smart misses 3-pt shot from 24 ft,,20-18,,
0:47.0,,,20-18,,Defensive rebound by S. Hill
0:40.0,,,20-20,2,S. Hill makes 2-pt shot from 2 ft
0:23.0,Turnover by E. Turner (lost ball; steal by M. Ellis),,20-20,,
0:01.0,,,20-20,,M. Ellis misses 2-pt shot from 21 ft
0:00.0,,,20-20,,Offensive rebound by R. Stuckey
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Rozier misses 2-pt shot from 2 ft,,20-20,,
11:43.0,Offensive rebound by T. Zeller,,20-20,,
11:41.0,T. Zeller misses 2-pt shot from 3 ft (block by L. Allen),,20-20,,
11:40.0,Offensive rebound by T. Zeller,,20-20,,
11:38.0,T. Zeller misses 2-pt shot from 2 ft (block by L. Allen),,20-20,,
11:36.0,,,20-20,,Defensive rebound by L. Allen
11:33.0,,,20-22,2,R. Stuckey makes 2-pt shot from 8 ft
11:19.0,A. Bradley misses 2-pt shot from 13 ft,,20-22,,
11:19.0,,,20-22,,Defensive rebound by Team
11:19.0,Jump ball: J. Hill vs. T. Zeller (L. Allen gains possession),,,,Jump ball: J. Hill vs. T. Zeller (L. Allen gains possession)
11:03.0,,,20-24,2,J. Hill makes 2-pt shot from 18 ft (assist by J. Young)
10:45.0,J. Jerebko misses 3-pt shot from 23 ft (block by J. Hill),,20-24,,
10:45.0,,,20-24,,Defensive rebound by J. Young
10:26.0,,,20-24,,R. Stuckey misses 2-pt shot from 10 ft
10:25.0,Defensive rebound by J. Jerebko,,20-24,,
