time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Johnson (I. Thomas gains possession),,,,Jump ball: P. Gasol vs. A. Johnson (I. Thomas gains possession)
11:38.0,J. Crowder misses 2-pt shot from 19 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by D. Rose
11:20.0,,,0-2,2,P. Gasol makes 2-pt shot from 13 ft
11:00.0,E. Turner misses 2-pt shot from 16 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by P. Gasol
10:43.0,,,0-2,,P. Gasol misses 2-pt shot from 18 ft
10:42.0,Defensive rebound by A. Johnson,,0-2,,
10:31.0,A. Johnson makes 2-pt shot from 8 ft (assist by J. Crowder),2,2-2,,
10:11.0,,,2-4,2,P. Gasol makes 2-pt shot from 13 ft (assist by J. Butler)
9:57.0,,,2-4,,Personal foul by N. Mirotic (drawn by A. Johnson)
9:48.0,J. Crowder misses 2-pt shot from 19 ft,,2-4,,
9:47.0,,,2-4,,Defensive rebound by T. Gibson
9:35.0,,,2-6,2,D. Rose makes 2-pt shot from 2 ft
9:16.0,I. Thomas misses 2-pt shot from 6 ft,,2-6,,
9:15.0,Offensive rebound by I. Thomas,,2-6,,
9:08.0,E. Turner misses 3-pt shot from 24 ft,,2-6,,
9:07.0,,,2-6,,Defensive rebound by N. Mirotic
8:52.0,,,2-6,,Turnover by D. Rose (bad pass; steal by J. Crowder)
8:48.0,J. Crowder makes 2-pt shot at rim,2,4-6,,
8:38.0,,,4-6,,Turnover by P. Gasol (bad pass; steal by E. Turner)
8:30.0,K. Olynyk makes 3-pt shot from 24 ft (assist by E. Turner),3,7-6,,
8:09.0,,,7-6,,D. Rose misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by K. Olynyk,,7-6,,
7:58.0,I. Thomas misses 2-pt shot from 14 ft,,7-6,,
7:57.0,,,7-6,,Defensive rebound by D. Rose
7:49.0,,,7-6,,T. Gibson misses 2-pt shot from 10 ft
7:48.0,Defensive rebound by J. Crowder,,7-6,,
7:38.0,Turnover by E. Turner (lost ball; steal by J. Butler),,7-6,,
7:14.0,,,7-6,,N. Mirotic misses 2-pt shot from 15 ft
7:13.0,Defensive rebound by A. Johnson,,7-6,,
7:09.0,A. Johnson makes 2-pt shot at rim (assist by J. Crowder),2,9-6,,
7:09.0,,,9-6,,Chicago full timeout
6:46.0,,,9-6,,N. Mirotic misses 2-pt shot from 7 ft
6:44.0,,,9-6,,Offensive rebound by N. Mirotic
6:44.0,,,9-6,,Shooting foul by K. Olynyk (drawn by N. Mirotic)
6:44.0,,,9-6,,N. Mirotic misses free throw 1 of 2
6:44.0,,,9-6,,Offensive rebound by Team
