time,Miami,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. A. Stoudemire (M. Harkless gains possession),,,,Jump ball: M. Plumlee vs. A. Stoudemire (M. Harkless gains possession)
11:35.0,,,0-0,,Shooting foul by G. Dragic (drawn by M. Plumlee)
11:35.0,,,0-1,1,M. Plumlee makes free throw 1 of 2
11:35.0,,,0-1,,M. Plumlee misses free throw 2 of 2
11:34.0,Defensive rebound by L. Deng,,0-1,,
11:14.0,Turnover by G. Dragic (bad pass),,0-1,,
11:01.0,,,0-1,,Turnover by A. Aminu (lost ball; steal by L. Deng)
10:54.0,L. Deng misses 2-pt shot from 6 ft,,0-1,,
10:54.0,,,0-1,,Defensive rebound by M. Plumlee
10:45.0,,,0-1,,Turnover by D. Lillard (lost ball; steal by A. Stoudemire)
10:40.0,G. Dragic misses 2-pt shot from 2 ft (block by M. Harkless),,0-1,,
10:39.0,,,0-1,,Defensive rebound by D. Lillard
10:33.0,,,0-4,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
10:14.0,G. Green makes 2-pt shot from 12 ft,2,2-4,,
9:48.0,,,2-4,,M. Plumlee misses 2-pt shot from 12 ft
9:48.0,Defensive rebound by Team,,2-4,,
9:39.0,G. Dragic makes 2-pt shot from 6 ft,2,4-4,,
9:29.0,,,4-6,2,D. Lillard makes 2-pt shot from 22 ft
9:13.0,L. Deng misses 3-pt shot from 25 ft,,4-6,,
9:13.0,,,4-6,,Defensive rebound by D. Lillard
9:08.0,Personal foul by A. Stoudemire,,4-6,,
8:58.0,,,4-6,,D. Lillard misses 2-pt shot from 21 ft
8:57.0,Defensive rebound by L. Deng,,4-6,,
8:42.0,Turnover by A. Stoudemire (lost ball; steal by M. Plumlee),,4-6,,
8:36.0,,,4-8,2,M. Harkless makes 2-pt shot from 1 ft (assist by C. McCollum)
8:22.0,G. Dragic misses 2-pt shot from 14 ft,,4-8,,
8:21.0,,,4-8,,Defensive rebound by A. Aminu
8:12.0,,,4-8,,M. Harkless misses 3-pt shot from 22 ft
8:12.0,Defensive rebound by G. Green,,4-8,,
7:54.0,J. Johnson makes 2-pt shot from 2 ft,2,6-8,,
7:38.0,,,6-10,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
7:12.0,J. Johnson makes 3-pt shot from 23 ft (assist by L. Deng),3,9-10,,
6:53.0,,,9-12,2,D. Lillard makes 2-pt shot from 16 ft (assist by M. Harkless)
6:35.0,Turnover by A. Stoudemire (lost ball; steal by C. McCollum),,9-12,,
6:29.0,,,9-12,,D. Lillard misses 3-pt shot from 24 ft
6:26.0,,,9-12,,Offensive rebound by A. Aminu
6:25.0,,,9-12,,Turnover by A. Aminu (lost ball; steal by G. Dragic)
6:19.0,G. Green misses 2-pt shot from 1 ft,,9-12,,
6:17.0,Offensive rebound by G. Green,,9-12,,
6:17.0,G. Green misses 2-pt shot from 9 ft,,9-12,,
6:15.0,Offensive rebound by G. Dragic,,9-12,,
6:12.0,Turnover by G. Dragic (lost ball; steal by C. McCollum),,9-12,,
6:10.0,,,9-12,,Turnover by C. McCollum (lost ball; steal by L. Deng)
6:06.0,G. Dragic misses 3-pt shot from 22 ft,,9-12,,
6:05.0,,,9-12,,Defensive rebound by M. Plumlee
5:48.0,,,9-14,2,M. Harkless makes 2-pt shot from 3 ft
5:46.0,Miami full timeout,,9-14,,
5:46.0,H. Whiteside enters the game for A. Stoudemire,,9-14,,
5:37.0,J. Johnson misses 3-pt shot from 22 ft,,9-14,,
5:36.0,Offensive rebound by L. Deng,,9-14,,
5:36.0,L. Deng misses 2-pt shot at rim,,9-14,,
5:34.0,Offensive rebound by L. Deng,,9-14,,
5:30.0,H. Whiteside misses 2-pt shot from 2 ft (block by A. Aminu),,9-14,,
5:29.0,Offensive rebound by J. Johnson,,9-14,,
5:20.0,H. Whiteside makes 2-pt shot from 3 ft,2,11-14,,
5:00.0,,,11-14,,A. Aminu misses 2-pt shot from 2 ft
4:59.0,Defensive rebound by L. Deng,,11-14,,
4:54.0,G. Green misses 3-pt shot from 24 ft,,11-14,,
4:53.0,,,11-14,,Defensive rebound by M. Harkless
4:43.0,,,11-16,2,M. Plumlee makes 2-pt shot from 6 ft (assist by A. Aminu)
4:19.0,L. Deng makes 2-pt shot from 1 ft (assist by J. Johnson),2,13-16,,
