time,Utah,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Lopez (T. Lyles gains possession),,,,Jump ball: R. Gobert vs. R. Lopez (T. Lyles gains possession)
11:41.0,R. Neto makes 2-pt shot from 1 ft,2,2-0,,
11:22.0,,,2-2,2,R. Lopez makes 2-pt shot from 4 ft (assist by C. Anthony)
11:04.0,R. Neto misses 2-pt shot from 6 ft,,2-2,,
11:02.0,Offensive rebound by R. Neto,,2-2,,
10:44.0,T. Lyles makes 2-pt shot from 17 ft (assist by G. Hayward),2,4-2,,
10:21.0,,,4-2,,R. Lopez misses 2-pt shot from 5 ft
10:18.0,Defensive rebound by R. Gobert,,4-2,,
10:03.0,,,4-2,,Personal foul by C. Anthony (drawn by G. Hayward)
9:59.0,R. Gobert misses 2-pt shot from 1 ft,,4-2,,
9:57.0,,,4-2,,Defensive rebound by C. Anthony
9:50.0,,,4-4,2,R. Lopez makes 2-pt shot from 4 ft (assist by C. Anthony)
9:39.0,,,4-4,,Personal foul by R. Lopez (drawn by R. Gobert)
9:24.0,R. Gobert makes 2-pt shot from 2 ft (assist by R. Neto),2,6-4,,
9:13.0,,,6-4,,Turnover by J. Calderon (bad pass; steal by T. Lyles)
8:53.0,G. Hayward misses 2-pt shot from 20 ft,,6-4,,
8:52.0,,,6-4,,Defensive rebound by C. Anthony
8:46.0,,,6-7,3,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony)
8:24.0,T. Lyles misses 2-pt shot at rim,,6-7,,
8:23.0,,,6-7,,Defensive rebound by K. Porzingis
8:04.0,,,6-7,,C. Anthony misses 2-pt shot from 16 ft
8:02.0,Defensive rebound by R. Hood,,6-7,,
7:48.0,G. Hayward misses 2-pt shot from 18 ft,,6-7,,
7:47.0,,,6-7,,Defensive rebound by K. Porzingis
7:25.0,,,6-9,2,C. Anthony makes 2-pt shot from 1 ft
7:06.0,R. Hood makes 2-pt shot from 16 ft,2,8-9,,
6:40.0,,,8-9,,C. Anthony misses 2-pt shot at rim (block by R. Gobert)
6:38.0,Defensive rebound by R. Hood,,8-9,,
6:33.0,Turnover by T. Lyles (traveling),,8-9,,
6:12.0,,,8-9,,R. Lopez misses 2-pt shot from 4 ft
6:10.0,Defensive rebound by R. Gobert,,8-9,,
6:03.0,G. Hayward misses 3-pt shot from 24 ft,,8-9,,
6:01.0,Offensive rebound by R. Neto,,8-9,,
5:57.0,R. Neto makes 3-pt shot from 24 ft (assist by R. Hood),3,11-9,,
5:57.0,,,11-9,,New York full timeout
5:39.0,,,11-9,,Turnover by A. Afflalo (bad pass; steal by R. Gobert)
5:30.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood),3,14-9,,
5:12.0,,,14-11,2,A. Afflalo makes 2-pt shot from 11 ft
5:00.0,Turnover by T. Lyles (illegal screen),,14-11,,
4:43.0,,,14-13,2,A. Afflalo makes 2-pt shot from 18 ft
4:17.0,R. Neto misses 2-pt shot from 6 ft,,14-13,,
4:15.0,,,14-13,,Defensive rebound by R. Lopez
4:10.0,Personal foul by R. Neto (drawn by J. Calderon),,14-13,,
4:10.0,,,14-13,,D. Williams enters the game for K. Porzingis
4:10.0,T. Burke enters the game for R. Neto,,14-13,,
4:10.0,T. Booker enters the game for T. Lyles,,14-13,,
4:04.0,,,14-13,,A. Afflalo misses 2-pt shot from 16 ft
4:02.0,Defensive rebound by G. Hayward,,14-13,,
