time,Indiana,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. M. Plumlee (C. Miles gains possession),,,,Jump ball: I. Mahinmi vs. M. Plumlee (C. Miles gains possession)
11:54.0,C. Miles makes 2-pt shot at rim,2,2-0,,
11:41.0,,,2-0,,C. McCollum misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by C. Miles,,2-0,,
11:30.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,4-0,,
11:11.0,,,4-0,,Turnover by A. Aminu (lost ball)
10:48.0,G. Hill makes 2-pt shot from 9 ft,2,6-0,,
10:48.0,Shooting foul by D. Lillard (drawn by G. Hill),,6-0,,
10:48.0,G. Hill makes free throw 1 of 1,1,7-0,,
10:35.0,,,7-0,,Turnover by D. Lillard (bad pass; steal by C. Miles)
10:30.0,C. Miles misses 2-pt shot from 2 ft,,7-0,,
10:29.0,Offensive rebound by I. Mahinmi,,7-0,,
10:25.0,C. Miles makes 3-pt shot from 23 ft (assist by I. Mahinmi),3,10-0,,
10:04.0,,,10-2,2,C. McCollum makes 2-pt shot from 2 ft
9:43.0,G. Hill makes 2-pt shot from 4 ft,2,12-2,,
9:28.0,,,12-2,,A. Aminu misses 3-pt shot from 22 ft
9:27.0,,,12-2,,Offensive rebound by N. Vonleh
9:24.0,,,12-4,2,N. Vonleh makes 2-pt shot at rim
9:06.0,P. George misses 3-pt shot from 25 ft,,12-4,,
9:05.0,,,12-4,,Defensive rebound by M. Plumlee
8:55.0,,,12-7,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
8:41.0,G. Hill makes 2-pt shot from 11 ft,2,14-7,,
8:19.0,,,14-7,,A. Aminu misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by I. Mahinmi,,14-7,,
8:02.0,I. Mahinmi makes 2-pt shot from 4 ft (assist by P. George),2,16-7,,
7:44.0,,,16-7,,C. McCollum misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by I. Mahinmi,,16-7,,
7:30.0,P. George misses 3-pt shot from 24 ft,,16-7,,
7:29.0,,,16-7,,Defensive rebound by M. Plumlee
7:24.0,Personal foul by G. Hill (drawn by M. Plumlee),,16-7,,
7:17.0,,,16-10,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Plumlee)
7:02.0,C. Miles makes 3-pt shot from 23 ft (assist by M. Ellis),3,19-10,,
6:40.0,,,19-10,,Shooting foul by M. Ellis (drawn by M. Plumlee)
6:40.0,,,19-11,1,M. Plumlee makes free throw 1 of 2
6:40.0,,,19-12,1,M. Plumlee makes free throw 2 of 2
6:25.0,G. Hill misses 2-pt shot from 3 ft,,19-12,,
6:24.0,Offensive rebound by I. Mahinmi,,19-12,,
6:23.0,I. Mahinmi makes 2-pt shot from 1 ft,2,21-12,,
6:12.0,,,21-14,2,A. Aminu makes 2-pt shot at rim (assist by C. McCollum)
6:02.0,P. George makes 2-pt shot from 20 ft,2,23-14,,
6:02.0,,,23-14,,Portland full timeout
5:49.0,,,23-14,,D. Lillard misses 3-pt shot from 24 ft
5:48.0,,,23-14,,Offensive rebound by M. Plumlee
5:46.0,,,23-16,2,M. Plumlee makes 2-pt shot at rim
5:37.0,,,23-16,,A. Crabbe enters the game for C. McCollum
5:22.0,C. Miles misses 2-pt shot from 7 ft,,23-16,,
5:21.0,,,23-16,,Defensive rebound by N. Vonleh
5:09.0,,,23-16,,A. Crabbe misses 2-pt shot from 19 ft
5:08.0,Defensive rebound by P. George,,23-16,,
4:59.0,Turnover by P. George (bad pass),,23-16,,
4:42.0,,,23-16,,Turnover by N. Vonleh (traveling)
4:42.0,R. Stuckey enters the game for I. Mahinmi,,23-16,,
4:42.0,J. Hill enters the game for G. Hill,,23-16,,
4:42.0,,,23-16,,E. Davis enters the game for M. Plumlee
4:30.0,C. Miles makes 3-pt shot from 22 ft (assist by M. Ellis),3,26-16,,
4:04.0,,,26-16,,A. Aminu misses 2-pt shot from 21 ft
4:04.0,Defensive rebound by C. Miles,,26-16,,
3:50.0,J. Hill makes 2-pt shot from 5 ft,2,28-16,,
3:32.0,,,28-16,,D. Lillard misses 2-pt shot from 19 ft
3:30.0,Defensive rebound by C. Miles,,28-16,,
3:18.0,J. Hill misses 2-pt shot from 3 ft,,28-16,,
3:18.0,,,28-16,,Defensive rebound by E. Davis
3:06.0,,,28-18,2,A. Crabbe makes 2-pt shot from 20 ft (assist by E. Davis)
3:06.0,Indiana full timeout,,28-18,,
3:06.0,,,28-18,,M. Harkless enters the game for N. Vonleh
3:06.0,,,28-18,,M. Leonard enters the game for A. Aminu
3:06.0,L. Allen enters the game for C. Miles,,28-18,,
2:52.0,J. Hill misses 2-pt shot from 5 ft,,28-18,,
2:51.0,,,28-18,,Defensive rebound by M. Leonard
2:41.0,,,28-21,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
2:27.0,Turnover by L. Allen (bad pass; steal by M. Harkless),,28-21,,
2:03.0,,,28-21,,M. Leonard misses 2-pt shot from 11 ft
2:02.0,,,28-21,,Offensive rebound by E. Davis
1:58.0,,,28-21,,M. Harkless misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by R. Stuckey,,28-21,,
1:51.0,,,28-21,,Personal foul by A. Crabbe (drawn by R. Stuckey)
1:41.0,M. Ellis makes 2-pt shot from 18 ft (assist by J. Hill),2,30-21,,
1:26.0,,,30-23,2,A. Crabbe makes 2-pt shot from 17 ft (assist by E. Davis)
1:14.0,Turnover by R. Stuckey (lost ball; steal by A. Crabbe),,30-23,,
0:59.0,,,30-23,,Shooting foul by J. Hill (drawn by D. Lillard)
0:59.0,,,30-24,1,D. Lillard makes free throw 1 of 2
0:59.0,,,30-25,1,D. Lillard makes free throw 2 of 2
0:44.0,Shooting foul by M. Harkless (drawn by P. George),,30-25,,
0:44.0,P. George misses free throw 1 of 2,,30-25,,
0:44.0,Offensive rebound by Team,,30-25,,
0:44.0,,,30-25,,C. McCollum enters the game for D. Lillard
0:44.0,P. George makes free throw 2 of 2,1,31-25,,
0:27.0,,,31-25,,C. McCollum misses 3-pt shot from 25 ft
0:26.0,,,31-25,,Offensive rebound by M. Harkless
0:03.0,,,31-28,3,M. Harkless makes 3-pt shot from 24 ft (assist by C. McCollum)
0:01.0,P. George misses 3-pt shot from 25 ft,,31-28,,
0:00.0,Offensive rebound by L. Allen,,31-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-28,,M. Leonard misses 2-pt shot from 17 ft
11:42.0,,,31-28,,Offensive rebound by E. Davis
11:40.0,,,31-28,,Turnover by C. McCollum (traveling)
11:25.0,,,31-28,,Personal foul by C. McCollum (drawn by G. Hill)
11:19.0,R. Stuckey makes 2-pt shot from 20 ft,2,33-28,,
11:03.0,,,33-30,2,M. Leonard makes 2-pt shot from 8 ft (assist by C. McCollum)
10:51.0,R. Stuckey misses 2-pt shot from 2 ft,,33-30,,
10:51.0,,,33-30,,Defensive rebound by E. Davis
10:35.0,,,33-33,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Leonard)
10:19.0,G. Hill misses 2-pt shot from 5 ft,,33-33,,
10:18.0,,,33-33,,Defensive rebound by M. Harkless
10:04.0,,,33-33,,M. Harkless misses 2-pt shot from 2 ft
10:02.0,Defensive rebound by C. Budinger,,33-33,,
9:53.0,J. Hill misses 2-pt shot from 1 ft,,33-33,,
9:52.0,,,33-33,,Defensive rebound by E. Davis
9:43.0,,,33-33,,C. McCollum misses 2-pt shot from 3 ft
9:42.0,Defensive rebound by J. Hill,,33-33,,
9:39.0,Shooting foul by M. Leonard (drawn by R. Stuckey),,33-33,,
9:39.0,R. Stuckey makes free throw 1 of 2,1,34-33,,
9:39.0,R. Stuckey makes free throw 2 of 2,1,35-33,,
9:20.0,,,35-35,2,M. Harkless makes 2-pt shot from 4 ft
9:11.0,J. Hill makes 2-pt shot from 18 ft (assist by G. Hill),2,37-35,,
8:56.0,,,37-35,,Turnover by M. Harkless (step out of bounds)
8:56.0,Official timeout,,37-35,,
8:56.0,,,37-35,,G. Henderson enters the game for A. Crabbe
8:43.0,C. Budinger makes 3-pt shot from 24 ft (assist by R. Stuckey),3,40-35,,
8:23.0,,,40-37,2,G. Henderson makes 2-pt shot from 1 ft (assist by M. Harkless)
8:19.0,Turnover by G. Hill (bad pass; steal by M. Harkless),,40-37,,
8:15.0,,,40-37,,Turnover by C. McCollum (bad pass)
8:03.0,R. Stuckey misses 2-pt shot from 19 ft,,40-37,,
8:02.0,,,40-37,,Defensive rebound by C. McCollum
7:52.0,,,40-37,,G. Henderson misses 2-pt shot from 20 ft
7:49.0,,,40-37,,Offensive rebound by E. Davis
7:34.0,,,40-37,,Shooting foul by J. Hill (drawn by C. McCollum)
7:34.0,,,40-38,1,C. McCollum makes free throw 1 of 2
7:34.0,I. Mahinmi enters the game for J. Hill,,40-38,,
7:34.0,,,40-39,1,C. McCollum makes free throw 2 of 2
7:18.0,C. Budinger misses 2-pt shot from 16 ft,,40-39,,
7:16.0,Offensive rebound by I. Mahinmi,,40-39,,
7:12.0,C. Budinger makes 3-pt shot from 23 ft (assist by I. Mahinmi),3,43-39,,
6:49.0,,,43-41,2,E. Davis makes 2-pt shot from 4 ft
6:32.0,G. Hill misses 2-pt shot from 17 ft,,43-41,,
6:31.0,,,43-41,,Defensive rebound by E. Davis
6:23.0,,,43-41,,C. McCollum misses 2-pt shot from 6 ft
6:22.0,,,43-41,,Offensive rebound by E. Davis
6:22.0,,,43-43,2,E. Davis makes 2-pt shot at rim
6:08.0,G. Hill makes 3-pt shot from 24 ft (assist by I. Mahinmi),3,46-43,,
5:47.0,,,46-43,,C. McCollum misses 2-pt shot from 18 ft
5:46.0,Defensive rebound by L. Allen,,46-43,,
5:26.0,G. Hill misses 3-pt shot from 26 ft,,46-43,,
5:26.0,,,46-43,,Defensive rebound by E. Davis
5:20.0,Personal foul by G. Hill (drawn by G. Henderson),,46-43,,
5:20.0,,,46-43,,Portland full timeout
5:20.0,,,46-43,,D. Lillard enters the game for M. Harkless
5:20.0,,,46-43,,A. Aminu enters the game for E. Davis
5:20.0,,,46-43,,M. Plumlee enters the game for C. McCollum
5:20.0,C. Miles enters the game for G. Hill,,46-43,,
5:20.0,M. Ellis enters the game for L. Allen,,46-43,,
5:08.0,,,46-43,,G. Henderson misses 2-pt shot from 11 ft
5:07.0,Defensive rebound by C. Budinger,,46-43,,
5:02.0,,,46-43,,Shooting block foul by D. Lillard (drawn by R. Stuckey)
5:02.0,R. Stuckey makes free throw 1 of 2,1,47-43,,
5:02.0,R. Stuckey makes free throw 2 of 2,1,48-43,,
4:45.0,,,48-45,2,M. Leonard makes 2-pt shot from 16 ft
4:28.0,C. Budinger makes 2-pt shot from 5 ft (assist by R. Stuckey),2,50-45,,
4:11.0,,,50-47,2,D. Lillard makes 2-pt shot from 22 ft
4:04.0,C. Miles misses 3-pt shot from 24 ft,,50-47,,
4:04.0,Offensive rebound by Team,,50-47,,
4:04.0,P. George enters the game for R. Stuckey,,50-47,,
3:57.0,Shooting foul by G. Henderson (drawn by C. Budinger),,50-47,,
3:57.0,C. Budinger makes free throw 1 of 2,1,51-47,,
3:57.0,C. Budinger makes free throw 2 of 2,1,52-47,,
3:50.0,Personal foul by I. Mahinmi (drawn by M. Plumlee),,52-47,,
3:42.0,,,52-47,,D. Lillard misses 2-pt shot from 21 ft
3:41.0,Defensive rebound by P. George,,52-47,,
3:31.0,C. Miles misses 3-pt shot from 24 ft,,52-47,,
3:29.0,Offensive rebound by I. Mahinmi,,52-47,,
3:29.0,I. Mahinmi misses 2-pt shot at rim,,52-47,,
3:28.0,,,52-47,,Defensive rebound by M. Plumlee
3:07.0,,,52-49,2,G. Henderson makes 2-pt shot from 20 ft
2:55.0,P. George makes 2-pt shot from 21 ft,2,54-49,,
2:35.0,,,54-49,,A. Aminu misses 3-pt shot from 22 ft
2:33.0,,,54-49,,Offensive rebound by M. Plumlee
2:33.0,,,54-49,,M. Plumlee misses 2-pt shot from 1 ft
2:32.0,Defensive rebound by C. Miles,,54-49,,
