time,Milwaukee,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. G. Monroe (W. Cauley-Stein gains possession),,,,Jump ball: K. Koufos vs. G. Monroe (W. Cauley-Stein gains possession)
11:43.0,,,0-0,,K. Koufos misses 2-pt shot from 8 ft
11:43.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:31.0,G. Monroe misses 2-pt shot from 8 ft,,0-0,,
11:30.0,Offensive rebound by G. Monroe,,0-0,,
11:25.0,M. Carter-Williams misses 2-pt shot from 6 ft (block by K. Koufos),,0-0,,
11:23.0,,,0-0,,Defensive rebound by K. Koufos
11:17.0,,,0-0,,Turnover by K. Koufos (lost ball; steal by M. Carter-Williams)
11:13.0,Shooting foul by M. Belinelli (drawn by M. Carter-Williams),,0-0,,
11:13.0,M. Carter-Williams makes free throw 1 of 2,1,1-0,,
11:13.0,M. Carter-Williams makes free throw 2 of 2,1,2-0,,
10:57.0,Def 3 sec tech foul by G. Antetokounmpo,,2-0,,
10:57.0,,,2-1,1,M. Belinelli makes technical free throw
10:48.0,,,2-1,,M. Belinelli misses 3-pt shot from 25 ft
10:47.0,,,2-1,,Offensive rebound by W. Cauley-Stein
10:45.0,,,2-3,2,W. Cauley-Stein makes 2-pt shot from 5 ft
10:22.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,4-3,,
10:07.0,,,4-5,2,R. Gay makes 2-pt shot from 2 ft
9:56.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,6-5,,
9:56.0,Shooting foul by R. Gay (drawn by G. Monroe),,6-5,,
9:56.0,G. Monroe makes free throw 1 of 1,1,7-5,,
9:48.0,Personal foul by M. Carter-Williams (drawn by R. Rondo),,7-5,,
9:31.0,,,7-7,2,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Gay)
9:11.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,7-7,,
9:10.0,,,7-7,,Defensive rebound by R. Gay
8:57.0,,,7-7,,R. Gay misses 2-pt shot from 15 ft
8:55.0,,,7-7,,Offensive rebound by K. Koufos
8:55.0,,,7-9,2,K. Koufos makes 2-pt shot from 1 ft
8:38.0,J. Parker misses 2-pt shot from 19 ft,,7-9,,
8:38.0,,,7-9,,Defensive rebound by K. Koufos
8:25.0,Violation by G. Monroe (kicked ball),,7-9,,
8:18.0,,,7-9,,K. Koufos misses 2-pt shot from 5 ft
8:17.0,,,7-9,,Offensive rebound by W. Cauley-Stein
8:16.0,,,7-9,,W. Cauley-Stein misses 2-pt shot from 1 ft (block by G. Monroe)
8:13.0,,,7-9,,Offensive rebound by W. Cauley-Stein
8:01.0,,,7-9,,Turnover by R. Rondo (bad pass; steal by J. Parker)
7:56.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by J. Parker),2,9-9,,
7:43.0,,,9-9,,M. Belinelli misses 2-pt shot from 17 ft
7:42.0,Defensive rebound by M. Carter-Williams,,9-9,,
7:36.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,11-9,,
7:26.0,,,11-11,2,R. Gay makes 2-pt shot from 4 ft (assist by R. Rondo)
7:09.0,K. Middleton misses 2-pt shot from 7 ft,,11-11,,
7:08.0,Offensive rebound by J. Parker,,11-11,,
7:00.0,G. Monroe misses 2-pt shot from 6 ft,,11-11,,
6:59.0,,,11-11,,Defensive rebound by Team
6:44.0,,,11-11,,Turnover by K. Koufos (lost ball)
6:44.0,M. Plumlee enters the game for G. Monroe,,11-11,,
6:32.0,Turnover by J. Parker (traveling),,11-11,,
6:19.0,,,11-13,2,R. Gay makes 2-pt shot from 19 ft
6:11.0,,,11-13,,Personal foul by K. Koufos (drawn by K. Middleton)
6:06.0,K. Middleton misses 2-pt shot from 11 ft,,11-13,,
6:05.0,,,11-13,,Defensive rebound by M. Belinelli
6:01.0,,,11-13,,Turnover by R. Rondo (bad pass)
5:48.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,11-13,,
5:47.0,,,11-13,,Defensive rebound by M. Belinelli
5:44.0,,,11-15,2,R. Gay makes 2-pt shot at rim (assist by M. Belinelli)
5:34.0,M. Carter-Williams makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,13-15,,
5:34.0,Shooting foul by W. Cauley-Stein (drawn by M. Carter-Williams),,13-15,,
5:34.0,,,13-15,,Sacramento full timeout
5:34.0,,,13-15,,Q. Acy enters the game for W. Cauley-Stein
5:34.0,J. Bayless enters the game for G. Antetokounmpo,,13-15,,
5:34.0,M. Carter-Williams makes free throw 1 of 1,1,14-15,,
5:14.0,,,14-15,,R. Gay misses 2-pt shot from 3 ft (block by M. Plumlee)
5:12.0,Defensive rebound by M. Carter-Williams,,14-15,,
5:08.0,Shooting foul by Q. Acy (drawn by M. Carter-Williams),,14-15,,
5:08.0,M. Carter-Williams makes free throw 1 of 2,1,15-15,,
5:08.0,,,15-15,,O. Casspi enters the game for M. Belinelli
5:08.0,M. Carter-Williams makes free throw 2 of 2,1,16-15,,
4:53.0,,,16-18,3,R. Rondo makes 3-pt shot from 23 ft (assist by R. Gay)
4:36.0,K. Middleton makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,19-18,,
