time,Milwaukee,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. G. Monroe (G. Antetokounmpo gains possession),,,,Jump ball: A. Jefferson vs. G. Monroe (G. Antetokounmpo gains possession)
11:47.0,O. Mayo misses 3-pt shot from 24 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by A. Jefferson
11:33.0,,,0-0,,Turnover by N. Batum (bad pass; steal by G. Monroe)
11:27.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,2-0,,
11:13.0,,,2-3,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
10:58.0,K. Middleton makes 3-pt shot from 24 ft (assist by O. Mayo),3,5-3,,
10:43.0,,,5-6,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
10:31.0,O. Mayo makes 2-pt shot from 17 ft (assist by J. Bayless),2,7-6,,
10:11.0,,,7-6,,Shooting foul by G. Antetokounmpo (drawn by N. Batum)
10:11.0,,,7-7,1,N. Batum makes free throw 1 of 2
10:11.0,,,7-8,1,N. Batum makes free throw 2 of 2
10:11.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,9-8,,
9:51.0,,,9-8,,Offensive charge foul by K. Walker
9:51.0,,,9-8,,Turnover by K. Walker (offensive foul)
9:51.0,K. Middleton makes 2-pt shot from 1 ft (assist by J. Bayless),2,11-8,,
9:51.0,Shooting foul by A. Jefferson (drawn by K. Middleton),,11-8,,
9:51.0,K. Middleton makes free throw 1 of 1,1,12-8,,
9:51.0,,,12-8,,Shooting foul by O. Mayo (drawn by A. Jefferson)
9:51.0,,,12-9,1,A. Jefferson makes free throw 1 of 2
9:51.0,,,12-9,,A. Jefferson misses free throw 2 of 2
9:51.0,Defensive rebound by Team,,12-9,,
9:51.0,G. Monroe misses 2-pt shot from 5 ft,,12-9,,
9:50.0,,,12-9,,Defensive rebound by M. Williams
9:27.0,,,12-9,,P. Hairston misses 2-pt shot from 21 ft
9:26.0,Defensive rebound by G. Antetokounmpo,,12-9,,
9:14.0,J. Bayless misses 3-pt shot from 25 ft,,12-9,,
9:12.0,Offensive rebound by Team,,12-9,,
8:55.0,J. Bayless misses 3-pt shot from 24 ft,,12-9,,
8:54.0,,,12-9,,Defensive rebound by P. Hairston
8:47.0,,,12-9,,Turnover by N. Batum (lost ball; steal by K. Middleton)
8:41.0,K. Middleton makes 2-pt shot at rim (assist by O. Mayo),2,14-9,,
7:56.0,,,14-9,,Charlotte full timeout
7:44.0,,,14-9,,Turnover by N. Batum (lost ball; steal by K. Middleton)
7:40.0,Turnover by J. Bayless (bad pass; steal by K. Walker),,14-9,,
7:30.0,,,14-9,,A. Jefferson misses 2-pt shot from 16 ft
7:28.0,,,14-9,,Offensive rebound by N. Batum
7:28.0,,,14-9,,N. Batum misses 2-pt shot from 1 ft
7:24.0,Defensive rebound by K. Middleton,,14-9,,
7:05.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless),2,16-9,,
6:45.0,Def 3 sec tech foul by G. Antetokounmpo,,16-9,,
6:45.0,,,16-10,1,N. Batum makes technical free throw
6:34.0,,,16-10,,K. Walker misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by Team,,16-10,,
6:33.0,,,16-10,,J. Lamb enters the game for P. Hairston
6:24.0,J. Bayless makes 2-pt shot at rim (assist by G. Monroe),2,18-10,,
