time,New York,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. I. Mahinmi (M. Ellis gains possession),,,,Jump ball: R. Lopez vs. I. Mahinmi (M. Ellis gains possession)
11:42.0,,,0-2,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George)
11:23.0,Shooting foul by I. Mahinmi (drawn by J. Grant),,0-2,,
11:23.0,J. Grant makes free throw 1 of 2,1,1-2,,
11:23.0,J. Grant makes free throw 2 of 2,1,2-2,,
11:16.0,,,2-2,,L. Allen misses 2-pt shot from 21 ft
11:13.0,,,2-2,,Offensive rebound by L. Allen
11:11.0,,,2-2,,Shooting foul by C. Early (drawn by P. George)
11:11.0,,,2-3,1,P. George makes free throw 1 of 2
11:11.0,,,2-4,1,P. George makes free throw 2 of 2
10:54.0,D. Williams makes 2-pt shot from 17 ft (assist by S. Vujacic),2,4-4,,
10:41.0,,,4-7,3,M. Ellis makes 3-pt shot from 26 ft (assist by P. George)
10:14.0,J. Grant makes 2-pt shot from 15 ft,2,6-7,,
9:54.0,,,6-7,,P. George misses 3-pt shot from 26 ft
9:52.0,,,6-7,,Offensive rebound by L. Allen
9:48.0,,,6-9,2,P. George makes 2-pt shot at rim (assist by G. Hill)
9:29.0,D. Williams makes 3-pt shot from 26 ft (assist by J. Grant),3,9-9,,
9:12.0,,,9-9,,I. Mahinmi misses 2-pt shot at rim (block by R. Lopez)
9:10.0,Defensive rebound by J. Grant,,9-9,,
9:00.0,R. Lopez makes 2-pt shot from 7 ft (assist by J. Grant),2,11-9,,
8:49.0,,,11-9,,M. Ellis misses 2-pt shot from 17 ft
8:48.0,Defensive rebound by S. Vujacic,,11-9,,
8:39.0,D. Williams makes 3-pt shot from 26 ft (assist by S. Vujacic),3,14-9,,
8:38.0,,,14-9,,Indiana full timeout
8:17.0,,,14-9,,G. Hill misses 2-pt shot from 15 ft
8:16.0,,,14-9,,Offensive rebound by L. Allen
8:01.0,,,14-9,,I. Mahinmi misses 2-pt shot from 1 ft
8:00.0,Defensive rebound by S. Vujacic,,14-9,,
7:52.0,D. Williams makes 2-pt shot from 19 ft,2,16-9,,
7:29.0,,,16-11,2,I. Mahinmi makes 2-pt shot from 7 ft
7:03.0,C. Early makes 2-pt shot from 19 ft (assist by S. Vujacic),2,18-11,,
6:51.0,,,18-13,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
6:51.0,,,18-13,,Shooting foul by S. Vujacic (drawn by I. Mahinmi)
6:51.0,L. Galloway enters the game for J. Grant,,18-13,,
6:51.0,,,18-14,1,I. Mahinmi makes free throw 1 of 1
6:35.0,S. Vujacic misses 2-pt shot from 18 ft,,18-14,,
6:33.0,Offensive rebound by C. Early,,18-14,,
6:33.0,C. Early makes 2-pt shot at rim,2,20-14,,
6:15.0,,,20-14,,L. Allen misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by S. Vujacic,,20-14,,
6:01.0,R. Lopez makes 2-pt shot from 11 ft,2,22-14,,
5:55.0,,,22-14,,Indiana full timeout
5:55.0,,,22-14,,S. Hill enters the game for L. Allen
5:44.0,,,22-14,,G. Hill misses 2-pt shot from 20 ft
5:44.0,,,22-14,,Offensive rebound by I. Mahinmi
5:44.0,,,22-16,2,I. Mahinmi makes 2-pt shot at rim
5:44.0,,,22-16,,Shooting foul by C. Early (drawn by I. Mahinmi)
5:44.0,,,22-17,1,I. Mahinmi makes free throw 1 of 1
5:29.0,C. Early misses 2-pt shot from 8 ft,,22-17,,
5:28.0,Offensive rebound by R. Lopez,,22-17,,
5:25.0,Turnover by R. Lopez (lost ball; steal by M. Ellis),,22-17,,
5:03.0,,,22-20,3,P. George makes 3-pt shot from 24 ft
4:48.0,R. Lopez makes 2-pt shot from 17 ft (assist by L. Galloway),2,24-20,,
4:36.0,,,24-20,,Turnover by M. Ellis (back court)
4:36.0,A. Afflalo enters the game for C. Early,,24-20,,
4:22.0,A. Afflalo makes 3-pt shot from 22 ft (assist by L. Galloway),3,27-20,,
4:12.0,,,27-20,,P. George misses 2-pt shot from 16 ft
4:10.0,Defensive rebound by D. Williams,,27-20,,
3:58.0,J. Grant enters the game for S. Vujacic,,27-20,,
3:58.0,,,27-20,,R. Stuckey enters the game for G. Hill
3:48.0,L. Galloway misses 2-pt shot from 18 ft,,27-20,,
3:48.0,,,27-20,,Defensive rebound by I. Mahinmi
