time,Boston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. H. Whiteside (G. Green gains possession),,,,Jump ball: A. Johnson vs. H. Whiteside (G. Green gains possession)
11:38.0,,,0-0,,D. Wade misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by A. Johnson,,0-0,,
11:25.0,Turnover by J. Crowder (bad pass; steal by D. Wade),,0-0,,
11:17.0,,,0-3,3,G. Green makes 3-pt shot from 23 ft (assist by C. Bosh)
10:52.0,J. Sullinger misses 3-pt shot from 24 ft,,0-3,,
10:51.0,,,0-3,,Defensive rebound by G. Green
10:42.0,,,0-5,2,G. Dragic makes 2-pt shot from 5 ft
10:26.0,A. Johnson makes 3-pt shot from 24 ft (assist by I. Thomas),3,3-5,,
10:12.0,,,3-5,,C. Bosh misses 2-pt shot from 14 ft
10:11.0,Defensive rebound by Team,,3-5,,
9:52.0,A. Bradley misses 2-pt shot from 19 ft,,3-5,,
9:51.0,,,3-5,,Defensive rebound by H. Whiteside
9:28.0,,,3-7,2,D. Wade makes 2-pt shot from 2 ft
9:06.0,A. Johnson makes 2-pt shot from 8 ft,2,5-7,,
8:50.0,,,5-7,,G. Dragic misses 2-pt shot from 1 ft
8:49.0,Defensive rebound by A. Johnson,,5-7,,
8:43.0,I. Thomas misses 2-pt shot from 18 ft,,5-7,,
8:42.0,,,5-7,,Defensive rebound by C. Bosh
8:30.0,,,5-9,2,D. Wade makes 2-pt shot from 11 ft
8:23.0,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas),2,7-9,,
8:06.0,Violation by J. Crowder (kicked ball),,7-9,,
8:01.0,Violation by J. Crowder (kicked ball),,7-9,,
7:49.0,,,7-9,,C. Bosh misses 3-pt shot from 24 ft
7:47.0,,,7-9,,Offensive rebound by H. Whiteside
7:36.0,,,7-12,3,C. Bosh makes 3-pt shot from 24 ft (assist by G. Dragic)
7:18.0,I. Thomas misses 2-pt shot from 12 ft,,7-12,,
7:17.0,,,7-12,,Defensive rebound by C. Bosh
7:14.0,,,7-12,,Shooting foul by J. Crowder (drawn by G. Dragic)
7:14.0,,,7-12,,G. Dragic misses free throw 1 of 2
7:14.0,,,7-12,,Offensive rebound by Team
7:14.0,,,7-13,1,G. Dragic makes free throw 2 of 2
7:03.0,I. Thomas misses 2-pt shot from 18 ft,,7-13,,
7:02.0,,,7-13,,Defensive rebound by C. Bosh
6:52.0,,,7-13,,C. Bosh misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by A. Bradley,,7-13,,
6:38.0,J. Sullinger makes 2-pt shot from 16 ft (assist by A. Bradley),2,9-13,,
6:18.0,,,9-13,,D. Wade misses 2-pt shot from 8 ft
6:17.0,,,9-13,,Offensive rebound by H. Whiteside
6:16.0,,,9-13,,Shooting foul by J. Sullinger (drawn by H. Whiteside)
6:16.0,,,9-14,1,H. Whiteside makes free throw 1 of 2
6:16.0,,,9-14,,J. McRoberts enters the game for C. Bosh
6:16.0,,,9-14,,J. Winslow enters the game for G. Green
6:16.0,,,9-15,1,H. Whiteside makes free throw 2 of 2
6:03.0,Turnover by Team (back court),,9-15,,
5:51.0,,,9-15,,Offensive foul by H. Whiteside
5:51.0,,,9-15,,Turnover by H. Whiteside (offensive foul)
5:51.0,,,9-15,,Miami full timeout
5:51.0,E. Turner enters the game for I. Thomas,,9-15,,
5:36.0,J. Crowder makes 2-pt shot from 19 ft (assist by A. Johnson),2,11-15,,
5:27.0,Personal foul by J. Crowder (drawn by D. Wade),,11-15,,
5:13.0,,,11-15,,H. Whiteside misses 2-pt shot from 8 ft
5:12.0,Defensive rebound by A. Johnson,,11-15,,
5:04.0,A. Bradley makes 2-pt shot from 21 ft,2,13-15,,
4:47.0,,,13-15,,Turnover by G. Dragic (bad pass; steal by J. Crowder)
4:42.0,E. Turner makes 2-pt shot from 1 ft (assist by A. Bradley),2,15-15,,
4:21.0,,,15-15,,D. Wade misses 2-pt shot from 19 ft
4:20.0,,,15-15,,Offensive rebound by H. Whiteside
4:11.0,,,15-17,2,D. Wade makes 2-pt shot from 2 ft
3:57.0,,,15-17,,Def 3 sec tech foul by H. Whiteside
3:57.0,A. Bradley makes technical free throw,1,16-17,,
3:57.0,,,16-17,,T. Johnson enters the game for D. Wade
3:57.0,J. Jerebko enters the game for A. Johnson,,16-17,,
3:47.0,J. Sullinger makes 2-pt shot from 15 ft,2,18-17,,
3:32.0,,,18-17,,Turnover by T. Johnson (bad pass; steal by E. Turner)
3:28.0,E. Turner misses 2-pt shot from 2 ft,,18-17,,
3:27.0,Offensive rebound by J. Crowder,,18-17,,
3:26.0,J. Crowder makes 2-pt shot from 1 ft,2,20-17,,
3:05.0,,,20-17,,Turnover by J. Winslow (lost ball; steal by J. Jerebko)
2:56.0,Shooting foul by H. Whiteside (drawn by J. Crowder),,20-17,,
2:56.0,Boston full timeout,,20-17,,
2:56.0,D. Lee enters the game for J. Sullinger,,20-17,,
2:56.0,,,20-17,,C. Bosh enters the game for H. Whiteside
2:56.0,J. Crowder makes free throw 1 of 2,1,21-17,,
2:56.0,J. Crowder makes free throw 2 of 2,1,22-17,,
2:43.0,,,22-19,2,J. McRoberts makes 2-pt shot from 19 ft (assist by C. Bosh)
2:28.0,A. Bradley makes 2-pt shot from 18 ft,2,24-19,,
2:15.0,,,24-19,,G. Dragic misses 3-pt shot from 23 ft
2:14.0,Defensive rebound by J. Jerebko,,24-19,,
2:02.0,D. Lee misses 2-pt shot from 2 ft,,24-19,,
2:01.0,Offensive rebound by J. Jerebko,,24-19,,
1:53.0,E. Turner makes 2-pt shot at rim,2,26-19,,
1:30.0,,,26-19,,C. Bosh misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by J. Crowder,,26-19,,
1:21.0,D. Lee makes 2-pt shot from 1 ft (assist by E. Turner),2,28-19,,
1:00.0,,,28-19,,J. McRoberts misses 2-pt shot from 9 ft
0:59.0,Defensive rebound by D. Lee,,28-19,,
0:52.0,Turnover by J. Crowder (lost ball; steal by C. Bosh),,28-19,,
0:49.0,,,28-21,2,T. Johnson makes 2-pt shot from 2 ft (assist by C. Bosh)
0:31.0,E. Turner makes 2-pt shot from 12 ft,2,30-21,,
0:22.0,Personal foul by D. Lee (drawn by J. McRoberts),,30-21,,
0:22.0,,,30-21,,G. Green enters the game for G. Dragic
0:22.0,I. Thomas enters the game for J. Crowder,,30-21,,
0:07.0,,,30-23,2,C. Bosh makes 2-pt shot at rim (assist by J. Winslow)
0:00.0,I. Thomas makes 2-pt shot from 6 ft,2,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by D. Lee (bad pass),,32-23,,
11:37.0,,,32-23,,J. Winslow misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by J. Jerebko,,32-23,,
11:26.0,J. Jerebko misses 2-pt shot from 7 ft (block by G. Green),,32-23,,
11:25.0,,,32-23,,Defensive rebound by J. Winslow
11:15.0,,,32-26,3,T. Johnson makes 3-pt shot from 24 ft (assist by G. Green)
11:00.0,Shooting foul by T. Johnson (drawn by I. Thomas),,32-26,,
11:00.0,I. Thomas misses free throw 1 of 2,,32-26,,
11:00.0,Offensive rebound by Team,,32-26,,
11:00.0,I. Thomas makes free throw 2 of 2,1,33-26,,
10:43.0,,,33-26,,Turnover by C. Bosh (bad pass; steal by E. Turner)
10:39.0,Shooting foul by G. Green (drawn by K. Olynyk),,33-26,,
10:39.0,K. Olynyk makes free throw 1 of 2,1,34-26,,
10:39.0,K. Olynyk makes free throw 2 of 2,1,35-26,,
10:29.0,,,35-28,2,T. Johnson makes 2-pt shot at rim (assist by J. McRoberts)
10:17.0,Turnover by K. Olynyk (traveling),,35-28,,
10:05.0,,,35-28,,G. Green misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by K. Olynyk,,35-28,,
9:59.0,D. Lee makes 2-pt shot from 1 ft (assist by I. Thomas),2,37-28,,
9:59.0,,,37-28,,Miami full timeout
9:48.0,,,37-30,2,J. McRoberts makes 2-pt shot from 19 ft (assist by J. Winslow)
9:31.0,J. Jerebko misses 2-pt shot from 2 ft,,37-30,,
9:30.0,,,37-30,,Defensive rebound by Team
9:30.0,Loose ball foul by K. Olynyk (drawn by C. Bosh),,37-30,,
9:19.0,,,37-30,,Shooting foul by J. Jerebko (drawn by C. Bosh)
9:19.0,,,37-31,1,C. Bosh makes free throw 1 of 2
9:19.0,,,37-32,1,C. Bosh makes free throw 2 of 2
9:05.0,I. Thomas makes 2-pt shot from 13 ft,2,39-32,,
8:47.0,,,39-34,2,J. Winslow makes 2-pt shot from 3 ft
8:47.0,Shooting block foul by J. Jerebko (drawn by J. Winslow),,39-34,,
8:47.0,,,39-35,1,J. Winslow makes free throw 1 of 1
8:36.0,,,39-35,,Violation by J. McRoberts (kicked ball)
8:24.0,Turnover by K. Olynyk (traveling),,39-35,,
8:10.0,,,39-37,2,G. Green makes 2-pt shot from 15 ft (assist by J. Winslow)
7:56.0,K. Olynyk misses 3-pt shot from 24 ft,,39-37,,
7:55.0,Offensive rebound by D. Lee,,39-37,,
7:52.0,I. Thomas misses 3-pt shot from 25 ft,,39-37,,
7:51.0,,,39-37,,Defensive rebound by J. Winslow
7:44.0,,,39-40,3,T. Johnson makes 3-pt shot from 23 ft (assist by J. Winslow)
7:44.0,Boston full timeout,,39-40,,
7:44.0,A. Johnson enters the game for J. Jerebko,,39-40,,
7:44.0,J. Sullinger enters the game for D. Lee,,39-40,,
