time,Golden State,pts.away,score,pts.home,San Antonio
3:41.0,S. Livingston misses 2-pt shot from 7 ft,,13-13,,
3:39.0,Offensive rebound by F. Ezeli,,13-13,,
3:37.0,Turnover by F. Ezeli (lost ball; steal by M. Ginobili),,13-13,,
3:25.0,,,13-13,,Turnover by D. Green (lost ball; steal by A. Iguodala)
3:08.0,H. Barnes misses 2-pt shot from 11 ft,,13-13,,
3:08.0,Offensive rebound by F. Ezeli,,13-13,,
3:05.0,F. Ezeli misses 2-pt shot from 1 ft,,13-13,,
3:04.0,,,13-13,,Defensive rebound by K. Anderson
2:53.0,,,13-15,2,M. Ginobili makes 2-pt shot from 17 ft (assist by K. Anderson)
2:47.0,Golden State full timeout,,13-15,,
2:47.0,,,13-15,,L. Aldridge enters the game for D. West
2:37.0,K. Thompson misses 2-pt shot from 12 ft,,13-15,,
2:35.0,Offensive rebound by F. Ezeli,,13-15,,
2:35.0,F. Ezeli misses 2-pt shot at rim,,13-15,,
2:34.0,,,13-15,,Defensive rebound by L. Aldridge
2:14.0,,,13-15,,Turnover by D. Green (3 sec)
1:54.0,K. Thompson misses 2-pt shot from 2 ft,,13-15,,
1:53.0,,,13-15,,Defensive rebound by K. Anderson
1:37.0,,,13-17,2,L. Aldridge makes 2-pt shot from 12 ft (assist by M. Ginobili)
1:22.0,K. Thompson misses 2-pt shot at rim (block by M. Ginobili),,13-17,,
1:22.0,Offensive rebound by Team,,13-17,,
1:13.0,F. Ezeli misses 2-pt shot from 13 ft,,13-17,,
1:12.0,,,13-17,,Defensive rebound by K. Anderson
1:02.0,,,13-19,2,K. Anderson makes 2-pt shot at rim (assist by L. Aldridge)
0:47.0,,,13-19,,Personal foul by K. Anderson
0:47.0,F. Ezeli makes free throw 1 of 2,1,14-19,,
0:47.0,F. Ezeli misses free throw 2 of 2,,14-19,,
0:47.0,,,14-19,,Defensive rebound by K. Anderson
0:32.0,,,14-19,,Turnover by D. Green (lost ball; steal by F. Ezeli)
0:27.0,Turnover by S. Livingston (bad pass),,14-19,,
0:27.0,D. Green enters the game for F. Ezeli,,14-19,,
0:27.0,B. Rush enters the game for K. Thompson,,14-19,,
0:27.0,,,14-19,,K. Leonard enters the game for K. Anderson
0:06.0,,,14-19,,L. Aldridge misses 2-pt shot from 13 ft
0:04.0,Defensive rebound by A. Iguodala,,14-19,,
0:01.0,B. Rush misses 3-pt shot from 32 ft,,14-19,,
0:00.0,Offensive rebound by Team,,14-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,14-19,,K. Anderson misses 2-pt shot from 20 ft
11:33.0,,,14-19,,Offensive rebound by P. Mills
11:28.0,,,14-22,3,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Leonard)
11:13.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala),2,16-22,,
10:51.0,,,16-25,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard)
10:35.0,,,16-25,,Personal foul by K. Anderson
10:28.0,B. Rush misses 3-pt shot from 23 ft,,16-25,,
10:27.0,,,16-25,,Defensive rebound by K. Leonard
10:19.0,Personal foul by S. Livingston,,16-25,,
10:19.0,,,16-25,,K. Martin enters the game for M. Ginobili
10:08.0,,,16-25,,D. West misses 2-pt shot from 5 ft
10:06.0,Defensive rebound by S. Curry,,16-25,,
