time,Houston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Howard (C. Capela gains possession),,,,Jump ball: M. Gasol vs. D. Howard (C. Capela gains possession)
11:39.0,Turnover by C. Capela (bad pass; steal by M. Chalmers),,0-0,,
11:10.0,,,0-3,3,T. Allen makes 3-pt shot from 23 ft (assist by M. Chalmers)
11:04.0,J. Harden makes 3-pt shot from 26 ft (assist by P. Beverley),3,3-3,,
10:42.0,,,3-3,,M. Gasol misses 2-pt shot from 17 ft
10:41.0,Defensive rebound by T. Ariza,,3-3,,
10:30.0,Turnover by P. Beverley (bad pass),,3-3,,
10:12.0,,,3-5,2,M. Gasol makes 2-pt shot from 16 ft
10:00.0,,,3-5,,Personal foul by M. Gasol (drawn by J. Harden)
9:49.0,D. Howard misses 2-pt shot from 6 ft (block by M. Gasol),,3-5,,
9:48.0,Offensive rebound by J. Harden,,3-5,,
9:46.0,Turnover by Team (shot clock),,3-5,,
9:30.0,,,3-7,2,T. Allen makes 2-pt shot from 12 ft (assist by J. Green)
9:12.0,Turnover by D. Howard (lost ball; steal by M. Gasol),,3-7,,
9:06.0,,,3-10,3,C. Lee makes 3-pt shot from 26 ft (assist by M. Chalmers)
8:49.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,5-10,,
8:39.0,Personal foul by J. Harden (drawn by J. Green),,5-10,,
8:25.0,,,5-10,,Turnover by C. Lee (bad pass; steal by C. Capela)
8:19.0,P. Beverley misses 3-pt shot from 25 ft,,5-10,,
8:18.0,Offensive rebound by D. Howard,,5-10,,
8:11.0,P. Beverley makes 3-pt shot from 26 ft (assist by J. Harden),3,8-10,,
7:43.0,,,8-10,,T. Allen misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by C. Capela,,8-10,,
7:34.0,Shooting foul by J. Green (drawn by J. Harden),,8-10,,
7:34.0,J. Harden makes free throw 1 of 2,1,9-10,,
7:34.0,J. Harden makes free throw 2 of 2,1,10-10,,
7:20.0,,,10-10,,J. Green misses 2-pt shot from 20 ft
7:19.0,Defensive rebound by D. Howard,,10-10,,
7:11.0,Turnover by J. Harden (bad pass; steal by C. Lee),,10-10,,
6:48.0,,,10-12,2,M. Gasol makes 2-pt shot from 8 ft (assist by T. Allen)
6:33.0,T. Ariza misses 2-pt shot from 13 ft,,10-12,,
6:33.0,Offensive rebound by P. Beverley,,10-12,,
6:22.0,T. Ariza misses 2-pt shot from 16 ft,,10-12,,
6:22.0,Offensive rebound by Team,,10-12,,
6:22.0,Turnover by Team (shot clock),,10-12,,
6:22.0,T. Jones enters the game for C. Capela,,10-12,,
6:02.0,,,10-12,,Turnover by M. Gasol (traveling)
5:42.0,D. Howard makes 2-pt shot at rim,2,12-12,,
5:21.0,,,12-12,,J. Green misses 2-pt shot from 20 ft
5:20.0,,,12-12,,Offensive rebound by T. Allen
5:17.0,,,12-14,2,T. Allen makes 2-pt shot at rim
5:02.0,D. Howard makes 2-pt shot at rim (assist by T. Jones),2,14-14,,
5:02.0,,,14-14,,Memphis full timeout
5:02.0,J. Terry enters the game for P. Beverley,,14-14,,
5:02.0,,,14-14,,Z. Randolph enters the game for J. Green
4:44.0,,,14-14,,Z. Randolph misses 2-pt shot from 16 ft
4:40.0,,,14-14,,Offensive rebound by C. Lee
4:36.0,,,14-16,2,M. Gasol makes 2-pt shot from 13 ft (assist by T. Allen)
4:19.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Terry),3,17-16,,
4:03.0,,,17-16,,C. Lee misses 2-pt shot from 11 ft
4:03.0,Defensive rebound by J. Harden,,17-16,,
3:56.0,T. Ariza misses 3-pt shot from 25 ft,,17-16,,
3:54.0,Offensive rebound by D. Howard,,17-16,,
3:47.0,J. Terry misses 3-pt shot from 25 ft,,17-16,,
3:46.0,Offensive rebound by T. Ariza,,17-16,,
3:43.0,,,17-16,,Personal foul by T. Allen (drawn by J. Harden)
3:43.0,C. Capela enters the game for T. Ariza,,17-16,,
3:43.0,C. Brewer enters the game for D. Howard,,17-16,,
3:34.0,J. Harden misses 3-pt shot from 25 ft,,17-16,,
3:33.0,,,17-16,,Defensive rebound by Team
3:18.0,,,17-18,2,M. Gasol makes 2-pt shot from 5 ft
3:02.0,J. Terry misses 2-pt shot from 7 ft,,17-18,,
3:01.0,,,17-18,,Defensive rebound by Team
2:46.0,,,17-18,,C. Lee misses 3-pt shot from 24 ft
2:45.0,Defensive rebound by J. Harden,,17-18,,
2:38.0,Shooting foul by Z. Randolph (drawn by C. Capela),,17-18,,
2:38.0,Houston full timeout,,17-18,,
2:38.0,M. Thornton enters the game for J. Harden,,17-18,,
2:38.0,,,17-18,,V. Carter enters the game for T. Allen
2:38.0,C. Capela misses free throw 1 of 2,,17-18,,
2:38.0,Offensive rebound by Team,,17-18,,
2:38.0,C. Capela makes free throw 2 of 2,1,18-18,,
2:16.0,,,18-20,2,M. Gasol makes 2-pt shot from 13 ft
1:58.0,Turnover by M. Thornton (bad pass),,18-20,,
1:52.0,Personal foul by J. Terry (drawn by M. Chalmers),,18-20,,
1:52.0,D. Howard enters the game for C. Capela,,18-20,,
1:36.0,,,18-20,,Turnover by M. Chalmers (bad pass; steal by T. Jones)
1:29.0,T. Jones makes 2-pt shot at rim,2,20-20,,
1:16.0,Personal foul by C. Brewer (drawn by V. Carter),,20-20,,
1:16.0,,,20-21,1,V. Carter makes free throw 1 of 2
1:16.0,,,20-22,1,V. Carter makes free throw 2 of 2
1:05.0,,,20-22,,Personal foul by C. Lee (drawn by M. Thornton)
1:05.0,M. Thornton makes free throw 1 of 2,1,21-22,,
1:05.0,M. Thornton makes free throw 2 of 2,1,22-22,,
0:50.0,C. Capela enters the game for T. Jones,,22-22,,
0:50.0,P. Beverley enters the game for J. Terry,,22-22,,
0:45.0,,,22-22,,M. Chalmers misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by D. Howard,,22-22,,
0:38.0,M. Thornton misses 3-pt shot from 25 ft,,22-22,,
0:35.0,,,22-22,,Defensive rebound by M. Gasol
0:26.0,,,22-22,,Turnover by C. Lee (back court)
0:26.0,J. Harden enters the game for C. Brewer,,22-22,,
0:26.0,T. Ariza enters the game for C. Capela,,22-22,,
0:06.0,Turnover by J. Harden (bad pass; steal by M. Gasol),,22-22,,
0:00.0,,,22-24,2,C. Lee makes 2-pt shot from 14 ft (assist by M. Gasol)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-26,2,C. Lee makes 2-pt shot from 14 ft (assist by V. Carter)
11:25.0,M. Thornton makes 2-pt shot from 1 ft (assist by T. Jones),2,24-26,,
11:25.0,Shooting foul by C. Lee (drawn by M. Thornton),,24-26,,
11:25.0,M. Thornton makes free throw 1 of 1,1,25-26,,
11:05.0,,,25-26,,Turnover by M. Chalmers (bad pass; steal by T. Jones)
10:58.0,C. Brewer misses 2-pt shot from 2 ft,,25-26,,
10:57.0,,,25-26,,Defensive rebound by Team
10:47.0,,,25-26,,J. Green misses 2-pt shot from 20 ft
10:46.0,Defensive rebound by J. Terry,,25-26,,
10:27.0,T. Jones misses 2-pt shot from 5 ft,,25-26,,
10:27.0,Offensive rebound by Team,,25-26,,
10:27.0,,,25-26,,Loose ball foul by J. Green (drawn by M. Thornton)
10:27.0,,,25-26,,J. Green enters the game for C. Lee
10:18.0,M. Thornton makes 3-pt shot from 24 ft (assist by C. Capela),3,28-26,,
9:52.0,,,28-29,3,J. Green makes 3-pt shot from 23 ft (assist by J. Green)
9:28.0,M. Thornton makes 3-pt shot from 25 ft,3,31-29,,
9:17.0,,,31-29,,Shooting foul by M. Thornton (drawn by J. Green)
9:17.0,,,31-30,1,J. Green makes free throw 1 of 2
9:17.0,,,31-31,1,J. Green makes free throw 2 of 2
8:57.0,T. Jones makes 3-pt shot from 23 ft (assist by J. Terry),3,34-31,,
8:51.0,,,34-31,,Memphis full timeout
8:39.0,,,34-33,2,Z. Randolph makes 2-pt shot from 19 ft (assist by V. Carter)
8:18.0,Shooting foul by J. Green (drawn by T. Jones),,34-33,,
8:18.0,T. Jones makes free throw 1 of 2,1,35-33,,
8:18.0,,,35-33,,T. Allen enters the game for M. Chalmers
8:18.0,T. Jones misses free throw 2 of 2,,35-33,,
8:17.0,,,35-33,,Defensive rebound by J. Green
8:02.0,,,35-33,,Z. Randolph misses 2-pt shot from 14 ft
7:59.0,Defensive rebound by T. Jones,,35-33,,
7:59.0,Turnover by T. Jones (traveling),,35-33,,
7:59.0,D. Howard enters the game for T. Jones,,35-33,,
7:59.0,J. Harden enters the game for C. Brewer,,35-33,,
7:59.0,T. Ariza enters the game for M. Thornton,,35-33,,
7:51.0,,,35-33,,V. Carter misses 3-pt shot from 25 ft
7:50.0,,,35-33,,Offensive rebound by V. Carter
7:41.0,,,35-33,,Shooting foul by C. Capela (drawn by J. Green)
7:41.0,,,35-33,,J. Green misses free throw 1 of 2
7:41.0,,,35-33,,Offensive rebound by Team
7:41.0,,,35-34,1,J. Green makes free throw 2 of 2
7:21.0,C. Capela misses 2-pt shot from 1 ft,,35-34,,
7:21.0,Offensive rebound by C. Capela,,35-34,,
7:21.0,D. Howard misses 2-pt shot from 2 ft,,35-34,,
7:20.0,Offensive rebound by D. Howard,,35-34,,
7:14.0,T. Ariza misses 2-pt shot from 2 ft,,35-34,,
7:12.0,Offensive rebound by C. Capela,,35-34,,
7:10.0,C. Capela misses 2-pt shot at rim,,35-34,,
7:09.0,Offensive rebound by D. Howard,,35-34,,
7:09.0,D. Howard misses 2-pt shot from 1 ft,,35-34,,
7:08.0,,,35-34,,Defensive rebound by T. Allen
6:56.0,,,35-36,2,Z. Randolph makes 2-pt shot from 2 ft
6:45.0,P. Beverley enters the game for J. Terry,,35-36,,
6:31.0,D. Howard misses 2-pt shot from 9 ft,,35-36,,
6:31.0,Offensive rebound by Team,,35-36,,
6:31.0,Turnover by Team (shot clock),,35-36,,
6:17.0,Def 3 sec tech foul by C. Capela,,35-36,,
6:17.0,,,35-37,1,V. Carter makes technical free throw
6:11.0,,,35-37,,Turnover by Z. Randolph (bad pass; steal by T. Ariza)
6:10.0,,,35-37,,Shooting block foul by J. Green (drawn by T. Ariza)
6:10.0,T. Ariza makes 2-pt shot from 1 ft,2,37-37,,
6:10.0,T. Ariza misses free throw 1 of 1,,37-37,,
6:08.0,,,37-37,,Defensive rebound by Z. Randolph
5:56.0,,,37-37,,T. Allen misses 2-pt shot from 5 ft
