time,Memphis,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. B. Wright (A. Len gains possession),,,,Jump ball: T. Chandler vs. B. Wright (A. Len gains possession)
11:44.0,,,0-2,2,A. Len makes 2-pt shot at rim (assist by T. Chandler)
11:28.0,M. Conley misses 2-pt shot from 21 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by T. Chandler
11:13.0,,,0-2,,A. Len misses 2-pt shot from 7 ft
11:11.0,Defensive rebound by P. Hairston,,0-2,,
11:00.0,,,0-2,,Personal foul by A. Len (drawn by B. Wright)
10:47.0,B. Wright makes 2-pt shot from 9 ft (assist by M. Conley),2,2-2,,
10:33.0,,,2-2,,Turnover by R. Price (bad pass; steal by M. Conley)
10:24.0,Shooting foul by R. Price (drawn by M. Conley),,2-2,,
10:24.0,M. Conley misses free throw 1 of 2,,2-2,,
10:24.0,Offensive rebound by Team,,2-2,,
10:24.0,M. Conley makes free throw 2 of 2,1,3-2,,
10:14.0,,,3-2,,Turnover by D. Booker (bad pass; steal by B. Wright)
10:03.0,Z. Randolph misses 2-pt shot from 19 ft,,3-2,,
10:03.0,Offensive rebound by M. Conley,,3-2,,
9:52.0,Z. Randolph misses 2-pt shot from 19 ft,,3-2,,
9:51.0,,,3-2,,Defensive rebound by T. Chandler
9:39.0,,,3-4,2,D. Booker makes 2-pt shot from 20 ft
9:15.0,M. Barnes misses 3-pt shot from 25 ft,,3-4,,
9:15.0,,,3-4,,Defensive rebound by T. Chandler
9:08.0,,,3-4,,D. Booker misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by P. Hairston,,3-4,,
8:56.0,P. Hairston misses 2-pt shot from 20 ft,,3-4,,
8:56.0,,,3-4,,Defensive rebound by T. Chandler
8:43.0,,,3-4,,D. Booker misses 2-pt shot from 6 ft
8:42.0,,,3-4,,Offensive rebound by T. Chandler
8:42.0,,,3-6,2,T. Chandler makes 2-pt shot at rim
8:21.0,Z. Randolph misses 2-pt shot from 1 ft (block by A. Len),,3-6,,
8:20.0,,,3-6,,Defensive rebound by A. Len
8:16.0,,,3-6,,P. Tucker misses 2-pt shot from 1 ft
8:11.0,,,3-6,,Offensive rebound by T. Chandler
8:11.0,,,3-6,,T. Chandler misses 2-pt shot at rim
8:09.0,Defensive rebound by B. Wright,,3-6,,
7:53.0,B. Wright makes 2-pt shot from 4 ft,2,5-6,,
7:37.0,Personal foul by M. Barnes (drawn by D. Booker),,5-6,,
7:29.0,,,5-6,,Shooting foul by B. Wright (drawn by A. Len)
7:29.0,,,5-7,1,A. Len makes free throw 1 of 2
7:29.0,,,5-8,1,A. Len makes free throw 2 of 2
7:14.0,Shooting foul by D. Booker (drawn by P. Hairston),,5-8,,
7:14.0,P. Hairston makes free throw 1 of 2,1,6-8,,
7:14.0,P. Hairston misses free throw 2 of 2,,6-8,,
7:14.0,,,6-8,,Defensive rebound by A. Len
6:56.0,,,6-8,,R. Price misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by Z. Randolph,,6-8,,
6:35.0,M. Conley misses 2-pt shot from 18 ft,,6-8,,
6:35.0,,,6-8,,Defensive rebound by P. Tucker
6:22.0,,,6-8,,Turnover by R. Price (bad pass; steal by B. Wright)
6:10.0,Shooting foul by T. Chandler (drawn by Z. Randolph),,6-8,,
6:10.0,,,6-8,,Violation by Team (delay of game)
6:10.0,Z. Randolph makes free throw 1 of 2,1,7-8,,
6:10.0,J. Green enters the game for B. Wright,,7-8,,
6:10.0,M. Chalmers enters the game for M. Conley,,7-8,,
6:10.0,Z. Randolph makes free throw 2 of 2,1,8-8,,
6:02.0,,,8-8,,Turnover by T. Chandler (bad pass; steal by M. Barnes)
5:56.0,J. Green misses 2-pt shot at rim,,8-8,,
5:54.0,,,8-8,,Defensive rebound by A. Len
5:50.0,,,8-10,2,D. Booker makes 2-pt shot from 1 ft
5:31.0,M. Chalmers misses 3-pt shot from 23 ft,,8-10,,
5:30.0,,,8-10,,Defensive rebound by T. Chandler
5:20.0,,,8-10,,Turnover by R. Price (bad pass; steal by J. Green)
5:18.0,,,8-10,,Personal foul by R. Price (drawn by M. Chalmers)
5:18.0,,,8-10,,Phoenix full timeout
5:18.0,,,8-10,,P. Pressey enters the game for R. Price
5:18.0,M. Chalmers makes free throw 1 of 2,1,9-10,,
5:18.0,M. Chalmers makes free throw 2 of 2,1,10-10,,
5:04.0,,,10-12,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
4:48.0,Z. Randolph misses 2-pt shot from 1 ft,,10-12,,
4:47.0,,,10-12,,Defensive rebound by T. Chandler
4:43.0,,,10-12,,P. Tucker misses 2-pt shot from 1 ft (block by P. Hairston)
4:43.0,Defensive rebound by Team,,10-12,,
4:26.0,J. Green misses 3-pt shot from 22 ft,,10-12,,
4:26.0,,,10-12,,Defensive rebound by P. Tucker
4:12.0,,,10-12,,A. Len misses 2-pt shot from 5 ft
4:10.0,,,10-12,,Offensive rebound by P. Tucker
3:59.0,,,10-12,,Turnover by T. Chandler (bad pass; steal by M. Chalmers)
3:56.0,Turnover by M. Chalmers (dbl dribble),,10-12,,
3:56.0,V. Carter enters the game for Z. Randolph,,10-12,,
3:56.0,C. Andersen enters the game for M. Barnes,,10-12,,
3:47.0,,,10-12,,Turnover by D. Booker (bad pass; steal by V. Carter)
3:38.0,J. Green misses 2-pt shot from 4 ft,,10-12,,
3:36.0,,,10-12,,Defensive rebound by T. Chandler
3:31.0,,,10-12,,P. Tucker misses 3-pt shot from 22 ft
3:29.0,,,10-12,,Offensive rebound by P. Pressey
3:17.0,Personal foul by C. Andersen (drawn by T. Chandler),,10-12,,
3:17.0,L. Stephenson enters the game for P. Hairston,,10-12,,
3:17.0,,,10-12,,M. Teletovic enters the game for T. Chandler
3:04.0,,,10-15,3,D. Booker makes 3-pt shot from 28 ft (assist by P. Pressey)
2:43.0,C. Andersen makes 2-pt shot at rim (assist by J. Green),2,12-15,,
2:29.0,,,12-15,,Shooting foul by C. Andersen (drawn by A. Len)
2:29.0,Memphis full timeout,,12-15,,
2:29.0,,,12-15,,A. Len misses free throw 1 of 2
