time,Detroit,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. B. Lopez (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. B. Lopez (R. Jackson gains possession)
11:46.0,M. Morris misses 2-pt shot from 18 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by J. Jack
11:27.0,,,0-0,,B. Lopez misses 2-pt shot from 13 ft
11:26.0,Defensive rebound by M. Morris,,0-0,,
11:10.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by J. Jack
10:53.0,,,0-0,,B. Lopez misses 2-pt shot from 6 ft
10:52.0,Defensive rebound by R. Jackson,,0-0,,
10:46.0,Turnover by R. Jackson (lost ball; steal by B. Lopez),,0-0,,
10:41.0,,,0-2,2,T. Young makes 2-pt shot at rim (assist by B. Lopez)
10:19.0,M. Morris misses 2-pt shot from 7 ft,,0-2,,
10:18.0,,,0-2,,Defensive rebound by J. Jack
10:02.0,Personal foul by R. Jackson (drawn by R. Hollis-Jefferson),,0-2,,
9:55.0,,,0-2,,B. Lopez misses 2-pt shot from 13 ft
9:54.0,Defensive rebound by A. Drummond,,0-2,,
9:43.0,,,0-2,,Personal foul by T. Young (drawn by E. Ilyasova)
9:31.0,R. Jackson misses 3-pt shot from 29 ft,,0-2,,
9:30.0,,,0-2,,Defensive rebound by R. Hollis-Jefferson
9:21.0,,,0-2,,B. Lopez misses 2-pt shot from 9 ft
9:20.0,Defensive rebound by R. Jackson,,0-2,,
9:16.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,2-2,,
9:16.0,Shooting foul by B. Lopez (drawn by A. Drummond),,2-2,,
9:16.0,Turnover by A. Drummond (lane violation.),,2-2,,
9:03.0,,,2-4,2,B. Lopez makes 2-pt shot from 1 ft (assist by T. Young)
9:03.0,,,2-4,,Shooting foul by A. Drummond (drawn by B. Lopez)
9:03.0,,,2-5,1,B. Lopez makes free throw 1 of 1
8:54.0,R. Jackson misses 2-pt shot from 14 ft,,2-5,,
8:53.0,,,2-5,,Defensive rebound by Team
8:35.0,,,2-5,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by A. Drummond)
8:34.0,,,2-5,,Offensive rebound by Team
