time,Indiana,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. I. Mahinmi (O. Asik gains possession),,,,Jump ball: A. Davis vs. I. Mahinmi (O. Asik gains possession)
11:43.0,,,0-0,,A. Davis misses 2-pt shot from 11 ft
11:43.0,Defensive rebound by I. Mahinmi,,0-0,,
11:25.0,I. Mahinmi makes 2-pt shot from 18 ft (assist by G. Hill),2,2-0,,
11:03.0,,,2-2,2,A. Davis makes 2-pt shot from 7 ft (assist by D. Cunningham)
10:49.0,L. Allen makes 2-pt shot at rim (assist by P. George),2,4-2,,
10:35.0,,,4-4,2,E. Gordon makes 2-pt shot from 19 ft (assist by A. Davis)
10:20.0,Turnover by G. Hill (bad pass; steal by T. Evans),,4-4,,
10:15.0,,,4-4,,T. Evans misses 2-pt shot at rim
10:15.0,,,4-4,,Offensive rebound by Team
10:15.0,Loose ball foul by P. George,,4-4,,
10:07.0,,,4-4,,Turnover by T. Evans (lost ball)
9:51.0,Turnover by I. Mahinmi (bad pass; steal by E. Gordon),,4-4,,
9:45.0,,,4-6,2,T. Evans makes 2-pt shot from 1 ft (assist by E. Gordon)
9:33.0,,,4-6,,Personal foul by T. Evans
9:28.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,6-6,,
9:02.0,,,6-6,,T. Evans misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by I. Mahinmi,,6-6,,
8:51.0,P. George misses 2-pt shot from 9 ft,,6-6,,
8:49.0,,,6-6,,Defensive rebound by A. Davis
8:48.0,,,6-6,,Turnover by A. Davis (bad pass; steal by P. George)
8:47.0,Shooting foul by O. Asik (drawn by P. George),,6-6,,
8:47.0,P. George makes free throw 1 of 2,1,7-6,,
8:47.0,P. George misses free throw 2 of 2,,7-6,,
8:46.0,,,7-6,,Defensive rebound by E. Gordon
8:39.0,,,7-6,,New Orleans full timeout
8:39.0,,,7-6,,R. Anderson enters the game for A. Davis
8:28.0,,,7-8,2,R. Anderson makes 2-pt shot from 20 ft (assist by T. Evans)
8:07.0,Turnover by P. George (lost ball; steal by T. Evans),,7-8,,
7:56.0,,,7-8,,D. Cunningham misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by I. Mahinmi,,7-8,,
7:46.0,G. Hill misses 2-pt shot from 20 ft,,7-8,,
7:42.0,Offensive rebound by L. Allen,,7-8,,
7:29.0,,,7-8,,Def 3 sec tech foul by O. Asik
7:29.0,P. George makes technical free throw,1,8-8,,
7:24.0,I. Mahinmi misses 2-pt shot from 2 ft,,8-8,,
7:23.0,,,8-8,,Defensive rebound by T. Evans
7:04.0,,,8-8,,R. Anderson misses 3-pt shot from 22 ft
7:03.0,Defensive rebound by P. George,,8-8,,
6:56.0,P. George makes 2-pt shot from 11 ft,2,10-8,,
6:44.0,,,10-8,,Shooting foul by I. Mahinmi (drawn by R. Anderson)
6:44.0,,,10-9,1,R. Anderson makes free throw 1 of 2
6:44.0,C. Miles enters the game for L. Allen,,10-9,,
6:44.0,,,10-9,,A. Ajinca enters the game for O. Asik
6:44.0,,,10-10,1,R. Anderson makes free throw 2 of 2
6:24.0,G. Hill misses 2-pt shot from 9 ft,,10-10,,
6:21.0,,,10-10,,Defensive rebound by A. Ajinca
6:12.0,,,10-12,2,T. Evans makes 2-pt shot from 4 ft
5:53.0,P. George misses 3-pt shot from 23 ft,,10-12,,
5:52.0,,,10-12,,Defensive rebound by R. Anderson
5:51.0,Personal foul by I. Mahinmi (drawn by R. Anderson),,10-12,,
5:51.0,,,10-12,,New Orleans full timeout
5:51.0,M. Turner enters the game for I. Mahinmi,,10-12,,
5:51.0,,,10-12,,J. Holiday enters the game for D. Cunningham
5:44.0,Personal foul by G. Hill (drawn by R. Anderson),,10-12,,
5:39.0,,,10-12,,T. Evans misses 2-pt shot from 3 ft
5:38.0,,,10-12,,Offensive rebound by A. Ajinca
5:38.0,,,10-12,,A. Ajinca misses 2-pt shot from 1 ft
5:37.0,,,10-12,,Offensive rebound by A. Ajinca
