time,Phoenix,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Jokic (M. Morris gains possession),,,,Jump ball: T. Chandler vs. N. Jokic (M. Morris gains possession)
11:48.0,T. Chandler misses 2-pt shot from 15 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by D. Gallinari
11:22.0,,,0-0,,G. Harris misses 2-pt shot from 18 ft
11:21.0,Defensive rebound by T. Chandler,,0-0,,
11:11.0,M. Morris makes 2-pt shot from 16 ft,2,2-0,,
10:57.0,,,2-0,,N. Jokic misses 2-pt shot from 4 ft
10:54.0,Defensive rebound by P. Tucker,,2-0,,
10:53.0,,,2-0,,Personal foul by K. Faried (drawn by P. Tucker)
10:44.0,,,2-0,,Shooting block foul by E. Mudiay (drawn by B. Knight)
10:44.0,B. Knight makes free throw 1 of 2,1,3-0,,
10:44.0,B. Knight makes free throw 2 of 2,1,4-0,,
10:44.0,,,4-0,,K. Faried misses 2-pt shot from 16 ft
10:44.0,Defensive rebound by T. Chandler,,4-0,,
10:41.0,Turnover by P. Tucker (bad pass),,4-0,,
10:37.0,,,4-0,,Turnover by G. Harris (bad pass; steal by P. Tucker)
10:20.0,,,4-0,,Personal foul by N. Jokic (drawn by P. Tucker)
10:01.0,M. Morris misses 2-pt shot from 3 ft,,4-0,,
10:01.0,,,4-0,,Defensive rebound by D. Gallinari
9:55.0,,,4-0,,Shooting foul by P. Tucker (drawn by D. Gallinari)
9:55.0,,,4-0,,D. Gallinari misses free throw 1 of 2
9:55.0,,,4-0,,Offensive rebound by Team
9:55.0,,,4-1,1,D. Gallinari makes free throw 2 of 2
9:42.0,B. Knight misses 3-pt shot from 25 ft,,4-1,,
9:41.0,Offensive rebound by M. Morris,,4-1,,
9:38.0,Turnover by M. Morris (bad pass; steal by E. Mudiay),,4-1,,
9:32.0,,,4-3,2,E. Mudiay makes 2-pt shot from 2 ft
9:28.0,Turnover by T. Chandler (traveling),,4-3,,
9:13.0,,,4-3,,Turnover by E. Mudiay (turnover)
8:58.0,M. Morris misses 2-pt shot from 8 ft,,4-3,,
8:57.0,,,4-3,,Defensive rebound by K. Faried
8:42.0,,,4-3,,N. Jokic misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by M. Morris,,4-3,,
8:36.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,6-3,,
8:17.0,,,6-5,2,D. Gallinari makes 2-pt shot from 12 ft (assist by E. Mudiay)
8:01.0,Offensive charge foul by P. Tucker,,6-5,,
8:01.0,Turnover by P. Tucker (offensive foul),,6-5,,
8:00.0,T. Warren enters the game for P. Tucker,,6-5,,
7:43.0,,,6-5,,Turnover by E. Mudiay (bad pass; steal by B. Knight)
7:39.0,E. Bledsoe makes 2-pt shot at rim (assist by B. Knight),2,8-5,,
7:37.0,,,8-5,,Denver full timeout
7:37.0,,,8-7,2,E. Mudiay makes 2-pt shot from 1 ft
7:08.0,B. Knight misses 3-pt shot from 26 ft,,8-7,,
7:07.0,,,8-7,,Defensive rebound by D. Gallinari
6:56.0,,,8-9,2,N. Jokic makes 2-pt shot from 12 ft (assist by D. Gallinari)
6:48.0,Shooting foul by N. Jokic (drawn by M. Morris),,8-9,,
6:48.0,M. Morris misses free throw 1 of 2,,8-9,,
6:48.0,Offensive rebound by Team,,8-9,,
6:48.0,M. Morris makes free throw 2 of 2,1,9-9,,
6:31.0,,,9-9,,E. Mudiay misses 3-pt shot from 26 ft
6:31.0,,,9-9,,Offensive rebound by N. Jokic
6:27.0,,,9-9,,N. Jokic misses 2-pt shot from 2 ft (block by M. Morris)
6:26.0,Defensive rebound by B. Knight,,9-9,,
6:20.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by B. Knight),2,11-9,,
5:59.0,,,11-9,,D. Gallinari misses 2-pt shot from 2 ft
5:59.0,,,11-9,,Offensive rebound by N. Jokic
5:55.0,,,11-9,,N. Jokic misses 2-pt shot from 2 ft
5:55.0,,,11-9,,Offensive rebound by D. Gallinari
5:52.0,,,11-9,,D. Gallinari misses 3-pt shot from 26 ft
5:52.0,,,11-9,,Offensive rebound by G. Harris
5:41.0,,,11-9,,D. Gallinari misses 3-pt shot from 24 ft
5:37.0,,,11-9,,Offensive rebound by K. Faried
5:30.0,Personal foul by B. Knight (drawn by D. Gallinari),,11-9,,
5:30.0,A. Len enters the game for T. Chandler,,11-9,,
5:30.0,,,11-9,,J. Hickson enters the game for N. Jokic
5:25.0,,,11-9,,G. Harris misses 2-pt shot from 1 ft (block by A. Len)
5:25.0,,,11-9,,Offensive rebound by Team
5:15.0,,,11-9,,Turnover by Team (shot clock)
4:52.0,E. Bledsoe makes 2-pt shot from 3 ft,2,13-9,,
4:41.0,,,13-9,,E. Mudiay misses 2-pt shot from 15 ft
4:40.0,Defensive rebound by A. Len,,13-9,,
4:29.0,B. Knight makes 2-pt shot from 16 ft,2,15-9,,
4:11.0,,,15-11,2,G. Harris makes 2-pt shot from 18 ft (assist by J. Hickson)
4:00.0,B. Knight makes 2-pt shot from 18 ft,2,17-11,,
3:40.0,,,17-13,2,K. Faried makes 2-pt shot at rim (assist by J. Hickson)
3:24.0,B. Knight misses 2-pt shot from 3 ft,,17-13,,
3:22.0,,,17-13,,Defensive rebound by K. Faried
3:18.0,,,17-15,2,G. Harris makes 2-pt shot at rim (assist by K. Faried)
3:17.0,Phoenix full timeout,,17-15,,
3:17.0,,,17-15,,J. Nelson enters the game for K. Faried
3:17.0,,,17-15,,W. Barton enters the game for G. Harris
3:17.0,,,17-15,,D. Arthur enters the game for E. Mudiay
3:17.0,R. Price enters the game for B. Knight,,17-15,,
2:57.0,Offensive charge foul by M. Morris,,17-15,,
2:57.0,Turnover by M. Morris (offensive foul),,17-15,,
2:57.0,A. Goodwin enters the game for E. Bledsoe,,17-15,,
2:39.0,,,17-18,3,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Barton)
2:23.0,Turnover by M. Morris (bad pass; steal by J. Hickson),,17-18,,
2:17.0,,,17-20,2,W. Barton makes 2-pt shot from 2 ft
1:57.0,T. Warren misses 2-pt shot from 19 ft,,17-20,,
1:56.0,,,17-20,,Defensive rebound by W. Barton
1:55.0,,,17-20,,Shooting foul by T. Warren (drawn by W. Barton)
1:55.0,,,17-21,1,W. Barton makes free throw 1 of 2
1:55.0,M. Teletovic enters the game for M. Morris,,17-21,,
1:55.0,,,17-22,1,W. Barton makes free throw 2 of 2
1:34.0,M. Teletovic misses 2-pt shot at rim,,17-22,,
1:34.0,,,17-22,,Defensive rebound by J. Hickson
1:22.0,,,17-24,2,J. Hickson makes 2-pt shot at rim (assist by J. Nelson)
1:08.0,A. Goodwin misses 2-pt shot from 2 ft (block by J. Hickson),,17-24,,
1:06.0,,,17-24,,Defensive rebound by D. Gallinari
1:02.0,,,17-26,2,D. Gallinari makes 2-pt shot at rim
0:38.0,Turnover by Team (shot clock),,17-26,,
0:27.0,,,17-29,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson)
0:06.0,R. Price misses 3-pt shot from 25 ft,,17-29,,
0:05.0,,,17-29,,Defensive rebound by J. Hickson
0:01.0,,,17-29,,D. Arthur misses 2-pt shot from 17 ft
0:00.0,,,17-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,17-31,2,D. Arthur makes 2-pt shot from 21 ft (assist by J. Nelson)
11:30.0,,,17-31,,Personal foul by W. Barton (drawn by T. Warren)
11:20.0,M. Teletovic makes 2-pt shot from 9 ft (assist by T. Warren),2,19-31,,
11:05.0,,,19-31,,J. Hickson misses 2-pt shot from 5 ft (block by A. Len)
11:04.0,Defensive rebound by M. Teletovic,,19-31,,
10:57.0,R. Price makes 3-pt shot from 26 ft (assist by M. Teletovic),3,22-31,,
10:33.0,,,22-33,2,W. Barton makes 2-pt shot from 1 ft (assist by J. Hickson)
10:13.0,R. Price makes 3-pt shot from 25 ft (assist by T. Warren),3,25-33,,
10:05.0,,,25-35,2,D. Arthur makes 2-pt shot from 17 ft (assist by W. Barton)
9:51.0,A. Goodwin misses 2-pt shot at rim,,25-35,,
9:49.0,,,25-35,,Defensive rebound by W. Barton
9:46.0,Violation by A. Goodwin (kicked ball),,25-35,,
9:46.0,P. Tucker enters the game for T. Warren,,25-35,,
9:46.0,B. Knight enters the game for A. Goodwin,,25-35,,
9:37.0,,,25-37,2,J. Hickson makes 2-pt shot at rim (assist by J. Nelson)
9:29.0,,,25-37,,Personal foul by J. Nelson (drawn by R. Price)
9:29.0,T. Chandler enters the game for A. Len,,25-37,,
9:23.0,M. Teletovic makes 3-pt shot from 24 ft (assist by R. Price),3,28-37,,
9:03.0,,,28-37,,J. Nelson misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by T. Chandler,,28-37,,
8:57.0,P. Tucker misses 2-pt shot from 2 ft,,28-37,,
8:54.0,,,28-37,,Defensive rebound by Team
8:54.0,Official timeout,,28-37,,
8:54.0,,,28-37,,Violation by Team (delay of game)
8:43.0,Violation by R. Price (kicked ball),,28-37,,
8:35.0,,,28-37,,D. Arthur misses 2-pt shot from 19 ft
8:34.0,,,28-37,,Offensive rebound by Team
8:26.0,,,28-37,,Shooting foul by M. Teletovic (drawn by J. Hickson)
8:26.0,,,28-38,1,J. Hickson makes free throw 1 of 2
8:26.0,,,28-39,1,J. Hickson makes free throw 2 of 2
8:12.0,M. Teletovic misses 3-pt shot from 27 ft,,28-39,,
8:11.0,,,28-39,,Defensive rebound by Team
7:52.0,,,28-39,,W. Barton misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by B. Knight,,28-39,,
7:38.0,M. Teletovic makes 3-pt shot from 24 ft (assist by B. Knight),3,31-39,,
7:27.0,,,31-41,2,J. Nelson makes 2-pt shot from 20 ft
7:11.0,Shooting foul by D. Arthur (drawn by B. Knight),,31-41,,
