time,Minnesota,pts.away,score,pts.home,Boston
3:47.0,Turnover by K. Towns (offensive foul),,86-105,,
3:35.0,,,86-105,,R. Hunter misses 3-pt shot from 23 ft
3:34.0,Defensive rebound by K. Towns,,86-105,,
3:29.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,88-105,,
3:14.0,,,88-105,,Turnover by J. Jerebko (lost ball; steal by R. Rubio)
3:08.0,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio),2,90-105,,
2:57.0,,,90-105,,I. Thomas misses 2-pt shot at rim
2:56.0,,,90-105,,Offensive rebound by J. Jerebko
2:56.0,,,90-105,,J. Jerebko misses 2-pt shot from 1 ft
2:54.0,Defensive rebound by K. Towns,,90-105,,
2:52.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,92-105,,
2:52.0,Shooting foul by E. Turner (drawn by A. Wiggins),,92-105,,
2:52.0,Minnesota full timeout,,92-105,,
2:52.0,,,92-105,,A. Bradley enters the game for J. Jerebko
2:52.0,,,92-105,,J. Crowder enters the game for R. Hunter
2:52.0,S. Muhammad enters the game for D. Rudez,,92-105,,
2:52.0,A. Wiggins makes free throw 1 of 1,1,93-105,,
2:41.0,,,93-108,3,J. Crowder makes 3-pt shot from 23 ft (assist by E. Turner)
2:23.0,R. Rubio misses 3-pt shot from 25 ft,,93-108,,
2:21.0,,,93-108,,Defensive rebound by J. Crowder
2:03.0,,,93-108,,E. Turner misses 2-pt shot from 12 ft
2:02.0,Defensive rebound by Z. LaVine,,93-108,,
1:51.0,A. Wiggins makes 2-pt shot from 1 ft (assist by Z. LaVine),2,95-108,,
1:51.0,Shooting foul by K. Olynyk (drawn by A. Wiggins),,95-108,,
1:51.0,A. Wiggins makes free throw 1 of 1,1,96-108,,
1:34.0,,,96-108,,J. Crowder misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by A. Wiggins,,96-108,,
1:29.0,Turnover by A. Wiggins (bad pass; steal by I. Thomas),,96-108,,
1:09.0,,,96-111,3,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas)
1:03.0,R. Rubio misses 2-pt shot from 13 ft,,96-111,,
1:02.0,,,96-111,,Defensive rebound by E. Turner
1:02.0,,,96-111,,Boston full timeout
1:02.0,,,96-111,,T. Rozier enters the game for J. Crowder
1:02.0,,,96-111,,J. Young enters the game for K. Olynyk
1:02.0,,,96-111,,J. Mickey enters the game for A. Bradley
1:02.0,,,96-111,,R. Hunter enters the game for I. Thomas
1:02.0,,,96-111,,J. Jerebko enters the game for E. Turner
1:02.0,D. Rudez enters the game for K. Towns,,96-111,,
1:02.0,N. Bjelica enters the game for A. Wiggins,,96-111,,
1:02.0,A. Payne enters the game for R. Rubio,,96-111,,
0:40.0,,,96-113,2,J. Mickey makes 2-pt shot from 12 ft (assist by T. Rozier)
0:34.0,Shooting foul by T. Rozier (drawn by Z. LaVine),,96-113,,
0:34.0,Z. LaVine misses free throw 1 of 2,,96-113,,
0:34.0,Offensive rebound by Team,,96-113,,
0:34.0,Z. LaVine makes free throw 2 of 2,1,97-113,,
0:20.0,,,97-113,,T. Rozier misses 2-pt shot from 19 ft
0:19.0,Defensive rebound by S. Muhammad,,97-113,,
0:10.0,S. Muhammad makes 2-pt shot from 8 ft,2,99-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
