time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Valanciunas,,,,Jump ball: T. Thompson vs. J. Valanciunas
12:00.0,,,0-0,,Violation by Team (jump ball)
11:40.0,D. DeRozan makes 2-pt shot from 2 ft (assist by J. Valanciunas),2,2-0,,
11:21.0,,,2-0,,K. Love misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by L. Scola,,2-0,,
11:09.0,K. Lowry misses 3-pt shot from 26 ft,,2-0,,
11:08.0,,,2-0,,Defensive rebound by T. Thompson
10:52.0,,,2-2,2,K. Irving makes 2-pt shot from 13 ft
10:33.0,L. Scola makes 2-pt shot from 4 ft (assist by K. Lowry),2,4-2,,
10:14.0,,,4-4,2,K. Irving makes 2-pt shot from 19 ft (assist by J. Smith)
9:47.0,L. Scola misses 3-pt shot from 24 ft,,4-4,,
9:45.0,Offensive rebound by J. Valanciunas,,4-4,,
9:42.0,Shooting foul by J. Smith (drawn by J. Johnson),,4-4,,
9:42.0,J. Johnson misses free throw 1 of 2,,4-4,,
9:42.0,Offensive rebound by Team,,4-4,,
9:42.0,J. Johnson misses free throw 2 of 2,,4-4,,
9:41.0,,,4-4,,Defensive rebound by K. Love
9:25.0,,,4-6,2,K. Love makes 2-pt shot from 3 ft (assist by L. James)
9:13.0,L. Scola makes 3-pt shot from 26 ft (assist by K. Lowry),3,7-6,,
9:00.0,,,7-6,,L. James misses 2-pt shot from 14 ft
9:00.0,,,7-6,,Offensive rebound by Team
9:00.0,Loose ball foul by J. Johnson (drawn by T. Thompson),,7-6,,
8:52.0,,,7-9,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
8:39.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,9-9,,
8:23.0,,,9-11,2,L. James makes 2-pt shot from 1 ft
8:18.0,K. Lowry misses 2-pt shot from 1 ft,,9-11,,
8:16.0,,,9-11,,Defensive rebound by T. Thompson
8:11.0,,,9-13,2,K. Irving makes 2-pt shot at rim
7:53.0,D. DeRozan makes 2-pt shot from 2 ft,2,11-13,,
7:35.0,Personal foul by D. DeRozan (drawn by J. Smith),,11-13,,
7:27.0,,,11-13,,L. James misses 2-pt shot from 17 ft
7:25.0,Defensive rebound by J. Valanciunas,,11-13,,
7:16.0,K. Lowry misses 2-pt shot at rim,,11-13,,
7:12.0,,,11-13,,Defensive rebound by T. Thompson
7:03.0,,,11-15,2,T. Thompson makes 2-pt shot from 5 ft (assist by K. Irving)
6:56.0,Toronto full timeout,,11-15,,
6:38.0,D. DeRozan misses 2-pt shot from 4 ft,,11-15,,
6:36.0,,,11-15,,Defensive rebound by K. Love
6:32.0,,,11-17,2,L. James makes 2-pt shot from 1 ft
6:05.0,Turnover by L. Scola (lost ball; steal by L. James),,11-17,,
5:54.0,,,11-17,,J. Smith misses 3-pt shot from 23 ft
5:53.0,Defensive rebound by Team,,11-17,,
5:37.0,Turnover by D. DeRozan (lost ball; steal by K. Love),,11-17,,
5:24.0,,,11-20,3,K. Love makes 3-pt shot from 22 ft (assist by K. Irving)
5:10.0,L. Scola misses 3-pt shot from 24 ft,,11-20,,
5:09.0,,,11-20,,Defensive rebound by K. Irving
4:48.0,,,11-23,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
4:41.0,Toronto full timeout,,11-23,,
4:41.0,P. Patterson enters the game for J. Johnson,,11-23,,
4:41.0,T. Ross enters the game for L. Scola,,11-23,,
4:41.0,B. Biyombo enters the game for J. Valanciunas,,11-23,,
4:41.0,,,11-23,,M. Dellavedova enters the game for K. Irving
4:31.0,P. Patterson makes 2-pt shot from 9 ft (assist by K. Lowry),2,13-23,,
4:14.0,,,13-26,3,J. Smith makes 3-pt shot from 26 ft
3:58.0,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry),3,16-26,,
3:35.0,,,16-26,,J. Smith misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by P. Patterson,,16-26,,
3:27.0,K. Lowry makes 2-pt shot from 1 ft,2,18-26,,
3:05.0,,,18-26,,K. Love misses 3-pt shot from 26 ft
3:05.0,Defensive rebound by Team,,18-26,,
2:52.0,K. Lowry makes 3-pt shot from 24 ft,3,21-26,,
2:39.0,,,21-26,,Cleveland full timeout
2:39.0,C. Joseph enters the game for K. Lowry,,21-26,,
2:39.0,,,21-26,,J. Jones enters the game for K. Love
2:27.0,,,21-28,2,T. Thompson makes 2-pt shot from 4 ft (assist by L. James)
2:09.0,D. DeRozan makes 2-pt shot from 3 ft,2,23-28,,
2:09.0,Shooting foul by T. Thompson (drawn by D. DeRozan),,23-28,,
2:09.0,,,23-28,,R. Jefferson enters the game for L. James
2:09.0,,,23-28,,I. Shumpert enters the game for J. Smith
2:09.0,D. DeRozan makes free throw 1 of 1,1,24-28,,
1:56.0,,,24-31,3,J. Jones makes 3-pt shot from 25 ft (assist by M. Dellavedova)
1:37.0,P. Patterson makes 2-pt shot at rim (assist by D. DeRozan),2,26-31,,
1:16.0,,,26-31,,Shooting foul by P. Patterson (drawn by J. Jones)
1:16.0,,,26-32,1,J. Jones makes free throw 1 of 2
1:16.0,,,26-32,,T. Mozgov enters the game for T. Thompson
1:16.0,,,26-33,1,J. Jones makes free throw 2 of 2
