time,Dallas,pts.away,score,pts.home,New Orleans
2:11.0,J. Barea enters the game for R. Felton,,17-21,,
2:11.0,,,17-22,1,A. Davis makes free throw 2 of 2
2:01.0,Shooting foul by E. Gordon (drawn by D. Harris),,17-22,,
2:01.0,D. Harris makes free throw 1 of 2,1,18-22,,
2:01.0,,,18-22,,D. Cunningham enters the game for E. Gordon
2:01.0,D. Harris misses free throw 2 of 2,,18-22,,
2:00.0,,,18-22,,Defensive rebound by J. Holiday
1:43.0,,,18-24,2,A. Davis makes 2-pt shot from 7 ft
1:30.0,D. Harris makes 2-pt shot from 19 ft (assist by J. Barea),2,20-24,,
1:17.0,,,20-24,,R. Anderson misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by D. Powell,,20-24,,
1:07.0,J. Evans makes 2-pt shot from 2 ft (assist by D. Harris),2,22-24,,
0:50.0,,,22-24,,Turnover by A. Davis (bad pass; steal by J. Anderson)
0:46.0,Offensive foul by D. Powell,,22-24,,
0:46.0,Turnover by D. Powell (offensive foul),,22-24,,
0:31.0,,,22-24,,R. Anderson misses 2-pt shot from 15 ft
0:30.0,Defensive rebound by J. Anderson,,22-24,,
0:12.0,D. Powell misses 2-pt shot from 19 ft,,22-24,,
0:11.0,,,22-24,,Defensive rebound by R. Anderson
0:06.0,,,22-24,,A. Davis misses 2-pt shot at rim
0:05.0,,,22-24,,Offensive rebound by N. Cole
0:02.0,,,22-24,,R. Anderson misses 3-pt shot from 25 ft
0:00.0,,,22-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Evans misses 2-pt shot from 16 ft,,22-24,,
11:45.0,,,22-24,,Defensive rebound by J. Holiday
11:27.0,,,22-24,,A. Davis misses 2-pt shot from 7 ft
11:26.0,Defensive rebound by J. Anderson,,22-24,,
11:17.0,J. Barea misses 2-pt shot from 2 ft,,22-24,,
11:16.0,,,22-24,,Defensive rebound by J. Holiday
11:11.0,,,22-26,2,A. Davis makes 2-pt shot from 8 ft (assist by J. Holiday)
10:53.0,Shooting foul by A. Davis (drawn by D. Powell),,22-26,,
10:53.0,D. Powell makes free throw 1 of 2,1,23-26,,
10:53.0,D. Powell makes free throw 2 of 2,1,24-26,,
10:43.0,,,24-26,,N. Cole misses 2-pt shot from 21 ft
10:43.0,,,24-26,,Offensive rebound by A. Davis
10:43.0,Loose ball foul by D. Powell (drawn by A. Davis),,24-26,,
10:35.0,,,24-26,,J. Holiday misses 2-pt shot from 9 ft
10:34.0,Defensive rebound by J. Barea,,24-26,,
10:29.0,D. Harris misses 3-pt shot from 24 ft,,24-26,,
10:28.0,,,24-26,,Defensive rebound by D. Cunningham
10:13.0,,,24-26,,D. Cunningham misses 2-pt shot from 19 ft
10:12.0,,,24-26,,Offensive rebound by J. Holiday
10:12.0,,,24-28,2,J. Holiday makes 2-pt shot from 1 ft
9:58.0,J. Barea misses 3-pt shot from 24 ft,,24-28,,
9:57.0,,,24-28,,Defensive rebound by D. Cunningham
9:39.0,,,24-28,,N. Cole misses 2-pt shot from 20 ft
9:38.0,Defensive rebound by J. Barea,,24-28,,
9:32.0,Turnover by J. Evans (bad pass; steal by R. Anderson),,24-28,,
9:28.0,Shooting block foul by D. Harris (drawn by N. Cole),,24-28,,
9:28.0,,,24-29,1,N. Cole makes free throw 1 of 2
9:28.0,C. Villanueva enters the game for D. Powell,,24-29,,
9:28.0,C. Parsons enters the game for J. Anderson,,24-29,,
9:28.0,J. McGee enters the game for J. Evans,,24-29,,
9:28.0,J. Anderson enters the game for D. Harris,,24-29,,
9:28.0,,,24-29,,A. Gee enters the game for A. Davis
9:28.0,,,24-30,1,N. Cole makes free throw 2 of 2
9:07.0,J. Anderson misses 2-pt shot from 6 ft,,24-30,,
9:06.0,Offensive rebound by J. McGee,,24-30,,
9:06.0,J. McGee makes 2-pt shot from 1 ft,2,26-30,,
8:56.0,Def 3 sec tech foul by J. McGee,,26-30,,
8:56.0,Official timeout,,26-30,,
8:56.0,R. Felton enters the game for J. Barea,,26-30,,
8:56.0,J. Jenkins enters the game for J. Anderson,,26-30,,
8:56.0,,,26-30,,A. Ajinca enters the game for A. Gee
8:56.0,,,26-31,1,R. Anderson makes technical free throw
8:47.0,,,26-31,,R. Anderson misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by C. Villanueva,,26-31,,
8:24.0,C. Parsons makes 2-pt shot from 2 ft (assist by R. Felton),2,28-31,,
8:13.0,,,28-31,,R. Anderson misses 2-pt shot from 2 ft
8:12.0,Defensive rebound by J. McGee,,28-31,,
8:01.0,C. Parsons makes 2-pt shot from 16 ft,2,30-31,,
7:47.0,,,30-31,,D. Cunningham misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by J. Jenkins,,30-31,,
7:35.0,J. Jenkins misses 2-pt shot from 18 ft,,30-31,,
7:33.0,,,30-31,,Defensive rebound by D. Cunningham
