time,Minnesota,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. K. Towns (D. Rose gains possession),,,,Jump ball: P. Gasol vs. K. Towns (D. Rose gains possession)
11:46.0,,,0-0,,J. Butler misses 2-pt shot from 13 ft
11:45.0,Defensive rebound by K. Garnett,,0-0,,
11:33.0,K. Towns makes 2-pt shot from 10 ft (assist by K. Garnett),2,2-0,,
11:19.0,,,2-2,2,D. McDermott makes 2-pt shot from 4 ft
10:59.0,A. Wiggins misses 2-pt shot from 19 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by Team
10:46.0,,,2-2,,Shooting foul by K. Towns (drawn by P. Gasol)
10:46.0,,,2-3,1,P. Gasol makes free throw 1 of 2
10:46.0,,,2-4,1,P. Gasol makes free throw 2 of 2
10:36.0,K. Garnett makes 2-pt shot from 20 ft (assist by A. Wiggins),2,4-4,,
10:24.0,,,4-4,,D. Rose misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by K. Towns,,4-4,,
10:11.0,K. Towns misses 2-pt shot from 15 ft,,4-4,,
10:10.0,,,4-4,,Defensive rebound by J. Butler
9:59.0,,,4-6,2,P. Gasol makes 2-pt shot from 6 ft
9:59.0,,,4-6,,Shooting foul by K. Towns (drawn by P. Gasol)
9:59.0,G. Dieng enters the game for K. Towns,,4-6,,
9:59.0,,,4-6,,P. Gasol misses free throw 1 of 1
9:58.0,Defensive rebound by G. Dieng,,4-6,,
9:50.0,A. Wiggins makes 2-pt shot from 1 ft,2,6-6,,
9:50.0,Shooting foul by N. Mirotic (drawn by A. Wiggins),,6-6,,
9:50.0,A. Wiggins misses free throw 1 of 1,,6-6,,
9:48.0,,,6-6,,Defensive rebound by P. Gasol
9:41.0,,,6-6,,Offensive foul by N. Mirotic
9:41.0,,,6-6,,Turnover by N. Mirotic (offensive foul)
9:41.0,,,6-6,,J. Noah enters the game for N. Mirotic
9:29.0,K. Garnett misses 2-pt shot from 19 ft,,6-6,,
9:29.0,Offensive rebound by G. Dieng,,6-6,,
9:29.0,,,6-6,,Personal foul by J. Noah (drawn by G. Dieng)
9:20.0,T. Prince misses 2-pt shot from 17 ft,,6-6,,
9:19.0,,,6-6,,Defensive rebound by P. Gasol
9:07.0,,,6-6,,P. Gasol misses 2-pt shot from 17 ft
9:06.0,Defensive rebound by R. Rubio,,6-6,,
8:59.0,G. Dieng makes 2-pt shot from 6 ft (assist by R. Rubio),2,8-6,,
8:48.0,,,8-6,,Turnover by D. Rose (lost ball; steal by K. Garnett)
8:31.0,A. Wiggins misses 2-pt shot from 18 ft,,8-6,,
8:28.0,Offensive rebound by G. Dieng,,8-6,,
8:19.0,R. Rubio misses 2-pt shot from 18 ft,,8-6,,
8:18.0,,,8-6,,Defensive rebound by J. Noah
7:58.0,,,8-6,,D. Rose misses 2-pt shot from 12 ft
7:58.0,,,8-6,,Offensive rebound by Team
7:55.0,,,8-9,3,D. McDermott makes 3-pt shot from 23 ft (assist by D. Rose)
7:45.0,Turnover by T. Prince (bad pass; steal by P. Gasol),,8-9,,
7:34.0,,,8-11,2,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose)
7:28.0,Minnesota full timeout,,8-11,,
7:28.0,N. Bjelica enters the game for K. Garnett,,8-11,,
7:12.0,T. Prince makes 2-pt shot from 21 ft (assist by A. Wiggins),2,10-11,,
6:50.0,,,10-11,,P. Gasol misses 2-pt shot from 20 ft
6:49.0,Defensive rebound by N. Bjelica,,10-11,,
6:35.0,A. Wiggins makes 3-pt shot from 25 ft,3,13-11,,
6:23.0,,,13-11,,Shooting foul by R. Rubio (drawn by D. Rose)
6:23.0,,,13-11,,D. Rose misses free throw 1 of 3
6:23.0,,,13-11,,Offensive rebound by Team
6:23.0,,,13-12,1,D. Rose makes free throw 2 of 3
6:23.0,,,13-13,1,D. Rose makes free throw 3 of 3
6:13.0,N. Bjelica misses 3-pt shot from 24 ft,,13-13,,
6:12.0,,,13-13,,Defensive rebound by J. Butler
6:01.0,,,13-13,,Offensive foul by J. Butler
6:01.0,,,13-13,,Turnover by J. Butler (offensive foul)
6:01.0,,,13-13,,A. Brooks enters the game for D. Rose
6:01.0,S. Muhammad enters the game for T. Prince,,13-13,,
5:47.0,Shooting foul by J. Noah (drawn by N. Bjelica),,13-13,,
5:47.0,N. Bjelica makes free throw 1 of 2,1,14-13,,
5:47.0,N. Bjelica makes free throw 2 of 2,1,15-13,,
5:36.0,,,15-13,,Turnover by J. Butler (bad pass; steal by R. Rubio)
5:34.0,A. Wiggins makes 3-pt shot from 24 ft (assist by N. Bjelica),3,18-13,,
5:20.0,,,18-16,3,D. McDermott makes 3-pt shot from 24 ft (assist by J. Noah)
5:06.0,R. Rubio misses 2-pt shot from 20 ft,,18-16,,
5:05.0,Offensive rebound by N. Bjelica,,18-16,,
4:57.0,S. Muhammad makes 2-pt shot from 1 ft (assist by N. Bjelica),2,20-16,,
4:43.0,,,20-16,,J. Butler misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by G. Dieng,,20-16,,
4:30.0,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio),3,23-16,,
4:28.0,,,23-16,,Chicago full timeout
4:28.0,,,23-16,,T. Snell enters the game for D. McDermott
4:17.0,,,23-16,,Turnover by T. Snell (traveling)
3:56.0,Turnover by G. Dieng (traveling),,23-16,,
3:45.0,,,23-19,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah)
3:33.0,S. Muhammad misses 2-pt shot from 1 ft,,23-19,,
3:32.0,,,23-19,,Defensive rebound by P. Gasol
3:25.0,,,23-22,3,T. Snell makes 3-pt shot from 24 ft (assist by A. Brooks)
