time,Charlotte,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. A. Johnson (I. Thomas gains possession),,,,Jump ball: A. Jefferson vs. A. Johnson (I. Thomas gains possession)
11:41.0,,,0-2,2,J. Sullinger makes 2-pt shot from 9 ft
11:22.0,N. Batum makes 2-pt shot at rim (assist by A. Jefferson),2,2-2,,
11:00.0,,,2-2,,Shooting foul by C. Lee (drawn by A. Johnson)
11:00.0,,,2-3,1,A. Johnson makes free throw 1 of 2
11:00.0,,,2-4,1,A. Johnson makes free throw 2 of 2
10:47.0,N. Batum makes 2-pt shot from 13 ft,2,4-4,,
10:38.0,,,4-4,,A. Bradley misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by C. Lee,,4-4,,
10:18.0,A. Jefferson makes 2-pt shot from 7 ft,2,6-4,,
10:04.0,,,6-4,,Turnover by I. Thomas (lost ball; steal by A. Jefferson)
9:56.0,N. Batum misses 3-pt shot from 25 ft,,6-4,,
9:54.0,,,6-4,,Defensive rebound by I. Thomas
9:50.0,,,6-4,,I. Thomas misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by K. Walker,,6-4,,
9:34.0,A. Jefferson makes 2-pt shot from 11 ft,2,8-4,,
9:22.0,,,8-4,,A. Johnson misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by N. Batum,,8-4,,
9:05.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,11-4,,
8:46.0,,,11-6,2,A. Bradley makes 2-pt shot from 19 ft (assist by I. Thomas)
8:19.0,K. Walker misses 3-pt shot from 25 ft,,11-6,,
8:18.0,,,11-6,,Defensive rebound by A. Johnson
8:06.0,,,11-8,2,I. Thomas makes 2-pt shot from 12 ft (assist by J. Sullinger)
7:41.0,Turnover by N. Batum (lost ball; steal by A. Johnson),,11-8,,
7:35.0,,,11-10,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Bradley)
7:12.0,K. Walker misses 3-pt shot from 25 ft,,11-10,,
7:11.0,,,11-10,,Defensive rebound by A. Bradley
7:00.0,,,11-10,,I. Thomas misses 2-pt shot from 15 ft
6:59.0,Defensive rebound by A. Jefferson,,11-10,,
6:48.0,Turnover by K. Walker (lost ball; steal by I. Thomas),,11-10,,
6:41.0,,,11-12,2,I. Thomas makes 2-pt shot at rim (assist by J. Sullinger)
6:30.0,Charlotte full timeout,,11-12,,
6:22.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,14-12,,
6:07.0,,,14-12,,J. Crowder misses 2-pt shot from 19 ft
6:06.0,Defensive rebound by Team,,14-12,,
5:46.0,,,14-12,,Personal foul by I. Thomas
5:46.0,,,14-12,,E. Turner enters the game for J. Crowder
5:46.0,,,14-12,,M. Smart enters the game for J. Sullinger
5:34.0,M. Williams makes 2-pt shot from 13 ft,2,16-12,,
5:23.0,,,16-12,,A. Johnson misses 2-pt shot at rim
5:22.0,Defensive rebound by A. Jefferson,,16-12,,
5:01.0,N. Batum makes 2-pt shot at rim (assist by C. Lee),2,18-12,,
4:46.0,,,18-12,,I. Thomas misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by Team,,18-12,,
4:45.0,J. Lin enters the game for C. Lee,,18-12,,
4:29.0,Turnover by A. Jefferson (lost ball; steal by A. Johnson),,18-12,,
4:25.0,,,18-12,,A. Bradley misses 2-pt shot at rim (block by K. Walker)
4:24.0,,,18-12,,Offensive rebound by Team
4:21.0,,,18-15,3,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas)
4:01.0,M. Williams misses 3-pt shot from 25 ft,,18-15,,
4:00.0,,,18-15,,Defensive rebound by A. Johnson
3:48.0,,,18-15,,Turnover by A. Bradley (lost ball; steal by N. Batum)
3:44.0,Shooting foul by A. Bradley (drawn by K. Walker),,18-15,,
3:44.0,K. Walker makes free throw 1 of 2,1,19-15,,
3:44.0,S. Hawes enters the game for A. Jefferson,,19-15,,
3:44.0,,,19-15,,K. Olynyk enters the game for A. Johnson
3:44.0,K. Walker makes free throw 2 of 2,1,20-15,,
3:25.0,,,20-15,,I. Thomas misses 2-pt shot from 1 ft (block by S. Hawes)
3:24.0,,,20-15,,Offensive rebound by I. Thomas
3:23.0,,,20-17,2,I. Thomas makes 2-pt shot at rim
3:04.0,M. Williams misses 2-pt shot from 11 ft,,20-17,,
3:03.0,,,20-17,,Defensive rebound by K. Olynyk
2:52.0,,,20-17,,Turnover by I. Thomas (discontinued dribble)
2:52.0,,,20-17,,Boston full timeout
2:52.0,T. Daniels enters the game for N. Batum,,20-17,,
2:52.0,F. Kaminsky enters the game for M. Williams,,20-17,,
2:52.0,,,20-17,,J. Jerebko enters the game for I. Thomas
2:40.0,J. Lin misses 3-pt shot from 24 ft,,20-17,,
2:39.0,,,20-17,,Defensive rebound by J. Jerebko
2:19.0,,,20-17,,J. Jerebko misses 2-pt shot from 6 ft
2:18.0,,,20-17,,Offensive rebound by K. Olynyk
2:14.0,,,20-20,3,K. Olynyk makes 3-pt shot from 24 ft
1:56.0,S. Hawes misses 2-pt shot from 5 ft,,20-20,,
1:54.0,,,20-20,,Defensive rebound by E. Turner
1:40.0,,,20-23,3,A. Bradley makes 3-pt shot from 24 ft
1:25.0,F. Kaminsky makes 2-pt shot at rim (assist by K. Walker),2,22-23,,
1:13.0,,,22-25,2,K. Olynyk makes 2-pt shot from 1 ft
0:51.0,J. Lin makes 2-pt shot from 19 ft,2,24-25,,
0:33.0,,,24-28,3,A. Bradley makes 3-pt shot from 23 ft (assist by K. Olynyk)
0:14.0,Turnover by K. Walker (bad pass),,24-28,,
0:00.0,,,24-28,,K. Olynyk misses 2-pt shot from 17 ft
0:00.0,,,24-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,S. Hawes makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,27-28,,
11:23.0,,,27-28,,E. Turner misses 2-pt shot from 16 ft
11:21.0,Defensive rebound by F. Kaminsky,,27-28,,
11:12.0,T. Daniels misses 2-pt shot from 19 ft,,27-28,,
11:11.0,,,27-28,,Defensive rebound by J. Crowder
10:58.0,,,27-28,,Shooting foul by T. Daniels (drawn by M. Smart)
10:58.0,,,27-29,1,M. Smart makes free throw 1 of 2
10:58.0,,,27-30,1,M. Smart makes free throw 2 of 2
10:44.0,S. Hawes makes 2-pt shot from 4 ft,2,29-30,,
10:30.0,,,29-30,,Shooting foul by S. Hawes (drawn by K. Olynyk)
10:30.0,,,29-31,1,K. Olynyk makes free throw 1 of 2
10:30.0,,,29-32,1,K. Olynyk makes free throw 2 of 2
10:17.0,J. Lin makes 2-pt shot at rim,2,31-32,,
10:09.0,,,31-32,,E. Turner misses 2-pt shot at rim
10:08.0,,,31-32,,Offensive rebound by E. Turner
10:08.0,,,31-32,,E. Turner misses 2-pt shot at rim
10:07.0,,,31-32,,Offensive rebound by J. Jerebko
10:05.0,,,31-34,2,K. Olynyk makes 2-pt shot at rim
10:05.0,,,31-34,,Shooting foul by C. Lee (drawn by K. Olynyk)
10:05.0,,,31-35,1,K. Olynyk makes free throw 1 of 1
9:56.0,,,31-35,,Shooting block foul by K. Olynyk (drawn by S. Hawes)
9:56.0,S. Hawes misses free throw 1 of 2,,31-35,,
9:56.0,Offensive rebound by Team,,31-35,,
9:56.0,S. Hawes makes free throw 2 of 2,1,32-35,,
9:38.0,,,32-35,,E. Turner misses 2-pt shot from 13 ft
9:37.0,Defensive rebound by J. Lin,,32-35,,
9:32.0,C. Lee misses 2-pt shot at rim,,32-35,,
9:30.0,,,32-35,,Defensive rebound by E. Turner
9:21.0,,,32-35,,M. Smart misses 2-pt shot from 21 ft
9:21.0,,,32-35,,Offensive rebound by E. Turner
9:17.0,,,32-37,2,E. Turner makes 2-pt shot at rim
9:03.0,Turnover by S. Hawes (traveling),,32-37,,
8:48.0,,,32-37,,Turnover by E. Turner (lost ball; steal by J. Lin)
8:40.0,,,32-37,,Violation by J. Crowder (kicked ball)
8:40.0,Official timeout,,32-37,,
8:30.0,F. Kaminsky misses 2-pt shot from 7 ft,,32-37,,
8:29.0,,,32-37,,Defensive rebound by K. Olynyk
8:16.0,,,32-37,,E. Turner misses 2-pt shot from 1 ft (block by F. Kaminsky)
8:15.0,,,32-37,,Offensive rebound by K. Olynyk
8:09.0,,,32-37,,Shooting foul by T. Daniels (drawn by M. Smart)
8:09.0,,,32-38,1,M. Smart makes free throw 1 of 2
8:09.0,,,32-38,,M. Smart misses free throw 2 of 2
8:09.0,Defensive rebound by S. Hawes,,32-38,,
7:49.0,Shooting foul by M. Smart (drawn by J. Lin),,32-38,,
7:49.0,J. Lin makes free throw 1 of 2,1,33-38,,
7:49.0,N. Batum enters the game for T. Daniels,,33-38,,
7:49.0,J. Lin makes free throw 2 of 2,1,34-38,,
7:34.0,,,34-38,,J. Crowder misses 2-pt shot from 2 ft
7:33.0,Defensive rebound by J. Lin,,34-38,,
7:28.0,N. Batum misses 3-pt shot from 25 ft,,34-38,,
7:26.0,Offensive rebound by F. Kaminsky,,34-38,,
7:26.0,Shooting foul by K. Olynyk (drawn by F. Kaminsky),,34-38,,
7:26.0,F. Kaminsky makes free throw 1 of 2,1,35-38,,
7:26.0,,,35-38,,J. Sullinger enters the game for J. Jerebko
7:26.0,F. Kaminsky makes free throw 2 of 2,1,36-38,,
7:06.0,,,36-38,,Turnover by E. Turner (lost ball; steal by J. Lin)
7:06.0,,,36-38,,Personal block foul by K. Olynyk
6:51.0,J. Lin makes 3-pt shot from 25 ft (assist by N. Batum),3,39-38,,
6:40.0,,,39-38,,Turnover by M. Smart (lost ball; steal by J. Lin)
6:38.0,,,39-38,,Personal foul by M. Smart
6:38.0,J. Lin makes free throw 1 of 2,1,40-38,,
6:38.0,A. Jefferson enters the game for S. Hawes,,40-38,,
6:38.0,,,40-38,,I. Thomas enters the game for E. Turner
6:38.0,J. Lin makes free throw 2 of 2,1,41-38,,
6:21.0,,,41-38,,J. Sullinger misses 2-pt shot at rim
6:20.0,Defensive rebound by F. Kaminsky,,41-38,,
6:12.0,J. Lin makes 2-pt shot from 20 ft,2,43-38,,
6:05.0,,,43-38,,Boston full timeout
6:05.0,K. Walker enters the game for C. Lee,,43-38,,
6:05.0,,,43-38,,A. Johnson enters the game for K. Olynyk
5:54.0,,,43-38,,J. Crowder misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by Team,,43-38,,
5:38.0,J. Lin makes 2-pt shot from 6 ft (assist by N. Batum),2,45-38,,
5:30.0,,,45-38,,Shooting foul by A. Jefferson (drawn by I. Thomas)
5:30.0,,,45-38,,I. Thomas misses free throw 1 of 2
5:30.0,,,45-38,,Offensive rebound by Team
5:30.0,,,45-38,,A. Bradley enters the game for M. Smart
5:30.0,,,45-39,1,I. Thomas makes free throw 2 of 2
5:19.0,M. Williams enters the game for F. Kaminsky,,45-39,,
5:14.0,Shooting foul by A. Bradley (drawn by J. Lin),,45-39,,
5:14.0,J. Lin makes free throw 1 of 2,1,46-39,,
5:14.0,J. Lin makes free throw 2 of 2,1,47-39,,
5:00.0,,,47-39,,A. Bradley misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by A. Jefferson,,47-39,,
4:35.0,K. Walker misses 3-pt shot from 25 ft,,47-39,,
4:33.0,Offensive rebound by A. Jefferson,,47-39,,
4:29.0,N. Batum misses 3-pt shot from 25 ft,,47-39,,
4:29.0,,,47-39,,Defensive rebound by J. Sullinger
4:19.0,,,47-39,,I. Thomas misses 2-pt shot from 6 ft (block by A. Jefferson)
4:18.0,Defensive rebound by J. Lin,,47-39,,
4:18.0,,,47-39,,Clear path foul by A. Bradley
4:18.0,K. Walker misses clear path free throw 1 of 2,,47-39,,
4:18.0,Offensive rebound by Team,,47-39,,
