time,New Orleans,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Hollins (B. Weber gains possession),,,,Jump ball: A. Davis vs. R. Hollins (B. Weber gains possession)
11:44.0,,,0-0,,Turnover by R. Hollins (lost ball)
11:20.0,D. Cunningham misses 3-pt shot from 22 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by B. Weber
11:14.0,,,0-0,,M. Barnes misses 2-pt shot at rim (block by A. Davis)
11:11.0,Defensive rebound by J. Holiday,,0-0,,
11:06.0,J. Holiday makes 3-pt shot from 24 ft (assist by T. Douglas),3,3-0,,
10:45.0,,,3-3,3,M. Barnes makes 3-pt shot from 23 ft (assist by T. Allen)
10:35.0,J. Holiday misses 3-pt shot from 25 ft,,3-3,,
10:33.0,,,3-3,,Defensive rebound by M. Barnes
10:17.0,,,3-3,,R. Hollins misses 2-pt shot from 8 ft
10:15.0,Defensive rebound by A. Davis,,3-3,,
10:04.0,A. Davis makes 2-pt shot from 20 ft (assist by T. Douglas),2,5-3,,
9:47.0,,,5-3,,J. Green misses 2-pt shot from 20 ft
9:47.0,Defensive rebound by T. Douglas,,5-3,,
9:44.0,,,5-3,,Clear path foul by J. Green
9:44.0,A. Davis makes clear path free throw 1 of 2,1,6-3,,
9:44.0,A. Davis makes clear path free throw 2 of 2,1,7-3,,
9:36.0,A. Davis misses 2-pt shot from 19 ft,,7-3,,
9:35.0,,,7-3,,Defensive rebound by M. Barnes
9:26.0,,,7-3,,J. Green misses 2-pt shot from 13 ft
9:25.0,Defensive rebound by O. Asik,,7-3,,
9:14.0,A. Davis misses 2-pt shot from 11 ft,,7-3,,
9:13.0,,,7-3,,Defensive rebound by M. Barnes
9:04.0,,,7-3,,T. Allen misses 2-pt shot from 2 ft
9:01.0,,,7-3,,Offensive rebound by R. Hollins
9:01.0,,,7-5,2,R. Hollins makes 2-pt shot at rim
8:50.0,T. Douglas makes 3-pt shot from 25 ft,3,10-5,,
8:31.0,,,10-5,,Turnover by R. Hollins (lost ball; steal by D. Cunningham)
8:29.0,,,10-5,,Shooting block foul by B. Weber (drawn by D. Cunningham)
8:29.0,D. Cunningham misses free throw 1 of 2,,10-5,,
8:29.0,Offensive rebound by Team,,10-5,,
8:29.0,D. Cunningham makes free throw 2 of 2,1,11-5,,
8:17.0,,,11-5,,T. Allen misses 2-pt shot from 17 ft
8:16.0,,,11-5,,Offensive rebound by J. Green
8:16.0,Loose ball foul by A. Davis,,11-5,,
8:11.0,,,11-7,2,B. Weber makes 2-pt shot from 19 ft
7:59.0,Turnover by T. Douglas (lost ball; steal by T. Allen),,11-7,,
7:55.0,,,11-7,,J. Green misses 2-pt shot from 1 ft
7:53.0,,,11-7,,Offensive rebound by J. Green
7:48.0,,,11-7,,J. Green misses 2-pt shot from 2 ft (block by D. Cunningham)
7:47.0,Defensive rebound by D. Cunningham,,11-7,,
7:37.0,T. Douglas misses 3-pt shot from 24 ft,,11-7,,
7:36.0,Offensive rebound by O. Asik,,11-7,,
7:25.0,A. Davis misses 2-pt shot from 10 ft,,11-7,,
7:25.0,,,11-7,,Defensive rebound by R. Hollins
7:13.0,,,11-7,,Turnover by B. Weber (lost ball; steal by A. Davis)
