time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Stoudemire vs. C. Zeller (G. Dragic gains possession),,,,Jump ball: A. Stoudemire vs. C. Zeller (G. Dragic gains possession)
11:41.0,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic),2,2-0,,
11:30.0,,,2-2,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
11:11.0,L. Deng misses 2-pt shot from 15 ft,,2-2,,
11:10.0,,,2-2,,Defensive rebound by C. Zeller
10:55.0,,,2-2,,C. Zeller misses 2-pt shot from 6 ft (block by A. Stoudemire)
10:52.0,Defensive rebound by G. Dragic,,2-2,,
10:44.0,Shooting foul by C. Zeller (drawn by A. Stoudemire),,2-2,,
10:44.0,A. Stoudemire misses free throw 1 of 2,,2-2,,
10:44.0,Offensive rebound by Team,,2-2,,
10:44.0,A. Stoudemire misses free throw 2 of 2,,2-2,,
10:42.0,,,2-2,,Defensive rebound by M. Kidd-Gilchrist
10:36.0,,,2-2,,K. Walker misses 2-pt shot from 2 ft
10:35.0,Defensive rebound by Team,,2-2,,
10:26.0,G. Dragic misses 3-pt shot from 25 ft,,2-2,,
10:25.0,,,2-2,,Defensive rebound by N. Batum
10:14.0,,,2-4,2,M. Kidd-Gilchrist makes 2-pt shot from 14 ft
9:49.0,Turnover by D. Wade (lost ball; steal by C. Zeller),,2-4,,
9:45.0,,,2-4,,Shooting foul by C. Bosh (drawn by C. Zeller)
9:45.0,,,2-5,1,C. Zeller makes free throw 1 of 2
9:45.0,,,2-5,,C. Zeller misses free throw 2 of 2
9:44.0,Defensive rebound by D. Wade,,2-5,,
9:34.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by G. Dragic),2,4-5,,
9:11.0,,,4-5,,Turnover by N. Batum (bad pass; steal by G. Dragic)
9:06.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Stoudemire),,4-5,,
9:06.0,A. Stoudemire makes free throw 1 of 2,1,5-5,,
9:06.0,A. Stoudemire makes free throw 2 of 2,1,6-5,,
