time,Dallas,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: D. Jordan vs. Z. Pachulia (D. Nowitzki gains possession)
11:45.0,Turnover by Z. Pachulia (lost ball; steal by C. Paul),,0-0,,
11:37.0,,,0-0,,Turnover by J. Redick (bad pass)
11:30.0,Offensive foul by J. Anderson,,0-0,,
11:30.0,Turnover by J. Anderson (offensive foul),,0-0,,
11:12.0,,,0-2,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
11:00.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,2-2,,
10:48.0,,,2-2,,B. Griffin misses 2-pt shot from 2 ft (block by Z. Pachulia)
10:44.0,Defensive rebound by D. Nowitzki,,2-2,,
10:35.0,Shooting foul by B. Griffin (drawn by D. Nowitzki),,2-2,,
10:35.0,D. Nowitzki makes free throw 1 of 2,1,3-2,,
10:35.0,D. Nowitzki makes free throw 2 of 2,1,4-2,,
10:20.0,,,4-4,2,B. Griffin makes 2-pt shot from 1 ft (assist by J. Redick)
9:55.0,D. Williams makes 2-pt shot from 2 ft,2,6-4,,
9:45.0,,,6-6,2,J. Redick makes 2-pt shot from 22 ft (assist by L. Mbah a Moute)
9:33.0,W. Matthews misses 3-pt shot from 24 ft,,6-6,,
9:31.0,,,6-6,,Defensive rebound by D. Jordan
9:17.0,Shooting block foul by Z. Pachulia (drawn by D. Jordan),,6-6,,
9:17.0,,,6-6,,D. Jordan misses free throw 1 of 2
9:17.0,,,6-6,,Offensive rebound by Team
9:17.0,,,6-6,,D. Jordan misses free throw 2 of 2
9:16.0,Defensive rebound by Z. Pachulia,,6-6,,
8:54.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams),2,8-6,,
8:40.0,,,8-8,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
8:14.0,W. Matthews misses 2-pt shot from 9 ft,,8-8,,
8:11.0,,,8-8,,Defensive rebound by L. Mbah a Moute
8:07.0,,,8-10,2,J. Redick makes 2-pt shot from 18 ft (assist by B. Griffin)
7:48.0,D. Nowitzki misses 2-pt shot from 19 ft,,8-10,,
7:46.0,,,8-10,,Defensive rebound by D. Jordan
7:35.0,,,8-10,,B. Griffin misses 2-pt shot from 19 ft
7:34.0,Defensive rebound by D. Williams,,8-10,,
7:28.0,D. Williams misses 2-pt shot from 2 ft (block by L. Mbah a Moute),,8-10,,
7:21.0,,,8-10,,Defensive rebound by D. Jordan
7:13.0,,,8-10,,B. Griffin misses 2-pt shot from 18 ft
7:12.0,,,8-10,,Offensive rebound by D. Jordan
7:10.0,,,8-10,,D. Jordan misses 2-pt shot from 3 ft
7:06.0,Defensive rebound by J. Anderson,,8-10,,
6:56.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by D. Williams),2,10-10,,
6:33.0,,,10-10,,J. Redick misses 2-pt shot from 16 ft
6:32.0,Defensive rebound by D. Williams,,10-10,,
6:29.0,Shooting foul by L. Mbah a Moute (drawn by D. Williams),,10-10,,
6:29.0,D. Williams makes free throw 1 of 2,1,11-10,,
6:29.0,D. Lee enters the game for D. Nowitzki,,11-10,,
6:29.0,D. Harris enters the game for J. Anderson,,11-10,,
6:29.0,,,11-10,,W. Johnson enters the game for L. Mbah a Moute
6:29.0,D. Williams makes free throw 2 of 2,1,12-10,,
6:18.0,Personal foul by W. Matthews,,12-10,,
6:07.0,,,12-10,,C. Paul misses 2-pt shot from 17 ft
6:07.0,,,12-10,,Offensive rebound by Team
6:07.0,Loose ball foul by D. Lee,,12-10,,
5:56.0,,,12-13,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
5:41.0,Turnover by Z. Pachulia (bad pass),,12-13,,
5:41.0,,,12-13,,LA Clippers full timeout
5:41.0,R. Felton enters the game for D. Williams,,12-13,,
5:16.0,,,12-13,,B. Griffin misses 2-pt shot from 20 ft
5:14.0,Defensive rebound by D. Lee,,12-13,,
4:57.0,W. Matthews misses 3-pt shot from 26 ft,,12-13,,
4:55.0,,,12-13,,Defensive rebound by B. Griffin
