time,Charlotte,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. C. Zeller (C. Frye gains possession),,,,Jump ball: N. Vucevic vs. C. Zeller (C. Frye gains possession)
11:35.0,,,0-2,2,N. Vucevic makes 2-pt shot from 11 ft (assist by C. Frye)
11:12.0,P. Hairston makes 3-pt shot from 25 ft (assist by K. Walker),3,3-2,,
10:59.0,,,3-2,,E. Fournier misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by M. Williams,,3-2,,
10:47.0,M. Williams misses 3-pt shot from 25 ft,,3-2,,
10:46.0,Offensive rebound by N. Batum,,3-2,,
10:35.0,P. Hairston misses 2-pt shot from 1 ft,,3-2,,
10:35.0,,,3-2,,Defensive rebound by E. Payton
10:10.0,,,3-2,,E. Payton misses 2-pt shot from 18 ft
10:10.0,Defensive rebound by K. Walker,,3-2,,
10:00.0,Turnover by K. Walker (lost ball; steal by E. Payton),,3-2,,
9:56.0,,,3-4,2,T. Harris makes 2-pt shot from 2 ft (assist by E. Payton)
9:56.0,,,3-4,,Shooting foul by N. Batum (drawn by T. Harris)
9:56.0,,,3-5,1,T. Harris makes free throw 1 of 1
9:38.0,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker),3,6-5,,
9:20.0,,,6-5,,T. Harris misses 2-pt shot from 9 ft
9:20.0,,,6-5,,Offensive rebound by Team
9:20.0,Loose ball foul by P. Hairston (drawn by N. Vucevic),,6-5,,
9:16.0,,,6-5,,Turnover by E. Payton (bad pass)
9:07.0,Turnover by K. Walker (bad pass; steal by E. Fournier),,6-5,,
8:51.0,,,6-7,2,E. Payton makes 2-pt shot at rim (assist by N. Vucevic)
8:36.0,K. Walker makes 2-pt shot from 20 ft (assist by M. Williams),2,8-7,,
8:23.0,,,8-7,,Shooting foul by M. Williams (drawn by E. Fournier)
8:23.0,,,8-8,1,E. Fournier makes free throw 1 of 2
8:23.0,,,8-9,1,E. Fournier makes free throw 2 of 2
8:01.0,Turnover by P. Hairston (bad pass; steal by C. Frye),,8-9,,
7:48.0,,,8-12,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Fournier)
7:37.0,Turnover by M. Williams (bad pass),,8-12,,
7:26.0,,,8-12,,E. Payton misses 2-pt shot at rim (block by M. Williams)
7:25.0,Defensive rebound by C. Zeller,,8-12,,
