time,San Antonio,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,T. Duncan misses 2-pt shot from 3 ft (block by T. Ross),,0-0,,
12:00.0,Jump ball: B. Biyombo vs. T. Duncan (T. Parker gains possession),,,,Jump ball: B. Biyombo vs. T. Duncan (T. Parker gains possession)
11:41.0,,,0-0,,Defensive rebound by L. Scola
11:30.0,,,0-2,2,D. DeRozan makes 2-pt shot from 15 ft
11:12.0,Turnover by T. Parker (bad pass; steal by K. Lowry),,0-2,,
11:04.0,,,0-4,2,B. Biyombo makes 2-pt shot at rim (assist by L. Scola)
10:50.0,D. Green makes 2-pt shot from 1 ft (assist by T. Duncan),2,2-4,,
10:34.0,,,2-4,,L. Scola misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by K. Leonard,,2-4,,
10:12.0,L. Aldridge makes 2-pt shot from 20 ft (assist by K. Leonard),2,4-4,,
9:54.0,,,4-6,2,L. Scola makes 2-pt shot from 3 ft (assist by D. DeRozan)
9:38.0,T. Parker makes 2-pt shot from 17 ft (assist by D. Green),2,6-6,,
9:23.0,,,6-6,,Shooting foul by T. Parker (drawn by K. Lowry)
9:23.0,,,6-7,1,K. Lowry makes free throw 1 of 3
9:23.0,,,6-8,1,K. Lowry makes free throw 2 of 3
9:23.0,,,6-9,1,K. Lowry makes free throw 3 of 3
9:05.0,Turnover by L. Aldridge (step out of bounds),,6-9,,
8:51.0,,,6-11,2,L. Scola makes 2-pt shot from 19 ft (assist by D. DeRozan)
8:35.0,Turnover by L. Aldridge (bad pass; steal by D. DeRozan),,6-11,,
8:30.0,,,6-13,2,L. Scola makes 2-pt shot at rim (assist by D. DeRozan)
8:30.0,San Antonio full timeout,,6-13,,
8:10.0,D. Green misses 3-pt shot from 24 ft,,6-13,,
8:09.0,,,6-13,,Defensive rebound by K. Lowry
8:01.0,,,6-13,,B. Biyombo misses 2-pt shot from 2 ft (block by L. Aldridge)
7:59.0,,,6-13,,Offensive rebound by B. Biyombo
7:56.0,,,6-15,2,B. Biyombo makes 2-pt shot at rim
7:40.0,L. Aldridge misses 2-pt shot from 19 ft,,6-15,,
7:40.0,,,6-15,,Defensive rebound by K. Lowry
7:35.0,,,6-15,,Turnover by K. Lowry (palming)
7:35.0,D. West enters the game for T. Duncan,,6-15,,
7:18.0,L. Aldridge misses 3-pt shot from 26 ft,,6-15,,
7:17.0,,,6-15,,Defensive rebound by D. DeRozan
7:02.0,,,6-17,2,D. DeRozan makes 2-pt shot from 14 ft (assist by K. Lowry)
6:46.0,T. Parker misses 2-pt shot from 4 ft,,6-17,,
6:45.0,,,6-17,,Defensive rebound by L. Scola
6:35.0,,,6-17,,L. Scola misses 2-pt shot from 19 ft
6:34.0,Defensive rebound by L. Aldridge,,6-17,,
6:26.0,T. Parker misses 3-pt shot from 23 ft,,6-17,,
6:26.0,,,6-17,,Defensive rebound by D. DeRozan
6:06.0,,,6-17,,L. Scola misses 2-pt shot from 18 ft
6:06.0,Defensive rebound by L. Aldridge,,6-17,,
5:46.0,Turnover by K. Leonard (lost ball; steal by L. Scola),,6-17,,
5:33.0,,,6-17,,Turnover by T. Ross (bad pass)
5:33.0,M. Ginobili enters the game for D. Green,,6-17,,
5:18.0,D. West makes 2-pt shot from 2 ft (assist by K. Leonard),2,8-17,,
4:58.0,,,8-19,2,L. Scola makes 2-pt shot from 4 ft (assist by D. DeRozan)
4:49.0,,,8-19,,Personal foul by L. Scola (drawn by K. Leonard)
4:49.0,P. Mills enters the game for K. Leonard,,8-19,,
4:49.0,B. Diaw enters the game for L. Aldridge,,8-19,,
4:49.0,K. Anderson enters the game for T. Parker,,8-19,,
4:49.0,,,8-19,,P. Patterson enters the game for T. Ross
4:49.0,,,8-19,,C. Joseph enters the game for L. Scola
4:36.0,M. Ginobili makes 2-pt shot from 2 ft (assist by P. Mills),2,10-19,,
4:11.0,,,10-19,,D. DeRozan misses 2-pt shot from 11 ft
4:10.0,Defensive rebound by D. West,,10-19,,
4:05.0,Turnover by P. Mills (lost ball; steal by C. Joseph),,10-19,,
3:57.0,,,10-21,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
3:32.0,Offensive foul by M. Ginobili,,10-21,,
3:32.0,Turnover by M. Ginobili (offensive foul),,10-21,,
3:32.0,J. Simmons enters the game for K. Anderson,,10-21,,
3:26.0,,,10-21,,K. Lowry misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by Team,,10-21,,
3:07.0,B. Diaw makes 2-pt shot from 1 ft (assist by D. West),2,12-21,,
2:59.0,,,12-21,,Toronto full timeout
2:59.0,,,12-21,,T. Ross enters the game for K. Lowry
2:42.0,,,12-21,,D. DeRozan misses 2-pt shot from 9 ft
2:42.0,Defensive rebound by M. Ginobili,,12-21,,
2:22.0,Shooting foul by T. Ross (drawn by M. Ginobili),,12-21,,
2:22.0,M. Ginobili makes free throw 1 of 2,1,13-21,,
2:22.0,M. Ginobili misses free throw 2 of 2,,13-21,,
2:21.0,,,13-21,,Defensive rebound by B. Biyombo
2:04.0,,,13-21,,C. Joseph misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by M. Ginobili,,13-21,,
1:52.0,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili),2,15-21,,
1:37.0,Personal block foul by M. Ginobili (drawn by C. Joseph),,15-21,,
1:27.0,,,15-23,2,T. Ross makes 2-pt shot from 16 ft
1:12.0,M. Ginobili misses 3-pt shot from 24 ft,,15-23,,
1:11.0,,,15-23,,Defensive rebound by P. Patterson
1:01.0,,,15-23,,T. Ross misses 3-pt shot from 23 ft
1:01.0,Defensive rebound by B. Diaw,,15-23,,
0:52.0,B. Diaw makes 2-pt shot from 4 ft,2,17-23,,
0:52.0,Shooting foul by P. Patterson (drawn by B. Diaw),,17-23,,
0:52.0,,,17-23,,L. Scola enters the game for B. Biyombo
0:52.0,B. Diaw makes free throw 1 of 1,1,18-23,,
0:43.0,Personal foul by J. Simmons (drawn by D. DeRozan),,18-23,,
0:43.0,,,18-24,1,D. DeRozan makes free throw 1 of 2
0:43.0,,,18-25,1,D. DeRozan makes free throw 2 of 2
0:34.0,B. Diaw misses 3-pt shot from 27 ft,,18-25,,
0:33.0,,,18-25,,Defensive rebound by T. Ross
0:15.0,,,18-25,,Shooting foul by D. West (drawn by D. DeRozan)
0:15.0,,,18-26,1,D. DeRozan makes free throw 1 of 2
0:15.0,M. Bonner enters the game for D. West,,18-26,,
0:15.0,,,18-27,1,D. DeRozan makes free throw 2 of 2
0:01.0,J. Simmons makes 2-pt shot from 15 ft (assist by P. Mills),2,20-27,,
0:01.0,Shooting foul by D. DeRozan (drawn by J. Simmons),,20-27,,
0:01.0,J. Simmons makes free throw 1 of 1,1,21-27,,
0:01.0,,,21-27,,Turnover by D. DeRozan (bad pass; steal by M. Bonner)
0:00.0,M. Bonner misses 3-pt shot from 47 ft,,21-27,,
0:00.0,Offensive rebound by Team,,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,21-27,,C. Joseph misses 2-pt shot from 9 ft
11:43.0,Defensive rebound by D. West,,21-27,,
11:27.0,J. Simmons makes 3-pt shot from 22 ft (assist by P. Mills),3,24-27,,
11:06.0,,,24-27,,P. Patterson misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by Team,,24-27,,
10:52.0,P. Mills misses 3-pt shot from 24 ft,,24-27,,
10:51.0,,,24-27,,Defensive rebound by L. Scola
10:44.0,,,24-27,,Turnover by P. Patterson (bad pass)
10:34.0,Turnover by J. Simmons (traveling),,24-27,,
10:34.0,L. Aldridge enters the game for D. West,,24-27,,
10:12.0,,,24-30,3,P. Patterson makes 3-pt shot from 23 ft (assist by C. Joseph)
10:10.0,San Antonio full timeout,,24-30,,
10:10.0,T. Duncan enters the game for B. Diaw,,24-30,,
10:10.0,K. Leonard enters the game for P. Mills,,24-30,,
10:10.0,T. Parker enters the game for J. Simmons,,24-30,,
10:10.0,,,24-30,,J. Johnson enters the game for T. Ross
9:57.0,Turnover by M. Ginobili (lost ball; steal by P. Patterson),,24-30,,
9:34.0,,,24-33,3,K. Lowry makes 3-pt shot from 25 ft (assist by C. Joseph)
9:22.0,Turnover by L. Aldridge (bad pass; steal by C. Joseph),,24-33,,
9:17.0,,,24-35,2,C. Joseph makes 2-pt shot from 1 ft
9:03.0,Turnover by K. Leonard (bad pass; steal by C. Joseph),,24-35,,
8:53.0,,,24-35,,P. Patterson misses 3-pt shot from 27 ft
8:53.0,Defensive rebound by T. Parker,,24-35,,
8:44.0,Shooting foul by C. Joseph (drawn by L. Aldridge),,24-35,,
8:44.0,L. Aldridge makes free throw 1 of 2,1,25-35,,
8:44.0,D. Green enters the game for M. Ginobili,,25-35,,
8:44.0,L. Aldridge makes free throw 2 of 2,1,26-35,,
8:26.0,,,26-37,2,K. Lowry makes 2-pt shot from 23 ft
8:01.0,D. Green makes 3-pt shot from 24 ft (assist by T. Parker),3,29-37,,
7:38.0,,,29-37,,C. Joseph misses 2-pt shot from 19 ft
7:38.0,Defensive rebound by K. Leonard,,29-37,,
7:29.0,K. Leonard misses 2-pt shot from 13 ft,,29-37,,
7:28.0,,,29-37,,Defensive rebound by P. Patterson
7:22.0,,,29-37,,L. Scola misses 2-pt shot from 3 ft
7:21.0,Defensive rebound by L. Aldridge,,29-37,,
7:15.0,D. Green misses 3-pt shot from 27 ft,,29-37,,
7:14.0,,,29-37,,Defensive rebound by Team
7:02.0,,,29-39,2,K. Lowry makes 2-pt shot from 16 ft (assist by C. Joseph)
6:39.0,T. Duncan makes 2-pt shot from 4 ft (assist by T. Parker),2,31-39,,
6:16.0,,,31-39,,Offensive charge foul by K. Lowry
6:16.0,,,31-39,,Turnover by K. Lowry (offensive foul)
6:16.0,,,31-39,,D. DeRozan enters the game for C. Joseph
6:07.0,Turnover by T. Duncan (bad pass; steal by P. Patterson),,31-39,,
6:02.0,,,31-39,,Shooting foul by D. Green (drawn by J. Johnson)
6:02.0,,,31-40,1,J. Johnson makes free throw 1 of 2
6:02.0,J. Simmons enters the game for K. Leonard,,31-40,,
6:02.0,,,31-41,1,J. Johnson makes free throw 2 of 2
5:42.0,T. Duncan misses 2-pt shot from 6 ft,,31-41,,
5:41.0,Offensive rebound by L. Aldridge,,31-41,,
5:39.0,L. Aldridge makes 2-pt shot from 1 ft,2,33-41,,
5:29.0,,,33-43,2,D. DeRozan makes 2-pt shot from 17 ft
5:09.0,D. Green misses 2-pt shot from 1 ft,,33-43,,
5:08.0,,,33-43,,Defensive rebound by L. Scola
5:00.0,Personal block foul by J. Simmons (drawn by P. Patterson),,33-43,,
5:00.0,Official timeout,,33-43,,
5:00.0,,,33-43,,B. Biyombo enters the game for P. Patterson
4:48.0,,,33-43,,L. Scola misses 2-pt shot from 6 ft
4:48.0,Defensive rebound by T. Parker,,33-43,,
4:40.0,L. Aldridge makes 2-pt shot from 4 ft (assist by T. Duncan),2,35-43,,
