time,Atlanta,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Horford (T. Parker gains possession),,,,Jump ball: T. Duncan vs. A. Horford (T. Parker gains possession)
11:37.0,,,0-2,2,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker)
11:18.0,P. Millsap misses 2-pt shot from 11 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by T. Duncan
11:08.0,,,0-4,2,T. Parker makes 2-pt shot from 10 ft
10:56.0,A. Horford misses 2-pt shot from 6 ft,,0-4,,
10:55.0,,,0-4,,Defensive rebound by L. Aldridge
10:44.0,,,0-4,,T. Duncan misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by J. Teague,,0-4,,
10:32.0,P. Millsap misses 2-pt shot from 4 ft (block by L. Aldridge),,0-4,,
10:32.0,Offensive rebound by Team,,0-4,,
10:28.0,Turnover by J. Teague (lost ball; steal by T. Parker),,0-4,,
10:16.0,,,0-4,,K. Leonard misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by T. Sefolosha,,0-4,,
10:05.0,Turnover by J. Teague (bad pass; steal by D. Green),,0-4,,
10:02.0,,,0-4,,Turnover by D. Green (bad pass)
9:51.0,J. Teague misses 2-pt shot from 18 ft,,0-4,,
9:49.0,,,0-4,,Defensive rebound by T. Parker
9:34.0,,,0-6,2,L. Aldridge makes 2-pt shot from 21 ft (assist by T. Duncan)
9:15.0,A. Horford makes 2-pt shot from 18 ft,2,2-6,,
8:55.0,,,2-8,2,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker)
8:39.0,Turnover by T. Sefolosha (traveling),,2-8,,
8:27.0,,,2-8,,T. Parker misses 2-pt shot from 8 ft (block by P. Millsap)
8:25.0,,,2-8,,Offensive rebound by T. Duncan
8:21.0,,,2-8,,L. Aldridge misses 2-pt shot from 18 ft
8:20.0,Defensive rebound by P. Millsap,,2-8,,
8:09.0,Shooting foul by T. Duncan (drawn by T. Sefolosha),,2-8,,
8:09.0,T. Sefolosha misses free throw 1 of 2,,2-8,,
8:09.0,Offensive rebound by Team,,2-8,,
8:09.0,T. Sefolosha makes free throw 2 of 2,1,3-8,,
7:44.0,,,3-8,,T. Parker misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by T. Sefolosha,,3-8,,
7:38.0,J. Teague misses 3-pt shot from 24 ft,,3-8,,
7:37.0,Offensive rebound by P. Millsap,,3-8,,
7:32.0,A. Horford misses 3-pt shot from 25 ft,,3-8,,
7:31.0,,,3-8,,Defensive rebound by T. Duncan
7:20.0,,,3-8,,Shooting foul by T. Sefolosha (drawn by K. Leonard)
7:20.0,,,3-11,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Duncan)
7:20.0,,,3-12,1,K. Leonard makes free throw 1 of 1
7:09.0,A. Horford makes 2-pt shot from 1 ft (assist by P. Millsap),2,5-12,,
6:42.0,,,5-12,,T. Duncan misses 2-pt shot from 19 ft
6:41.0,,,5-12,,Offensive rebound by L. Aldridge
6:38.0,,,5-14,2,L. Aldridge makes 2-pt shot from 7 ft
6:25.0,P. Millsap makes 2-pt shot from 14 ft (assist by J. Teague),2,7-14,,
6:15.0,,,7-14,,Turnover by T. Duncan (bad pass; steal by P. Millsap)
6:08.0,P. Millsap makes 2-pt shot from 10 ft (assist by J. Teague),2,9-14,,
6:08.0,,,9-14,,San Antonio full timeout
6:08.0,M. Muscala enters the game for A. Horford,,9-14,,
6:08.0,K. Bazemore enters the game for T. Sefolosha,,9-14,,
5:53.0,,,9-14,,L. Aldridge misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by K. Bazemore,,9-14,,
5:40.0,J. Teague makes 3-pt shot from 25 ft (assist by M. Muscala),3,12-14,,
5:26.0,Personal foul by J. Teague (drawn by T. Parker),,12-14,,
5:19.0,,,12-14,,D. Green misses 2-pt shot at rim
5:18.0,Defensive rebound by J. Teague,,12-14,,
5:05.0,J. Teague misses 3-pt shot from 24 ft,,12-14,,
5:04.0,,,12-14,,Defensive rebound by T. Duncan
4:50.0,,,12-14,,L. Aldridge misses 2-pt shot from 15 ft
4:49.0,Defensive rebound by K. Bazemore,,12-14,,
4:33.0,J. Teague misses 2-pt shot at rim (block by T. Parker),,12-14,,
4:30.0,Offensive rebound by J. Teague,,12-14,,
4:29.0,Turnover by J. Teague (bad pass; steal by L. Aldridge),,12-14,,
4:25.0,,,12-17,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
4:08.0,J. Teague misses 2-pt shot at rim (block by L. Aldridge),,12-17,,
4:07.0,,,12-17,,Defensive rebound by T. Duncan
3:58.0,,,12-17,,T. Parker misses 2-pt shot from 9 ft (block by K. Bazemore)
3:58.0,,,12-17,,Offensive rebound by Team
3:58.0,,,12-17,,M. Ginobili enters the game for K. Leonard
3:58.0,,,12-17,,P. Mills enters the game for T. Parker
3:58.0,,,12-17,,B. Diaw enters the game for T. Duncan
3:58.0,D. Schroder enters the game for J. Teague,,12-17,,
3:57.0,,,12-17,,Turnover by M. Ginobili (lost ball)
3:45.0,M. Muscala misses 2-pt shot from 18 ft,,12-17,,
3:44.0,,,12-17,,Defensive rebound by L. Aldridge
3:27.0,,,12-17,,Turnover by L. Aldridge (lost ball; steal by M. Muscala)
3:17.0,Turnover by M. Muscala (bad pass),,12-17,,
2:57.0,,,12-17,,L. Aldridge misses 2-pt shot at rim
2:56.0,,,12-17,,Offensive rebound by L. Aldridge
2:56.0,,,12-19,2,L. Aldridge makes 2-pt shot at rim
2:51.0,Atlanta full timeout,,12-19,,
2:51.0,L. Patterson enters the game for K. Korver,,12-19,,
2:38.0,M. Muscala misses 2-pt shot at rim,,12-19,,
2:37.0,,,12-19,,Defensive rebound by L. Aldridge
2:27.0,,,12-19,,Turnover by D. Green (bad pass)
2:27.0,,,12-19,,K. Anderson enters the game for D. Green
2:17.0,P. Millsap makes 2-pt shot from 11 ft (assist by D. Schroder),2,14-19,,
2:17.0,Shooting foul by P. Mills (drawn by P. Millsap),,14-19,,
2:17.0,P. Millsap misses free throw 1 of 1,,14-19,,
2:16.0,Offensive rebound by D. Schroder,,14-19,,
2:07.0,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder),2,16-19,,
1:49.0,,,16-19,,L. Aldridge misses 2-pt shot from 1 ft
1:48.0,Defensive rebound by P. Millsap,,16-19,,
1:44.0,Shooting foul by B. Diaw (drawn by P. Millsap),,16-19,,
1:44.0,P. Millsap makes free throw 1 of 2,1,17-19,,
1:44.0,A. Horford enters the game for M. Muscala,,17-19,,
1:44.0,,,17-19,,D. West enters the game for L. Aldridge
1:44.0,,,17-19,,Technical foul by Team
1:44.0,D. Schroder makes technical free throw,1,18-19,,
1:44.0,P. Millsap makes free throw 2 of 2,1,19-19,,
1:30.0,,,19-19,,Shooting foul by L. Patterson (drawn by K. Anderson)
1:30.0,,,19-20,1,K. Anderson makes free throw 1 of 2
1:30.0,M. Muscala enters the game for P. Millsap,,19-20,,
1:30.0,,,19-21,1,K. Anderson makes free throw 2 of 2
1:11.0,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder),2,21-21,,
0:46.0,,,21-21,,M. Ginobili misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by K. Bazemore,,21-21,,
0:40.0,K. Bazemore makes 2-pt shot from 18 ft,2,23-21,,
0:33.0,,,23-23,2,D. West makes 2-pt shot from 18 ft (assist by M. Ginobili)
0:14.0,D. Schroder makes 2-pt shot from 18 ft,2,25-23,,
0:03.0,,,25-23,,D. West misses 2-pt shot from 4 ft
0:02.0,Defensive rebound by A. Horford,,25-23,,
0:00.0,L. Patterson misses 3-pt shot from 45 ft,,25-23,,
0:00.0,Offensive rebound by Team,,25-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,K. Bazemore makes 2-pt shot at rim (assist by A. Horford),2,27-23,,
11:28.0,,,27-25,2,B. Diaw makes 2-pt shot from 4 ft
11:10.0,L. Patterson makes 3-pt shot from 24 ft (assist by A. Horford),3,30-25,,
10:56.0,,,30-27,2,M. Ginobili makes 2-pt shot from 22 ft (assist by K. Anderson)
10:45.0,K. Bazemore misses 3-pt shot from 25 ft,,30-27,,
10:43.0,,,30-27,,Defensive rebound by K. Anderson
10:30.0,,,30-27,,Shooting foul by M. Muscala (drawn by M. Ginobili)
10:30.0,,,30-28,1,M. Ginobili makes free throw 1 of 2
10:30.0,,,30-29,1,M. Ginobili makes free throw 2 of 2
10:24.0,Turnover by L. Patterson (traveling),,30-29,,
10:20.0,,,30-29,,Turnover by M. Ginobili (offensive foul)
10:20.0,,,30-29,,Offensive foul by M. Ginobili
10:07.0,D. Schroder misses 3-pt shot from 25 ft,,30-29,,
10:06.0,,,30-29,,Defensive rebound by K. Anderson
9:54.0,,,30-32,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw)
9:34.0,,,30-32,,Personal foul by P. Mills (drawn by M. Muscala)
9:22.0,Turnover by D. Schroder (bad pass; steal by P. Mills),,30-32,,
9:14.0,,,30-32,,P. Mills misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by M. Muscala,,30-32,,
8:59.0,K. Bazemore misses 2-pt shot from 19 ft,,30-32,,
8:57.0,,,30-32,,Defensive rebound by P. Mills
8:53.0,,,30-32,,San Antonio full timeout
8:53.0,,,30-32,,T. Parker enters the game for P. Mills
8:53.0,,,30-32,,K. Leonard enters the game for K. Anderson
8:53.0,P. Millsap enters the game for M. Muscala,,30-32,,
8:53.0,T. Sefolosha enters the game for K. Bazemore,,30-32,,
8:53.0,J. Teague enters the game for D. Schroder,,30-32,,
8:42.0,,,30-32,,K. Leonard misses 2-pt shot from 18 ft
8:41.0,Defensive rebound by T. Sefolosha,,30-32,,
8:27.0,Turnover by P. Millsap (offensive foul),,30-32,,
8:27.0,Offensive foul by P. Millsap,,30-32,,
8:27.0,,,30-32,,T. Duncan enters the game for B. Diaw
8:27.0,K. Korver enters the game for L. Patterson,,30-32,,
8:27.0,,,30-32,,L. Aldridge enters the game for D. West
8:15.0,,,30-32,,Shooting foul by P. Millsap (drawn by M. Ginobili)
8:15.0,,,30-33,1,M. Ginobili makes free throw 1 of 2
8:15.0,,,30-34,1,M. Ginobili makes free throw 2 of 2
7:55.0,K. Korver makes 2-pt shot from 20 ft,2,32-34,,
7:42.0,,,32-36,2,L. Aldridge makes 2-pt shot from 11 ft
7:42.0,,,32-36,,Shooting foul by A. Horford (drawn by L. Aldridge)
7:42.0,,,32-37,1,L. Aldridge makes free throw 1 of 1
7:31.0,P. Millsap misses 3-pt shot from 25 ft,,32-37,,
7:29.0,,,32-37,,Defensive rebound by T. Duncan
7:14.0,Violation by P. Millsap (def goaltending),,32-37,,
7:14.0,,,32-39,2,T. Duncan makes 2-pt shot from 7 ft (assist by M. Ginobili)
7:04.0,P. Millsap misses 2-pt shot from 3 ft,,32-39,,
7:03.0,,,32-39,,Defensive rebound by T. Duncan
6:54.0,Shooting block foul by T. Sefolosha (drawn by M. Ginobili),,32-39,,
6:54.0,,,32-40,1,M. Ginobili makes free throw 1 of 2
6:54.0,M. Muscala enters the game for A. Horford,,32-40,,
6:54.0,,,32-41,1,M. Ginobili makes free throw 2 of 2
6:42.0,T. Sefolosha misses 3-pt shot from 23 ft,,32-41,,
6:40.0,,,32-41,,Defensive rebound by M. Ginobili
6:39.0,,,32-41,,Turnover by M. Ginobili (bad pass; steal by K. Korver)
6:37.0,Turnover by K. Korver (bad pass),,32-41,,
6:37.0,,,32-41,,D. Green enters the game for M. Ginobili
6:12.0,,,32-43,2,T. Duncan makes 2-pt shot from 7 ft (assist by T. Parker)
6:02.0,Atlanta full timeout,,32-43,,
6:02.0,Turnover by T. Sefolosha (bad pass),,32-43,,
5:43.0,,,32-43,,D. Green misses 3-pt shot from 23 ft
5:42.0,Defensive rebound by M. Muscala,,32-43,,
5:38.0,K. Korver makes 2-pt shot at rim (assist by J. Teague),2,34-43,,
5:27.0,,,34-43,,Turnover by L. Aldridge (3 sec)
5:06.0,T. Sefolosha misses 3-pt shot from 23 ft,,34-43,,
5:05.0,Offensive rebound by P. Millsap,,34-43,,
4:49.0,M. Muscala makes 2-pt shot from 21 ft (assist by J. Teague),2,36-43,,
4:26.0,,,36-46,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
4:09.0,K. Korver misses 3-pt shot from 24 ft,,36-46,,
4:08.0,,,36-46,,Defensive rebound by T. Parker
3:57.0,,,36-46,,L. Aldridge misses 2-pt shot from 17 ft
3:56.0,Defensive rebound by P. Millsap,,36-46,,
3:38.0,Shooting foul by L. Aldridge (drawn by J. Teague),,36-46,,
3:38.0,J. Teague makes free throw 1 of 2,1,37-46,,
3:38.0,A. Horford enters the game for P. Millsap,,37-46,,
3:38.0,K. Bazemore enters the game for T. Sefolosha,,37-46,,
3:38.0,J. Teague misses free throw 2 of 2,,37-46,,
3:38.0,,,37-46,,Defensive rebound by K. Leonard
3:16.0,,,37-46,,L. Aldridge misses 2-pt shot from 14 ft
3:14.0,Defensive rebound by K. Bazemore,,37-46,,
2:57.0,K. Bazemore misses 2-pt shot from 20 ft,,37-46,,
2:56.0,,,37-46,,Defensive rebound by T. Duncan
2:49.0,,,37-46,,T. Parker misses 2-pt shot from 17 ft
2:48.0,Defensive rebound by K. Bazemore,,37-46,,
2:43.0,,,37-46,,Personal foul by D. Green (drawn by J. Teague)
2:43.0,Official timeout,,37-46,,
2:43.0,,,37-46,,P. Mills enters the game for T. Parker
2:43.0,,,37-46,,D. West enters the game for L. Aldridge
2:43.0,P. Millsap enters the game for M. Muscala,,37-46,,
2:35.0,A. Horford misses 2-pt shot from 19 ft,,37-46,,
2:34.0,,,37-46,,Defensive rebound by K. Leonard
2:11.0,,,37-46,,K. Leonard misses 2-pt shot from 11 ft
2:10.0,Defensive rebound by K. Korver,,37-46,,
1:45.0,J. Teague misses 3-pt shot from 27 ft,,37-46,,
1:44.0,,,37-46,,Defensive rebound by T. Duncan
1:34.0,Personal foul by K. Bazemore (drawn by K. Leonard),,37-46,,
1:34.0,Technical foul by K. Bazemore (drawn by K. Leonard),,37-46,,
1:34.0,,,37-47,1,K. Leonard makes technical free throw
1:34.0,,,37-48,1,K. Leonard makes free throw 1 of 2
