time,Memphis,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Howard (M. Conley gains possession),,,,Jump ball: M. Gasol vs. D. Howard (M. Conley gains possession)
11:36.0,Turnover by M. Barnes (bad pass; steal by J. Harden),,0-0,,
11:36.0,Personal foul by T. Allen (drawn by J. Harden),,0-0,,
11:21.0,,,0-2,2,D. Howard makes 2-pt shot from 1 ft (assist by T. Ariza)
11:04.0,Turnover by M. Gasol (lost ball; steal by D. Howard),,0-2,,
10:57.0,,,0-2,,T. Jones misses 2-pt shot from 3 ft
10:56.0,,,0-2,,Offensive rebound by T. Ariza
10:51.0,,,0-2,,T. Ariza misses 2-pt shot from 22 ft
10:50.0,Defensive rebound by M. Barnes,,0-2,,
10:43.0,T. Allen misses 2-pt shot from 4 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by D. Howard
10:33.0,,,0-2,,J. Terry misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by M. Gasol,,0-2,,
10:26.0,,,0-2,,Personal foul by J. Terry (drawn by J. Green)
10:20.0,Shooting foul by D. Howard (drawn by J. Green),,0-2,,
10:20.0,J. Green makes free throw 1 of 2,1,1-2,,
10:20.0,J. Green makes free throw 2 of 2,1,2-2,,
9:59.0,,,2-2,,Turnover by J. Harden (bad pass; steal by T. Allen)
9:54.0,T. Allen makes 2-pt shot from 1 ft,2,4-2,,
9:37.0,,,4-2,,D. Howard misses 2-pt shot from 4 ft
9:36.0,Defensive rebound by M. Gasol,,4-2,,
9:29.0,M. Barnes misses 2-pt shot from 2 ft,,4-2,,
9:28.0,,,4-2,,Defensive rebound by T. Jones
9:21.0,,,4-2,,T. Ariza misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by J. Green,,4-2,,
9:13.0,M. Barnes makes 3-pt shot from 23 ft (assist by M. Conley),3,7-2,,
9:02.0,,,7-2,,Shooting foul by M. Barnes (drawn by T. Ariza)
9:02.0,,,7-3,1,T. Ariza makes free throw 1 of 2
9:02.0,,,7-4,1,T. Ariza makes free throw 2 of 2
8:44.0,M. Barnes misses 3-pt shot from 24 ft,,7-4,,
8:43.0,,,7-4,,Defensive rebound by T. Ariza
8:37.0,,,7-7,3,J. Harden makes 3-pt shot from 24 ft
