time,Miami,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Stoudemire (R. Gay gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Stoudemire (R. Gay gains possession)
11:44.0,,,0-0,,Q. Acy misses 2-pt shot from 14 ft
11:44.0,Defensive rebound by G. Dragic,,0-0,,
11:27.0,A. Stoudemire makes 2-pt shot at rim (assist by L. Deng),2,2-0,,
11:06.0,,,2-0,,R. Gay misses 2-pt shot from 16 ft
11:05.0,,,2-0,,Offensive rebound by Q. Acy
10:59.0,,,2-0,,S. Curry misses 3-pt shot from 25 ft
10:58.0,,,2-0,,Offensive rebound by R. Gay
10:58.0,,,2-2,2,R. Gay makes 2-pt shot at rim
10:40.0,G. Green makes 3-pt shot from 24 ft (assist by G. Dragic),3,5-2,,
10:24.0,,,5-2,,Shooting foul by J. Johnson (drawn by R. Gay)
10:24.0,,,5-3,1,R. Gay makes free throw 1 of 2
10:24.0,,,5-4,1,R. Gay makes free throw 2 of 2
10:10.0,L. Deng makes 3-pt shot from 25 ft (assist by G. Dragic),3,8-4,,
9:48.0,,,8-4,,Turnover by R. Rondo (lost ball; steal by G. Green)
9:46.0,Turnover by L. Deng (traveling),,8-4,,
9:35.0,,,8-4,,W. Cauley-Stein misses 2-pt shot from 7 ft
9:33.0,,,8-4,,Offensive rebound by Q. Acy
9:30.0,,,8-6,2,Q. Acy makes 2-pt shot from 1 ft
9:09.0,Turnover by G. Dragic (lost ball; steal by R. Rondo),,8-6,,
9:02.0,,,8-9,3,S. Curry makes 3-pt shot from 25 ft (assist by R. Rondo)
8:43.0,G. Green makes 3-pt shot from 24 ft (assist by L. Deng),3,11-9,,
8:29.0,,,11-11,2,R. Rondo makes 2-pt shot from 3 ft
8:16.0,A. Stoudemire makes 2-pt shot from 4 ft (assist by J. Johnson),2,13-11,,
8:02.0,,,13-11,,Shooting foul by G. Dragic (drawn by S. Curry)
8:02.0,,,13-12,1,S. Curry makes free throw 1 of 2
8:02.0,,,13-13,1,S. Curry makes free throw 2 of 2
7:49.0,A. Stoudemire misses 2-pt shot from 5 ft,,13-13,,
7:48.0,,,13-13,,Defensive rebound by S. Curry
7:40.0,,,13-15,2,S. Curry makes 2-pt shot from 5 ft (assist by W. Cauley-Stein)
7:39.0,Miami full timeout,,13-15,,
7:28.0,G. Dragic misses 2-pt shot from 7 ft,,13-15,,
7:28.0,,,13-15,,Defensive rebound by R. Gay
7:13.0,,,13-18,3,S. Curry makes 3-pt shot from 23 ft (assist by R. Rondo)
6:54.0,G. Green makes 3-pt shot from 25 ft (assist by G. Dragic),3,16-18,,
6:41.0,,,16-18,,Shooting foul by G. Green (drawn by R. Rondo)
6:41.0,,,16-19,1,R. Rondo makes free throw 1 of 2
6:41.0,,,16-20,1,R. Rondo makes free throw 2 of 2
6:35.0,,,16-20,,Violation by S. Curry (kicked ball)
6:23.0,L. Deng makes 2-pt shot from 3 ft (assist by G. Dragic),2,18-20,,
6:10.0,,,18-20,,Q. Acy misses 2-pt shot from 6 ft
6:10.0,Defensive rebound by A. Stoudemire,,18-20,,
6:00.0,G. Green makes 2-pt shot from 20 ft (assist by J. Johnson),2,20-20,,
5:50.0,,,20-20,,Q. Acy misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by A. Stoudemire,,20-20,,
5:38.0,G. Green makes 2-pt shot from 15 ft (assist by L. Deng),2,22-20,,
5:21.0,,,22-20,,R. Gay misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by G. Green,,22-20,,
5:08.0,G. Dragic misses 3-pt shot from 24 ft,,22-20,,
5:07.0,Offensive rebound by J. Johnson,,22-20,,
4:52.0,A. Stoudemire makes 2-pt shot from 4 ft,2,24-20,,
4:31.0,,,24-20,,S. Curry misses 2-pt shot from 16 ft
4:31.0,Defensive rebound by Team,,24-20,,
4:31.0,,,24-20,,O. Casspi enters the game for Q. Acy
4:31.0,J. Richardson enters the game for L. Deng,,24-20,,
4:31.0,J. Winslow enters the game for G. Dragic,,24-20,,
4:13.0,Turnover by A. Stoudemire (step out of bounds),,24-20,,
4:13.0,,,24-20,,D. Collison enters the game for W. Cauley-Stein
4:13.0,,,24-20,,K. Koufos enters the game for S. Curry
4:13.0,H. Whiteside enters the game for A. Stoudemire,,24-20,,
4:04.0,,,24-22,2,R. Gay makes 2-pt shot from 15 ft (assist by R. Rondo)
3:38.0,H. Whiteside makes 2-pt shot from 14 ft,2,26-22,,
3:19.0,,,26-22,,R. Gay misses 2-pt shot from 10 ft
3:16.0,Defensive rebound by J. Richardson,,26-22,,
3:10.0,G. Green makes 2-pt shot from 2 ft (assist by J. Richardson),2,28-22,,
3:06.0,,,28-22,,Sacramento full timeout
3:06.0,L. Deng enters the game for G. Green,,28-22,,
2:54.0,,,28-22,,R. Rondo misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by J. Winslow,,28-22,,
2:44.0,,,28-22,,Personal foul by R. Rondo
2:37.0,J. Johnson misses 2-pt shot from 3 ft,,28-22,,
2:35.0,,,28-22,,Defensive rebound by R. Gay
2:23.0,,,28-22,,Turnover by R. Rondo (lost ball; steal by J. Johnson)
2:14.0,J. Winslow makes 2-pt shot from 2 ft (assist by H. Whiteside),2,30-22,,
1:52.0,,,30-22,,K. Koufos misses 2-pt shot at rim (block by J. Winslow)
1:51.0,Defensive rebound by J. Richardson,,30-22,,
1:40.0,J. Richardson misses 3-pt shot from 24 ft,,30-22,,
1:39.0,,,30-22,,Defensive rebound by R. Rondo
1:18.0,,,30-22,,R. Gay misses 2-pt shot from 3 ft
1:17.0,Defensive rebound by J. Johnson,,30-22,,
1:09.0,J. Johnson makes 2-pt shot from 5 ft,2,32-22,,
0:57.0,,,32-22,,Turnover by K. Koufos (traveling)
0:57.0,,,32-22,,B. McLemore enters the game for R. Rondo
0:57.0,G. Dragic enters the game for J. Johnson,,32-22,,
0:45.0,L. Deng makes 2-pt shot from 8 ft,2,34-22,,
0:36.0,,,34-24,2,D. Collison makes 2-pt shot from 19 ft
0:23.0,G. Dragic makes 2-pt shot from 13 ft,2,36-24,,
0:04.0,,,36-24,,R. Gay misses 2-pt shot from 5 ft (block by H. Whiteside)
0:02.0,Defensive rebound by J. Winslow,,36-24,,
0:00.0,J. Winslow makes 3-pt shot from 27 ft,3,39-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,L. Deng misses 2-pt shot from 11 ft,,39-24,,
11:46.0,Offensive rebound by L. Deng,,39-24,,
11:36.0,J. Richardson makes 3-pt shot from 24 ft (assist by H. Whiteside),3,42-24,,
11:18.0,,,42-26,2,O. Casspi makes 2-pt shot from 2 ft
11:01.0,J. Richardson makes 2-pt shot from 20 ft,2,44-26,,
10:51.0,,,44-28,2,D. Collison makes 2-pt shot from 18 ft
10:36.0,L. Deng makes 2-pt shot from 19 ft (assist by G. Dragic),2,46-28,,
10:26.0,,,46-28,,W. Cauley-Stein misses 2-pt shot from 6 ft
10:24.0,,,46-28,,Offensive rebound by K. Koufos
10:23.0,,,46-30,2,K. Koufos makes 2-pt shot from 2 ft
10:10.0,H. Whiteside makes 2-pt shot at rim (assist by L. Deng),2,48-30,,
9:59.0,Shooting block foul by J. Winslow (drawn by O. Casspi),,48-30,,
9:59.0,,,48-30,,O. Casspi misses free throw 1 of 2
9:59.0,,,48-30,,Offensive rebound by Team
9:59.0,,,48-30,,O. Casspi misses free throw 2 of 2
9:58.0,Defensive rebound by H. Whiteside,,48-30,,
9:47.0,G. Dragic makes 2-pt shot from 15 ft,2,50-30,,
9:32.0,,,50-30,,K. Koufos misses 2-pt shot from 13 ft
9:31.0,,,50-30,,Offensive rebound by O. Casspi
9:31.0,,,50-30,,O. Casspi misses 2-pt shot from 1 ft
9:30.0,,,50-30,,Offensive rebound by Team
9:30.0,,,50-30,,J. Anderson enters the game for K. Koufos
9:21.0,,,50-32,2,D. Collison makes 2-pt shot from 17 ft
9:11.0,,,50-32,,Personal foul by D. Collison
9:02.0,G. Dragic makes 2-pt shot from 16 ft,2,52-32,,
8:49.0,,,52-32,,O. Casspi misses 2-pt shot from 6 ft
8:48.0,Defensive rebound by H. Whiteside,,52-32,,
8:44.0,,,52-32,,Personal foul by O. Casspi
8:44.0,Official timeout,,52-32,,
8:44.0,,,52-32,,R. Gay enters the game for O. Casspi
8:34.0,Turnover by H. Whiteside (lost ball; steal by B. McLemore),,52-32,,
8:25.0,,,52-32,,Turnover by B. McLemore (lost ball)
8:11.0,J. Winslow misses 3-pt shot from 23 ft,,52-32,,
8:09.0,,,52-32,,Defensive rebound by W. Cauley-Stein
8:00.0,,,52-35,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Collison)
7:43.0,G. Green enters the game for G. Dragic,,52-35,,
7:34.0,Turnover by J. Richardson (bad pass),,52-35,,
7:19.0,Violation by G. Green (kicked ball),,52-35,,
7:19.0,J. Johnson enters the game for L. Deng,,52-35,,
7:06.0,,,52-35,,B. McLemore misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by H. Whiteside,,52-35,,
6:48.0,J. Winslow misses 2-pt shot from 20 ft,,52-35,,
6:48.0,Offensive rebound by Team,,52-35,,
6:41.0,,,52-35,,Violation by W. Cauley-Stein (kicked ball)
6:25.0,J. Winslow misses 2-pt shot from 2 ft,,52-35,,
6:23.0,Offensive rebound by J. Winslow,,52-35,,
6:22.0,J. Winslow makes 2-pt shot from 2 ft,2,54-35,,
6:11.0,,,54-35,,R. Gay misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by H. Whiteside,,54-35,,
5:53.0,J. Richardson misses 2-pt shot from 6 ft,,54-35,,
