time,Portland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Plumlee (T. Douglas gains possession),,,,Jump ball: A. Davis vs. M. Plumlee (T. Douglas gains possession)
11:46.0,,,0-2,2,J. Holiday makes 2-pt shot from 2 ft (assist by T. Douglas)
11:32.0,Turnover by C. McCollum (lost ball; steal by T. Douglas),,0-2,,
11:24.0,,,0-2,,A. Davis misses 2-pt shot from 2 ft
11:23.0,Defensive rebound by M. Plumlee,,0-2,,
11:07.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,2-2,,
10:54.0,,,2-2,,A. Davis misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by D. Lillard,,2-2,,
10:47.0,D. Lillard makes 3-pt shot from 26 ft,3,5-2,,
10:35.0,,,5-2,,J. Holiday misses 2-pt shot from 19 ft
10:34.0,Defensive rebound by C. McCollum,,5-2,,
10:24.0,Turnover by D. Lillard (lost ball; steal by J. Holiday),,5-2,,
10:19.0,,,5-4,2,J. Holiday makes 2-pt shot from 14 ft
10:02.0,C. McCollum makes 2-pt shot at rim (assist by D. Lillard),2,7-4,,
10:02.0,Shooting foul by O. Asik (drawn by C. McCollum),,7-4,,
10:02.0,C. McCollum makes free throw 1 of 1,1,8-4,,
9:41.0,,,8-4,,O. Asik misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by D. Lillard,,8-4,,
9:25.0,Offensive foul by N. Vonleh,,8-4,,
9:25.0,Turnover by N. Vonleh (offensive foul),,8-4,,
9:11.0,,,8-4,,A. Davis misses 2-pt shot from 13 ft
9:10.0,Defensive rebound by A. Aminu,,8-4,,
8:58.0,M. Plumlee makes 2-pt shot from 8 ft (assist by D. Lillard),2,10-4,,
8:53.0,,,10-4,,New Orleans full timeout
8:44.0,,,10-6,2,A. Davis makes 2-pt shot from 13 ft (assist by T. Douglas)
8:20.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,13-6,,
8:10.0,Def 3 sec tech foul by M. Plumlee,,13-6,,
8:10.0,,,13-7,1,A. Davis makes technical free throw
8:01.0,,,13-9,2,A. Davis makes 2-pt shot from 8 ft (assist by T. Douglas)
7:45.0,C. McCollum misses 2-pt shot from 9 ft,,13-9,,
7:44.0,Offensive rebound by A. Aminu,,13-9,,
7:44.0,Shooting foul by D. Cunningham (drawn by A. Aminu),,13-9,,
7:44.0,A. Aminu makes free throw 1 of 2,1,14-9,,
7:44.0,A. Aminu makes free throw 2 of 2,1,15-9,,
7:34.0,,,15-9,,T. Douglas misses 2-pt shot from 16 ft
7:32.0,Defensive rebound by N. Vonleh,,15-9,,
7:19.0,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum),3,18-9,,
7:13.0,,,18-9,,D. Cunningham misses 2-pt shot at rim
7:12.0,Defensive rebound by M. Plumlee,,18-9,,
6:59.0,N. Vonleh makes 2-pt shot from 1 ft,2,20-9,,
6:59.0,Shooting foul by A. Davis (drawn by N. Vonleh),,20-9,,
6:59.0,N. Vonleh makes free throw 1 of 1,1,21-9,,
6:48.0,,,21-11,2,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday)
6:29.0,C. McCollum makes 3-pt shot from 23 ft (assist by M. Plumlee),3,24-11,,
6:07.0,,,24-11,,A. Davis misses 2-pt shot from 16 ft
6:06.0,Defensive rebound by M. Plumlee,,24-11,,
5:55.0,D. Lillard misses 3-pt shot from 29 ft,,24-11,,
5:54.0,,,24-11,,Defensive rebound by D. Cunningham
5:45.0,,,24-13,2,A. Davis makes 2-pt shot from 5 ft (assist by J. Holiday)
5:26.0,C. McCollum misses 3-pt shot from 22 ft,,24-13,,
5:25.0,,,24-13,,Defensive rebound by O. Asik
5:22.0,Personal foul by N. Vonleh,,24-13,,
5:22.0,A. Crabbe enters the game for C. McCollum,,24-13,,
5:22.0,,,24-13,,R. Anderson enters the game for O. Asik
5:22.0,E. Davis enters the game for N. Vonleh,,24-13,,
5:22.0,M. Harkless enters the game for M. Plumlee,,24-13,,
5:14.0,,,24-13,,Shooting foul by E. Davis (drawn by A. Davis)
5:14.0,,,24-14,1,A. Davis makes free throw 1 of 2
5:14.0,,,24-15,1,A. Davis makes free throw 2 of 2
5:01.0,D. Lillard makes 2-pt shot from 2 ft,2,26-15,,
4:56.0,Personal foul by A. Aminu,,26-15,,
4:50.0,,,26-15,,T. Douglas misses 2-pt shot from 17 ft (block by D. Lillard)
4:50.0,,,26-15,,Offensive rebound by Team
4:44.0,,,26-15,,A. Davis misses 2-pt shot from 15 ft
4:43.0,Defensive rebound by D. Lillard,,26-15,,
4:38.0,,,26-15,,Personal foul by T. Douglas
4:38.0,,,26-15,,T. Frazier enters the game for T. Douglas
4:33.0,D. Lillard misses 3-pt shot from 29 ft,,26-15,,
4:32.0,Offensive rebound by E. Davis,,26-15,,
4:32.0,,,26-15,,Loose ball foul by A. Davis
4:32.0,E. Davis makes free throw 1 of 2,1,27-15,,
4:32.0,,,27-15,,L. Babbitt enters the game for A. Davis
4:32.0,G. Henderson enters the game for A. Aminu,,27-15,,
4:32.0,E. Davis makes free throw 2 of 2,1,28-15,,
4:20.0,,,28-17,2,R. Anderson makes 2-pt shot from 18 ft
3:57.0,M. Harkless misses 2-pt shot from 1 ft,,28-17,,
3:57.0,,,28-17,,Defensive rebound by Team
3:57.0,Loose ball foul by E. Davis,,28-17,,
3:43.0,,,28-19,2,R. Anderson makes 2-pt shot from 3 ft
3:27.0,A. Crabbe misses 3-pt shot from 25 ft,,28-19,,
3:26.0,Offensive rebound by E. Davis,,28-19,,
3:21.0,G. Henderson misses 3-pt shot from 25 ft,,28-19,,
3:20.0,,,28-19,,Defensive rebound by T. Frazier
3:08.0,,,28-21,2,R. Anderson makes 2-pt shot from 18 ft
2:49.0,D. Lillard makes 2-pt shot from 1 ft,2,30-21,,
2:48.0,Violation by Team (jump ball),,30-21,,
2:32.0,,,30-23,2,R. Anderson makes 2-pt shot from 16 ft
2:29.0,Portland full timeout,,30-23,,
2:29.0,,,30-23,,A. Gee enters the game for D. Cunningham
2:12.0,D. Lillard makes 2-pt shot from 2 ft,2,32-23,,
2:03.0,,,32-26,3,L. Babbitt makes 3-pt shot from 22 ft (assist by R. Anderson)
1:40.0,A. Crabbe misses 2-pt shot from 20 ft,,32-26,,
1:39.0,,,32-26,,Defensive rebound by L. Babbitt
1:34.0,,,32-28,2,T. Frazier makes 2-pt shot from 2 ft
1:34.0,,,32-28,,Shooting foul by D. Lillard (drawn by T. Frazier)
