time,Charlotte,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,,,0-0,,T. Young misses 2-pt shot from 19 ft
12:00.0,Jump ball: B. Lopez vs. C. Zeller (T. Young gains possession),,,,Jump ball: B. Lopez vs. C. Zeller (T. Young gains possession)
11:33.0,Defensive rebound by N. Batum,,0-0,,
11:20.0,Shooting foul by B. Lopez (drawn by C. Zeller),,0-0,,
11:20.0,C. Zeller makes free throw 1 of 2,1,1-0,,
11:20.0,C. Zeller makes free throw 2 of 2,1,2-0,,
11:13.0,,,2-0,,Offensive foul by J. Johnson
11:13.0,,,2-0,,Turnover by J. Johnson (offensive foul)
10:58.0,K. Walker misses 3-pt shot from 24 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by T. Young
10:48.0,,,2-2,2,J. Johnson makes 2-pt shot from 2 ft
10:42.0,Turnover by N. Batum (bad pass; steal by D. Sloan),,2-2,,
10:39.0,,,2-2,,W. Ellington misses 3-pt shot from 23 ft
10:38.0,Defensive rebound by N. Batum,,2-2,,
10:23.0,C. Lee makes 2-pt shot from 12 ft,2,4-2,,
10:05.0,,,4-2,,B. Lopez misses 2-pt shot from 3 ft
10:04.0,Defensive rebound by N. Batum,,4-2,,
9:58.0,K. Walker makes 2-pt shot from 17 ft (assist by N. Batum),2,6-2,,
9:35.0,,,6-5,3,D. Sloan makes 3-pt shot from 24 ft (assist by J. Johnson)
9:16.0,Turnover by K. Walker (bad pass),,6-5,,
8:58.0,,,6-5,,W. Ellington misses 3-pt shot from 23 ft
8:57.0,Defensive rebound by M. Williams,,6-5,,
8:48.0,M. Williams makes 2-pt shot from 17 ft (assist by N. Batum),2,8-5,,
8:34.0,,,8-7,2,T. Young makes 2-pt shot from 2 ft (assist by D. Sloan)
8:14.0,C. Zeller misses 2-pt shot from 7 ft,,8-7,,
8:13.0,,,8-7,,Defensive rebound by J. Johnson
