time,Brooklyn,pts.away,score,pts.home,Golden State
0:30.0,Shooting foul by S. Livingston (drawn by J. Jack),,93-94,,
0:30.0,J. Jack makes free throw 1 of 2,1,94-94,,
0:30.0,R. Hollis-Jefferson enters the game for T. Young,,94-94,,
0:30.0,,,94-94,,H. Barnes enters the game for A. Bogut
0:30.0,T. Young enters the game for B. Lopez,,94-94,,
0:30.0,J. Jack makes free throw 2 of 2,1,95-94,,
0:23.0,,,95-94,,S. Curry misses 2-pt shot from 2 ft
0:22.0,Defensive rebound by T. Young,,95-94,,
0:15.0,Turnover by Team (turnover),,95-94,,
0:15.0,,,95-94,,Golden State full timeout
0:10.0,,,95-94,,Turnover by S. Curry (bad pass; steal by T. Young)
0:10.0,,,95-94,,Personal foul by D. Green (drawn by T. Young)
0:10.0,T. Young makes free throw 1 of 2,1,96-94,,
0:10.0,T. Young makes free throw 2 of 2,1,97-94,,
0:10.0,,,97-94,,Golden State full timeout
0:06.0,,,97-97,3,A. Iguodala makes 3-pt shot from 26 ft (assist by D. Green)
0:06.0,Brooklyn full timeout,,97-97,,
0:06.0,,,97-97,,A. Bogut enters the game for H. Barnes
0:06.0,Brooklyn full timeout,,97-97,,
0:06.0,B. Lopez enters the game for T. Young,,97-97,,
0:06.0,W. Ellington enters the game for R. Hollis-Jefferson,,97-97,,
0:01.0,J. Jack misses 2-pt shot from 18 ft,,97-97,,
0:01.0,Offensive rebound by B. Lopez,,97-97,,
0:01.0,B. Lopez misses 2-pt shot from 2 ft,,97-97,,
0:01.0,Offensive rebound by Team,,97-97,,
0:01.0,,,97-97,,F. Ezeli enters the game for S. Curry
0:00.0,B. Lopez misses 2-pt shot from 2 ft,,97-97,,
0:00.0,Offensive rebound by Team,,97-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:46.0,,,97-97,,D. Green misses 2-pt shot from 2 ft (block by B. Lopez)
4:45.0,Defensive rebound by B. Bogdanovic,,97-97,,
4:41.0,Turnover by J. Johnson (bad pass),,97-97,,
4:33.0,,,97-99,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
4:19.0,J. Jack misses 2-pt shot from 17 ft,,97-99,,
4:18.0,,,97-99,,Defensive rebound by D. Green
4:00.0,,,97-99,,S. Curry misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by Team,,97-99,,
3:35.0,Turnover by J. Johnson (lost ball; steal by A. Iguodala),,97-99,,
3:30.0,,,97-101,2,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala)
3:13.0,T. Young enters the game for R. Hollis-Jefferson,,97-101,,
3:03.0,B. Bogdanovic misses 3-pt shot from 27 ft,,97-101,,
3:03.0,,,97-101,,Defensive rebound by A. Bogut
2:43.0,,,97-103,2,D. Green makes 2-pt shot from 8 ft (assist by A. Iguodala)
2:26.0,J. Jack misses 2-pt shot from 6 ft (block by A. Bogut),,97-103,,
2:25.0,,,97-103,,Defensive rebound by Team
2:05.0,,,97-105,2,S. Curry makes 2-pt shot at rim (assist by A. Iguodala)
2:05.0,Brooklyn full timeout,,97-105,,
1:53.0,Turnover by J. Johnson (bad pass; steal by D. Green),,97-105,,
1:50.0,,,97-107,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
1:35.0,T. Young misses 2-pt shot from 15 ft,,97-107,,
1:33.0,,,97-107,,Defensive rebound by D. Green
1:14.0,,,97-107,,Turnover by S. Curry (bad pass; steal by J. Jack)
1:09.0,T. Young makes 2-pt shot from 2 ft,2,99-107,,
0:51.0,Personal foul by T. Young (drawn by A. Bogut),,99-107,,
0:39.0,,,99-107,,S. Curry misses 2-pt shot from 17 ft
0:38.0,Defensive rebound by B. Bogdanovic,,99-107,,
0:31.0,J. Jack misses 3-pt shot from 28 ft (block by A. Bogut),,99-107,,
0:30.0,,,99-107,,Defensive rebound by A. Bogut
0:08.0,,,99-107,,Turnover by Team (shot clock)
0:01.0,B. Lopez misses 3-pt shot from 26 ft,,99-107,,
0:00.0,,,99-107,,Defensive rebound by A. Bogut
0:00.0,End of 1st overtime,,,,End of 1st overtime
