time,Brooklyn,pts.away,score,pts.home,Golden State
1:11.0,J. Jack makes free throw 1 of 2,1,49-47,,
1:11.0,J. Jack makes free throw 2 of 2,1,50-47,,
0:53.0,,,50-47,,Turnover by A. Iguodala (bad pass; steal by B. Bogdanovic)
0:44.0,J. Johnson misses 2-pt shot from 8 ft,,50-47,,
0:44.0,,,50-47,,Defensive rebound by F. Ezeli
0:38.0,,,50-49,2,S. Curry makes 2-pt shot from 17 ft
0:32.0,J. Jack makes 2-pt shot from 17 ft,2,52-49,,
0:13.0,,,52-49,,Shooting foul by J. Jack (drawn by S. Curry)
0:13.0,,,52-50,1,S. Curry makes free throw 1 of 3
0:13.0,,,52-51,1,S. Curry makes free throw 2 of 3
0:13.0,,,52-52,1,S. Curry makes free throw 3 of 3
0:04.0,T. Young makes 2-pt shot from 18 ft (assist by J. Jack),2,54-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,54-52,,D. Green misses 2-pt shot at rim
11:42.0,,,54-52,,Offensive rebound by D. Green
11:42.0,,,54-52,,D. Green misses 2-pt shot at rim
11:36.0,Defensive rebound by T. Young,,54-52,,
11:23.0,R. Hollis-Jefferson makes 2-pt shot from 17 ft (assist by T. Young),2,56-52,,
11:08.0,,,56-52,,B. Rush misses 3-pt shot from 23 ft
11:07.0,,,56-52,,Offensive rebound by F. Ezeli
11:01.0,,,56-55,3,D. Green makes 3-pt shot from 23 ft (assist by S. Curry)
10:38.0,Shooting foul by D. Green (drawn by J. Jack),,56-55,,
10:38.0,J. Jack makes free throw 1 of 2,1,57-55,,
10:38.0,J. Jack makes free throw 2 of 2,1,58-55,,
10:28.0,,,58-55,,S. Curry misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by R. Hollis-Jefferson,,58-55,,
10:12.0,J. Johnson makes 2-pt shot from 18 ft,2,60-55,,
10:02.0,,,60-57,2,S. Curry makes 2-pt shot from 2 ft
9:39.0,T. Young misses 2-pt shot from 7 ft (block by F. Ezeli),,60-57,,
9:38.0,Offensive rebound by B. Lopez,,60-57,,
9:35.0,J. Johnson misses 3-pt shot from 26 ft,,60-57,,
9:33.0,,,60-57,,Defensive rebound by B. Rush
9:28.0,,,60-59,2,S. Curry makes 2-pt shot from 20 ft
9:13.0,B. Lopez makes 2-pt shot from 11 ft (assist by J. Jack),2,62-59,,
8:54.0,,,62-59,,D. Green misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by J. Johnson,,62-59,,
8:34.0,J. Johnson misses 2-pt shot from 20 ft,,62-59,,
8:32.0,,,62-59,,Defensive rebound by B. Rush
8:17.0,,,62-59,,F. Ezeli misses 2-pt shot from 9 ft
8:16.0,Defensive rebound by R. Hollis-Jefferson,,62-59,,
8:05.0,,,62-59,,Personal foul by H. Barnes (drawn by T. Young)
7:50.0,J. Jack makes 2-pt shot from 10 ft,2,64-59,,
7:43.0,,,64-59,,S. Curry misses 3-pt shot from 27 ft
7:41.0,Defensive rebound by R. Hollis-Jefferson,,64-59,,
7:31.0,Jump ball: D. Green vs. B. Lopez (F. Ezeli gains possession),,,,Jump ball: D. Green vs. B. Lopez (F. Ezeli gains possession)
7:31.0,Turnover by B. Lopez (lost ball; steal by D. Green),,64-59,,
7:19.0,,,64-61,2,H. Barnes makes 2-pt shot at rim
7:04.0,J. Johnson misses 2-pt shot from 17 ft,,64-61,,
7:02.0,,,64-61,,Defensive rebound by B. Rush
6:52.0,,,64-61,,Turnover by S. Curry (bad pass; steal by B. Lopez)
