time,Oklahoma City,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Jokic (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. N. Jokic (S. Ibaka gains possession)
11:47.0,Turnover by R. Westbrook (bad pass; steal by D. Gallinari),,0-0,,
11:42.0,,,0-0,,E. Mudiay misses 2-pt shot from 2 ft
11:41.0,,,0-0,,Offensive rebound by K. Faried
11:41.0,,,0-2,2,K. Faried makes 2-pt shot at rim
11:26.0,S. Adams misses 2-pt shot from 2 ft,,0-2,,
11:25.0,Offensive rebound by A. Roberson,,0-2,,
11:17.0,R. Westbrook misses 3-pt shot from 25 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by K. Faried
11:06.0,,,0-2,,E. Mudiay misses 2-pt shot from 4 ft
11:05.0,Defensive rebound by R. Westbrook,,0-2,,
10:59.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,2-2,,
10:39.0,,,2-5,3,D. Gallinari makes 3-pt shot from 24 ft (assist by E. Mudiay)
10:27.0,K. Durant makes 2-pt shot from 20 ft (assist by A. Roberson),2,4-5,,
10:06.0,,,4-5,,N. Jokic misses 3-pt shot from 25 ft
10:06.0,,,4-5,,Offensive rebound by K. Faried
10:00.0,,,4-8,3,D. Gallinari makes 3-pt shot from 25 ft (assist by G. Harris)
9:47.0,K. Durant makes 2-pt shot from 13 ft (assist by R. Westbrook),2,6-8,,
9:30.0,,,6-8,,D. Gallinari misses 2-pt shot from 19 ft
9:29.0,Defensive rebound by A. Roberson,,6-8,,
9:23.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,8-8,,
9:11.0,,,8-8,,K. Faried misses 2-pt shot from 3 ft
9:10.0,Defensive rebound by S. Adams,,8-8,,
9:03.0,R. Westbrook misses 2-pt shot from 2 ft (block by K. Faried),,8-8,,
9:01.0,,,8-8,,Defensive rebound by D. Gallinari
8:51.0,,,8-8,,E. Mudiay misses 3-pt shot from 24 ft
8:50.0,Defensive rebound by K. Durant,,8-8,,
8:37.0,S. Adams makes 2-pt shot at rim (assist by S. Ibaka),2,10-8,,
8:37.0,,,10-8,,Denver full timeout
8:20.0,Personal foul by R. Westbrook (drawn by N. Jokic),,10-8,,
8:10.0,,,10-10,2,D. Gallinari makes 2-pt shot at rim
8:00.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,12-10,,
7:44.0,,,12-10,,G. Harris misses 2-pt shot from 5 ft
7:43.0,Defensive rebound by K. Durant,,12-10,,
7:37.0,R. Westbrook misses 2-pt shot from 17 ft,,12-10,,
7:34.0,,,12-10,,Defensive rebound by K. Faried
7:14.0,,,12-12,2,D. Gallinari makes 2-pt shot at rim
7:01.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,14-12,,
6:47.0,,,14-12,,D. Gallinari misses 2-pt shot from 1 ft
6:46.0,,,14-12,,Offensive rebound by K. Faried
6:45.0,,,14-12,,Shooting foul by S. Adams (drawn by K. Faried)
6:45.0,,,14-13,1,K. Faried makes free throw 1 of 2
6:45.0,E. Kanter enters the game for S. Adams,,14-13,,
6:45.0,,,14-14,1,K. Faried makes free throw 2 of 2
6:35.0,,,14-14,,Personal foul by G. Harris (drawn by S. Ibaka)
6:31.0,S. Ibaka misses 3-pt shot from 24 ft,,14-14,,
6:30.0,,,14-14,,Defensive rebound by E. Mudiay
6:26.0,,,14-14,,Shooting foul by S. Ibaka (drawn by G. Harris)
6:26.0,,,14-15,1,G. Harris makes free throw 1 of 2
6:26.0,,,14-15,,G. Harris misses free throw 2 of 2
6:26.0,,,14-15,,Offensive rebound by N. Jokic
6:21.0,,,14-18,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
6:20.0,Oklahoma City full timeout,,14-18,,
6:01.0,Turnover by E. Kanter (bad pass),,14-18,,
6:01.0,S. Adams enters the game for S. Ibaka,,14-18,,
5:48.0,,,14-18,,G. Harris misses 2-pt shot from 1 ft (block by A. Roberson)
5:46.0,,,14-18,,Offensive rebound by G. Harris
5:40.0,,,14-20,2,N. Jokic makes 2-pt shot from 6 ft (assist by E. Mudiay)
5:32.0,Offensive foul by E. Kanter,,14-20,,
5:32.0,Turnover by E. Kanter (offensive foul),,14-20,,
5:18.0,,,14-20,,K. Faried misses 2-pt shot from 18 ft
5:14.0,Defensive rebound by K. Durant,,14-20,,
5:10.0,A. Roberson misses 2-pt shot from 2 ft,,14-20,,
5:08.0,,,14-20,,Defensive rebound by K. Faried
5:03.0,,,14-20,,D. Gallinari misses 3-pt shot from 26 ft
5:03.0,Defensive rebound by Team,,14-20,,
5:03.0,,,14-20,,Loose ball foul by K. Faried (drawn by S. Adams)
4:50.0,K. Durant makes 3-pt shot from 24 ft,3,17-20,,
4:25.0,,,17-22,2,K. Faried makes 2-pt shot from 3 ft (assist by D. Gallinari)
4:12.0,E. Kanter makes 2-pt shot from 20 ft (assist by A. Roberson),2,19-22,,
3:48.0,,,19-22,,K. Faried misses 2-pt shot from 2 ft
3:48.0,Defensive rebound by K. Durant,,19-22,,
3:48.0,,,19-22,,Personal foul by N. Jokic (drawn by S. Adams)
3:48.0,,,19-22,,D. Arthur enters the game for N. Jokic
3:46.0,,,19-22,,J. Lauvergne enters the game for K. Faried
3:36.0,Turnover by R. Westbrook (bad pass; steal by D. Gallinari),,19-22,,
3:32.0,,,19-22,,Shooting foul by K. Durant (drawn by D. Gallinari)
3:32.0,,,19-23,1,D. Gallinari makes free throw 1 of 2
3:32.0,D. Waiters enters the game for A. Roberson,,19-23,,
3:32.0,,,19-24,1,D. Gallinari makes free throw 2 of 2
3:21.0,E. Kanter misses 2-pt shot from 21 ft,,19-24,,
3:20.0,,,19-24,,Defensive rebound by J. Lauvergne
3:14.0,,,19-24,,Shooting foul by D. Waiters (drawn by E. Mudiay)
3:14.0,,,19-24,,E. Mudiay misses free throw 1 of 2
3:14.0,,,19-24,,Offensive rebound by Team
3:14.0,,,19-25,1,E. Mudiay makes free throw 2 of 2
3:01.0,D. Waiters misses 3-pt shot from 22 ft,,19-25,,
2:59.0,,,19-25,,Defensive rebound by D. Arthur
