time,Toronto,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Valanciunas (S. Larkin gains possession),,,,Jump ball: B. Lopez vs. J. Valanciunas (S. Larkin gains possession)
11:45.0,,,0-3,3,S. Larkin makes 3-pt shot from 24 ft (assist by B. Lopez)
11:34.0,Offensive foul by J. Johnson,,0-3,,
11:34.0,Turnover by J. Johnson (offensive foul),,0-3,,
11:22.0,,,0-3,,J. Johnson misses 2-pt shot from 16 ft (block by J. Johnson)
11:21.0,Defensive rebound by K. Lowry,,0-3,,
11:07.0,J. Johnson misses 2-pt shot from 2 ft,,0-3,,
11:06.0,Offensive rebound by J. Johnson,,0-3,,
11:05.0,J. Johnson makes 2-pt shot from 1 ft,2,2-3,,
10:47.0,,,2-5,2,T. Young makes 2-pt shot from 7 ft (assist by B. Bogdanovic)
10:38.0,D. DeRozan makes 2-pt shot from 9 ft (assist by K. Lowry),2,4-5,,
10:38.0,Shooting foul by S. Larkin (drawn by D. DeRozan),,4-5,,
10:38.0,D. DeRozan makes free throw 1 of 1,1,5-5,,
10:22.0,,,5-5,,S. Larkin misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by J. Johnson,,5-5,,
10:09.0,K. Lowry misses 3-pt shot from 22 ft,,5-5,,
10:08.0,Offensive rebound by J. Valanciunas,,5-5,,
10:07.0,J. Valanciunas makes 2-pt shot from 2 ft,2,7-5,,
9:49.0,,,7-7,2,B. Lopez makes 2-pt shot at rim (assist by T. Young)
9:23.0,J. Valanciunas makes 2-pt shot from 15 ft,2,9-7,,
9:05.0,,,9-7,,B. Lopez misses 2-pt shot from 9 ft
9:04.0,Defensive rebound by L. Scola,,9-7,,
8:53.0,L. Scola misses 2-pt shot from 14 ft,,9-7,,
8:52.0,,,9-7,,Defensive rebound by T. Young
8:49.0,,,9-7,,T. Young misses 2-pt shot from 3 ft (block by L. Scola)
8:48.0,,,9-7,,Offensive rebound by Team
8:38.0,,,9-7,,S. Larkin misses 2-pt shot from 19 ft
8:37.0,Defensive rebound by D. DeRozan,,9-7,,
8:25.0,L. Scola misses 3-pt shot from 23 ft,,9-7,,
8:24.0,,,9-7,,Defensive rebound by S. Larkin
8:13.0,Violation by K. Lowry (kicked ball),,9-7,,
8:05.0,,,9-7,,B. Lopez misses 2-pt shot from 2 ft (block by J. Valanciunas)
8:04.0,,,9-7,,Offensive rebound by B. Lopez
8:03.0,,,9-7,,B. Lopez misses 2-pt shot from 1 ft (block by J. Johnson)
8:02.0,Defensive rebound by L. Scola,,9-7,,
7:54.0,L. Scola makes 2-pt shot from 17 ft (assist by K. Lowry),2,11-7,,
7:36.0,,,11-7,,Offensive charge foul by T. Young
7:36.0,,,11-7,,Turnover by T. Young (offensive foul)
7:20.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,13-7,,
6:57.0,,,13-7,,T. Young misses 2-pt shot from 13 ft
6:56.0,,,13-7,,Offensive rebound by B. Lopez
6:55.0,,,13-9,2,B. Lopez makes 2-pt shot from 6 ft
6:47.0,Shooting foul by B. Lopez (drawn by J. Valanciunas),,13-9,,
6:47.0,J. Valanciunas makes free throw 1 of 2,1,14-9,,
6:47.0,J. Valanciunas makes free throw 2 of 2,1,15-9,,
6:33.0,,,15-11,2,B. Bogdanovic makes 2-pt shot from 6 ft
6:21.0,L. Scola makes 2-pt shot from 12 ft (assist by K. Lowry),2,17-11,,
6:05.0,,,17-11,,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Valanciunas)
6:03.0,Defensive rebound by J. Valanciunas,,17-11,,
5:57.0,K. Lowry misses 3-pt shot from 25 ft,,17-11,,
5:56.0,,,17-11,,Defensive rebound by B. Lopez
5:41.0,,,17-11,,Turnover by B. Bogdanovic (lost ball; steal by K. Lowry)
5:40.0,K. Lowry makes 2-pt shot from 1 ft,2,19-11,,
5:40.0,,,19-11,,Brooklyn full timeout
5:17.0,,,19-11,,B. Lopez misses 2-pt shot from 5 ft
5:16.0,Defensive rebound by L. Scola,,19-11,,
5:05.0,Turnover by J. Valanciunas (traveling),,19-11,,
4:48.0,,,19-11,,B. Bogdanovic misses 2-pt shot from 9 ft
4:47.0,Defensive rebound by K. Lowry,,19-11,,
4:38.0,Turnover by K. Lowry (bad pass; steal by T. Young),,19-11,,
4:29.0,,,19-11,,Turnover by B. Lopez (lost ball; steal by K. Lowry)
4:09.0,Turnover by D. DeRozan (lost ball; steal by T. Young),,19-11,,
4:03.0,,,19-13,2,S. Larkin makes 2-pt shot from 2 ft (assist by T. Young)
3:44.0,Turnover by L. Scola (lost ball; steal by S. Larkin),,19-13,,
3:32.0,,,19-13,,B. Lopez misses 2-pt shot from 9 ft
3:31.0,Defensive rebound by K. Lowry,,19-13,,
3:17.0,L. Scola misses 3-pt shot from 25 ft,,19-13,,
3:16.0,,,19-13,,Defensive rebound by J. Johnson
3:05.0,,,19-15,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
2:59.0,Toronto full timeout,,19-15,,
2:59.0,C. Joseph enters the game for K. Lowry,,19-15,,
2:59.0,P. Patterson enters the game for J. Johnson,,19-15,,
2:59.0,T. Ross enters the game for L. Scola,,19-15,,
2:59.0,,,19-15,,W. Reed enters the game for B. Lopez
2:59.0,,,19-15,,W. Ellington enters the game for B. Bogdanovic
2:38.0,D. DeRozan misses 2-pt shot from 1 ft,,19-15,,
2:37.0,Offensive rebound by D. DeRozan,,19-15,,
2:30.0,P. Patterson misses 3-pt shot from 25 ft,,19-15,,
2:29.0,Offensive rebound by J. Valanciunas,,19-15,,
2:25.0,P. Patterson misses 3-pt shot from 23 ft,,19-15,,
2:24.0,,,19-15,,Defensive rebound by S. Larkin
2:03.0,,,19-15,,W. Reed misses 2-pt shot from 2 ft
2:02.0,Defensive rebound by J. Valanciunas,,19-15,,
1:53.0,Turnover by J. Valanciunas (lost ball; steal by S. Larkin),,19-15,,
1:47.0,,,19-17,2,S. Larkin makes 2-pt shot from 1 ft
1:31.0,,,19-17,,Personal foul by J. Johnson (drawn by D. DeRozan)
1:31.0,B. Biyombo enters the game for J. Valanciunas,,19-17,,
1:31.0,,,19-17,,D. Sloan enters the game for S. Larkin
1:15.0,T. Ross makes 3-pt shot from 27 ft (assist by D. DeRozan),3,22-17,,
0:54.0,,,22-17,,J. Johnson misses 2-pt shot from 18 ft
0:53.0,Defensive rebound by Team,,22-17,,
0:40.0,D. DeRozan misses 2-pt shot from 14 ft,,22-17,,
0:39.0,,,22-17,,Defensive rebound by W. Ellington
0:33.0,,,22-17,,W. Ellington misses 2-pt shot from 20 ft
0:32.0,Defensive rebound by B. Biyombo,,22-17,,
0:08.0,D. DeRozan makes 2-pt shot from 10 ft,2,24-17,,
0:01.0,,,24-17,,T. Young misses 2-pt shot from 10 ft
0:00.0,,,24-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Ross misses 3-pt shot from 24 ft,,24-17,,
11:44.0,Offensive rebound by B. Biyombo,,24-17,,
11:39.0,Jump ball: B. Biyombo vs. T. Robinson (T. Ross gains possession),,,,Jump ball: B. Biyombo vs. T. Robinson (T. Ross gains possession)
11:26.0,Turnover by C. Joseph (bad pass; steal by W. Ellington),,24-17,,
11:21.0,,,24-19,2,W. Ellington makes 2-pt shot from 3 ft
11:03.0,K. Lowry misses 3-pt shot from 25 ft,,24-19,,
11:02.0,,,24-19,,Defensive rebound by T. Robinson
10:48.0,,,24-22,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by T. Robinson)
10:32.0,,,24-22,,Personal foul by B. Bogdanovic (drawn by T. Ross)
10:19.0,Turnover by K. Lowry (lost ball; steal by D. Sloan),,24-22,,
10:13.0,,,24-22,,Turnover by W. Ellington (kicked ball)
9:55.0,P. Patterson makes 2-pt shot from 6 ft (assist by C. Joseph),2,26-22,,
9:35.0,,,26-22,,B. Lopez misses 2-pt shot from 8 ft
9:34.0,,,26-22,,Offensive rebound by B. Lopez
9:33.0,Personal foul by B. Biyombo (drawn by B. Lopez),,26-22,,
9:23.0,,,26-22,,B. Bogdanovic misses 2-pt shot from 5 ft
9:22.0,Defensive rebound by T. Ross,,26-22,,
9:17.0,P. Patterson misses 3-pt shot from 24 ft,,26-22,,
9:16.0,,,26-22,,Defensive rebound by D. Sloan
9:15.0,Loose ball foul by K. Lowry (drawn by D. Sloan),,26-22,,
9:01.0,,,26-22,,W. Ellington misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by Team,,26-22,,
8:59.0,Official timeout,,26-22,,
8:44.0,Turnover by C. Joseph (offensive foul),,26-22,,
8:44.0,Offensive charge foul by C. Joseph,,26-22,,
8:27.0,,,26-24,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by D. Sloan)
8:06.0,,,26-24,,Def 3 sec tech foul by B. Lopez
8:06.0,K. Lowry makes technical free throw,1,27-24,,
7:54.0,B. Biyombo misses 2-pt shot from 2 ft (block by B. Lopez),,27-24,,
7:53.0,,,27-24,,Defensive rebound by B. Lopez
7:47.0,,,27-24,,W. Ellington misses 2-pt shot from 2 ft (block by P. Patterson)
7:46.0,Defensive rebound by K. Lowry,,27-24,,
7:39.0,B. Biyombo misses 2-pt shot at rim,,27-24,,
7:38.0,Offensive rebound by B. Biyombo,,27-24,,
7:30.0,P. Patterson misses 3-pt shot from 24 ft,,27-24,,
7:29.0,,,27-24,,Defensive rebound by W. Ellington
7:15.0,,,27-24,,B. Lopez misses 2-pt shot from 8 ft
7:14.0,Defensive rebound by C. Joseph,,27-24,,
7:01.0,C. Joseph misses 3-pt shot from 25 ft,,27-24,,
7:00.0,,,27-24,,Defensive rebound by D. Sloan
6:45.0,,,27-27,3,W. Ellington makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
6:21.0,K. Lowry misses 3-pt shot from 23 ft,,27-27,,
6:20.0,,,27-27,,Defensive rebound by D. Sloan
6:19.0,D. DeRozan enters the game for C. Joseph,,27-27,,
6:04.0,,,27-29,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Sloan)
5:37.0,D. DeRozan misses 2-pt shot from 10 ft,,27-29,,
5:36.0,,,27-29,,Defensive rebound by B. Lopez
5:25.0,,,27-31,2,B. Lopez makes 2-pt shot from 14 ft (assist by B. Bogdanovic)
5:20.0,Toronto full timeout,,27-31,,
5:12.0,,,27-31,,T. Young enters the game for T. Robinson
5:12.0,J. Johnson enters the game for P. Patterson,,27-31,,
5:12.0,J. Valanciunas enters the game for T. Ross,,27-31,,
5:12.0,L. Scola enters the game for B. Biyombo,,27-31,,
5:04.0,K. Lowry makes 2-pt shot from 7 ft (assist by D. DeRozan),2,29-31,,
4:50.0,,,29-34,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Sloan)
4:38.0,D. DeRozan makes 2-pt shot from 14 ft,2,31-34,,
4:17.0,,,31-34,,D. Sloan misses 2-pt shot from 8 ft
4:16.0,Defensive rebound by L. Scola,,31-34,,
4:13.0,Shooting foul by W. Ellington (drawn by K. Lowry),,31-34,,
4:13.0,K. Lowry makes free throw 1 of 2,1,32-34,,
4:13.0,,,32-34,,S. Larkin enters the game for D. Sloan
4:13.0,,,32-34,,J. Johnson enters the game for B. Bogdanovic
