time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (C. Paul gains possession)
11:42.0,D. Jordan misses 2-pt shot from 4 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by A. Aminu
11:32.0,,,0-0,,Turnover by M. Plumlee (lost ball; steal by D. Jordan)
11:25.0,J. Redick misses 3-pt shot from 27 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by M. Plumlee
11:17.0,,,0-0,,C. McCollum misses 2-pt shot from 16 ft
11:16.0,Defensive rebound by D. Jordan,,0-0,,
11:04.0,B. Griffin misses 2-pt shot from 4 ft (block by A. Aminu),,0-0,,
11:02.0,,,0-0,,Defensive rebound by M. Harkless
10:51.0,,,0-3,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
10:33.0,C. Paul makes 2-pt shot from 2 ft,2,2-3,,
10:12.0,,,2-3,,Turnover by M. Plumlee (lost ball; steal by D. Jordan)
10:01.0,B. Griffin misses 2-pt shot from 13 ft,,2-3,,
10:00.0,,,2-3,,Defensive rebound by A. Aminu
9:45.0,,,2-6,3,A. Aminu makes 3-pt shot from 24 ft (assist by M. Plumlee)
9:31.0,,,2-6,,Personal foul by C. McCollum
9:27.0,J. Redick misses 2-pt shot from 4 ft,,2-6,,
9:26.0,,,2-6,,Defensive rebound by M. Plumlee
9:16.0,,,2-6,,A. Aminu misses 3-pt shot from 23 ft
9:15.0,,,2-6,,Offensive rebound by M. Plumlee
9:13.0,,,2-6,,Shooting foul by D. Jordan (drawn by A. Aminu)
9:13.0,,,2-7,1,A. Aminu makes free throw 1 of 2
9:13.0,,,2-8,1,A. Aminu makes free throw 2 of 2
8:54.0,C. Paul makes 2-pt shot from 15 ft,2,4-8,,
8:31.0,,,4-10,2,M. Plumlee makes 2-pt shot from 8 ft
8:12.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by A. Aminu),,4-10,,
8:11.0,,,4-10,,Defensive rebound by D. Lillard
8:08.0,,,4-12,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
7:47.0,C. Paul makes 2-pt shot from 9 ft,2,6-12,,
7:32.0,,,6-12,,A. Aminu misses 2-pt shot from 19 ft
7:31.0,Defensive rebound by D. Jordan,,6-12,,
7:27.0,B. Griffin misses 2-pt shot from 3 ft (block by A. Aminu),,6-12,,
7:26.0,,,6-12,,Defensive rebound by M. Plumlee
7:14.0,,,6-12,,M. Harkless misses 3-pt shot from 23 ft
7:14.0,Defensive rebound by D. Jordan,,6-12,,
7:06.0,Shooting foul by M. Plumlee (drawn by D. Jordan),,6-12,,
7:06.0,D. Jordan misses free throw 1 of 2,,6-12,,
7:06.0,Offensive rebound by Team,,6-12,,
7:06.0,D. Jordan misses free throw 2 of 2,,6-12,,
7:04.0,,,6-12,,Defensive rebound by M. Harkless
6:49.0,,,6-12,,M. Plumlee misses 2-pt shot from 2 ft
6:49.0,,,6-12,,Offensive rebound by M. Plumlee
6:46.0,,,6-12,,M. Plumlee misses 2-pt shot from 3 ft
6:45.0,,,6-12,,Offensive rebound by M. Plumlee
6:45.0,,,6-12,,M. Plumlee misses 2-pt shot from 3 ft
6:44.0,Defensive rebound by D. Jordan,,6-12,,
6:32.0,C. Paul makes 2-pt shot from 13 ft,2,8-12,,
6:18.0,,,8-14,2,A. Aminu makes 2-pt shot at rim (assist by C. McCollum)
6:02.0,J. Redick misses 3-pt shot from 26 ft,,8-14,,
6:01.0,,,8-14,,Defensive rebound by D. Lillard
5:52.0,,,8-14,,Shooting foul by C. Paul (drawn by M. Harkless)
5:52.0,,,8-14,,Portland full timeout
5:52.0,J. Green enters the game for L. Mbah a Moute,,8-14,,
5:52.0,,,8-15,1,M. Harkless makes free throw 1 of 2
5:52.0,,,8-16,1,M. Harkless makes free throw 2 of 2
5:39.0,J. Redick misses 2-pt shot from 16 ft,,8-16,,
5:39.0,,,8-16,,Defensive rebound by A. Aminu
5:28.0,,,8-16,,A. Aminu misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by D. Jordan,,8-16,,
5:24.0,,,8-16,,Personal foul by A. Aminu
5:10.0,J. Redick misses 2-pt shot from 16 ft,,8-16,,
5:09.0,,,8-16,,Defensive rebound by A. Aminu
4:53.0,,,8-16,,A. Aminu misses 3-pt shot from 23 ft
4:53.0,Defensive rebound by D. Jordan,,8-16,,
4:41.0,C. Paul makes 2-pt shot from 18 ft,2,10-16,,
4:25.0,,,10-16,,M. Plumlee misses 2-pt shot from 2 ft (block by D. Jordan)
4:24.0,Defensive rebound by J. Redick,,10-16,,
4:15.0,J. Redick misses 2-pt shot from 2 ft,,10-16,,
4:15.0,Offensive rebound by J. Green,,10-16,,
4:09.0,C. Paul makes 2-pt shot from 15 ft,2,12-16,,
3:50.0,,,12-16,,Shooting foul by J. Redick (drawn by C. McCollum)
3:50.0,,,12-16,,C. McCollum misses free throw 1 of 3
3:50.0,,,12-16,,Offensive rebound by Team
3:50.0,,,12-17,1,C. McCollum makes free throw 2 of 3
3:50.0,J. Crawford enters the game for J. Redick,,12-17,,
3:50.0,,,12-18,1,C. McCollum makes free throw 3 of 3
3:39.0,J. Green misses 2-pt shot from 2 ft (block by M. Plumlee),,12-18,,
3:38.0,,,12-18,,Defensive rebound by D. Lillard
3:35.0,,,12-18,,G. Henderson enters the game for C. McCollum
3:35.0,W. Johnson enters the game for B. Griffin,,12-18,,
3:35.0,,,12-18,,E. Davis enters the game for A. Aminu
3:27.0,,,12-18,,Turnover by D. Lillard (lost ball; steal by J. Crawford)
3:20.0,Turnover by J. Crawford (lost ball; steal by M. Harkless),,12-18,,
3:09.0,,,12-18,,M. Harkless misses 2-pt shot from 22 ft
3:09.0,,,12-18,,Offensive rebound by E. Davis
3:07.0,,,12-18,,E. Davis misses 2-pt shot from 1 ft
3:06.0,,,12-18,,Offensive rebound by M. Plumlee
3:03.0,,,12-18,,D. Lillard misses 3-pt shot from 27 ft
3:03.0,,,12-18,,Offensive rebound by Team
3:03.0,,,12-18,,A. Crabbe enters the game for M. Harkless
2:48.0,,,12-18,,Shooting foul by W. Johnson (drawn by G. Henderson)
2:48.0,LA Clippers full timeout,,12-18,,
2:48.0,,,12-18,,C. Kaman enters the game for M. Plumlee
2:48.0,,,12-19,1,G. Henderson makes free throw 1 of 2
2:48.0,,,12-20,1,G. Henderson makes free throw 2 of 2
2:38.0,J. Crawford misses 2-pt shot from 17 ft,,12-20,,
2:37.0,,,12-20,,Defensive rebound by E. Davis
2:22.0,,,12-20,,G. Henderson misses 2-pt shot from 2 ft
2:22.0,,,12-20,,Offensive rebound by Team
2:11.0,,,12-20,,Turnover by D. Lillard (lost ball; steal by J. Crawford)
2:07.0,Shooting foul by C. Kaman (drawn by J. Green),,12-20,,
2:07.0,J. Green misses free throw 1 of 2,,12-20,,
2:07.0,Offensive rebound by Team,,12-20,,
2:07.0,J. Green makes free throw 2 of 2,1,13-20,,
1:55.0,,,13-20,,Turnover by C. Kaman (lost ball; steal by C. Paul)
