time,Charlotte,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Hawes vs. N. Vucevic (V. Oladipo gains possession),,,,Jump ball: S. Hawes vs. N. Vucevic (V. Oladipo gains possession)
11:38.0,,,0-0,,T. Harris misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by M. Williams,,0-0,,
11:26.0,P. Hairston misses 2-pt shot from 18 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by E. Payton
11:14.0,,,0-2,2,V. Oladipo makes 2-pt shot from 7 ft (assist by E. Payton)
10:56.0,M. Williams makes 2-pt shot from 1 ft (assist by S. Hawes),2,2-2,,
10:46.0,,,2-4,2,T. Harris makes 2-pt shot from 16 ft (assist by E. Payton)
10:24.0,Shooting foul by A. Gordon (drawn by M. Williams),,2-4,,
10:24.0,M. Williams makes free throw 1 of 2,1,3-4,,
10:24.0,M. Williams makes free throw 2 of 2,1,4-4,,
10:08.0,,,4-4,,E. Payton misses 2-pt shot from 3 ft (block by M. Williams)
10:08.0,,,4-4,,Offensive rebound by Team
10:04.0,,,4-4,,N. Vucevic misses 2-pt shot from 9 ft
10:04.0,Defensive rebound by M. Williams,,4-4,,
9:49.0,K. Walker makes 2-pt shot from 2 ft,2,6-4,,
9:34.0,,,6-6,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
9:18.0,,,6-6,,Personal foul by V. Oladipo (drawn by J. Lin)
9:10.0,S. Hawes misses 2-pt shot from 19 ft (block by N. Vucevic),,6-6,,
9:10.0,Offensive rebound by Team,,6-6,,
9:09.0,Shooting foul by A. Gordon (drawn by M. Williams),,6-6,,
9:09.0,M. Williams makes free throw 1 of 3,1,7-6,,
9:09.0,M. Williams makes free throw 2 of 3,1,8-6,,
9:09.0,M. Williams makes free throw 3 of 3,1,9-6,,
9:01.0,,,9-6,,Turnover by V. Oladipo (lost ball; steal by P. Hairston)
8:53.0,P. Hairston makes 2-pt shot from 2 ft,2,11-6,,
8:49.0,,,11-8,2,T. Harris makes 2-pt shot at rim (assist by N. Vucevic)
8:49.0,,,11-8,,Shooting foul by P. Hairston (drawn by T. Harris)
8:49.0,,,11-8,,T. Harris misses free throw 1 of 1
8:48.0,Defensive rebound by S. Hawes,,11-8,,
8:27.0,S. Hawes misses 2-pt shot from 2 ft,,11-8,,
8:26.0,,,11-8,,Defensive rebound by N. Vucevic
8:18.0,,,11-10,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
8:00.0,,,11-10,,Personal foul by A. Gordon (drawn by M. Williams)
8:00.0,,,11-10,,C. Frye enters the game for A. Gordon
7:51.0,M. Williams misses 3-pt shot from 25 ft,,11-10,,
7:51.0,,,11-10,,Defensive rebound by N. Vucevic
7:44.0,,,11-12,2,V. Oladipo makes 2-pt shot from 20 ft
7:30.0,K. Walker makes 2-pt shot from 18 ft,2,13-12,,
7:10.0,,,13-12,,T. Harris misses 3-pt shot from 24 ft
7:10.0,,,13-12,,Offensive rebound by Team
7:10.0,Loose ball foul by J. Lin (drawn by E. Payton),,13-12,,
7:02.0,,,13-12,,N. Vucevic misses 2-pt shot from 10 ft (block by S. Hawes)
7:00.0,,,13-12,,Offensive rebound by N. Vucevic
6:58.0,,,13-12,,N. Vucevic misses 2-pt shot from 4 ft
6:57.0,Defensive rebound by P. Hairston,,13-12,,
6:48.0,S. Hawes misses 3-pt shot from 22 ft,,13-12,,
6:47.0,,,13-12,,Defensive rebound by C. Frye
6:38.0,,,13-12,,T. Harris misses 3-pt shot from 23 ft
6:37.0,Defensive rebound by S. Hawes,,13-12,,
6:28.0,M. Williams misses 3-pt shot from 25 ft,,13-12,,
6:27.0,,,13-12,,Defensive rebound by E. Payton
6:19.0,,,13-12,,E. Payton misses 2-pt shot from 7 ft
6:18.0,,,13-12,,Offensive rebound by V. Oladipo
6:16.0,,,13-14,2,V. Oladipo makes 2-pt shot at rim
5:55.0,K. Walker misses 2-pt shot from 5 ft,,13-14,,
5:54.0,,,13-14,,Defensive rebound by T. Harris
5:45.0,,,13-16,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
5:37.0,Charlotte full timeout,,13-16,,
5:37.0,F. Kaminsky enters the game for M. Williams,,13-16,,
5:24.0,J. Lin misses 3-pt shot from 24 ft,,13-16,,
5:23.0,,,13-16,,Defensive rebound by N. Vucevic
5:06.0,,,13-18,2,T. Harris makes 2-pt shot from 11 ft (assist by C. Frye)
4:48.0,S. Hawes makes 2-pt shot from 2 ft,2,15-18,,
4:34.0,,,15-18,,Shooting foul by S. Hawes (drawn by N. Vucevic)
4:34.0,,,15-19,1,N. Vucevic makes free throw 1 of 2
4:34.0,,,15-20,1,N. Vucevic makes free throw 2 of 2
4:20.0,S. Hawes makes 2-pt shot at rim (assist by J. Lin),2,17-20,,
4:20.0,Shooting foul by V. Oladipo (drawn by S. Hawes),,17-20,,
4:20.0,S. Hawes makes free throw 1 of 1,1,18-20,,
4:10.0,,,18-22,2,V. Oladipo makes 2-pt shot from 19 ft (assist by N. Vucevic)
3:49.0,K. Walker makes 2-pt shot at rim,2,20-22,,
3:38.0,,,20-22,,V. Oladipo misses 3-pt shot from 23 ft
3:38.0,Defensive rebound by Team,,20-22,,
3:38.0,,,20-22,,E. Fournier enters the game for V. Oladipo
3:38.0,T. Hansbrough enters the game for S. Hawes,,20-22,,
3:38.0,J. Lamb enters the game for J. Lin,,20-22,,
3:23.0,T. Hansbrough misses 2-pt shot from 7 ft,,20-22,,
3:23.0,,,20-22,,Defensive rebound by E. Fournier
3:09.0,,,20-24,2,E. Fournier makes 2-pt shot from 15 ft (assist by E. Payton)
2:50.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by P. Hairston),3,23-24,,
2:36.0,,,23-24,,Shooting foul by P. Hairston (drawn by T. Harris)
2:36.0,,,23-24,,Orlando full timeout
2:36.0,,,23-24,,S. Napier enters the game for E. Payton
2:36.0,M. Williams enters the game for P. Hairston,,23-24,,
2:36.0,,,23-25,1,T. Harris makes free throw 1 of 2
2:36.0,,,23-26,1,T. Harris makes free throw 2 of 2
2:20.0,,,23-26,,Def 3 sec tech foul by N. Vucevic
2:20.0,K. Walker makes technical free throw,1,24-26,,
2:20.0,,,24-26,,M. Hezonja enters the game for T. Harris
2:20.0,,,24-26,,J. Smith enters the game for N. Vucevic
2:15.0,K. Walker makes 2-pt shot from 17 ft,2,26-26,,
1:59.0,,,26-28,2,S. Napier makes 2-pt shot from 15 ft (assist by J. Smith)
1:43.0,K. Walker misses 2-pt shot from 15 ft,,26-28,,
1:42.0,,,26-28,,Defensive rebound by C. Frye
1:30.0,,,26-30,2,E. Fournier makes 2-pt shot from 1 ft (assist by M. Hezonja)
1:09.0,M. Williams misses 2-pt shot from 5 ft,,26-30,,
1:08.0,Offensive rebound by T. Hansbrough,,26-30,,
1:08.0,T. Hansbrough makes 2-pt shot at rim,2,28-30,,
0:51.0,Personal foul by J. Lamb (drawn by E. Fournier),,28-30,,
0:51.0,,,28-31,1,E. Fournier makes free throw 1 of 2
0:51.0,,,28-32,1,E. Fournier makes free throw 2 of 2
0:27.0,J. Lamb misses 2-pt shot from 8 ft,,28-32,,
0:27.0,Offensive rebound by T. Hansbrough,,28-32,,
0:27.0,T. Hansbrough makes 2-pt shot at rim,2,30-32,,
0:03.0,,,30-35,3,C. Frye makes 3-pt shot from 24 ft (assist by S. Napier)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by B. Roberts (lost ball; steal by S. Napier),,30-35,,
11:40.0,Personal foul by J. Lamb (drawn by E. Fournier),,30-35,,
11:26.0,Personal foul by J. Lamb (drawn by C. Frye),,30-35,,
11:26.0,,,30-36,1,C. Frye makes free throw 1 of 2
11:26.0,T. Daniels enters the game for J. Lamb,,30-36,,
11:26.0,,,30-37,1,C. Frye makes free throw 2 of 2
11:09.0,T. Daniels makes 2-pt shot from 21 ft,2,32-37,,
10:55.0,,,32-37,,E. Fournier misses 2-pt shot from 15 ft
10:54.0,Defensive rebound by B. Roberts,,32-37,,
10:41.0,J. Lin misses 2-pt shot from 10 ft,,32-37,,
10:40.0,,,32-37,,Defensive rebound by S. Napier
10:25.0,,,32-39,2,E. Fournier makes 2-pt shot from 20 ft
10:05.0,T. Hansbrough makes 2-pt shot at rim (assist by J. Lin),2,34-39,,
9:46.0,,,34-39,,C. Frye misses 2-pt shot from 9 ft
9:46.0,,,34-39,,Offensive rebound by Team
9:46.0,Loose ball foul by J. Lin (drawn by J. Smith),,34-39,,
9:35.0,,,34-39,,Offensive foul by M. Hezonja
9:35.0,,,34-39,,Turnover by M. Hezonja (offensive foul)
9:13.0,F. Kaminsky makes 2-pt shot from 6 ft (assist by J. Lin),2,36-39,,
8:52.0,,,36-42,3,E. Fournier makes 3-pt shot from 25 ft
8:30.0,T. Hansbrough misses 2-pt shot at rim (block by E. Fournier),,36-42,,
8:29.0,,,36-42,,Defensive rebound by M. Hezonja
8:19.0,,,36-42,,J. Smith misses 2-pt shot at rim
8:19.0,Defensive rebound by J. Lin,,36-42,,
8:08.0,B. Roberts misses 3-pt shot from 24 ft,,36-42,,
8:08.0,,,36-42,,Defensive rebound by M. Hezonja
7:54.0,,,36-44,2,J. Smith makes 2-pt shot from 19 ft (assist by E. Fournier)
7:44.0,,,36-44,,Personal foul by J. Smith (drawn by T. Hansbrough)
7:44.0,Official timeout,,36-44,,
7:44.0,M. Williams enters the game for T. Hansbrough,,36-44,,
7:44.0,,,36-44,,E. Payton enters the game for C. Frye
7:44.0,,,36-44,,V. Oladipo enters the game for S. Napier
7:44.0,,,36-44,,A. Nicholson enters the game for M. Hezonja
7:31.0,F. Kaminsky misses 2-pt shot from 8 ft,,36-44,,
7:30.0,,,36-44,,Defensive rebound by A. Nicholson
7:12.0,,,36-46,2,J. Smith makes 2-pt shot from 18 ft (assist by V. Oladipo)
7:12.0,,,36-46,,Shooting foul by B. Roberts (drawn by J. Smith)
7:12.0,,,36-46,,J. Smith misses free throw 1 of 1
7:11.0,Defensive rebound by M. Williams,,36-46,,
7:05.0,Charlotte full timeout,,36-46,,
6:49.0,T. Daniels makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,39-46,,
6:29.0,,,39-48,2,E. Fournier makes 2-pt shot from 7 ft
6:14.0,J. Lin makes 3-pt shot from 24 ft (assist by T. Daniels),3,42-48,,
5:59.0,,,42-50,2,E. Payton makes 2-pt shot at rim (assist by V. Oladipo)
5:45.0,Turnover by J. Lin (lost ball; steal by J. Smith),,42-50,,
5:29.0,,,42-50,,E. Fournier misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by B. Roberts,,42-50,,
5:22.0,,,42-50,,Personal foul by E. Payton (drawn by B. Roberts)
5:22.0,,,42-50,,Orlando full timeout
5:22.0,,,42-50,,T. Harris enters the game for E. Fournier
5:22.0,,,42-50,,N. Vucevic enters the game for J. Smith
5:22.0,S. Hawes enters the game for F. Kaminsky,,42-50,,
5:22.0,K. Walker enters the game for B. Roberts,,42-50,,
5:11.0,M. Williams misses 2-pt shot from 2 ft,,42-50,,
5:11.0,Offensive rebound by M. Williams,,42-50,,
5:11.0,S. Hawes makes 2-pt shot at rim,2,44-50,,
4:57.0,,,44-50,,Turnover by N. Vucevic (bad pass; steal by M. Williams)
4:52.0,T. Daniels makes 3-pt shot from 23 ft (assist by K. Walker),3,47-50,,
4:41.0,Personal foul by T. Daniels (drawn by T. Harris),,47-50,,
4:41.0,,,47-51,1,T. Harris makes free throw 1 of 2
4:41.0,,,47-52,1,T. Harris makes free throw 2 of 2
4:22.0,M. Williams misses 3-pt shot from 24 ft,,47-52,,
4:22.0,Offensive rebound by S. Hawes,,47-52,,
4:19.0,S. Hawes misses 2-pt shot from 6 ft,,47-52,,
4:18.0,Offensive rebound by M. Williams,,47-52,,
4:18.0,M. Williams makes 2-pt shot from 2 ft,2,49-52,,
3:59.0,,,49-52,,T. Harris misses 2-pt shot at rim
3:59.0,Defensive rebound by S. Hawes,,49-52,,
3:51.0,K. Walker makes 2-pt shot at rim,2,51-52,,
3:35.0,,,51-54,2,N. Vucevic makes 2-pt shot from 12 ft
3:11.0,T. Daniels misses 3-pt shot from 26 ft,,51-54,,
3:09.0,,,51-54,,Defensive rebound by E. Payton
2:59.0,,,51-56,2,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton)
2:46.0,Turnover by J. Lin (bad pass),,51-56,,
2:46.0,Charlotte full timeout,,51-56,,
2:46.0,,,51-56,,E. Fournier enters the game for A. Nicholson
2:46.0,P. Hairston enters the game for J. Lin,,51-56,,
2:28.0,,,51-59,3,E. Payton makes 3-pt shot from 25 ft (assist by N. Vucevic)
2:06.0,,,51-59,,Personal foul by E. Fournier (drawn by P. Hairston)
2:03.0,,,51-59,,Personal foul by E. Payton (drawn by K. Walker)
1:54.0,K. Walker misses 3-pt shot from 24 ft,,51-59,,
1:54.0,,,51-59,,Defensive rebound by N. Vucevic
1:47.0,,,51-59,,Turnover by N. Vucevic (traveling)
1:26.0,T. Daniels misses 2-pt shot from 18 ft,,51-59,,
1:25.0,,,51-59,,Defensive rebound by E. Payton
1:19.0,,,51-59,,V. Oladipo misses 2-pt shot from 12 ft
1:18.0,Defensive rebound by S. Hawes,,51-59,,
1:10.0,K. Walker makes 2-pt shot from 7 ft,2,53-59,,
0:59.0,,,53-59,,Turnover by E. Payton (bad pass; steal by P. Hairston)
0:49.0,K. Walker makes 2-pt shot from 2 ft,2,55-59,,
0:37.0,,,55-59,,Shooting foul by T. Daniels (drawn by V. Oladipo)
0:37.0,,,55-60,1,V. Oladipo makes free throw 1 of 2
0:37.0,,,55-61,1,V. Oladipo makes free throw 2 of 2
0:31.0,K. Walker misses 2-pt shot from 13 ft,,55-61,,
0:30.0,,,55-61,,Defensive rebound by E. Fournier
0:10.0,,,55-61,,Turnover by E. Fournier (lost ball; steal by P. Hairston)
0:03.0,T. Daniels misses 3-pt shot from 22 ft,,55-61,,
0:02.0,,,55-61,,Defensive rebound by N. Vucevic
0:00.0,,,55-61,,E. Payton misses 3-pt shot from 30 ft
0:00.0,,,55-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,P. Hairston makes 3-pt shot from 23 ft (assist by M. Williams),3,58-61,,
11:16.0,,,58-64,3,V. Oladipo makes 3-pt shot from 22 ft (assist by T. Harris)
11:00.0,J. Lin makes 2-pt shot at rim,2,60-64,,
10:36.0,,,60-64,,E. Payton misses 2-pt shot from 20 ft
10:35.0,Defensive rebound by M. Williams,,60-64,,
10:24.0,S. Hawes misses 3-pt shot from 24 ft,,60-64,,
10:23.0,,,60-64,,Defensive rebound by T. Harris
10:17.0,,,60-66,2,N. Vucevic makes 2-pt shot from 8 ft
10:17.0,,,60-66,,Shooting foul by S. Hawes (drawn by N. Vucevic)
10:17.0,,,60-67,1,N. Vucevic makes free throw 1 of 1
10:00.0,P. Hairston misses 3-pt shot from 24 ft,,60-67,,
9:59.0,,,60-67,,Defensive rebound by A. Gordon
9:55.0,,,60-69,2,A. Gordon makes 2-pt shot at rim
9:55.0,,,60-69,,Shooting foul by S. Hawes (drawn by A. Gordon)
