time,Charlotte,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. Z. Pachulia (D. Williams gains possession),,,,Jump ball: A. Jefferson vs. Z. Pachulia (D. Williams gains possession)
11:46.0,,,0-0,,Turnover by R. Felton (bad pass; steal by P. Hairston)
11:30.0,A. Jefferson makes 2-pt shot from 7 ft,2,2-0,,
11:05.0,,,2-2,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams)
10:47.0,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker),2,4-2,,
10:37.0,,,4-2,,R. Felton misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by M. Williams,,4-2,,
10:26.0,K. Walker misses 2-pt shot from 13 ft,,4-2,,
10:25.0,,,4-2,,Defensive rebound by D. Nowitzki
10:16.0,,,4-4,2,D. Williams makes 2-pt shot from 2 ft
10:06.0,Charlotte full timeout,,4-4,,
9:56.0,M. Williams misses 3-pt shot from 24 ft,,4-4,,
9:55.0,,,4-4,,Defensive rebound by Z. Pachulia
9:46.0,,,4-4,,Turnover by R. Felton (bad pass; steal by N. Batum)
9:35.0,Turnover by N. Batum (bad pass; steal by Z. Pachulia),,4-4,,
9:12.0,,,4-6,2,Z. Pachulia makes 2-pt shot from 14 ft (assist by R. Felton)
8:55.0,A. Jefferson makes 2-pt shot from 1 ft,2,6-6,,
8:47.0,Personal foul by M. Williams (drawn by D. Nowitzki),,6-6,,
8:43.0,,,6-6,,Shooting foul by A. Jefferson (drawn by W. Matthews)
8:43.0,,,6-7,1,W. Matthews makes free throw 1 of 2
8:43.0,,,6-7,,W. Matthews misses free throw 2 of 2
8:42.0,Defensive rebound by M. Williams,,6-7,,
8:28.0,N. Batum makes 2-pt shot from 6 ft,2,8-7,,
8:12.0,,,8-7,,Z. Pachulia misses 2-pt shot at rim (block by N. Batum)
8:10.0,,,8-7,,Offensive rebound by Z. Pachulia
8:09.0,,,8-7,,Z. Pachulia misses 2-pt shot at rim
8:09.0,Defensive rebound by N. Batum,,8-7,,
7:56.0,A. Jefferson misses 2-pt shot from 16 ft,,8-7,,
7:55.0,,,8-7,,Defensive rebound by Z. Pachulia
7:35.0,,,8-7,,W. Matthews misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by M. Williams,,8-7,,
7:15.0,N. Batum misses 3-pt shot from 24 ft,,8-7,,
7:14.0,,,8-7,,Defensive rebound by D. Williams
6:59.0,,,8-9,2,D. Williams makes 2-pt shot from 4 ft
6:34.0,M. Williams misses 2-pt shot from 2 ft,,8-9,,
6:33.0,Offensive rebound by M. Williams,,8-9,,
6:33.0,M. Williams misses 2-pt shot from 2 ft,,8-9,,
6:32.0,Offensive rebound by A. Jefferson,,8-9,,
6:26.0,P. Hairston misses 3-pt shot from 24 ft,,8-9,,
6:25.0,,,8-9,,Defensive rebound by Z. Pachulia
6:13.0,,,8-11,2,D. Williams makes 2-pt shot from 1 ft (assist by Z. Pachulia)
5:58.0,N. Batum misses 2-pt shot from 18 ft,,8-11,,
5:57.0,Offensive rebound by A. Jefferson,,8-11,,
