time,Golden State,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. F. Ezeli (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. F. Ezeli (K. Lowry gains possession)
11:43.0,,,0-2,2,L. Scola makes 2-pt shot from 19 ft (assist by D. DeRozan)
11:27.0,K. Thompson misses 2-pt shot from 17 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by B. Biyombo
11:15.0,Personal foul by F. Ezeli (drawn by B. Biyombo),,0-2,,
11:10.0,,,0-2,,D. DeRozan misses 2-pt shot from 15 ft
11:10.0,,,0-2,,Offensive rebound by L. Scola
11:05.0,,,0-2,,L. Scola misses 2-pt shot from 9 ft
11:04.0,Defensive rebound by K. Thompson,,0-2,,
10:50.0,,,0-2,,Personal foul by B. Biyombo (drawn by F. Ezeli)
10:41.0,D. Green misses 2-pt shot from 9 ft,,0-2,,
10:41.0,,,0-2,,Defensive rebound by L. Scola
10:25.0,,,0-5,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
10:18.0,S. Curry makes 3-pt shot from 24 ft,3,3-5,,
10:12.0,Personal foul by D. Green (drawn by L. Scola),,3-5,,
10:04.0,Personal foul by S. Curry (drawn by L. Scola),,3-5,,
9:51.0,,,3-5,,D. DeRozan misses 2-pt shot from 16 ft
9:51.0,,,3-5,,Offensive rebound by B. Biyombo
9:42.0,,,3-5,,Turnover by B. Biyombo (3 sec)
9:32.0,,,3-5,,Violation by B. Biyombo (def goaltending)
9:32.0,D. Green makes 2-pt shot from 2 ft (assist by B. Rush),2,5-5,,
9:21.0,,,5-8,3,K. Lowry makes 3-pt shot from 27 ft (assist by L. Scola)
9:12.0,Turnover by S. Curry (lost ball; steal by D. Carroll),,5-8,,
9:06.0,,,5-10,2,D. Carroll makes 2-pt shot at rim
8:49.0,S. Curry makes 3-pt shot from 24 ft (assist by B. Rush),3,8-10,,
8:32.0,,,8-10,,K. Lowry misses 3-pt shot from 23 ft
8:31.0,Defensive rebound by F. Ezeli,,8-10,,
8:26.0,S. Curry makes 3-pt shot from 22 ft (assist by D. Green),3,11-10,,
8:06.0,,,11-10,,D. DeRozan misses 2-pt shot from 23 ft
8:05.0,Defensive rebound by B. Rush,,11-10,,
7:59.0,K. Thompson makes 3-pt shot from 25 ft (assist by B. Rush),3,14-10,,
7:42.0,,,14-10,,D. Carroll misses 2-pt shot from 2 ft
7:41.0,Defensive rebound by F. Ezeli,,14-10,,
7:41.0,,,14-10,,Personal foul by L. Scola (drawn by F. Ezeli)
7:31.0,K. Thompson makes 2-pt shot from 21 ft (assist by S. Curry),2,16-10,,
7:25.0,,,16-10,,Toronto full timeout
7:12.0,,,16-10,,K. Lowry misses 2-pt shot from 10 ft
7:12.0,Defensive rebound by F. Ezeli,,16-10,,
7:05.0,S. Curry makes 2-pt shot from 15 ft,2,18-10,,
6:49.0,,,18-10,,Turnover by D. DeRozan (bad pass; steal by F. Ezeli)
6:39.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,21-10,,
6:14.0,,,21-10,,L. Scola misses 2-pt shot from 11 ft
6:13.0,Defensive rebound by F. Ezeli,,21-10,,
6:05.0,S. Curry misses 3-pt shot from 25 ft,,21-10,,
6:03.0,Offensive rebound by F. Ezeli,,21-10,,
5:59.0,K. Thompson misses 3-pt shot from 24 ft,,21-10,,
5:59.0,,,21-10,,Defensive rebound by D. Carroll
5:46.0,,,21-10,,D. Carroll misses 2-pt shot from 16 ft
5:45.0,Defensive rebound by B. Rush,,21-10,,
5:36.0,B. Rush misses 3-pt shot from 25 ft,,21-10,,
5:35.0,,,21-10,,Defensive rebound by B. Biyombo
5:23.0,,,21-12,2,L. Scola makes 2-pt shot from 6 ft
5:09.0,D. Green misses 3-pt shot from 24 ft,,21-12,,
5:08.0,,,21-12,,Defensive rebound by K. Lowry
4:53.0,,,21-12,,L. Scola misses 2-pt shot from 2 ft
4:52.0,Defensive rebound by D. Green,,21-12,,
4:45.0,D. Green makes 2-pt shot from 2 ft,2,23-12,,
4:25.0,,,23-12,,K. Lowry misses 2-pt shot from 13 ft
4:25.0,Defensive rebound by B. Rush,,23-12,,
4:19.0,Offensive foul by K. Thompson,,23-12,,
4:19.0,Turnover by K. Thompson (offensive foul),,23-12,,
4:19.0,,,23-12,,L. Nogueira enters the game for L. Scola
4:19.0,,,23-12,,C. Joseph enters the game for B. Biyombo
4:19.0,A. Iguodala enters the game for B. Rush,,23-12,,
3:55.0,,,23-12,,C. Joseph misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by A. Iguodala,,23-12,,
3:40.0,D. Green misses 2-pt shot from 8 ft,,23-12,,
3:40.0,Offensive rebound by F. Ezeli,,23-12,,
3:40.0,Shooting foul by D. Carroll (drawn by F. Ezeli),,23-12,,
3:40.0,F. Ezeli makes free throw 1 of 2,1,24-12,,
3:40.0,F. Ezeli misses free throw 2 of 2,,24-12,,
3:40.0,,,24-12,,Defensive rebound by D. Carroll
3:26.0,Def 3 sec tech foul by F. Ezeli,,24-12,,
3:26.0,,,24-13,1,D. DeRozan makes technical free throw
3:26.0,S. Livingston enters the game for F. Ezeli,,24-13,,
3:20.0,,,24-13,,D. DeRozan misses 2-pt shot from 6 ft
3:19.0,Defensive rebound by A. Iguodala,,24-13,,
3:13.0,Shooting foul by C. Joseph (drawn by K. Thompson),,24-13,,
3:13.0,K. Thompson makes free throw 1 of 2,1,25-13,,
3:13.0,K. Thompson makes free throw 2 of 2,1,26-13,,
2:58.0,,,26-13,,D. DeRozan misses 2-pt shot from 4 ft
2:57.0,,,26-13,,Offensive rebound by L. Nogueira
2:55.0,,,26-15,2,L. Nogueira makes 2-pt shot from 1 ft
2:55.0,,,26-15,,Technical foul by Team
2:55.0,Golden State full timeout,,26-15,,
2:55.0,,,26-15,,T. Ross enters the game for K. Lowry
2:55.0,L. Barbosa enters the game for K. Thompson,,26-15,,
2:55.0,S. Curry misses technical free throw,,26-15,,
2:55.0,Offensive rebound by Team,,26-15,,
2:40.0,S. Curry misses 3-pt shot from 24 ft,,26-15,,
2:39.0,,,26-15,,Defensive rebound by T. Ross
2:20.0,,,26-15,,C. Joseph misses 2-pt shot from 14 ft
2:19.0,Defensive rebound by L. Barbosa,,26-15,,
2:12.0,L. Barbosa makes 2-pt shot from 3 ft,2,28-15,,
1:46.0,,,28-17,2,D. Carroll makes 2-pt shot from 5 ft (assist by L. Nogueira)
1:36.0,S. Curry makes 2-pt shot from 12 ft,2,30-17,,
1:14.0,,,30-19,2,C. Joseph makes 2-pt shot from 2 ft
1:03.0,D. Green misses 3-pt shot from 24 ft,,30-19,,
1:02.0,,,30-19,,Defensive rebound by D. Carroll
0:52.0,Personal block foul by L. Barbosa (drawn by C. Joseph),,30-19,,
0:44.0,,,30-21,2,L. Nogueira makes 2-pt shot at rim (assist by D. DeRozan)
0:36.0,S. Curry misses 2-pt shot from 1 ft,,30-21,,
0:35.0,,,30-21,,Defensive rebound by L. Nogueira
0:28.0,,,30-21,,D. Carroll misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by D. Green,,30-21,,
0:09.0,Shooting foul by L. Nogueira (drawn by D. Green),,30-21,,
0:09.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,32-21,,
0:09.0,I. Clark enters the game for S. Curry,,32-21,,
0:09.0,D. Green misses free throw 1 of 1,,32-21,,
0:08.0,,,32-21,,Defensive rebound by D. Carroll
0:01.0,,,32-21,,C. Joseph misses 2-pt shot from 8 ft
0:00.0,,,32-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,L. Barbosa makes 2-pt shot from 19 ft,2,34-21,,
11:25.0,Personal foul by L. Barbosa (drawn by K. Lowry),,34-21,,
11:10.0,,,34-21,,K. Lowry misses 3-pt shot from 23 ft
11:08.0,,,34-21,,Offensive rebound by P. Patterson
11:04.0,,,34-21,,P. Patterson misses 2-pt shot from 2 ft
11:04.0,,,34-21,,Offensive rebound by P. Patterson
11:00.0,,,34-24,3,K. Lowry makes 3-pt shot from 25 ft (assist by L. Nogueira)
10:53.0,Turnover by M. Speights (lost ball; steal by T. Ross),,34-24,,
10:47.0,,,34-26,2,T. Ross makes 2-pt shot at rim
10:27.0,A. Iguodala misses 3-pt shot from 25 ft,,34-26,,
10:27.0,,,34-26,,Defensive rebound by T. Ross
10:14.0,,,34-26,,L. Nogueira misses 2-pt shot from 1 ft
10:14.0,,,34-26,,Offensive rebound by K. Lowry
10:08.0,,,34-29,3,K. Lowry makes 3-pt shot from 24 ft
10:08.0,Golden State full timeout,,34-29,,
9:52.0,I. Clark makes 2-pt shot from 2 ft,2,36-29,,
9:35.0,,,36-29,,C. Joseph misses 3-pt shot from 22 ft
9:34.0,Defensive rebound by M. Speights,,36-29,,
9:33.0,Turnover by M. Speights (lost ball; steal by K. Lowry),,36-29,,
9:24.0,,,36-32,3,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry)
9:09.0,S. Livingston misses 2-pt shot from 9 ft,,36-32,,
9:09.0,Offensive rebound by A. Iguodala,,36-32,,
9:06.0,A. Iguodala misses 2-pt shot from 3 ft,,36-32,,
9:05.0,Offensive rebound by S. Livingston,,36-32,,
9:00.0,S. Livingston makes 2-pt shot from 5 ft,2,38-32,,
8:32.0,,,38-32,,K. Lowry misses 2-pt shot from 3 ft (block by M. Speights)
8:32.0,,,38-32,,Offensive rebound by Team
8:32.0,K. Thompson enters the game for I. Clark,,38-32,,
8:28.0,,,38-32,,T. Ross misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by M. Speights,,38-32,,
8:19.0,Shooting foul by K. Lowry (drawn by M. Speights),,38-32,,
8:19.0,M. Speights makes free throw 1 of 2,1,39-32,,
8:19.0,,,39-32,,L. Scola enters the game for L. Nogueira
8:19.0,M. Speights makes free throw 2 of 2,1,40-32,,
8:07.0,,,40-32,,K. Lowry misses 3-pt shot from 24 ft
8:06.0,,,40-32,,Offensive rebound by P. Patterson
7:58.0,,,40-34,2,K. Lowry makes 2-pt shot from 1 ft (assist by L. Scola)
7:58.0,,,40-34,,Shooting foul by K. Thompson (drawn by K. Lowry)
7:58.0,,,40-35,1,K. Lowry makes free throw 1 of 1
7:37.0,M. Speights makes 2-pt shot from 20 ft (assist by S. Livingston),2,42-35,,
7:18.0,,,42-37,2,C. Joseph makes 2-pt shot from 2 ft
7:03.0,Turnover by M. Speights (lost ball; steal by K. Lowry),,42-37,,
7:02.0,Personal foul by M. Speights (drawn by K. Lowry),,42-37,,
7:02.0,D. Green enters the game for L. Barbosa,,42-37,,
6:38.0,,,42-37,,L. Scola misses 2-pt shot from 8 ft
6:37.0,,,42-37,,Offensive rebound by P. Patterson
6:33.0,,,42-39,2,P. Patterson makes 2-pt shot from 1 ft
6:21.0,M. Speights misses 3-pt shot from 24 ft,,42-39,,
6:21.0,,,42-39,,Defensive rebound by T. Ross
6:16.0,,,42-39,,L. Scola misses 2-pt shot from 3 ft (block by A. Iguodala)
6:16.0,,,42-39,,Offensive rebound by Team
6:16.0,F. Ezeli enters the game for M. Speights,,42-39,,
6:16.0,S. Curry enters the game for S. Livingston,,42-39,,
6:16.0,,,42-39,,Toronto full timeout
6:16.0,,,42-39,,D. DeRozan enters the game for C. Joseph
6:16.0,S. Livingston enters the game for A. Iguodala,,42-39,,
6:06.0,,,42-39,,L. Scola misses 2-pt shot from 6 ft
6:04.0,Defensive rebound by F. Ezeli,,42-39,,
5:45.0,F. Ezeli misses 2-pt shot at rim,,42-39,,
5:45.0,,,42-39,,Defensive rebound by D. DeRozan
5:38.0,,,42-39,,D. DeRozan misses 2-pt shot from 9 ft (block by K. Thompson)
5:38.0,,,42-39,,Offensive rebound by Team
5:38.0,,,42-39,,D. Carroll enters the game for T. Ross
5:26.0,,,42-39,,Shooting foul by D. Green (drawn by K. Lowry)
5:26.0,,,42-40,1,K. Lowry makes free throw 1 of 2
5:26.0,,,42-41,1,K. Lowry makes free throw 2 of 2
5:05.0,F. Ezeli misses 2-pt shot at rim (block by P. Patterson),,42-41,,
5:04.0,,,42-41,,Defensive rebound by P. Patterson
4:59.0,,,42-43,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
4:37.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,45-43,,
4:10.0,,,45-43,,L. Scola misses 2-pt shot from 16 ft
4:10.0,Defensive rebound by F. Ezeli,,45-43,,
4:00.0,Turnover by S. Livingston (bad pass; steal by P. Patterson),,45-43,,
