time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. Z. Pachulia (S. Ibaka gains possession)
11:45.0,,,0-2,2,R. Westbrook makes 2-pt shot at rim
11:25.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by W. Matthews),2,2-2,,
11:09.0,,,2-2,,K. Durant misses 2-pt shot from 18 ft
11:09.0,Defensive rebound by Z. Pachulia,,2-2,,
10:52.0,Z. Pachulia misses 2-pt shot from 17 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by K. Durant
10:39.0,,,2-4,2,K. Durant makes 2-pt shot from 9 ft
10:21.0,J. Anderson makes 2-pt shot at rim (assist by R. Felton),2,4-4,,
10:04.0,,,4-6,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:43.0,Z. Pachulia makes 2-pt shot from 5 ft (assist by R. Felton),2,6-6,,
9:29.0,,,6-8,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
9:02.0,Shooting foul by S. Ibaka (drawn by J. Anderson),,6-8,,
9:02.0,J. Anderson misses free throw 1 of 2,,6-8,,
9:02.0,Offensive rebound by Team,,6-8,,
9:02.0,J. Anderson misses free throw 2 of 2,,6-8,,
9:02.0,,,6-8,,Defensive rebound by K. Durant
8:48.0,,,6-10,2,R. Westbrook makes 2-pt shot from 20 ft
8:29.0,D. Nowitzki makes 2-pt shot from 9 ft,2,8-10,,
8:14.0,,,8-12,2,R. Westbrook makes 2-pt shot from 20 ft
8:01.0,R. Felton misses 2-pt shot from 10 ft,,8-12,,
8:01.0,,,8-12,,Defensive rebound by S. Adams
7:42.0,Personal foul by R. Felton,,8-12,,
7:42.0,D. Powell enters the game for D. Nowitzki,,8-12,,
7:31.0,,,8-12,,R. Westbrook misses 2-pt shot from 7 ft
7:30.0,,,8-12,,Offensive rebound by S. Adams
7:29.0,,,8-14,2,S. Adams makes 2-pt shot at rim
7:10.0,R. Felton makes 2-pt shot from 22 ft,2,10-14,,
6:46.0,,,10-17,3,R. Westbrook makes 3-pt shot from 24 ft
6:28.0,J. Anderson misses 2-pt shot from 19 ft,,10-17,,
6:28.0,,,10-17,,Defensive rebound by S. Ibaka
6:14.0,,,10-17,,Shooting foul by Z. Pachulia (drawn by S. Ibaka)
6:14.0,,,10-18,1,S. Ibaka makes free throw 1 of 2
6:14.0,,,10-19,1,S. Ibaka makes free throw 2 of 2
6:14.0,Dallas full timeout,,10-19,,
6:14.0,D. Nowitzki enters the game for J. Anderson,,10-19,,
6:14.0,J. Barea enters the game for Z. Pachulia,,10-19,,
6:01.0,,,10-19,,Def 3 sec tech foul by S. Adams
6:01.0,D. Nowitzki makes technical free throw,1,11-19,,
