time,Houston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Towns (D. Motiejunas gains possession),,,,Jump ball: D. Howard vs. K. Towns (D. Motiejunas gains possession)
11:35.0,T. Ariza makes 2-pt shot from 22 ft (assist by P. Beverley),2,2-0,,
11:22.0,,,2-0,,Turnover by A. Wiggins (lost ball; steal by D. Motiejunas)
11:18.0,Turnover by J. Harden (lost ball),,2-0,,
11:02.0,,,2-0,,Shooting foul by D. Motiejunas (drawn by G. Dieng)
11:02.0,,,2-1,1,G. Dieng makes free throw 1 of 2
11:02.0,,,2-2,1,G. Dieng makes free throw 2 of 2
10:49.0,J. Harden misses 2-pt shot from 8 ft,,2-2,,
10:48.0,Offensive rebound by D. Motiejunas,,2-2,,
10:42.0,J. Harden makes 3-pt shot from 23 ft (assist by D. Howard),3,5-2,,
10:26.0,,,5-2,,Shooting foul by D. Howard (drawn by A. Wiggins)
10:26.0,,,5-3,1,A. Wiggins makes free throw 1 of 2
10:26.0,,,5-4,1,A. Wiggins makes free throw 2 of 2
10:14.0,D. Howard makes 2-pt shot from 3 ft (assist by J. Harden),2,7-4,,
9:57.0,,,7-4,,R. Rubio misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by D. Howard,,7-4,,
9:52.0,T. Ariza makes 2-pt shot from 1 ft (assist by D. Howard),2,9-4,,
9:27.0,,,9-4,,K. Towns misses 2-pt shot from 15 ft
9:27.0,Defensive rebound by T. Ariza,,9-4,,
9:07.0,D. Howard makes 2-pt shot at rim (assist by P. Beverley),2,11-4,,
8:41.0,,,11-6,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
8:34.0,Shooting foul by A. Wiggins (drawn by J. Harden),,11-6,,
8:34.0,J. Harden makes free throw 1 of 3,1,12-6,,
8:34.0,J. Harden misses free throw 2 of 3,,12-6,,
8:34.0,Offensive rebound by Team,,12-6,,
8:34.0,J. Harden makes free throw 3 of 3,1,13-6,,
8:19.0,,,13-6,,Shooting foul by T. Ariza (drawn by A. Wiggins)
8:19.0,,,13-7,1,A. Wiggins makes free throw 1 of 2
8:19.0,,,13-8,1,A. Wiggins makes free throw 2 of 2
8:02.0,J. Harden misses 2-pt shot from 4 ft,,13-8,,
8:01.0,Offensive rebound by D. Howard,,13-8,,
8:00.0,Shooting foul by K. Towns (drawn by D. Howard),,13-8,,
8:00.0,,,13-8,,Minnesota full timeout
8:00.0,D. Howard makes free throw 1 of 2,1,14-8,,
8:00.0,D. Howard makes free throw 2 of 2,1,15-8,,
7:45.0,,,15-8,,K. Towns misses 2-pt shot from 22 ft
7:44.0,Defensive rebound by P. Beverley,,15-8,,
7:40.0,D. Howard misses 2-pt shot from 1 ft,,15-8,,
7:39.0,,,15-8,,Defensive rebound by K. Towns
7:32.0,,,15-10,2,R. Rubio makes 2-pt shot from 1 ft
7:18.0,D. Howard misses 2-pt shot from 8 ft (block by R. Rubio),,15-10,,
7:17.0,,,15-10,,Defensive rebound by K. Towns
7:12.0,,,15-13,3,Z. LaVine makes 3-pt shot from 24 ft (assist by A. Wiggins)
6:57.0,D. Howard makes 2-pt shot from 1 ft,2,17-13,,
6:40.0,,,17-13,,G. Dieng misses 2-pt shot from 7 ft
6:39.0,Defensive rebound by P. Beverley,,17-13,,
6:29.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,19-13,,
6:06.0,,,19-13,,A. Wiggins misses 2-pt shot from 20 ft
6:05.0,Defensive rebound by Team,,19-13,,
6:05.0,,,19-13,,N. Bjelica enters the game for G. Dieng
5:46.0,D. Motiejunas makes 2-pt shot from 9 ft,2,21-13,,
5:29.0,,,21-13,,K. Towns misses 2-pt shot from 5 ft (block by D. Howard)
5:28.0,Defensive rebound by D. Howard,,21-13,,
