time,Dallas,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Parsons vs. T. Thompson (K. Love gains possession),,,,Jump ball: C. Parsons vs. T. Thompson (K. Love gains possession)
11:47.0,,,0-2,2,K. Irving makes 2-pt shot from 12 ft (assist by I. Shumpert)
11:28.0,D. Nowitzki misses 2-pt shot from 13 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by I. Shumpert
11:16.0,,,0-4,2,K. Love makes 2-pt shot from 6 ft
10:52.0,C. Parsons misses 2-pt shot from 5 ft,,0-4,,
10:51.0,,,0-4,,Defensive rebound by K. Love
10:41.0,,,0-4,,K. Irving misses 2-pt shot from 18 ft
10:40.0,,,0-4,,Offensive rebound by K. Love
10:29.0,,,0-4,,K. Love misses 2-pt shot from 13 ft
10:29.0,Defensive rebound by W. Matthews,,0-4,,
10:20.0,R. Felton makes 2-pt shot at rim,2,2-4,,
10:08.0,,,2-4,,J. Smith misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by W. Matthews,,2-4,,
9:53.0,R. Felton makes 2-pt shot at rim,2,4-4,,
9:27.0,,,4-4,,T. Thompson misses 2-pt shot from 6 ft
9:26.0,Defensive rebound by D. Williams,,4-4,,
9:10.0,C. Parsons misses 3-pt shot from 28 ft,,4-4,,
9:10.0,,,4-4,,Defensive rebound by J. Smith
9:00.0,,,4-4,,K. Love misses 2-pt shot from 3 ft
9:00.0,,,4-4,,Offensive rebound by K. Love
8:56.0,,,4-7,3,K. Irving makes 3-pt shot from 26 ft (assist by I. Shumpert)
8:42.0,D. Williams misses 3-pt shot from 23 ft,,4-7,,
8:41.0,,,4-7,,Defensive rebound by T. Thompson
8:24.0,,,4-7,,K. Love misses 2-pt shot from 12 ft
8:23.0,Defensive rebound by D. Nowitzki,,4-7,,
8:13.0,R. Felton misses 2-pt shot from 9 ft,,4-7,,
8:13.0,,,4-7,,Defensive rebound by T. Thompson
8:05.0,,,4-7,,K. Irving misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by C. Parsons,,4-7,,
7:55.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by C. Parsons),2,6-7,,
7:37.0,,,6-7,,Shooting foul by R. Felton (drawn by K. Love)
7:37.0,,,6-7,,K. Love misses free throw 1 of 2
7:37.0,,,6-7,,Offensive rebound by Team
