time,Indiana,pts.away,score,pts.home,Orlando
2:20.0,Turnover by P. George (offensive foul),,16-16,,
2:20.0,,,16-16,,N. Vucevic enters the game for J. Smith
2:10.0,,,16-18,2,E. Fournier makes 2-pt shot from 4 ft
1:49.0,C. Miles makes 2-pt shot from 9 ft (assist by P. George),2,18-18,,
1:40.0,,,18-18,,Turnover by N. Vucevic (bad pass; steal by L. Allen)
1:39.0,,,18-18,,Personal foul by E. Fournier (drawn by P. George)
1:39.0,,,18-18,,V. Oladipo enters the game for E. Fournier
1:39.0,S. Hill enters the game for P. George,,18-18,,
1:26.0,Turnover by J. Young (bad pass; steal by V. Oladipo),,18-18,,
1:07.0,,,18-18,,E. Ilyasova misses 2-pt shot from 2 ft
1:04.0,,,18-18,,Offensive rebound by E. Ilyasova
1:04.0,,,18-18,,E. Ilyasova misses 2-pt shot from 1 ft
1:03.0,,,18-18,,Offensive rebound by E. Ilyasova
1:03.0,,,18-20,2,E. Ilyasova makes 2-pt shot from 1 ft
0:50.0,J. Hill makes 2-pt shot from 9 ft (assist by J. Young),2,20-20,,
0:30.0,,,20-22,2,N. Vucevic makes 2-pt shot from 4 ft (assist by B. Jennings)
0:17.0,Turnover by J. Young (lost ball; steal by B. Jennings),,20-22,,
0:11.0,,,20-22,,B. Jennings misses 2-pt shot from 1 ft
0:10.0,Defensive rebound by J. Hill,,20-22,,
0:00.0,J. Hill misses 2-pt shot from 18 ft,,20-22,,
0:00.0,Offensive rebound by Team,,20-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,20-22,,N. Vucevic misses 2-pt shot from 10 ft
11:46.0,,,20-22,,Offensive rebound by E. Ilyasova
11:46.0,,,20-22,,E. Ilyasova misses 2-pt shot from 1 ft
11:43.0,Defensive rebound by J. Hill,,20-22,,
11:27.0,C. Miles misses 3-pt shot from 22 ft,,20-22,,
11:24.0,Offensive rebound by S. Hill,,20-22,,
11:15.0,,,20-22,,Personal foul by B. Jennings
11:06.0,C. Miles makes 2-pt shot from 16 ft (assist by J. Hill),2,22-22,,
10:47.0,,,22-22,,Shooting foul by J. Hill (drawn by N. Vucevic)
10:47.0,,,22-22,,N. Vucevic misses free throw 1 of 2
10:47.0,,,22-22,,Offensive rebound by Team
10:47.0,,,22-23,1,N. Vucevic makes free throw 2 of 2
10:35.0,Turnover by C. Miles (bad pass; steal by V. Oladipo),,22-23,,
10:27.0,,,22-23,,M. Hezonja misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by J. Hill,,22-23,,
10:24.0,Turnover by J. Hill (bad pass; steal by V. Oladipo),,22-23,,
10:24.0,,,22-23,,Shooting foul by C. Miles (drawn by V. Oladipo)
10:24.0,,,22-24,1,V. Oladipo makes free throw 1 of 2
10:24.0,,,22-25,1,V. Oladipo makes free throw 2 of 2
10:10.0,J. Hill makes 2-pt shot from 13 ft,2,24-25,,
9:54.0,,,24-28,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by B. Jennings)
9:42.0,C. Miles misses 3-pt shot from 24 ft,,24-28,,
9:41.0,Offensive rebound by Team,,24-28,,
9:29.0,Shooting foul by N. Vucevic (drawn by S. Hill),,24-28,,
9:29.0,S. Hill makes free throw 1 of 2,1,25-28,,
9:29.0,S. Hill misses free throw 2 of 2,,25-28,,
9:27.0,,,25-28,,Defensive rebound by N. Vucevic
9:15.0,,,25-30,2,N. Vucevic makes 2-pt shot from 4 ft (assist by V. Oladipo)
8:57.0,Turnover by C. Miles (lost ball; steal by B. Jennings),,25-30,,
8:55.0,,,25-32,2,B. Jennings makes 2-pt shot from 1 ft
8:55.0,Indiana full timeout,,25-32,,
8:55.0,M. Ellis enters the game for J. Young,,25-32,,
8:38.0,Shooting foul by B. Jennings (drawn by J. Hill),,25-32,,
8:38.0,J. Hill misses free throw 1 of 2,,25-32,,
8:38.0,Offensive rebound by Team,,25-32,,
8:38.0,,,25-32,,E. Payton enters the game for B. Jennings
8:38.0,J. Hill makes free throw 2 of 2,1,26-32,,
8:26.0,,,26-32,,E. Ilyasova misses 2-pt shot from 18 ft
8:25.0,,,26-32,,Offensive rebound by N. Vucevic
8:04.0,,,26-32,,E. Ilyasova misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by J. Hill,,26-32,,
7:56.0,Turnover by M. Ellis (lost ball),,26-32,,
7:51.0,Personal foul by M. Ellis (drawn by E. Payton),,26-32,,
7:45.0,,,26-32,,E. Ilyasova misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by J. Hill,,26-32,,
7:25.0,J. Hill makes 2-pt shot from 1 ft,2,28-32,,
7:11.0,,,28-34,2,N. Vucevic makes 2-pt shot from 3 ft (assist by V. Oladipo)
7:02.0,M. Ellis misses 2-pt shot from 1 ft,,28-34,,
7:00.0,Offensive rebound by J. Hill,,28-34,,
7:00.0,J. Hill makes 2-pt shot at rim,2,30-34,,
7:00.0,,,30-34,,Orlando full timeout
7:00.0,,,30-34,,E. Fournier enters the game for E. Ilyasova
7:00.0,,,30-34,,A. Gordon enters the game for M. Hezonja
6:48.0,,,30-37,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
6:32.0,C. Miles makes 3-pt shot from 22 ft (assist by L. Allen),3,33-37,,
6:11.0,,,33-39,2,N. Vucevic makes 2-pt shot from 18 ft (assist by A. Gordon)
6:00.0,Offensive foul by C. Miles,,33-39,,
6:00.0,Turnover by C. Miles (offensive foul),,33-39,,
6:00.0,M. Turner enters the game for L. Allen,,33-39,,
6:00.0,P. George enters the game for C. Miles,,33-39,,
