time,Chicago,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Howard (B. Portis gains possession),,,,Jump ball: P. Gasol vs. D. Howard (B. Portis gains possession)
11:48.0,B. Portis makes 2-pt shot from 21 ft (assist by D. Rose),2,2-0,,
11:27.0,,,2-2,2,D. Motiejunas makes 2-pt shot from 7 ft
11:07.0,J. Butler misses 3-pt shot from 23 ft,,2-2,,
11:06.0,,,2-2,,Defensive rebound by T. Ariza
10:51.0,,,2-5,3,J. Harden makes 3-pt shot from 23 ft
10:33.0,B. Portis misses 2-pt shot from 18 ft,,2-5,,
10:33.0,,,2-5,,Defensive rebound by P. Beverley
10:28.0,,,2-7,2,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley)
10:05.0,Turnover by M. Dunleavy (step out of bounds),,2-7,,
9:51.0,,,2-7,,Shooting foul by B. Portis (drawn by T. Ariza)
9:51.0,,,2-8,1,T. Ariza makes free throw 1 of 2
9:51.0,,,2-9,1,T. Ariza makes free throw 2 of 2
9:35.0,P. Gasol makes 2-pt shot from 3 ft,2,4-9,,
9:25.0,,,4-11,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
9:13.0,Turnover by P. Gasol (lost ball; steal by D. Howard),,4-11,,
9:07.0,,,4-11,,D. Motiejunas misses 2-pt shot from 2 ft
9:06.0,Defensive rebound by P. Gasol,,4-11,,
8:56.0,P. Gasol misses 3-pt shot from 24 ft,,4-11,,
8:55.0,,,4-11,,Defensive rebound by D. Howard
8:45.0,,,4-13,2,D. Howard makes 2-pt shot from 6 ft (assist by P. Beverley)
8:45.0,Chicago full timeout,,4-13,,
8:22.0,P. Gasol misses 2-pt shot from 11 ft,,4-13,,
8:21.0,Offensive rebound by B. Portis,,4-13,,
8:19.0,B. Portis misses 2-pt shot from 1 ft,,4-13,,
8:18.0,,,4-13,,Defensive rebound by D. Howard
7:59.0,,,4-13,,J. Harden misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by P. Gasol,,4-13,,
7:44.0,J. Butler misses 2-pt shot from 1 ft,,4-13,,
7:43.0,,,4-13,,Defensive rebound by J. Harden
7:32.0,,,4-13,,D. Motiejunas misses 3-pt shot from 25 ft
7:31.0,,,4-13,,Offensive rebound by D. Howard
7:26.0,,,4-13,,D. Motiejunas misses 2-pt shot from 5 ft
7:25.0,Defensive rebound by P. Gasol,,4-13,,
7:13.0,M. Dunleavy misses 3-pt shot from 24 ft,,4-13,,
7:12.0,,,4-13,,Defensive rebound by D. Howard
6:59.0,,,4-13,,D. Motiejunas misses 2-pt shot from 7 ft
6:59.0,Defensive rebound by P. Gasol,,4-13,,
6:48.0,,,4-13,,Personal block foul by D. Motiejunas
6:48.0,N. Mirotic enters the game for B. Portis,,4-13,,
6:48.0,,,4-13,,M. Beasley enters the game for D. Motiejunas
6:48.0,D. McDermott enters the game for M. Dunleavy,,4-13,,
6:37.0,J. Butler makes 2-pt shot from 2 ft (assist by P. Gasol),2,6-13,,
6:25.0,,,6-13,,T. Ariza misses 2-pt shot from 2 ft
6:24.0,Defensive rebound by J. Butler,,6-13,,
6:15.0,P. Gasol misses 2-pt shot from 2 ft (block by D. Howard),,6-13,,
6:15.0,Offensive rebound by Team,,6-13,,
6:08.0,P. Gasol makes 2-pt shot from 12 ft (assist by N. Mirotic),2,8-13,,
5:55.0,,,8-13,,T. Ariza misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by N. Mirotic,,8-13,,
5:47.0,Turnover by D. Rose (bad pass),,8-13,,
5:37.0,,,8-13,,M. Beasley misses 2-pt shot from 13 ft
5:36.0,Defensive rebound by J. Butler,,8-13,,
5:24.0,N. Mirotic misses 3-pt shot from 26 ft,,8-13,,
5:24.0,,,8-13,,Defensive rebound by D. Howard
5:13.0,,,8-13,,M. Beasley misses 2-pt shot from 2 ft
5:13.0,Defensive rebound by D. McDermott,,8-13,,
5:04.0,P. Gasol makes 2-pt shot from 22 ft (assist by D. McDermott),2,10-13,,
5:02.0,,,10-13,,Houston full timeout
5:02.0,,,10-13,,C. Capela enters the game for D. Howard
4:40.0,,,10-13,,J. Harden misses 2-pt shot from 4 ft (block by N. Mirotic)
4:38.0,Defensive rebound by D. McDermott,,10-13,,
4:30.0,D. McDermott makes 2-pt shot from 20 ft (assist by D. Rose),2,12-13,,
4:16.0,,,12-15,2,P. Beverley makes 2-pt shot from 9 ft
4:02.0,Turnover by D. Rose (lost ball; steal by C. Capela),,12-15,,
3:57.0,,,12-17,2,C. Capela makes 2-pt shot from 2 ft
3:33.0,N. Mirotic makes 2-pt shot from 2 ft (assist by P. Gasol),2,14-17,,
3:29.0,,,14-17,,Shooting foul by P. Gasol (drawn by M. Beasley)
3:29.0,,,14-18,1,M. Beasley makes free throw 1 of 2
3:29.0,,,14-18,,J. Terry enters the game for P. Beverley
3:29.0,A. Brooks enters the game for D. Rose,,14-18,,
3:29.0,,,14-19,1,M. Beasley makes free throw 2 of 2
3:13.0,P. Gasol makes 2-pt shot from 7 ft (assist by A. Brooks),2,16-19,,
2:54.0,,,16-19,,J. Harden misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by P. Gasol,,16-19,,
2:32.0,D. McDermott makes 3-pt shot from 27 ft (assist by A. Brooks),3,19-19,,
2:19.0,,,19-19,,Turnover by J. Harden (bad pass)
2:07.0,P. Gasol misses 3-pt shot from 24 ft,,19-19,,
2:06.0,,,19-19,,Defensive rebound by C. Capela
1:58.0,,,19-19,,Turnover by J. Harden (lost ball; steal by J. Butler)
1:49.0,N. Mirotic misses 3-pt shot from 22 ft,,19-19,,
1:49.0,,,19-19,,Defensive rebound by T. Ariza
1:35.0,,,19-21,2,C. Capela makes 2-pt shot from 4 ft (assist by T. Ariza)
1:21.0,Shooting foul by M. Beasley (drawn by N. Mirotic),,19-21,,
